source_headword	SK	example_SK
stranger	cudzinec	Cudzinec sa spýtal na cestu.
strength	sila	Jej sila pomohla tímu.
string	špagát	Zaviaž krabicu špagátom.
strongly	silne	Silne s tým nápadom nesúhlasím.
studio	štúdio	Umelec pracuje v malom štúdiu.
stuff	veci	Polož svoje veci na policu.
substance	látka	Polícia našla zvláštnu látku.
successfully	úspešne	Úspešne dokončili projekt.
sudden	náhly	Náhly hluk nás zobudil.
suffer	trpieť	Mnoho rastlín trpí v suchom počasí.
suitable	vhodný	Táto bunda je vhodná do školy.
summarize	zhrnúť	Môžeš zhrnúť ten článok?
summary	zhrnutie	Napíš dnes večer krátke zhrnutie.
supply	zásoba	Mesto potrebuje zásobu čistej vody.
supporter	fanúšik	Každý fanúšik hlasno povzbudzoval.
surely	určite	Určite to dokážeme vyriešiť.
surface	povrch	Povrch bol na dotyk studený a hladký.
survive	prežiť	Tieto zvieratá prežijú studené zimy.
switch	prepnúť	Vypni svetlo v kuchyni.
symptom	príznak	Kašeľ môže byť príznak.
tail	chvost	Pes má dlhý chvost.
talent	talent	Má talent na hudbu.
talented	talentovaný	On je talentovaný mladý herec.
tape	páska	Na zatvorenie krabice použi pásku.
tax	daň	Každý musí platiť túto daň.
technical	technický	Mali sme technický problém.
technique	technika	Táto technika šetrí čas.
tend	mať tendenciu	Deti majú tendenciu učiť sa rýchlo.
tent	stan	Spali sme v malom stane.
theirs	ich	Tie modré bicykle sú ich.
theme	téma	Párty mala plážovú tému.
theory	teória	Jeho teória vysvetľuje tento problém.
therefore	preto	Pršalo, preto sme zostali vnútri.
though	hoci	Hoci bola unavená, pokračovala v práci.
throat	hrdlo	Dnes ráno ma bolí hrdlo.
throughout	počas	Ľudia tancovali počas celého večera.
tight	tesný	Tieto topánky sú príliš tesné.
till	kým	Počkaj tu, kým sa nevrátim.
tin	plechovka	Otvor plechovku fazule.
tiny	drobný	Neďaleko pristál drobný vtáčik.
toe	prst na nohe	Včera som si zranil prst na nohe.
tongue	jazyk	Popálila si jazyk na čaji.
total	celkový	Celkové náklady boli nízke.
totally	úplne	Úplne chápem tvoje obavy.
trade	obchod	Medzinárodný obchod vytvára pracovné miesta.
translate	preložiť	Prosím, prelož túto vetu.
translation	preklad	Tento preklad znie prirodzene.
treat	správať sa	Správaj sa ku každému s rešpektom.
treatment	liečba	Pacient dnes potrebuje liečbu.
trend	trend	Tento trend celosvetovo rastie.
trick	trik	Ten kartový trik ma prekvapil.
truth	pravda	Prosím, povedz pravdu.
tube	tuba	Tubu jemne stlač.
typically	zvyčajne	Študenti zvyčajne prichádzajú pred deviatou.
tyre	pneumatika	Auto potrebuje novú pneumatiku.
ugly	škaredý	Farba tej steny vyzerá škaredo.
unable	neschopný	Nebol schopný odpovedať.
uncomfortable	nepohodlný	Táto stolička je nepohodlná.
underwear	spodná bielizeň	Zbaľ si na výlet čistú spodnú bielizeň.
unemployed	nezamestnaný	Dva mesiace bola nezamestnaná.
unemployment	nezamestnanosť	Nezamestnanosť v zime stúpla.
unfair	nespravodlivý	Rozhodnutie sa zdalo nespravodlivé.
union	odbory	Odbory žiadali bezpečnejšiu prácu.
unless	pokiaľ	Neodchádzaj, pokiaľ nezavolám.
unlike	na rozdiel od	Na rozdiel od Toma, Ana miluje zimu.
unlikely	nepravdepodobný	Sneženie je tento týždeň nepravdepodobné.
unnecessary	zbytočný	Ďalšie tašky sú nepotrebné.
unpleasant	nepríjemný	Izba mala nepríjemný zápach.
update	aktualizovať	Musím si aktualizovať telefón.
upon	na	Kde bolo, tam bolo, bol raz jeden kráľ.
upset	rozrušený	Po telefonáte sa cítila rozrušená.
used1	používaný	Táto miestnosť sa používa na stretnutia.
used2	zvyknutý	Som zvyknutý na skoré rána.
valuable	cenný	Tieto hodinky sú cenné.
value	hodnota	Dom stratil minulý rok na hodnote.
various	rôzny	Skúšali sme rôzne miestne jedlá.
version	verzia	Táto verzia funguje lepšie.
victim	obeť	Obeť zavolala políciu.
viewer	divák	Jeden divák položil otázku.
violent	násilný	Ten film bol príliš násilný.
volunteer	dobrovoľník	V knižnici pracujem ako dobrovoľník.
vote	voliť	Nezabudni zajtra voliť.
warn	varovať	Snažil som sa ho varovať.
warning	varovanie	Na obrazovke sa objavilo varovanie.
waste	plytvať	Neplytvaj čistou vodou.
weapon	zbraň	Nôž sa stal zbraňou.
weigh	odvážiť	Opatrne odváž múku.
western	západný	Pozerali westernový film.
whatever	čokoľvek	Vyber si, čokoľvek sa ti páči.
whenever	kedykoľvek	Zavolaj, kedykoľvek budeš potrebovať pomoc.
whether	či	Neviem, či súhlasí.
wing	krídlo	Vták si zranil jedno krídlo.
within	do	Prosím, odpovedzte do dvoch dní.
wonder	zaujímať sa	Zaujímalo by ma, čo sa stalo.
wool	vlna	Tento kabát je vyrobený z vlny.
worldwide	celosvetovo	Táto pieseň sa stala populárnou celosvetovo.
worth	stáť za	Túto knihu stojí za to si prečítať.
written	písomný	Prosím, pošlite písomné pokyny.
yard	dvor	Deti sa hrali na dvore.
youth	mládež	Mládežnícke kluby podporujú miestnych tínedžerov.
