hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
5001:物体	物体	物体	předmět; objekt	Tento předmět se pomalu potopil ve vodě.	predmet; objekt	Tento predmet sa pomaly potopil vo vode.	tárgy; objektum	Ez a tárgy lassan elsüllyedt a vízben.	obiect; corp	Acest obiect s-a scufundat încet în apă.	предмет; обект	Този предмет бавно потъна във водата.	predmet; objekt	Ovaj je predmet polako potonuo u vodi.
5005:喜剧	喜剧	喜剧	komedie	Tato komedie rozesmála celé publikum bez přestání.	komédia	Táto komédia rozosmiala celé publikum bez prestania.	vígjáték	Ez a vígjáték szüntelen nevetésre késztette az egész közönséget.	comedie	Această comedie a făcut tot publicul să râdă fără oprire.	комедия	Тази комедия разсмя цялата публика без прекъсване.	komedija	Ova je komedija nasmijala cijelu publiku bez prestanka.
5006:喜事	喜事	喜事	radostná událost	Doma byla radostná událost a všichni příbuzní přišli poblahopřát.	radostná udalosť	Doma bola radostná udalosť a všetci príbuzní prišli zablahoželať.	örömteli esemény	Otthon örömteli esemény történt, és minden rokon eljött gratulálni.	eveniment fericit	Acasă a fost un eveniment fericit și toate rudele au venit să felicite.	радостно събитие	Вкъщи имаше радостно събитие и всички роднини дойдоха да поздравят.	sretan događaj	Kod kuće se dogodio sretan događaj i svi su rođaci došli čestitati.
5007:洗漱	洗漱	洗漱	umýt se a vyčistit si zuby	Každé ráno vstává v šest, aby se umyla a vyčistila si zuby.	umyť sa a vyčistiť si zuby	Každé ráno vstáva o šiestej, aby sa umyla a vyčistila si zuby.	mosakodni és fogat mosni	Minden reggel hatkor kel, hogy megmosakodjon és fogat mosson.	a se spăla și a se pregăti	Se trezește la șase în fiecare dimineață ca să se spele și să se pregătească.	измивам се и си мия зъбите	Тя става в шест всяка сутрин, за да се измие и да си измие зъбите.	oprati se i oprati zube	Svako jutro ustaje u šest kako bi se oprala i oprala zube.
5011:戏曲	戏曲	戏曲	tradiční opera	Dědeček má obzvlášť rád poslech místní tradiční opery.	tradičná opera	Dedko má obzvlášť rád počúvanie miestnej tradičnej opery.	hagyományos opera	A nagypapa különösen szereti hallgatni a helyi hagyományos operát.	operă tradițională	Bunicului îi place în mod deosebit să asculte opera tradițională locală.	традиционна опера	Дядо особено обича да слуша местна традиционна опера.	tradicionalna opera	Djed posebno voli slušati lokalnu tradicionalnu operu.
5014:下功夫	下功夫	下功夫	dát si práci; vynaložit úsilí	Je ochotná vynaložit úsilí, aby dobře psala čínské znaky.	dať si námahu; vynaložiť úsilie	Je ochotná vynaložiť úsilie, aby dobre písala čínske znaky.	energiát fektetni; erőfeszítést tenni	Hajlandó sok energiát fektetni abba, hogy szépen írja a kínai írásjegyeket.	a depune efort	Este dispusă să depună efort ca să scrie bine caracterele chinezești.	полагам усилия	Тя е готова да положи усилия, за да пише добре китайските йероглифи.	uložiti trud	Spremna je uložiti trud kako bi dobro pisala kineske znakove.
5015:下单	下单	下单	zadat objednávku	Učebnici jsem už objednal online.	zadať objednávku	Učebnicu som už objednal online.	rendelést leadni	Már leadtam az online rendelést a tankönyvre.	a plasa o comandă	Am plasat deja o comandă online pentru manual.	правя поръчка	Вече направих онлайн поръчка за учебника.	naručiti	Već sam naručio udžbenik putem interneta.
5017:下线	下线	下线	ukončit provoz; stáhnout z online služby	Tato stará funkce bude zítra oficiálně ukončena.	ukončiť prevádzku; stiahnuť z online služby	Táto stará funkcia bude zajtra oficiálne ukončená.	leállítani; offline állapotba kerül	Ezt a régi funkciót holnap hivatalosan leállítják.	a fi scos din funcțiune online	Această funcție veche va fi scoasă oficial din funcțiune mâine.	спирам от онлайн употреба	Тази стара функция утре официално ще бъде спряна.	prestati biti dostupan	Ova stara značajka sutra će službeno prestati biti dostupna.
5018:下旬	下旬	下旬	poslední dekáda měsíce	Výstava bude zahájena v poslední dekádě srpna.	posledná dekáda mesiaca	Výstava sa otvorí v poslednej dekáde augusta.	a hónap utolsó tíz napja	A kiállítás augusztus utolsó tíz napjában nyílik meg.	ultima parte a lunii	Expoziția se va deschide în ultima parte a lunii august.	последната десетдневка на месеца	Изложбата ще бъде открита през последната десетдневка на август.	posljednja trećina mjeseca	Izložba će se otvoriti u posljednjoj trećini kolovoza.
5023:显	显	显	působit; vypadat	Díky tomuto oblečení vypadá energicky.	pôsobiť; vyzerať	V tomto oblečení pôsobí energicky.	mutatni; tűnni	Ettől az öltözéktől energikusnak tűnik.	a face să pară	Această ținută îl face să pară plin de energie.	правя да изглежда	Този тоалет го кара да изглежда енергичен.	činiti da izgleda	Ova odjeća čini da izgleda energično.
