source_headword	UZ	example_UZ
toss	otmoq	U kalitlarni stol ustiga otdi.
total	jami tashkil etmoq	Ta'mirlash ishlari kutilganidan ko'proqni tashkil etdi.
toxic	zaharli	Zaharli tutun hammaga tashqariga chiqishga majbur qildi.
trademark	savdo belgisi	Logotip kompaniyaning savdo belgisiga aylandi.
trail	so'qmoq	So'qmoq o'rmon orqali olib bordi.
trailer	treyler	Treyler filmning oxirini ko'rsatdi.
transaction	tranzaksiya	Tranzaksiya bank ko'chirmamda paydo bo'ldi.
transcript	trankript	Talaba rasmiy transkript so'radi.
transformation	o'zgarish	Shahar katta o'zgarishni ko'rdi.
transit	tranzit	Tranzit paytida posilka shikastlangan.
transmission	uzatish	Ma'lumotlarni uzatish xavfsiz edi.
transparency	shaffoflik	Hisobot ko'proq shaffoflikka chaqirdi.
transparent	shaffof	Jarayon hamma uchun shaffof bo'lishi kerak.
trauma	travma	Baxtsiz hodisa chuqur travma qoldirdi.
treaty	shartnoma	Mamlakatlar tinchlik shartnomasini imzoladilar.
tremendous	ulkan	Jamoa ulkan yutuqlarga erishdi.
tribal	qabila	Muzey qabila san'atini namoyish etdi.
tribunal	tribunal	Tribunal butun hafta davomida dalillarni tingladi.
tribute	ehtirom	Konsert unga ehtirom edi.
trio	trio	Trio festivalda chiqish qildi.
triumph	zafar	G'alaba shaxsiy zafar edi.
trophy	kubok	Sardor kubokni faxr bilan ko'tardi.
troubled	muammoli	Muammoli kompaniyaga yangi rahbariyat kerak edi.
trustee	vasiy	Vasiy stipendiya fondini boshqaradi.
tuition	o'qish puli	Uning o'qish puli bu yil oshdi.
turnout	ishtirok	Saylovchilarning ishtiroki kutilganidan yuqori bo'ldi.
turnover	kadrlar almashinuvi	O'zgarishlardan so'ng kadrlar almashinuvi kamaydi.
twist	buramoq	U qopqoqni burab ochdi.
undergraduate	bakalavr	Bakalavr tadqiqot loyihasiga qo'shildi.
underlying	asosiy	Hisobot asosiy sabablarni tushuntirdi.
