source_headword	KO	example_KO
abandon	포기하다	그들은 어제 그 계획을 포기했습니다.
absolute	절대적인	여기서는 절대적인 정직이 필요합니다.
acceptable	받아들일 수 있는	그의 답은 받아들일 수 있는 것이었습니다.
accompany	동행하다	그녀의 오빠가 그녀를 집까지 동행했습니다.
accurate	정확한	그 보고서는 정확해 보입니다.
accuse	비난하다	그들은 그가 거짓말했다고 비난했습니다.
acknowledge	인정하다	그 실수를 인정해 주세요.
acquire	습득하다	그녀는 새로운 기술을 빠르게 습득했습니다.
actual	실제의	실제 비용은 더 낮았습니다.
adapt	적응하다	우리는 그 변화에 적응했습니다.
additional	추가의	오늘 추가 도움이 도착했습니다.
administration	행정부	행정부가 정책을 바꾸었습니다.
adopt	채택하다	그들은 새로운 방법을 채택했습니다.
advance	진전	우리는 작은 진전을 이루었습니다.
affair	사건	그 사건은 대중의 신뢰를 해쳤습니다.
afterwards	그 후에	그 후에 모두가 차분해졌습니다.
agency	기관	그 기관은 번역가 세 명을 고용했습니다.
agenda	의제	안전이 의제에 올라 있습니다.
aggressive	공격적인	그의 말투는 공격적으로 들렸습니다.
aid	원조	의료 원조가 빠르게 도착했습니다.
aircraft	항공기	그 항공기는 안전하게 착륙했습니다.
alter	변경하다	그 합의를 변경하지 마세요.
anger	분노	그의 분노는 모두를 놀라게 했습니다.
angle	각도	다른 카메라 각도를 시도해 보세요.
anniversary	기념일	그들의 기념일은 내일입니다.
annual	연례의	연례 회의는 월요일에 시작됩니다.
anxious	불안한	그녀는 수술 전에 불안했습니다.
apparent	분명한	그의 실망은 분명했습니다.
apparently	분명히	분명히 기차가 늦는 것 같습니다.
appeal	항소	그 결정은 항소에 직면할 수 있습니다.
approach	접근 방식	그녀의 접근 방식이 문제를 해결했습니다.
appropriate	적절한	적절한 답변을 선택하세요.
approval	승인	그 프로젝트에는 승인이 필요합니다.
approve	승인하다	이사회는 예산을 승인했습니다.
arise	발생하다	문제가 나중에 발생할 수 있습니다.
armed	무장한	무장한 경비원들이 밖에 서 있었습니다.
arms	무기	그들은 무기를 내려놓았습니다.
artificial	인공의	그 꽃들은 인공처럼 보였습니다.
artistic	예술적인	그녀에게는 예술적 재능이 있습니다.
ashamed	부끄러워하는	그는 나중에 부끄러움을 느꼈습니다.
aspect	측면	모든 측면을 신중히 고려하세요.
assess	평가하다	우리는 피해를 평가해야 합니다.
assessment	평가	그 평가는 두 시간이 걸렸습니다.
associate	연관 짓다	사람들은 연기를 위험과 연관 짓습니다.
associated	관련된	스트레스는 질병과 관련되어 있습니다.
association	협회	그 협회는 젊은 예술가들을 지원합니다.
assume	추정하다	나는 당신이 동의한다고 생각합니다.
attempt	시도	그의 첫 시도는 실패했습니다.
bacteria	세균	세균은 빠르게 퍼질 수 있습니다.
barrier	장벽	언어가 장벽이었습니다.
basically	기본적으로	기본적으로 우리는 시간이 더 필요합니다.
bear (deal with)	견디다	나는 이 소음을 견딜 수 없습니다.
beg	간청하다	제발 도움을 간청하세요.
being	존재	모든 생명체는 물이 필요합니다.
bent	구부러진	그 금속 막대는 구부러져 있었습니다.
bet	확신하다	나는 그가 알고 있다고 확신합니다.
beyond	너머에	그 마을은 강 너머에 있습니다.
bitter	쓴	그 약은 쓴맛이 났습니다.
blame	탓하다	운전자를 탓하지 마세요.
blind	눈먼	그는 젊어서 눈이 멀었습니다.
bond	유대	신뢰는 강한 유대를 만듭니다.
breast	가슴	그녀는 가슴에 통증을 느꼈습니다.
brief	간단한	답을 간단하게 하세요.
broad	넓은	여기서는 강이 넓습니다.
broadcast	방송하다	그 연설은 생방송으로 방송되었습니다.
budget	예산	예산이 매우 빠듯합니다.
bullet	총알	총알이 벽에 맞았습니다.
bunch	묶음	그녀는 열쇠 한 묶음을 들고 있었습니다.
bush	덤불	새 한 마리가 덤불 속에 숨었습니다.
cable	케이블	그 케이블은 고장 났습니다.
calculate	계산하다	총비용을 계산하세요.
cancel	취소하다	그들은 회의를 취소했습니다.
cancer	암	암 치료는 어려울 수 있습니다.
capable	능력 있는	그녀는 더 많은 것을 할 능력이 있습니다.
capacity	수용 능력	홀은 수용 인원에 도달했습니다.
capture	담아내다	그 사진은 분위기를 잘 담아냅니다.
cast	출연진	출연진은 준비되었습니다.
cell	세포	각 세포에는 데이터가 들어 있습니다.
chairman	의장	의장이 회의를 시작했습니다.
characteristic	특징	인내심은 그녀의 주요 특징입니다.
chief	최고의	수석 엔지니어가 늦게 도착했습니다.
circumstance	상황	각 상황을 신중히 고려하세요.
cite	인용하다	출처를 인용해 주세요.
citizen	시민	모든 시민은 투표할 수 있습니다.
civil	평화적인	시위는 평화적으로 유지되었습니다.
classic	고전	이 영화는 고전입니다.
closely	주의 깊게	그 과정을 주의 깊게 지켜보세요.
collapse	무너지다	그 오래된 다리는 무너질 수 있습니다.
combination	조합	그 조합은 잘 작동했습니다.
comfort	위로	그녀의 말은 위로가 되었습니다.
command	명령	그 장교는 명령을 내렸습니다.
commission	위원회	그 위원회는 그 사건을 검토했습니다.
commitment	헌신	그 일에는 헌신이 필요합니다.
committee	위원회	그 위원회는 매주 만납니다.
commonly	일반적으로	이 식물은 일반적으로 재배됩니다.
complicated	복잡한	그 지침은 복잡합니다.
component	부품	한 부품이 고장 났습니다.
concentration	집중력	소음은 내 집중력을 깨뜨립니다.
concept	개념	그 개념은 간단합니다.
concern	우려	안전은 우리의 주요 우려입니다.
concerned	걱정하는	부모들은 깊이 걱정했습니다.
conduct	수행하다	그들은 현지에서 연구를 수행합니다.
confidence	자신감	연습은 자신감을 키웁니다.
conflict	갈등	그 갈등은 몇 년 동안 계속되었습니다.
confusing	혼란스러운	그 지도는 혼란스러웠습니다.
conscious	의식이 있는	그녀는 의식을 유지했습니다.
conservative	보수적인	그의 견해는 보수적입니다.
consideration	고려 사항	비용은 중요한 고려 사항입니다.
consistent	일관된	그녀의 결과는 일관적입니다.
constant	끊임없는	끊임없는 소음이 우리를 지치게 했습니다.
constantly	끊임없이	그는 끊임없이 휴대폰을 확인합니다.
construct	건설하다	노동자들이 새 다리를 건설했습니다.
construction	건설	건설은 다음 달에 시작됩니다.
contemporary	현대의	그 갤러리는 현대 미술을 전시합니다.
contest	대회	그녀는 그 대회에 참가했습니다.
contract	계약	계약서를 주의 깊게 읽으세요.
contribute	기여하다	모두가 아이디어로 기여할 수 있습니다.
contribution	기여	그녀의 기여는 가치 있었습니다.
convert	개조하다	그들은 차고를 개조했습니다.
convinced	확신하는	나는 그가 거짓말했다고 확신합니다.
core	핵심	신뢰가 핵심 문제입니다.
corporate	기업의	기업 규칙이 다시 바뀌었습니다.
council	의회	의회는 그 계획을 승인했습니다.
county	군	그 군은 도로를 수리했습니다.
courage	용기	그녀는 진정한 용기를 보였습니다.
crash	충돌 사고	그 충돌 사고가 교통을 막았습니다.
creation	창작	그 창작에는 여섯 달이 걸렸습니다.
creature	생물	그 생물은 조용히 움직였습니다.
crew	승무원	승무원은 배를 준비했습니다.
crisis	위기	그 위기는 모든 것을 바꾸었습니다.
criterion	기준	가격은 하나의 기준입니다.
critic	비평가	그 비평가는 그 연극을 칭찬했습니다.
critical	위중한	그의 상태는 위중합니다.
criticism	비판	그녀는 그 비판을 침착하게 받아들였습니다.
criticize	비판하다	모든 실수를 비판하지 마세요.
crop	농작물	올해 농작물은 실패했습니다.
crucial	매우 중요한	여기서는 타이밍이 매우 중요합니다.
cure	치료법	의사들은 치료법을 찾았습니다.
curve	곡선	그 도로는 곡선을 따라갑니다.
curved	굽은	그 벽은 약간 굽어 있습니다.
debate	토론	토론은 몇 시간 동안 계속되었습니다.
debt	빚	그는 빚을 갚았습니다.
decent	괜찮은	그들은 괜찮은 아파트를 찾았습니다.
declare	선언하다	그들은 결과를 발표했습니다.
decline	감소하다	판매는 계속 감소했습니다.
decoration	장식	그 장식은 비싸 보였습니다.
decrease	감소하다	가격은 곧 내려갈 수 있습니다.
deeply	깊이	그녀는 정의에 대해 깊이 신경 썼습니다.
defeat	패배	그 패배는 팀에 충격을 주었습니다.
defence	변호	변호 측은 증거에 이의를 제기했습니다.
defend	방어하다	그는 자신을 방어하려고 했습니다.
delay	지연	나쁜 날씨가 지연을 일으켰습니다.
deliberate	의도적인	그것은 의도적인 선택이었습니다.
deliberately	일부러	그녀는 일부러 경고를 무시했습니다.
delight	기쁘게 하다	그 소식은 모두를 기쁘게 했습니다.
delighted	기쁜	우리는 그 선물에 기뻤습니다.
delivery	배달	배달은 일찍 도착했습니다.
demand	요구	노동자들은 더 나은 임금을 요구합니다.
demonstrate	시연하다	그는 새 소프트웨어를 시연했습니다.
deny	부인하다	그녀는 그 혐의를 부인했습니다.
depressed	우울한	그는 패배 후 우울함을 느꼈습니다.
depressing	우울하게 하는	그 영화는 우울했습니다.
depth	깊이	그 수영장은 깊이가 큽니다.
deserve	받을 만하다	당신은 휴식을 받을 만합니다.
desire	욕구	그녀는 여행하고 싶은 욕구를 표현했습니다.
desperate	절박한	그들은 절박한 전화를 걸었습니다.
detailed	상세한	그 안내서는 매우 상세합니다.
detect	감지하다	개는 연기를 감지할 수 있습니다.
dig	파다	그들은 여름에 우물을 팝니다.
disc	디스크	그 디스크는 긁혀 있었습니다.
discipline	규율	규율은 선수들이 발전하는 데 도움이 됩니다.
dishonest	부정직한	그의 대답은 부정직하게 들렸습니다.
dismiss	일축하다	관리자는 그 불만을 일축했습니다.
display	표시하다	화면은 점수를 표시합니다.
distribute	배포하다	자원봉사자들이 깨끗한 물을 배포했습니다.
distribution	배포	배포는 해 뜬 뒤에 시작되었습니다.
district	지역	그 지역은 시장을 선출했습니다.
division	부서	그 부서는 법률 사건을 처리합니다.
domestic	국내의	국내선 항공편이 더 저렴합니다.
dominate	지배하다	한 회사가 시장을 지배할 수 있습니다.
downwards	아래쪽으로	길은 아래쪽으로 기울어져 있습니다.
dozen	다스	그녀는 달걀 한 다스를 샀습니다.
draft	초안	초안을 검토해 주세요.
drag	끌다	테이블을 끌지 마세요.
dramatic	극적인	결과는 극적이었습니다.
edit	편집하다	그녀는 그 기사를 편집했습니다.
edition	판	이 판에는 새 사진이 포함되어 있습니다.
efficient	효율적인	그 시스템은 효율적입니다.
elderly	나이 든	나이 든 주민들은 지원이 필요합니다.
elect	선출하다	유권자들은 새 의회를 선출합니다.
elsewhere	다른 곳에서	우리는 도움을 다른 곳에서 찾았습니다.
emerge	드러나다	자정 이후에 세부 사항이 드러났습니다.
emotional	감정적인	그 연설은 감정적이었습니다.
emphasis	강조	안전에 강조를 두세요.
emphasize	강조하다	교사들은 매일의 연습을 강조합니다.
enable	가능하게 하다	그 앱은 빠른 결제를 가능하게 합니다.
encounter	마주치다	우리는 심한 교통 체증을 마주쳤습니다.
engage	참여시키다	그 과정은 성인 학습자들을 참여시킵니다.
enhance	향상시키다	조명은 방의 분위기를 향상시킬 수 있습니다.
enquiry	조사	그 조사는 세 달 동안 계속되었습니다.
ensure	보장하다	정확성을 보장하려면 두 번 확인하세요.
