source_headword	KM	example_KM
stranger	ជនចម្លែក	ជនចម្លែកម្នាក់បានសួររកផ្លូវ។
strength	កម្លាំង	កម្លាំងរបស់នាងបានជួយក្រុម។
string	ខ្សែ	ចងប្រអប់ជាមួយខ្សែ។
strongly	យ៉ាងខ្លាំង	ខ្ញុំមិនយល់ស្របយ៉ាងខ្លាំងចំពោះគំនិតនោះទេ។
studio	ស្ទូឌីយោ	សិល្បករធ្វើការនៅក្នុងស្ទូឌីយោតូចមួយ។
stuff	របស់របរ	ដាក់របស់របររបស់អ្នកនៅលើធ្នើរ។
substance	សារធាតុ	ប៉ូលីសបានរកឃើញសារធាតុចម្លែកមួយ។
successfully	យ៉ាងជោគជ័យ	ពួកគេបានបញ្ចប់គម្រោងយ៉ាងជោគជ័យ។
sudden	ភ្លាមៗ	សំឡេងរំខានភ្លាមៗបានដាស់ពួកយើង។
suffer	រងការខូចខាត	រុក្ខជាតិជាច្រើនរងការខូចខាតក្នុងអាកាសធាតុស្ងួត។
suitable	សមស្រប	អាវធំនេះគឺសមស្របសម្រាប់សាលារៀន។
summarize	សង្ខេប	តើអ្នកអាចសង្ខេបអត្ថបទនេះបានទេ?
summary	សេចក្តីសង្ខេប	សរសេរសេចក្តីសង្ខេបខ្លីមួយនៅយប់នេះ។
supply	ការផ្គត់ផ្គង់	ទីប្រជុំជននេះត្រូវការការផ្គត់ផ្គង់ទឹកស្អាត។
supporter	អ្នកគាំទ្រ	អ្នកគាំទ្រគ្រប់រូបបានអបអរយ៉ាងខ្លាំង។
surely	ប្រាកដណាស់	ប្រាកដណាស់យើងអាចដោះស្រាយរឿងនេះបាន។
surface	ផ្ទៃ	ផ្ទៃរបស់វាមានអារម្មណ៍ថាត្រជាក់និងរលោង។
survive	រស់រានមានជីវិត	សត្វទាំងនេះរស់រានមានជីវិតក្នុងរដូវរងាត្រជាក់។
switch	បិទ	បិទភ្លើងផ្ទះបាយទៅ។
symptom	រោគសញ្ញា	ការក្អកអាចជារោគសញ្ញាមួយ។
tail	កន្ទុយ	ឆ្កែនោះមានកន្ទុយវែង។
talent	ទេពកោសល្យ	នាងមានទេពកោសល្យផ្នែកតន្ត្រី។
talented	ដែលមានទេពកោសល្យ	គាត់គឺជាតារាសម្តែងវ័យក្មេងដែលមានទេពកោសល្យម្នាក់។
tape	ស្កុត	ប្រើស្កុតដើម្បីបិទប្រអប់។
tax	ពន្ធ	មនុស្សគ្រប់គ្នាត្រូវបង់ពន្ធនេះ។
technical	បច្ចេកទេស	យើងមានបញ្ហាបច្ចេកទេស។
technique	បច្ចេកទេស	បច្ចេកទេសនេះចំណេញពេលវេលា។
tend	មានទំនោរ	កុមារមានទំនោររៀនបានលឿន។
tent	តង់	យើងបានដេកនៅក្នុងតង់តូចមួយ។
theirs	របស់ពួកគេ	កង់ពណ៌ខៀវជារបស់ពួកគេ។
theme	ប្រធានបទ	ពិធីជប់លៀងមានប្រធានបទឆ្នេរសមុទ្រ។
theory	ទ្រឹស្តី	ទ្រឹស្តីរបស់គាត់ពន្យល់ពីបញ្ហានេះ។
therefore	ហេតុដូច្នេះ	មេឃភ្លៀងហេតុដូច្នេះហើយយើងបានស្នាក់នៅខាងក្នុង។
though	ទោះបីជា	ទោះបីជាហត់ក៏នាងនៅតែបន្តធ្វើការ។
throat	បំពង់ក	បំពង់ករបស់ខ្ញុំឈឺនៅព្រឹកនេះ។
throughout	ពេញមួយ	មនុស្សម្នាបានរាំពេញមួយល្ងាច។
tight	តឹង	ស្បែកជើងទាំងនេះមានអារម្មណ៍ថាតឹងពេក។
till	រហូតដល់	រង់ចាំនៅទីនេះរហូតដល់ខ្ញុំត្រលប់មកវិញ។
tin	កំប៉ុង	បើកកំប៉ុងសណ្តែកមួយ។
tiny	តូចណាស់	សត្វបក្សីដ៏តូចមួយបានទុំនៅក្បែរនោះ។
toe	ម្រាមជើង	ខ្ញុំឈឺម្រាមជើងម្សិលមិញ។
tongue	អណ្តាត	នាងបានរលាកអណ្តាតដោយសារតែតែ។
total	សរុប	តម្លៃសរុបគឺទាប។
totally	ទាំងស្រុង	ខ្ញុំយល់ទាំងស្រុងពីក្តីបារម្ភរបស់អ្នក។
trade	ពាណិជ្ជកម្ម	ពាណិជ្ជកម្មអន្តរជាតិបង្កើតការងារ។
translate	បកប្រែ	សូមបកប្រែប្រយោគនេះ។
translation	ការបកប្រែ	ការបកប្រែស្តាប់ទៅមានលក្ខណៈធម្មជាតិ។
treat	ប្រព្រឹត្ត	ត្រូវប្រព្រឹត្តចំពោះអ្នករាល់គ្នាដោយការគោរព។
treatment	ការព្យាបាល	អ្នកជំងឺត្រូវការការព្យាបាលនៅថ្ងៃនេះ។
trend	និន្នាការ	និន្នាការនេះកំពុងកើនឡើងនៅទូទាំងពិភពលោក។
trick	ល្បិច	ល្បិចសន្លឹកបៀនោះធ្វើឲ្យខ្ញុំភ្ញាក់ផ្អើល។
truth	ការពិត	សូមប្រាប់ការពិត។
tube	បំពង់	ច្របាច់បំពង់ថ្នមៗ។
typically	ជាធម្មតា	ជាធម្មតាសិស្សមកដល់មុនម៉ោងប្រាំបួន។
tyre	សំបកកង់	ឡាននេះត្រូវការសំបកកង់ថ្មី។
ugly	អាក្រក់	ពណ៌ជញ្ជាំងនោះមើលទៅអាក្រក់ណាស់។
unable	មិនអាច	គាត់មិនអាចឆ្លើយបានទេ។
uncomfortable	មិនស្រួល	កៅអីនេះអង្គុយមិនស្រួលទេ។
underwear	ខោទ្រនាប់	រៀបចំខោទ្រនាប់ស្អាតៗសម្រាប់ការធ្វើដំណើរ។
unemployed	គ្មានការងារធ្វើ	នាងគ្មានការងារធ្វើអស់រយៈពេលពីរខែ។
unemployment	ភាពគ្មានការងារធ្វើ	ភាពគ្មានការងារធ្វើបានកើនឡើងក្នុងរដូវរងា។
unfair	មិនយុត្តិធម៌	ការសម្រេចចិត្តហាក់ដូចជាមិនយុត្តិធម៌ទេ។
union	សហជីព	សហជីពបានស្នើសុំការងារដែលមានសុវត្ថិភាពជាងមុន។
unless	លុះត្រាតែ	កុំចាកចេញលុះត្រាតែខ្ញុំទូរស័ព្ទប្រាប់។
unlike	មិនដូច	មិនដូច Tom ទេ Ana ចូលចិត្តរដូវរងា។
unlikely	ប្រហែលជាមិន	ព្រិលប្រហែលជាមិនធ្លាក់ទេនៅសប្តាហ៍នេះ។
unnecessary	មិនចាំបាច់	កាបូបបន្ថែមគឺមិនចាំបាច់ទេ។
unpleasant	ក្លិនមិនល្អ	បន្ទប់នោះមានក្លិនមិនល្អ។
update	ធ្វើបច្ចុប្បន្នភាព	ខ្ញុំត្រូវធ្វើបច្ចុប្បន្នភាពទូរស័ព្ទរបស់ខ្ញុំ។
upon	កាលពីព្រេងនាយ	កាលពីព្រេងនាយ មានស្តេចមួយអង្គ។
upset	ពិបាកចិត្ត	នាងមានអារម្មណ៍ពិបាកចិត្តបន្ទាប់ពីការហៅទូរស័ព្ទ។
used1	ត្រូវបានប្រើ	បន្ទប់នេះត្រូវបានប្រើសម្រាប់ការប្រជុំ។
used2	ស៊ាំ	ខ្ញុំស៊ាំនឹងការក្រោកពីព្រលឹមហើយ។
valuable	មានតម្លៃ	នាឡិកានេះមានតម្លៃ។
value	តម្លៃ	ផ្ទះនេះបានបាត់បង់តម្លៃកាលពីឆ្នាំមុន។
various	ផ្សេងៗគ្នា	យើងបានសាកល្បងម្ហូបក្នុងស្រុកផ្សេងៗគ្នា។
