source_headword	ML	example_ML
incur	വരുത്തിവയ്ക്കുക	കാലതാമസം അധിക ചെലവുകൾ വരുത്തിവച്ചേക്കാം.
indicator	സൂചിക	തൊഴിലില്ലായ്മ ഒരു സാമ്പത്തിക സൂചികയാണ്.
indictment	കുറ്റപത്രം	കുറ്റപത്രത്തിൽ മൂന്ന് കുറ്റങ്ങൾ രേഖപ്പെടുത്തിയിട്ടുണ്ട്.
indigenous	തദ്ദേശീയമായ	തദ്ദേശീയമായ ചെടികൾ ഇവിടെ നന്നായി വളരുന്നു.
induce	ഉണ്ടാക്കുക	മരുന്ന് ഉറക്കം ഉണ്ടാക്കാൻ സഹായിക്കും.
indulge	മുഴുകുക	അവൾ വിലയേറിയ ശീലങ്ങളിൽ മുഴുകാറില്ല.
inequality	അസമത്വം	വരുമാന അസമത്വം ഒരു പ്രധാന പ്രശ്നമായി തുടരുന്നു.
infamous	കുപ്രസിദ്ധമായ	ആ ജയിൽ ലോകമെമ്പാടും കുപ്രസിദ്ധമായി.
infant	ശിശു	ശിശു തൊട്ടിലിൽ ഉറങ്ങി.
infect	ബാധിക്കുക	വൈറസിന് ആരോഗ്യകരമായ കോശങ്ങളെ ബാധിക്കാൻ കഴിയും.
inflict	ഏൽപ്പിക്കുക	മൃഗങ്ങളെ വേദനിപ്പിക്കരുത്.
influential	സ്വാധീനമുള്ള	അവൾ സ്വാധീനമുള്ള ഒരു നിയമ പണ്ഡിതയാണ്.
inherent	അന്തർലീനമായ	രൂപകൽപ്പനയ്ക്ക് അന്തർലീനമായ അപകടസാധ്യതകളുണ്ട്.
inhibit	തടസ്സപ്പെടുത്തുക	ഭയം സത്യസന്ധമായ ചർച്ചയെ തടസ്സപ്പെടുത്തും.
initiate	ആരംഭിക്കുക	മാനേജർ അവലോകനം ആരംഭിക്കും.
inject	കുത്തിവയ്ക്കുക	നഴ്സ് വാക്സിൻ കുത്തിവയ്ക്കും.
injection	കുത്തിവയ്പ്പ്	കുത്തിവയ്പ്പ് വേദന കുറച്ചു.
injustice	അനീതി	വിധി വ്യക്തമായ അനീതി വെളിപ്പെടുത്തി.
inmate	തടവുകാരൻ	തടവുകാരൻ നിയമോപദേശം ആവശ്യപ്പെട്ടു.
insertion	ഉൾപ്പെടുത്തൽ	ഫോമിൽ ഒരു വാചകം ഉൾപ്പെടുത്തേണ്ടതുണ്ട്.
insider	ഉള്ളിലെയാൾ	സ്ഥാപനത്തിനുള്ളിലെ ഒരാൾ റിപ്പോർട്ട് ചോർത്തി.
