source_headword	ID	example_ID
abandon	meninggalkan	Mereka meninggalkan rencana itu kemarin.
absolute	mutlak	Kita membutuhkan kejujuran mutlak di sini.
acceptable	dapat diterima	Jawabannya dapat diterima.
accompany	menemani	Saudara laki-lakinya menemani dia pulang.
accurate	akurat	Laporan itu tampak akurat.
accuse	menuduh	Mereka menuduh dia berbohong.
acknowledge	mengakui	Tolong akui kesalahan itu.
acquire	memperoleh	Dia memperoleh keterampilan baru dengan cepat.
actual	sebenarnya	Biaya sebenarnya lebih rendah.
adapt	beradaptasi	Kami beradaptasi dengan perubahan itu.
additional	tambahan	Bantuan tambahan tiba hari ini.
administration	administrasi	Administrasi mengubah kebijakan itu.
adopt	mengadopsi	Mereka mengadopsi metode baru.
advance	kemajuan	Kami membuat sedikit kemajuan.
affair	urusan	Urusan itu merusak kepercayaan publik.
afterwards	setelah itu	Setelah itu, semua orang merasa tenang.
agency	agensi	Agensi itu mempekerjakan tiga penerjemah.
agenda	agenda	Keamanan ada dalam agenda.
aggressive	agresif	Nadanya terdengar agresif.
aid	bantuan	Bantuan medis tiba dengan cepat.
aircraft	pesawat	Pesawat itu mendarat dengan aman.
alter	mengubah	Jangan mengubah perjanjian itu.
anger	kemarahan	Kemarahannya mengejutkan semua orang.
angle	sudut	Coba sudut kamera lain.
anniversary	hari jadi	Hari jadi mereka besok.
annual	tahunan	Rapat tahunan dimulai hari Senin.
anxious	cemas	Dia merasa cemas sebelum operasi.
apparent	jelas	Kekecewaannya jelas.
apparently	rupanya	Rupanya kereta terlambat.
appeal	banding	Keputusan itu mungkin menghadapi banding.
approach	pendekatan	Pendekatannya menyelesaikan masalah.
appropriate	tepat	Pilih tanggapan yang tepat.
approval	persetujuan	Proyek itu membutuhkan persetujuan.
approve	menyetujui	Dewan menyetujui anggaran.
arise	muncul	Masalah mungkin muncul nanti.
armed	bersenjata	Para penjaga bersenjata berdiri di luar.
arms	senjata	Mereka meletakkan senjata mereka.
artificial	buatan	Bunga-bunga itu tampak buatan.
artistic	artistik	Dia memiliki bakat artistik.
ashamed	malu	Dia merasa malu setelah itu.
aspect	aspek	Pertimbangkan setiap aspek dengan hati-hati.
assess	menilai	Kita harus menilai kerusakan.
assessment	penilaian	Penilaian itu memakan waktu dua jam.
associate	mengaitkan	Orang mengaitkan asap dengan bahaya.
associated	terkait	Stres terkait dengan penyakit.
association	asosiasi	Asosiasi itu mendukung seniman muda.
assume	menganggap	Saya menganggap Anda setuju.
attempt	percobaan	Percobaan pertamanya gagal.
bacteria	bakteri	Bakteri dapat menyebar dengan cepat.
barrier	penghalang	Bahasa menjadi penghalang.
basically	pada dasarnya	Pada dasarnya, kita membutuhkan lebih banyak waktu.
bear (deal with)	menahan	Saya tidak tahan dengan kebisingan ini.
beg	memohon	Tolong memohon bantuan.
being	makhluk	Setiap makhluk membutuhkan air.
bent	bengkok	Batang logam itu bengkok.
bet	bertaruh	Saya bertaruh dia tahu.
beyond	di seberang	Desa itu terletak di seberang sungai.
bitter	pahit	Obat itu terasa pahit.
blame	menyalahkan	Jangan menyalahkan pengemudi.
blind	buta	Dia menjadi buta saat masih muda.
