simplified	SL	example_SL
挨	zdržati	Vso noč je zdržal in končno dočakal zoro.
癌症	rak	Zgodnje odkritje raka je zelo pomembno.
暧昧	dvoumen	Njegov odgovor je bil zelo dvoumen.
爱不释手	ne moči odložiti	Knjiga ji je bila tako všeč, da je skoraj ni mogla odložiti.
爱戴	spoštovati in ljubiti	Tega učitelja učenci zelo spoštujejo.
安宁	miren	Noči so tukaj zelo mirne.
安详	spokojen	Starčev izraz je bil zelo spokojen.
安置	namestiti	Vlada je namestila ljudi, ki jih je prizadela nesreča.
按摩	masaža	Rezerviral sem masažo.
暗示	namigniti	Namignila mi je, naj ne sprašujem več.
案件	primer	Policija preiskuje ta primer.
案例	študija primera	Ta primer je zelo reprezentativen.
昂贵	drag	Ta oprema je zelo draga.
凹凸	neraven	Površina te ceste je neravna.
熬	prestati	Po treh napornih dneh je končno dokončal poročilo.
奥秘	skrivnost	Znanstvenik želi razkriti to skrivnost.
巴不得	komaj čakati	Komaj čakam, da takoj odidem.
巴结	prilizovati se	Noče se prilizovati nadrejenim.
扒	držati se	Otrok se je držal vrat in gledal ven.
疤	brazgotina	Na roki ima brazgotino.
拔苗助长	prehitevati stvari	Takšno siljenje otroka k učenju samo prehiteva stvari.
把关	preverjati	To pogodbo mora preveriti odvetnik.
把手	kljuka	Kljuka na vratih je pokvarjena.
罢工	stavkati	Delavci so se odločili, da bodo jutri stavkali.
霸道	oblasten	Govori preveč oblastno.
掰	prelomiti	Kruh je prelomila na dve polovici.
摆脱	znebiti se	Končno se je znebil slabe navade.
拜访	obiskati	Ob koncu tedna bomo obiskali učitelja.
拜年	voščiti novo leto	Med Pomladnim praznikom gremo starim staršem voščit novo leto.
拜托	prositi	Pri tej stvari računam nate.
败坏	škodovati	Takšno vedenje bo škodovalo ugledu podjetja.
斑	madež	Na mački je črn madež.
颁布	razglasiti	Nova pravila bodo razglašena prihodnji teden.
颁发	podeliti	Šola je odličnim učencem podelila priznanja.
版本	različica	Ta programska oprema ima novo različico.
伴侣	spremljevalec	Psa ima za svojega spremljevalca.
伴随	spremljati	Uspeh pogosto spremlja pritisk.
半途而废	odnehati na pol poti	Pri raziskovanju ne smeš odnehati na pol poti.
扮演	igrati	V filmu igra zdravnika.
榜样	vzor	Starši so otrokom vzor.
绑架	ugrabitev	Policija je preprečila ugrabitev.
磅	funt	Ta škatla tehta dvajset funtov.
包庇	kriti	Nihče ne sme kriti zločina.
包袱	breme	Ko je odložil breme, se je počutil veliko lažje.
包围	obkrožiti	Novinarji so obkrožili igralca.
包装	embalaža	Embalaža tega darila je zelo lepa.
保管	hraniti	Te dokumente hranim jaz.
保密	ohraniti zaupno	Vsebina sestanka mora ostati zaupna.
保姆	varuška	Najeli so varuško.
保守	konservativen	Njegove ideje so precej konservativne.
保卫	braniti	Vojaki branijo mejo.
保养	vzdrževanje	Ta avto potrebuje redno vzdrževanje.
保障	zaščititi	Zakon ščiti pravice državljanov.
保重	pazi nase	Ko boš zdoma, pazi nase.
饱和	nasičenost	Ta trg je že blizu nasičenosti.
饱经沧桑	preživeti mnoge preizkušnje	Ta starec je preživel mnogo stisk in sprememb.
报酬	plačilo	Dobil je razumno plačilo.
报仇	maščevati se	Noče se maščevati, želi le začeti znova.
报答	oddolžiti se	Za tvojo pomoč se bom oddolžil z dejanji.
报复	maščevanje	Maščevanje bo spor samo poglobilo.
报警	poklicati policijo	Ko odkriješ požar, moraš takoj poklicati policijo.
报销	povrniti stroške	Potni stroški se lahko povrnejo.
抱负	ambicija	Od otroštva ima velike ambicije.
暴力	nasilje	Nasprotujemo vsaki obliki nasilja.
暴露	razkriti	Ta težava se je postopoma razkrila.
曝光	objava	Po objavi fotografije je pritegnila pozornost.
爆发	izbruhniti	Vulkan je nenadoma izbruhnil.
爆炸	eksplozija	V laboratoriju se je zgodila eksplozija.
卑鄙	podel	Takšen podel pristop vzbuja jezo.
悲哀	žalosten	Ko je slišal novico, se je počutil zelo žalostno.
悲惨	tragičen	To je bilo tragično obdobje zgodovine.
北极	Arktika	Znanstveniki izvajajo raziskave na Arktiki.
备份	varnostna kopija	Prosim, najprej naredi varnostno kopijo pomembnih datotek.
备忘录	opomnik	Ključne točke si je zapisala v opomnik.
背叛	izdaja	Ni mogel sprejeti prijateljeve izdaje.
背诵	recitirati na pamet	Učenci recitirajo besedilo na pamet.
被动	pasiven	Pri pogajanjih ne smemo biti preveč pasivni.
被告	obtoženec	Obtoženec je zanikal vse obtožbe.
贝壳	školjka	Otrok je na obali nabiral školjke.
奔波	hiteti sem in tja	Zaradi dela ves čas hiti sem in tja.
奔驰	drveti	Avto je drvel po avtocesti.
本能	nagon	Varovanje otroka je starševski nagon.
本钱	kapital	Za poslovanje je potreben kapital.
本人	osebno	Osebno sem pripravljen prevzeti odgovornost.
本身	sam po sebi	S samim načrtom ni težav.
本事	sposobnost	Je zelo sposoben.
笨拙	neroden	Njegovi gibi so nekoliko nerodni.
崩溃	zrušiti se	Sistem se je nenadoma zrušil.
甭	ni treba	Za to zadevo ti ni treba skrbeti.
蹦	poskakovati	Kužek je poskakoval po travi.
迸发	izbruhniti	Iz množice je izbruhnil aplavz.
逼迫	prisiliti	Prisilili so ga, da podpiše pogodbo.
鼻涕	izcedek iz nosu	Otrok je prehlajen in mu ves čas teče iz nosa.
比方	na primer	Na primer, najprej lahko poskusimo en mesec.
比喻	metafora	Ta metafora je zelo nazorna.
比重	delež	Delež storitvenega sektorja je vse večji.
鄙视	prezirati	Ne preziraj truda drugih ljudi.
弊病	pomanjkljivost	Ta sistem ima precej pomanjkljivosti.
弊端	slabost	Novi načrt je odpravil slabosti starega sistema.
臂	roka	Poškodoval si je desno roko.
闭塞	izoliran	Promet v tej gorski vasi je bil nekoč zelo izoliran.
编织	plesti	Babica plete pulover.
边疆	obmejno območje	Številni vojaki varujejo obmejna območja domovine.
边界	meja	Državi sta ponovno določili mejo.
边境	obmejno območje	Na obmejnih območjih so okrepili varnostne preglede.
边缘	rob	Skodelica je postavljena na rob mize.
鞭策	spodbujati	Učiteljeve besede so me vedno spodbujale.
扁	ploščat	Ta škatla je široka in ploščata.
贬低	omalovaževati	Ne omalovažuj kar tako truda drugih.
贬义	slabšalni pomen	Ta beseda ima tukaj slabšalni pomen.
便利	priročen	Metro naredi potovanje bolj priročno.
便条	listek	Na mizi je pustil listek.
