source_headword	SW	example_SW
toss	kutupa	Alitupa funguo kwenye meza.
total	kufikia jumla	Matengenezo yamefikia jumla kubwa kuliko ilivyotarajiwa.
toxic	-enye sumu	Moshi wenye sumu uliwalazimu wote kwenda nje.
trademark	alama ya biashara	Nembo hiyo ikawa alama ya biashara ya kampuni.
trail	njia	Njia ilipitia msituni.
trailer	kionjo	Kionjo kilionyesha mwisho wa filamu.
transaction	muamala	Muamala ulionekana kwenye taarifa yangu ya benki.
transcript	nakala ya matokeo	Mwanafunzi aliomba nakala rasmi ya matokeo.
transformation	mabadiliko	Jiji lilishuhudia mabadiliko makubwa.
transit	usafirishaji	Kifurushi kiliharibiwa wakati wa usafirishaji.
transmission	usambazaji	Usambazaji wa data ulikuwa salama.
transparency	uwazi	Ripoti ilitaka uwazi zaidi.
transparent	wazi	Mchakato unapaswa kuwa wazi kwa kila mtu.
trauma	kiwewe	Ajali iliacha kiwewe kirefu.
treaty	mkataba	Nchi hizo zilitia saini mkataba wa amani.
tremendous	kubwa sana	Timu ilipiga hatua kubwa sana.
tribal	-a kikabila	Jumba la makumbusho lilionyesha sanaa za kikabila.
tribunal	baraza la mahakama	Baraza la mahakama lilisikiliza ushahidi wiki nzima.
tribute	heshima	Tamasha lilikuwa heshima kwake.
trio	watatu	Watatu hao walitumbuiza kwenye tamasha.
triumph	ushindi	Ushindi huo ulikuwa ushindi binafsi.
trophy	kombe	Nahodha aliinua kombe kwa fahari.
troubled	-enye matatizo	Kampuni yenye matatizo ilihitaji uongozi mpya.
trustee	mdhamini	Mdhamini anasimamia mfuko wa udhamini.
tuition	karo	Karo yake iliongezeka mwaka huu.
turnout	mahudhurio	Mahudhurio ya wapigakura yalikuwa juu kuliko ilivyotarajiwa.
turnover	upotevu wa wafanyakazi	Upotevu wa wafanyakazi ulipungua baada ya mabadiliko.
twist	kuzungusha	Alizungusha mfuniko ukafunguka.
undergraduate	mwanafunzi wa shahada ya kwanza	Mwanafunzi wa shahada ya kwanza alijiunga na mradi wa utafiti.
underlying	-a msingi	Ripoti ilielezea sababu za msingi.
undermine	kudhoofisha	Kashfa ilidhoofisha imani ya umma.
undoubtedly	bila shaka	Yeye bila shaka ndiye mgombea bora.
unify	kuunganisha	Mpango unalenga kuunganisha timu.
unprecedented	-isiyo na kifani	Dhoruba ilisababisha uharibifu usio na kifani.
unveil	kuzindua	Kampuni itazindua muundo huo kesho.
upcoming	-ajayo	Uchaguzi ujao ulivuta hisia za umma.
upgrade	kuboresha	Tuliboresha programu usiku uliopita.
uphold	kushikilia	Tunashikilia uamuzi wa awali.
utility	huduma	Nyumba inajumuisha gharama zote za huduma.
utilize	kutumia	Timu ilitumia data zilizokuwepo.
utterly	kabisa	Maelezo yalichanganya kabisa.
vacuum	ombwe	Ombwe katika uongozi lilileta mvutano.
vague	isiyoeleweka	Jibu lake lilikuwa lisiloeleweka na dhaifu.
validity	uhalali	Utafiti ulitilia shaka uhalali wa jaribio.
vanish	kutoweka	Faili lilitoweka kutoka kwenye folda.
variable	kigezo	Bei ni kigezo kimoja muhimu.
varied	mbalimbali	Kozi inatoa kazi mbalimbali.
vein	mshipa	Muuguzi alipata mshipa haraka.
venture	mradi	Biashara mpya ilivutia wawekezaji.
verbal	-a maneno	Walifikia makubaliano ya maneno.
verdict	uamuzi	Baraza la majaji lilitoa uamuzi wake.
verify	kuthibitisha	Tafadhali thibitisha barua pepe yako.
verse	ubeti	Alinukuu ubeti kutoka kwenye shairi.
versus	dhidi ya	Mjadala ulikuwa faragha dhidi ya usalama.
vessel	chombo	Chombo hicho kilibeba nafaka kuvuka bahari.
veteran	mkongwe	Mkongwe alitoa mafunzo kwa wafanyakazi wapya.
viable	-inayowezekana	Pendekezo linawezekana kifedha.
vibrant	-changamfu	Jiji lina mazingira changamfu ya sanaa.
vice	uovu	Tamaa ilikuwa uovu wake mkubwa zaidi.
vicious	-katili	Shambulio katili lilishtua mji.
villager	mwanakijiji	Mwanakijiji alituongoza hadi mtoni.
violate	kukiuka	Kampuni inaweza kukiuka sheria za usalama.
violation	ukiukaji	Mkaguzi aliripoti ukiukaji mkubwa.
virtue	fadhila	Uvumilivu ni fadhila muhimu.
vocal	-enye kutoa maoni waziwazi	Alitoa maoni waziwazi kuhusu uamuzi huo.
vow	kuapa	Aliapa kumaliza kazi hiyo.
vulnerability	udhaifu	Ukaguzi ulibaini udhaifu wa kiusalama.
vulnerable	-liyo hatarini	Watoto wako hatarini wakati wa joto kali.
ward	wodi	Mgonjwa alihamia wodi nyingine.
warehouse	ghala	Ghala huhifadhi vipuri.
warfare	vita	Vita vya kisasa vinategemea teknolojia.
warrant	hati	Polisi walionyesha hati ya upekuzi.
warrior	shujaa	Shujaa alilinda kijiji.
weaken	kudhoofisha	Jeraha lilidhoofisha mshiko wake.
weave	kusuka	Alijifunza kusuka vikapu.
weed	gugu	Gugu liliota kati ya mawe.
well	kisima	Kisima cha kijiji kilikauka.
well-being	ustawi	Usingizi ni muhimu kwa ustawi.
whatsoever	hata kidogo	Hakuonyesha nia yoyote hata kidogo.
whereby	ambapo	Sheria iliunda mfumo ambapo familia zingeweza kukata rufaa.
whilst	wakati	Alifanya kazi wakati yeye alipumzika.
whip	kutikisa kwa nguvu	Upepo unaweza kupepea bendera kwa nguvu.
wholly	kabisa	Uamuzi ulikuwa haukutarajiwa kabisa.
widen	kupanua	Jiji linapanga kupanua barabara.
widow	mjane	Mjane huyo anaishi karibu na shule.
width	upana	Pima upana wa mlango.
willingness	utayari	Utayari wake wa kusaidia ulivutia kila mtu.
wipe	kufuta	Futa kioo kwa kitambaa.
wit	ucheshi	Ucheshi wake uliifanya hotuba iwe na uhai.
withdrawal	uondoaji	Uondoaji wa fedha ulichelewesha mradi.
workout	mazoezi	Mazoezi yalichukua dakika arobaini.
worship	ibada	Watu walikusanyika kwa ibada alfajiri.
worthwhile	-enye manufaa	Safari ilikuwa ya manufaa.
worthy	-nayanostahili	Shirika la msaada linastahili msaada.
yell	kupiga kelele	Usipigie wafanyakazi kelele.
yield	mavuno	Mavuno ya shamba yaliboreka msimu huu.
youngster	kijana	Kijana huyo aliuliza maswali mengi.
