simplified	IT	example_IT
爱情	l'amore romantico; l'amore	Questa è una storia d'amore commovente.
安排	organizzare; pianificare; il programma	Che programmi hai per questo fine settimana?
安全	sicuro; la sicurezza	Per favore, fai attenzione.
按时	in orario; puntualmente	Ho completato il compito in orario.
按照	secondo; in base a	Questo piano è molto buono; seguilo semplicemente.
百分之	la percentuale; per cento	L'ottanta per cento del compito è completato.
棒	fantastico; ottimo	La tua calligrafia è fantastica.
包子	il baozi; il panino ripieno al vapore	I baozi di questo ristorante sono molto buoni.
保护	proteggere; difendere	Le persone devono proteggere l'ambiente.
保证	garantire; promettere; la garanzia	Prometto che non arriverò più in ritardo.
报名	iscriversi; registrarsi	Quali materiali servono per l'iscrizione?
抱	abbracciare; tenere in braccio	Lui ha preso in braccio il bambino.
抱歉	mi dispiace; scusarsi	Mi dispiace molto averti fatto aspettare così a lungo.
倍	la volta; il doppio	Il numero di studenti internazionali della nostra scuola è raddoppiato rispetto all'anno scorso.
本来	originariamente; in principio	Volevo andare a vedere lo spettacolo, ma all'improvviso è successo qualcosa.
笨	stupido; maldestro	Non sei stupido, devi solo impegnarti di più.
比如	per esempio; come	Ho molti hobby, per esempio nuotare e leggere.
毕业	laurearsi; diplomarsi; la laurea	Quest'anno sono al terzo anno e mi laureerò l'anno prossimo.
遍	la volta; un giro	Lui ha ripetuto la questione un'altra volta.
标准	lo standard; standard	Il tuo mandarino è molto standard.
表格	il modulo; la tabella	Per favore, scrivi il tuo nome sul modulo.
表示	esprimere; mostrare; significare	Per favore, ringrazialo.
表演	lo spettacolo; esibirsi	Che spettacolo presenterai?
表扬	lodare; l'elogio	Il preside lo elogia spesso.
饼干	il biscotto; il cracker	Ho comprato dei biscotti; mangiamone un po'.
并且	e inoltre; inoltre	Lei è molto intelligente e inoltre lavora sodo.
博士	il dottore; il dottorato	Permettetemi di presentarvi: questo è il dottor Li.
不过	però; tuttavia; solo	Lui è eccellente, però non soddisfa i requisiti di assunzione dell'azienda.
不得不	dovere; non avere altra scelta che	Fuori piove molto forte, quindi devo restare a casa.
不管	non importa; indipendentemente da	Non importa che tempo faccia, devo salire sulla montagna.
不仅	non solo	Non solo sono stato in quella città, ma ci sono stato molte volte.
部分	la parte; la sezione	La parte più importante dell'articolo è il terzo paragrafo.
擦	pulire; strofinare; cancellare	Ho già pulito le finestre.
猜	indovinare	Indovina che regalo di compleanno ho preparato per te.
材料	il materiale; i dati	Quali materiali servono per l'iscrizione?
