source_headword	SW	example_SW
heal	kupona	Kupumzika husaidia mwili kupona.
healthcare	huduma za afya	Gharama za huduma za afya zilipanda mwaka huu.
helmet	kofia ya chuma	Vaa kofia ya chuma kwenye baiskeli.
hence	kwa hivyo	Kwa hivyo, tulibadilisha ratiba.
herb	mmea	Mrehani ni mmea muhimu.
hidden	iliyofichwa	Ufunguo ulikuwa umefichwa chini ya mkeka.
highway	barabara kuu	Barabara kuu ilifungwa baada ya theluji.
hilarious	ya kuchekesha sana	Filamu ilikuwa ya kuchekesha sana.
hip	nyonga	Aliumia nyonga wakati wa mazoezi.
historian	mwanahistoria	Mwanahistoria alisoma barua za zamani.
homeless	wasio na makazi	Kituo cha kulelea husaidia familia zisizo na makazi.
honesty	uaminifu	Uaminifu hujenga imani.
hook	kulabu	Tundika koti kwenye kulabu.
hopefully	kwa matumaini	Kwa matumaini, treni itafika hivi karibuni.
hunger	njaa	Njaa inaweza kuathiri umakini.
hypothesis	nadharia	Jaribio lilipima nadharia.
icon	ikoni	Ikoni ya programu imebadilika leo.
ID	kitambulisho	Onyesha kitambulisho chako kwenye mapokezi.
identical	inayofanana	Mapacha walivaa jaketi zinazofanana.
illusion	udanganyifu wa macho	Kioo huunda udanganyifu wa macho.
immigration	uhamiaji	Sera ya uhamiaji ilibadilika mwaka jana.
immune	kinga	Chanjo inaweza kuwapa watu kinga.
implement	kutekeleza	Shule itatekeleza sera hiyo.
implication	athari	Athari ilikuwa wazi.
incentive	motisha	Ziada iliwapa wafanyakazi motisha.
incorporate	kujumuisha	Jumuisha mboga zaidi kwenye milo.
incorrect	isiyo sahihi	Jibu lilikuwa sio sahihi.
independence	uhuru	Nchi ilisherehekea uhuru.
index	faharasa	Angalia faharasa kwa ajili ya mada.
indication	dalili	Tabasamu ilikuwa dalili ya faraja.
inevitable	isiyoepukika	Ucheleweshaji fulani ulikuwa hauepukiki.
inevitably	bila kuepukika	Bila kuepukika, bei zilipanda baada ya uhaba.
infer	kuhitimisha	Tunaweza kuhitimisha jibu kutokana na muktadha.
inflation	mfumuko wa bei	Mfumuko wa bei uliongeza bei za chakula.
info	maelezo	Tovuti inaorodhesha maelezo muhimu.
infrastructure	miundombinu	Dhoruba iliharibu miundombinu ya eneo hilo.
inhabitant	mkazi	Kila mkazi alipokea maji safi.
inherit	kurithi	Atarithi nyumba ya familia.
ink	wino	Printa inahitaji wino mweusi.
innovation	ubunifu	Ubunifu unasukuma sekta mbele.
innovative	ya kibunifu	Kampuni ilizindua bidhaa ya kibunifu.
input	maoni	Meneja aliomba maoni.
insert	kuingiza	Ingiza kadi kwenye mashine.
inspector	mkaguzi	Mkaguzi alikagua jengo.
installation	usakinishaji	Usakinishaji ulichukua saa mbili.
instant	ya papo hapo	Programu ilituma jibu la papo hapo.
instantly	mara moja	Skrini iliwaka mara moja.
integrate	kuunganisha	Programu inaweza kuunganisha zana mpya.
intellectual	ya kiakili	Mjadala ulikuwa wa kiakili lakini wa kirafiki.
interact	kutangamana	Wanafunzi hutangamana wakati wa kazi za kikundi.
interaction	mwingiliano	Mwingiliano ulikuwa wa heshima.
interpretation	tafsiri	Tafsiri yake ya shairi ilikuwa ya asili.
interval	muda wa mapumziko	Kulikuwa na muda mfupi wa mapumziko kati ya maonyesho.
invade	kuvamia	Jeshi lilijaribu kuvamia kisiwa hicho.
invasion	uvamizi	Uvamizi uliharibu miji mingi.
investor	mwekezaji	Mwekezaji alifadhili kampuni mpya.
isolate	kutenga	Madaktari huwatenga wagonjwa wenye maambukizo makali.
isolated	iliyotengwa	Kijiji kilitengwa na theluji.
jail	jela	Mwizi alienda jela.
jet	ndege ya jeti	Ndege ya jeti ilitua mchana.
joint	ya pamoja	Walitangaza mradi wa pamoja.
