source_headword	KM	example_KM
absolutely	ទាំងស្រុង	ខ្ញុំយល់ព្រមជាមួយអ្នកទាំងស្រុង។
academic	សិក្សាស្រាវជ្រាវ	ឆ្នាំសិក្សាចាប់ផ្តើមនៅខែកញ្ញា។
access	ការចូលប្រើ	សិស្សត្រូវការការចូលប្រើបណ្ណាល័យ។
accommodation	កន្លែងស្នាក់នៅ	យើងបានកក់កន្លែងស្នាក់នៅជិតស្ថានីយ។
account	គណនី	នាងបានបើកគណនីធនាគារថ្មី។
achievement	សមិទ្ធិផល	ការបញ្ចប់វគ្គសិក្សាជាសមិទ្ធិផលធំ។
ad	ការផ្សាយពាណិជ្ជកម្ម	ការផ្សាយពាណិជ្ជកម្មបង្ហាញទូរស័ព្ទថ្មី។
addition	ការបន្ថែម	អាងហែលទឹកជាការបន្ថែមមានប្រយោជន៍។
admire	កោតសរសើរ	ខ្ញុំកោតសរសើរអាកប្បកិរិយាស្ងប់ស្ងាត់របស់នាង។
admit	ទទួលស្គាល់	គាត់ទទួលស្គាល់កំហុសរបស់គាត់។
advanced	កម្រិតខ្ពស់	នេះជាថ្នាក់អង់គ្លេសកម្រិតខ្ពស់។
advise	ផ្តល់ដំបូន្មាន	គ្រូពេទ្យផ្តល់ដំបូន្មានឱ្យហាត់ប្រាណជាទៀងទាត់។
afford	មានលទ្ធភាព	យើងមិនមានលទ្ធភាពជិះតាក់ស៊ីទេ។
aged	មានអាយុ	វគ្គនេះសម្រាប់កុមារមានអាយុដប់ឆ្នាំ។
agent	ភ្នាក់ងារ	ភ្នាក់ងារទេសចរណ៍បានប្តូរសំបុត្ររបស់យើង។
agreement	កិច្ចព្រមព្រៀង	ពួកគេបានឈានដល់កិច្ចព្រមព្រៀងថ្ងៃនេះ។
ahead	ខាងមុខ	ផ្លូវខាងមុខច្បាស់លាស់។
aim	មានគោលបំណង	យើងមានគោលបំណងបញ្ចប់ឆាប់ៗ។
alarm	នាឡិការោទិ៍	នាឡិការោទិ៍រោទ៍នៅម៉ោងប្រាំមួយ។
album	អាល់ប៊ុម	អាល់ប៊ុមនេះមានបទចម្រៀងដប់បទ។
alcohol	គ្រឿងស្រវឹង	សណ្ឋាគារមិនលក់គ្រឿងស្រវឹងទេ។
alcoholic	មានជាតិអាល់កុល	ភេសជ្ជៈនេះមិនមានជាតិអាល់កុលទេ។
amazed	ភ្ញាក់ផ្អើលខ្លាំង	នាងភ្ញាក់ផ្អើលខ្លាំងដោយសារលទ្ធផល។
ambition	មហិច្ឆតា	មហិច្ឆតារបស់គាត់គឺក្លាយជាអ្នកបើកយន្តហោះ។
ambitious	មានមហិច្ឆតា	នាងមានផែនការមានមហិច្ឆតា។
analyse	វិភាគ	យើងត្រូវវិភាគលទ្ធផល។
analysis	ការវិភាគ	ការវិភាគរបស់នាងច្បាស់និងប្រុងប្រយ័ត្ន។
announce	ប្រកាស	ពួកគេនឹងប្រកាសអ្នកឈ្នះថ្ងៃស្អែក។
announcement	សេចក្តីប្រកាស	សេចក្តីប្រកាសធ្វើឱ្យគ្រប់គ្នាភ្ញាក់ផ្អើល។
annoy	រំខាន	តន្ត្រីខ្លាំងអាចរំខានអ្នកជិតខាង។
annoyed	រំខានចិត្ត	គាត់មើលទៅរំខានចិត្តបន្ទាប់ពីការយឺតយ៉ាវ។
annoying	គួរឱ្យរំខាន	សំឡេងនោះគួរឱ្យរំខានណាស់។
apart	ដាច់ពីគ្នា	ផ្ទះទាំងនោះនៅដាច់ពីគ្នាពីរម៉ែត្រ។
apologize	សុំទោស	ខ្ញុំសុំទោសចំពោះការមកយឺត។
application	ពាក្យសុំ	សូមបំពេញពាក្យសុំតាមអ៊ីនធឺណិត។
appointment	ការណាត់ជួប	ខ្ញុំមានការណាត់ជួបពេទ្យធ្មេញថ្ងៃស្អែក។
appreciate	ដឹងគុណ	ខ្ញុំដឹងគុណចំពោះជំនួយរបស់អ្នក។
approximately	ប្រហែល	ការដើរចំណាយពេលប្រហែលម្ភៃនាទី។
arrest	ចាប់ខ្លួន	ប៉ូលិសបានចាប់ខ្លួនអ្នកបើកបរ។
arrival	ការមកដល់	ការមកដល់របស់យើងយឺតជាងដែលរំពឹងទុក។
assignment	កិច្ចការដែលបានចាត់	កិច្ចការដែលបានចាត់ត្រូវប្រគល់ថ្ងៃសុក្រ។
assist	ជួយ	គិលានុបដ្ឋាយិកាជួយគ្រូពេទ្យ។
atmosphere	បរិយាកាស	ហាងកាហ្វេមានបរិយាកាសសម្រាកស្រួល។
attach	ភ្ជាប់	ភ្ជាប់ឯកសារទៅអ៊ីមែលរបស់អ្នក។
attitude	អាកប្បកិរិយា	អាកប្បកិរិយារបស់នាងបានផ្លាស់ប្តូរបន្ទាប់ពីកិច្ចប្រជុំ។
attract	ទាក់ទាញ	ផ្កាពណ៌ភ្លឺទាក់ទាញឃ្មុំ។
attraction	កន្លែងទាក់ទាញ	ប្រាសាទនេះជាកន្លែងទាក់ទាញពេញនិយម។
authority	អាជ្ញាធរ	អាជ្ញាធរមូលដ្ឋានបានជួសជុលផ្លូវ។
