strengthen	The new policy will strengthen online safety.
strictly	Tickets are strictly limited to two per person.
striking	The painting has striking colors.
stroke	She painted one stroke across the paper.
stunning	The mountain view was stunning.
subsequent	The subsequent meeting confirmed the budget.
subsequently	The road closed; subsequently, traffic moved slowly.
suburb	They live in a quiet suburb.
suffering	The medicine reduced his suffering.
sufficient	The team has sufficient time.
sufficiently	The room is sufficiently warm.
super	The new tablet is super fast.
surgeon	The surgeon repaired the damaged knee.
survival	Clean water is essential for survival.
survivor	The survivor described the flood.
suspend	The school may suspend the trip.
sustainable	The farm uses sustainable methods.
swallow	Swallow the tablet with water.
sympathetic	The manager was sympathetic to her problem.
tackle	We need to tackle the housing problem.
tag	The bag had a price tag.
tap	She turned off the tap.
technological	Technological change affects every workplace.
teens	Many teens use social media daily.
temple	The temple stood near the river.
temporarily	The office is temporarily closed.
tendency	He has a tendency to arrive late.
tension	Tension rose during the discussion.
terms	The contract terms were clear.
terribly	The child was terribly upset.
terrify	Loud noises terrify the dog.
territory	The map shows the new territory.
terror	Terror spread after the attack.
terrorism	Terrorism threatens public safety.
terrorist	Police arrested the terrorist yesterday.
testing	Product testing starts on Monday.
textbook	She forgot her biology textbook.
theft	Theft increased in the area.
therapist	The therapist helped him manage anxiety.
thesis	Her thesis examines online learning.
thorough	A thorough review found no errors.
thoroughly	Clean the wound thoroughly.
thumb	He raised his thumb to signal approval.
timing	The timing of the call was perfect.
tissue	She wiped the glass with tissue.
ton	The truck carried one ton of sand.
tonne	The shipment weighed one tonne.
tournament	The tennis tournament starts tomorrow.
trace	Scientists can trace the virus source.
trading	Stock trading stopped at noon.
tragedy	The accident was a terrible tragedy.
tragic	The crash had tragic consequences.
trait	Patience is a useful trait.
transmit	Mosquitoes can transmit disease.
transportation	Public transportation is crowded today.
trap	The box can trap insects safely.
treasure	The old chest held treasure.
tribe	The tribe protected its traditions.
trigger	Smoke can trigger the alarm.
trillion	The debt reached one trillion dollars.
troop	The troop moved toward the border.
tsunami	The tsunami destroyed coastal homes.
ultimate	The ultimate goal is peace.
unacceptable	The delay was unacceptable to passengers.
uncertainty	Uncertainty made investors nervous.
undergo	The patient will undergo surgery tomorrow.
undertake	The team will undertake a survey.
unfold	The drama began to unfold slowly.
unfortunate	The error was unfortunate but fixable.
unite	The leaders tried to unite the party.
unity	The speech called for national unity.
universal	The app uses a universal design.
urgent	The hospital received an urgent call.
usage	The guide explains correct usage.
useless	The broken charger is useless.
valid	Your passport is still valid.
variation	There is wide variation in prices.
vertical	The chart has a vertical axis.
viewpoint	Her viewpoint changed after the debate.
visa	He applied for a student visa.
visible	The sign is visible from here.
voluntary	The course includes voluntary workshops.
voting	Early voting begins next week.
wander	Tourists wander through the old market.
warming	Global warming affects sea levels.
weekly	The team holds a weekly meeting.
weird	The noise sounded weird.
welfare	The program supports child welfare.
wheat	The farmer grows wheat.
whoever	Whoever arrives first should wait outside.
widespread	The storm caused widespread damage.
wisdom	Her grandmother shared practical wisdom.
withdraw	He decided to withdraw his application.
workforce	The workforce needs new skills.
workplace	The workplace has clear safety rules.
workshop	The workshop starts at ten.
worm	A worm moved across the soil.
wrist	She hurt her wrist.
