source_headword	IS	example_IS
heal	gróa	Hvíld hjálpar líkamanum að gróa.
healthcare	heilbrigðisþjónusta	Heilbrigðiskostnaður hækkaði í ár.
helmet	hjálmur	Notaðu hjálm á hjólinu.
hence	þess vegna	Þess vegna breyttum við áætluninni.
herb	jurt	Basil er gagnleg jurt.
hidden	falinn	Lykillinn var falinn undir mottunni.
highway	hraðbraut	Hraðbrautinni var lokað eftir snjókomu.
hilarious	bráðfyndinn	Kvikmyndin var bráðfyndin.
hip	mjöðm	Hún meiddi sig í mjöðminni á æfingu.
historian	sagnfræðingur	Sagnfræðingurinn rannsakaði gömul bréf.
homeless	heimilislaus	Skýlið hjálpar heimilislausum fjölskyldum.
honesty	heiðarleiki	Heiðarleiki skapar traust.
hook	krókur	Hengdu kápuna á krókinn.
hopefully	vonandi	Vonandi kemur lestin bráðum.
hunger	hungur	Hungur getur haft áhrif á einbeitingu.
hypothesis	tilgáta	Tilraunin prófaði tilgátuna.
icon	táknmynd	Táknmynd appsins breyttist í dag.
ID	skilríki	Sýndu skilríki í afgreiðslunni.
identical	nákvæmlega eins	Tvíburarnir klæddust nákvæmlega eins jökkum.
illusion	sjónhverfing	Spegillinn skapar sjónhverfingu.
immigration	innflytjendamál	Innflytjendastefnan breyttist á síðasta ári.
immune	ónæmur	Bólusetning getur gert fólk ónæmt.
implement	innleiða	Skólinn mun innleiða stefnuna.
implication	vísbending	Vísbendingin var skýr.
incentive	hvati	Bónusinn gaf starfsmönnum hvata.
incorporate	fella inn	Felldu meira grænmeti inn í máltíðirnar.
incorrect	rangur	Svarið var rangt.
independence	sjálfstæði	Landið fagnaði sjálfstæði.
index	atriðaskrá	Athugaðu atriðaskrána fyrir efnið.
indication	vísbending	Brosið var vísbending um létti.
inevitable	óhjákvæmilegur	Einhver töf var óhjákvæmileg.
inevitably	óhjákvæmilega	Óhjákvæmilega hækkaði verð eftir skort.
infer	álykta	Við getum ályktað svarið af samhenginu.
inflation	verðbólga	Verðbólga hækkaði matarverð.
info	upplýsingar	Vefsíðan sýnir gagnlegar upplýsingar.
infrastructure	innviðir	Stormurinn skemmdi innviði á staðnum.
inhabitant	íbúi	Hver íbúi fékk hreint vatn.
inherit	erfa	Hún mun erfa fjölskylduhúsið.
ink	blek	Prentarinn þarf svart blek.
innovation	nýsköpun	Nýsköpun drífur iðnaðinn áfram.
innovative	nýstárlegur	Fyrirtækið setti á markað nýstárlega vöru.
input	framlag	Stjórnandinn bað um framlag.
insert	setja í	Settu kortið í vélina.
inspector	eftirlitsmaður	Eftirlitsmaðurinn skoðaði bygginguna.
installation	uppsetning	Uppsetningin tók tvær klukkustundir.
instant	tafarlaus	Appið sendi tafarlaus svör.
instantly	samstundis	Skjárinn kveikti samstundis.
integrate	samþætta	Hugbúnaðurinn getur samþætt ný tól.
intellectual	vitsmunalegur	Umræðan var vitsmunaleg en vinsamleg.
interact	eiga samskipti	Nemendur eiga samskipti í hópastarfi.
interaction	samskipti	Samskiptin voru kurteisleg.
interpretation	túlkun	Túlkun hennar á ljóðinu var frumleg.
interval	hlé	Það var stutt hlé á milli þátta.
invade	gera innrás	Herinn reyndi að gera innrás á eyna.
invasion	innrás	Innrásin skemmdi marga bæi.
investor	fjárfestir	Fjárfestirinn fjármagnaði nýtt sprotafyrirtæki.
isolate	einangra	Læknar einangra sjúklinga með alvarlegar sýkingar.
isolated	einangraður	Þorpið var einangrað vegna snjóa.
jail	fangelsi	Þjófurinn fór í fangelsi.
jet	þota	Þotan lenti á hádegi.
joint	sameiginlegur	Þeir tilkynntu um sameiginlegt verkefni.
journalism	blaðamennska	Blaðamennska krefst nákvæmra staðreynda.
jury	kviðdómur	Kviðdómurinn komst að niðurstöðu.
kit	sett	Viðgerðarsettið inniheldur skrúfur.
ladder	stigi	Stiginn hallaði að veggnum.
landing	lending	Flugvélin lenti mjúklega.
lane	akrein	Vertu á hægri akrein.
lately	upp á síðkastið	Ég hef sofið illa upp á síðkastið.
leaflet	bæklingur	Bæklingurinn útskýrir þjónustuna.
legend	goðsögn	Goðsögnin segir frá falinni borg.
lens	linsa	Hreinsaðu myndavélarlinsuna varlega.
lifetime	ævi	Hann safnaði peningum alla ævi.
lighting	lýsing	Góð lýsing bætir herbergið.
likewise	sömuleiðis	Hún brosti; hann gerði slíkt hið sama.
limitation	takmörkun	Áætlunin hefur eina takmörkun.
literally	bókstaflega	Hún bókstaflega hljóp að rútunni.
literary	bókmenntalegur	Hátíðin heiðrar bókmenntaverk.
litre	lítri	Kauptu lítra af mjólk.
litter	rusl	Ekki henda rusli.
logo	lógó	Lógóið birtist á hverri síðu.
lottery	lottó	Hann vann lítinn lottóvinning.
loyal	tryggur	Hundurinn var tryggur eiganda sínum.
lyric	texti	Textinn endurtók meginhugmyndina.
magnificent	stórkostlegur	Höllin leit stórkostlega út.
make-up	förðun	Hún var með einfalda förðun.
