source_headword	DE	example_DE
strengthen	stärken	Die neue Richtlinie wird die Online-Sicherheit stärken.
strictly	streng	Die Tickets sind streng auf zwei pro Person limitiert.
striking	auffallend	Das Gemälde hat auffallende Farben.
stroke	der Strich	Sie malte einen Strich über das Papier.
stunning	atemberaubend	Der Blick auf die Berge war atemberaubend.
subsequent	nachfolgend	Die nachfolgende Besprechung bestätigte das Budget.
subsequently	anschließend	Die Straße wurde gesperrt; anschließend floss der Verkehr langsam.
suburb	der Vorort	Sie leben in einem ruhigen Vorort.
suffering	das Leiden	Das Medikament linderte sein Leiden.
sufficient	ausreichend	Das Team hat ausreichend Zeit.
sufficiently	ausreichend	Der Raum ist ausreichend warm.
super	super	Das neue Tablet ist super schnell.
surgeon	der Chirurg	Der Chirurg reparierte das beschädigte Knie.
survival	das Überleben	Sauberes Wasser ist essenziell für das Überleben.
survivor	der Überlebende	Der Überlebende beschrieb die Flut.
suspend	aussetzen	Die Schule könnte den Ausflug aussetzen.
sustainable	nachhaltig	Der Bauernhof nutzt nachhaltige Methoden.
swallow	schlucken	Schlucken Sie die Tablette mit Wasser.
sympathetic	mitfühlend	Der Manager zeigte sich mitfühlend für ihr Problem.
tackle	angehen	Wir müssen das Wohnungsproblem angehen.
tag	das Etikett	Die Tasche hatte ein Preisschild.
tap	der Wasserhahn	Sie drehte den Wasserhahn zu.
technological	technologisch	Der technologische Wandel wirkt sich auf jeden Arbeitsplatz aus.
teens	die Teenager	Viele Teenager nutzen täglich soziale Medien.
temple	der Tempel	Der Tempel stand in der Nähe des Flusses.
temporarily	vorübergehend	Das Büro ist vorübergehend geschlossen.
tendency	die Neigung	Er hat die Neigung, zu spät zu kommen.
tension	die Spannung	Während der Diskussion stieg die Spannung.
terms	die Bedingungen	Die Vertragsbedingungen waren klar.
terribly	schrecklich	Das Kind war schrecklich verärgert.
terrify	in Schrecken versetzen	Laute Geräusche versetzen den Hund in Schrecken.
territory	das Gebiet	Die Karte zeigt das neue Gebiet.
terror	der Terror	Der Terror breitete sich nach dem Angriff aus.
terrorism	der Terrorismus	Terrorismus bedroht die öffentliche Sicherheit.
terrorist	der Terrorist	Die Polizei hat gestern den Terroristen festgenommen.
testing	das Testen	Das Testen des Produkts beginnt am Montag.
textbook	das Lehrbuch	Sie hat ihr Biologielehrbuch vergessen.
theft	der Diebstahl	Der Diebstahl nahm in der Gegend zu.
therapist	der Therapeut	Der Therapeut half ihm, seine Angst zu bewältigen.
thesis	die Abschlussarbeit	Ihre Abschlussarbeit untersucht das Online-Lernen.
thorough	gründlich	Eine gründliche Überprüfung ergab keine Fehler.
thoroughly	gründlich	Reinigen Sie die Wunde gründlich.
thumb	der Daumen	Er hob den Daumen, um Zustimmung zu signalisieren.
timing	der Zeitpunkt	Der Zeitpunkt des Anrufs war perfekt.
tissue	das Papiertaschentuch	Sie wischte das Glas mit einem Papiertaschentuch ab.
ton	die Tonne	Der Lastwagen transportierte eine Tonne Sand.
tonne	die Tonne	Die Sendung wog eine Tonne.
tournament	das Turnier	Das Tennisturnier beginnt morgen.
trace	zurückverfolgen	Wissenschaftler können die Quelle des Virus zurückverfolgen.
trading	der Handel	Der Aktienhandel stoppte am Mittag.
tragedy	die Tragödie	Der Unfall war eine schreckliche Tragödie.
tragic	tragisch	Der Absturz hatte tragische Folgen.
trait	die Eigenschaft	Geduld ist eine nützliche Eigenschaft.
transmit	übertragen	Mücken können Krankheiten übertragen.
transportation	das Verkehrsmittel	Die öffentlichen Verkehrsmittel sind heute überfüllt.
trap	fangen	Die Box kann Insekten sicher fangen.
treasure	der Schatz	Die alte Truhe barg einen Schatz.
tribe	der Stamm	Der Stamm beschützte seine Traditionen.
trigger	auslösen	Rauch kann den Alarm auslösen.
