simplified	MY	example_MY
哎	ဟေ့	ဟေ့၊ မင်း ဘာလို့ ဒီကိုလာတာလဲ။
唉	အို; သက်ပြင်းချသည်	အို၊ ငါ ထပ်ပြီး နောက်ကျသွားပြန်ပြီ။
爱护	ဂရုစိုက်ထိန်းသိမ်းသည်	ကျွန်ုပ်တို့ ပတ်ဝန်းကျင်ကို ဂရုစိုက်ထိန်းသိမ်းသင့်သည်။
爱惜	တန်ဖိုးထားသည်; ချွေတာသုံးသည်	ကိုယ့်အချိန်ကို တန်ဖိုးထားပါ။
爱心	ကြင်နာစိတ်; စာနာစိတ်	သူမမှာ ကြင်နာစိတ် အလွန်ရှိသည်။
安慰	နှစ်သိမ့်သည်	သူငယ်ချင်းက ကျွန်တော့်ကို နှစ်သိမ့်ပေးခဲ့သည်။
安装	တပ်ဆင်သည်	အလုပ်သမားက လေအေးပေးစက်ကို တပ်ဆင်နေသည်။
岸	ကမ်း; ကမ်းခြေ	လှေက ကမ်းကို ဖြည်းဖြည်းချဉ်းကပ်လာသည်။
暗	မှောင်သော; လျှို့ဝှက်သော	အခန်းထဲမှာ အလွန်မှောင်နေသည်။
熬夜	ညဉ့်နက်အထိ မအိပ်ဘဲနေသည်	ညဉ့်နက်အထိ မအိပ်ဘဲနေခြင်းသည် ကျန်းမာရေးအတွက် မကောင်းပါ။
把握	သေချာမှု; ဆုပ်ကိုင်သည်	ဒီအလုပ်ကို ကောင်းကောင်းလုပ်နိုင်မလား ကျွန်တော် မသေချာပါ။
摆	စီထားသည်; ချထားသည်	ကုလားထိုင်တွေကို စနစ်တကျ စီထားပါ။
办理	ဆောင်ရွက်သည်; လုပ်ဆောင်သည်	ကျွန်တော် ဘဏ်ကို ကိစ္စဆောင်ရွက်ရန် သွားမည်။
傍晚	ညနေစောင်း	ညနေစောင်းတွင် ကျွန်ုပ်တို့ လမ်းလျှောက်သွားမည်။
包裹	ပါဆယ်ထုပ်; ထုပ်ပိုးသည်	ကျွန်တော် ပါဆယ်ထုပ်တစ်ထုပ် လက်ခံရရှိခဲ့သည်။
包含	ပါဝင်သည်	စျေးနှုန်းတွင် မနက်စာ ပါဝင်သည်။
包括	ပါဝင်သည်; အကျုံးဝင်သည်	ကုန်ကျစရိတ်တွင် နေ့လယ်စာ ပါဝင်သည်။
薄	ပါးသော	ဒီစာအုပ်က အလွန်ပါးသည်။
保持	ထိန်းထားသည်; ဆက်လက်ထားသည်	ကျေးဇူးပြု၍ ငြိမ်သက်နေပါ။
保存	သိမ်းဆည်းသည်	ကျေးဇူးပြု၍ ဒီဖိုင်ကို သိမ်းဆည်းပါ။
保留	ကြိုတင်ထားသည်; ထိန်းသိမ်းထားသည်	ကျွန်တော့်အတွက် ထိုင်ခုံတစ်နေရာ ကြိုတင်ထားပေးပါ။
保险	အာမခံ; လုံခြုံသော	ကျွန်တော် ခရီးသွားအာမခံ ဝယ်ခဲ့သည်။
宝贝	ရတနာ; ချစ်စရာကလေး	ဒါက ကျွန်တော့်ရဲ့ ရတနာပါ။
宝贵	တန်ဖိုးရှိသော	အချိန်သည် အလွန်တန်ဖိုးရှိသည်။
报到	ရောက်ရှိစာရင်းသွင်းသည်	ကျောင်းသားသစ်များသည် ယနေ့ ကျောင်းသို့ ရောက်ရှိစာရင်းသွင်းကြသည်။
报道	သတင်းဖော်ပြသည်	သတင်းမှာ ဒီကိစ္စကို ဖော်ပြခဲ့သည်။
报告	အစီရင်ခံစာ; အစီရင်ခံသည်	သူက အစီရင်ခံစာ တင်ပြနေသည်။
报社	သတင်းစာတိုက်	သူမသည် သတင်းစာတိုက်တွင် အလုပ်လုပ်သည်။
抱怨	မကျေနပ်ကြောင်း ပြောဆိုသည်	သူသည် အလုပ်များလွန်းသည်ဟု အမြဲမကျေနပ်ကြောင်း ပြောသည်။
