simplified	BN	example_BN
爱	ভালোবাসা; পছন্দ করা	আমি মাকে ভালোবাসি।
八	আট	আমার আটটি বই আছে।
爸爸	বাবা; পিতা	বাবা বাড়িতে আছেন।
杯子	কাপ; গ্লাস	এই কাপটি বড়।
北京	বেইজিং	আমি বেইজিংয়ে কাজ করি।
本	বইয়ের পরিমাপক শব্দ; খণ্ড	আমার একটি বই আছে।
不	না; নয়	আমি ভাত খাই না।
不客气	কিছু না; কোনো সমস্যা নেই	ধন্যবাদ। কিছু না।
菜	খাবার; পদ; সবজি	এই খাবারটি সুস্বাদু।
茶	চা	আমি চা পান করি।
吃	খাওয়া	আমি আপেল খাই।
出租车	ট্যাক্সি	আমি ট্যাক্সিতে করে স্কুলে যাই।
打电话	ফোন করা	আমি ফোন করি।
大	বড়	এই স্কুলটি বড়।
的	-এর; অধিকারসূচক কণা	এটি আমার বই।
点	টা; পয়েন্ট; একটু	এখন আটটা বাজে।
电脑	কম্পিউটার	আমার কম্পিউটারটি টেবিলের ওপর আছে।
电视	টেলিভিশন; টিভি	আমি টিভি দেখি।
电影	সিনেমা; চলচ্চিত্র	আমার সিনেমা ভালো লাগে।
东西	জিনিস; মালপত্র	এটা কী জিনিস?
都	সবাই; দুজনেই	আমরা সবাই শিক্ষার্থী।
读	পড়া	আমি বই পড়ি।
对不起	দুঃখিত; মাফ করবেন	দুঃখিত, আমি তোমাকে চিনি না।
多	অনেক; বেশি	আমার অনেক বন্ধু আছে।
多少	কত	এই কাপটির দাম কত?
儿子	ছেলে; পুত্র	আমার ছেলে একজন শিক্ষার্থী।
二	দুই	ফেব্রুয়ারিতে ঠান্ডা পড়ে।
饭馆	রেস্তোরাঁ; খাবারের দোকান	রেস্তোরাঁটি স্কুলের সামনে আছে।
飞机	বিমান	আমি বিমানে করে বেইজিং যাই।
分钟	মিনিট	আমি পাঁচ মিনিট পড়াশোনা করি।
高兴	খুশি; আনন্দিত	আজ আমি খুব খুশি।
个	সাধারণ পরিমাপক শব্দ	আমার একজন বন্ধু আছে।
工作	কাজ করা; কাজ	আমি বেইজিংয়ে কাজ করি।
狗	কুকুর	আমার কুকুর ভালো লাগে।
汉语	চীনা ভাষা	আমি চীনা ভাষা শিখি।
好	ভালো; ঠিক	আজ আবহাওয়া ভালো।
喝	পান করা	আমি পানি পান করি।
和	এবং; সঙ্গে	আমি বন্ধুর সঙ্গে স্কুলে যাই।
很	খুব	সে খুব সুন্দর।
后面	পেছনে; পিছনে	স্কুলটি রেস্তোরাঁর পেছনে আছে।
回	ফেরা; ফিরে যাওয়া	আমি বাড়ি ফিরে যাই।
会	পারা; জানা	আমি চীনা বলতে পারি।
火车站	রেলস্টেশন	রেলস্টেশনটি বড়।
几	কয়; কয়েক	তোমার কয়জন বন্ধু আছে?
家	বাড়ি; পরিবার	আমার বাড়ি বেইজিংয়ে।
叫	নাম হওয়া; ডাকা	তোমার নাম কী?
今天	আজ	আজ গরম।
九	নয়	এখন নয়টা বাজে।
开	খোলা; চালু করা	আমি কম্পিউটার চালু করি।
看	দেখা; পড়া	আমি বই পড়ি।
看见	দেখা; দেখতে পাওয়া	আমি শিক্ষককে দেখি।
块	টুকরো; ইউয়ান	এই বইটির দাম দশ ইউয়ান।
来	আসা	সে স্কুলে আসে।
老师	শিক্ষক	শিক্ষক স্কুলে আছেন।
了	সম্পন্নতা-সূচক কণা	আমি ভাত খেয়েছি।
冷	ঠান্ডা	আজ ঠান্ডা।
里	ভেতরে; মধ্যে	কাপে পানি আছে।
零	শূন্য	শূন্য এক নয়।
六	ছয়	এখন ছয়টা বাজে।
妈妈	মা; মাম্মি	মা চা পান করেন।
吗	হ্যাঁ-না প্রশ্ন কণা	তুমি কি শিক্ষার্থী?
买	কেনা	আমি আপেল কিনি।
猫	বিড়াল	বিড়ালটি চেয়ারে আছে।
没	নেই; না	আমার টাকা নেই।
没关系	সমস্যা নেই; কিছু যায় আসে না	সমস্যা নেই।
米饭	ভাত	আমি ভাত খাই।
名字	নাম	তোমার নাম কী?
明天	আগামীকাল	আগামীকাল আমি বেইজিং যাব।
哪	কোন; কোথায়	তুমি কোথায় যাচ্ছ?
那	ওই; সেই; ওগুলো	ওই ব্যক্তি আমার শিক্ষক।
呢	প্রশ্ন কণা; তবে	আর তুমি?
能	পারা; সক্ষম হওয়া	আমি কি যেতে পারি?
你	তুমি; তোমাকে	তুমি কেমন আছ?
年	বছর	এক বছরে বারো মাস।
女儿	মেয়ে; কন্যা	তার মেয়ে খুব সুন্দর।
朋友	বন্ধু	সে আমার বন্ধু।
漂亮	সুন্দর	সে খুব সুন্দর।
苹果	আপেল	আমার আপেল ভালো লাগে।
七	সাত	এখন সাতটা বাজে।
前面	সামনে; সামনে দিকে	রেস্তোরাঁটি দোকানের সামনে আছে।
钱	টাকা	আমার টাকা নেই।
请	দয়া করে; আমন্ত্রণ করা; অনুরোধ করা	দয়া করে চা পান করুন।
去	যাওয়া	আমি স্কুলে যাই।
热	গরম	আজ গরম।
人	মানুষ; লোক	স্কুলে অনেক লোক আছে।
认识	চেনা; জানা	আমি তাকে চিনি।
日	দিন; তারিখ	আজ পহেলা মার্চ।
三	তিন	আমার তিনটি কাপ আছে।
商店	দোকান	দোকানটি স্কুলের সামনে আছে।
上	ওপর; উপরে	বইটি টেবিলের ওপর আছে।
上午	সকাল; পূর্বাহ্ন	সকালে আমি চীনা ভাষা পড়ি।
少	কম; অল্প	শিক্ষার্থী খুব কম।
什么	কী	এটা কী?
十	দশ	আমার দশটি বই আছে।
时候	সময়; মুহূর্ত	তুমি কখন আসবে?
是	হওয়া; হয়	আমি শিক্ষার্থী।
书	বই	আমি বই পড়ি।
谁	কে	সে কে?
水	পানি; জল	আমি পানি পান করি।
水果	ফল	আমি ফল কিনি।
睡觉	ঘুমানো; ঘুমাতে যাওয়া	আমি ঘুমাতে যাচ্ছি।
说话	কথা বলা	শিক্ষক কথা বলছেন।
四	চার	আমার চারজন বন্ধু আছে।
岁	বছর বয়সী	আমার বয়স দশ বছর।
他	সে; তাকে	সে একজন শিক্ষক।
她	সে; তাকে	সে একজন ছাত্রী।
太	খুব বেশি; অতিরিক্ত	এই কাপটি খুব বেশি বড়।
天气	আবহাওয়া	আজ আবহাওয়া ভালো।
听	শোনা	আমি শিক্ষককে কথা বলতে শুনি।
同学	সহপাঠী	সে আমার সহপাঠী।
喂	হ্যালো; শুনুন	হ্যালো?
我	আমি; আমাকে	আমি একজন ডাক্তার।
我们	আমরা; আমাদেরকে	আমরা স্কুলে যাই।
五	পাঁচ	আমার পাঁচটি আপেল আছে।
喜欢	পছন্দ করা	আমার চা পান করতে ভালো লাগে।
下	নিচে; পরবর্তী	বইটি টেবিলের নিচে আছে।
下午	বিকেল; অপরাহ্ন	বিকেলে আমি দোকানে যাই।
下雨	বৃষ্টি হওয়া	আজ বৃষ্টি হচ্ছে।
先生	স্যার; মিস্টার; স্বামী	নমস্কার, স্যার।
现在	এখন	আমি এখন স্কুলে আছি।
想	চাইতে; ভাবা; মনে পড়া	আমি পানি পান করতে চাই।
小	ছোট	এই কাপটি ছোট।
小姐	মিস; তরুণী	নমস্কার, মিস।
些	কিছু; কয়েক	আমার কিছু বই আছে।
写	লেখা	আমি চীনা অক্ষর লিখি।
谢谢	ধন্যবাদ	ধন্যবাদ।
星期	সপ্তাহ; সপ্তাহের দিন	আজ সোমবার।
学生	শিক্ষার্থী; ছাত্র; ছাত্রী	আমি শিক্ষার্থী।
学习	শেখা; পড়াশোনা করা	আমি চীনা ভাষা শিখি।
学校	স্কুল; বিদ্যালয়	স্কুলটি বড়।
一	এক	আমার একটি কাপ আছে।
衣服	জামাকাপড়; পোশাক	আমি জামাকাপড় কিনি।
医生	ডাক্তার; চিকিৎসক	তিনি একজন ডাক্তার।
医院	হাসপাতাল	হাসপাতালটি স্কুলের সামনে আছে।
椅子	চেয়ার	চেয়ারটি টেবিলের পেছনে আছে।
有	থাকা; আছে	আমার বন্ধু আছে।
月	মাস; চাঁদ	আজ মে মাসের চার তারিখ।
再见	বিদায়; আবার দেখা হবে	বিদায়, স্যার।
在	থাকা; অবস্থান করা	আমি বাড়িতে আছি।
怎么	কীভাবে	এই অক্ষর কীভাবে পড়তে হয়?
怎么样	কেমন; কেমন আছে	আজ তুমি কেমন আছ?
这	এটি; এই; এগুলো	এটি আমার বই।
中国	চীন	আমি চীনে যাই।
中午	দুপুর	দুপুরে আমি ভাত খাই।
住	বাস করা; থাকা	আমি বেইজিংয়ে থাকি।
桌子	টেবিল; ডেস্ক	বইটি টেবিলের ওপর আছে।
字	অক্ষর; চিহ্ন; শব্দ	এই অক্ষরটি ছোট।
昨天	গতকাল	গতকাল আমি সিনেমা দেখেছি।
坐	বসা; যানবাহনে যাওয়া	আমি বিমানে করে বেইজিং যাই।
做	করা; বানানো	আমি রান্না করি।
