source_headword	IT	example_IT
ability	la capacità; l'abilità	La sua capacità di nuotare è chiara.
able	capace; in grado	Lui può venire oggi.
abroad	all'estero; verso l'estero	Lei vuole studiare all'estero.
accept	accettare	Accetta questo piccolo regalo.
accident	l'incidente	L'incidente è successo vicino alla scuola.
according to	secondo	Secondo il rapporto, arriva pioggia.
achieve	raggiungere	Puoi raggiungere il tuo obiettivo.
act	agire; recitare; l'atto	Lui può recitare in uno spettacolo.
active	attivo	Lei è attiva ogni giorno.
actually	in realtà; veramente	In realtà ho bisogno di più tempo.
advantage	il vantaggio	Questo piano ha un vantaggio.
adventure	l'avventura	Il viaggio è stato un'avventura.
advertise	pubblicizzare; fare pubblicità	Loro pubblicizzano il nuovo lavoro.
advertisement	la pubblicità; l'annuncio	Ho visto un annuncio.
advertising	la pubblicità	La pubblicità aiuta a vendere cibo.
affect	influenzare	Il sonno può influenzare la salute.
against	contro	Non appoggiarti contro il muro.
ah	ah; oh	Ah, ora capisco.
airline	la compagnia aerea	La compagnia aerea è molto occupata.
alive	vivo; in vita	Il pesciolino è vivo.
all right	va bene; tutto a posto	Ora va tutto bene.
allow	permettere; consentire	Qui sono permessi i cani.
almost	quasi	Siamo quasi pronti.
alone	solo; da solo	Lei vive da sola.
along	lungo; lungo a	Cammina lungo questa strada.
already	già	Conosco già la risposta.
alternative	l'alternativa	Questo treno è un'alternativa.
although	anche se	Anche se è tardi, possiamo restare.
among	tra; fra	Lui stava tra gli alberi.
amount	la quantità; l'importo	La quantità è troppo piccola.
ancient	antico	Questo muro antico è famoso.
ankle	la caviglia	Oggi mi fa male la caviglia.
anybody	qualcuno	Qualcuno può rispondere?
any more	più; non più	Non ho bisogno di altro.
anyway	comunque; in ogni caso	Comunque possiamo iniziare.
anywhere	da qualche parte; ovunque	Siediti da qualche parte.
app	l'app	Questa app è utile.
appear	apparire; comparire	Il suo nome apparirà qui.
appearance	l'aspetto; l'apparenza	Il suo aspetto è diverso.
apply	fare domanda; applicare	Fai domanda per il lavoro oggi.
architect	l'architetto; l'architetta	L'architetto ha un piano.
architecture	l'architettura	Mi piace l'architettura moderna.
argue	discutere; litigare	Non litigare con tua sorella.
argument	la discussione; l'argomento	La discussione è stata breve.
army	l'esercito	L'esercito è grande.
arrange	organizzare; disporre	Organizza l'incontro, per favore.
arrangement	l'accordo; la disposizione	Questo accordo funziona bene.
asleep	addormentato	Il bambino è addormentato.
assistant	l'assistente	L'assistente mi ha aiutato.
athlete	l'atleta	L'atleta corre veloce.
attack	attaccare; l'attacco	Il cane può attaccare.
attend	frequentare; partecipare	Oggi frequento la lezione.
attention	l'attenzione	Fai attenzione, per favore.
attractive	attraente	Il giardino è attraente.
audience	il pubblico	Il pubblico era silenzioso.
author	l'autore; l'autrice	L'autore ha scritto questo libro.
available	disponibile	Il cibo è disponibile ora.
average	medio; la media	Il risultato medio era buono.
avoid	evitare	Evita la strada trafficata.
award	il premio; premiare	Lei ha ricevuto un premio.
awful	terribile	Il tempo era terribile.
background	lo sfondo; il contesto	La foto ha uno sfondo scuro.
badly	male	Lui ha giocato male oggi.
bar	il bar; il bancone	Ci siamo incontrati al bar dell'hotel.
baseball	il baseball	Il baseball è popolare qui.
based	basato; fondato	Il film è basato su un libro.
basketball	la pallacanestro; il basket	Giochiamo a basket dopo scuola.
bean	il fagiolo	Questo fagiolo è verde.
bear (animal)	l'orso	L'orso vive nel bosco.
beat	battere; sconfiggere	La nostra squadra può batterli.
beef	il manzo	Ho mangiato manzo a cena.
behave	comportarsi	Comportati bene in classe.
behaviour	il comportamento	Il suo comportamento era gentile.
belong	appartenere	Queste scarpe appartengono a me.
belt	la cintura	La sua cintura è nera.
benefit	il vantaggio; il beneficio	L'esercizio ha un vero beneficio.
billion	il miliardo	Un miliardo è un numero enorme.
bin	il cestino	Metti la carta nel cestino.
biology	la biologia	La biologia è la mia materia migliore.
birth	la nascita	La sua nascita è stata a maggio.
biscuit	il biscotto	Lei mangia un biscotto.
bit	un po'; il pezzo	Ho bisogno di un po' più tempo.
blank	lo spazio vuoto; vuoto	Scrivi il tuo nome nello spazio vuoto.
blood	il sangue	Il sangue è rosso.
blow	soffiare; tirare	Il vento può soffiare forte.
board	la lavagna; il pannello	Scrivi questo sulla lavagna.
boil	bollire; far bollire	Fai bollire prima l'acqua.
bone	l'osso	Il cane ha un osso.
borrow	prendere in prestito	Posso prendere in prestito la tua penna?
boss	il capo; la capa	Il mio capo è gentile.
bottom	il fondo; la parte inferiore	Firma in fondo.
bowl	la ciotola	La ciotola è piena.
brain	il cervello	Il tuo cervello ha bisogno di riposo.
bridge	il ponte	Il ponte è vecchio.
bright	luminoso; intelligente	La stanza è luminosa.
brilliant	brillante; eccellente	Questa idea è eccellente.
broken	rotto	La sedia è rotta.
brush	la spazzola; spazzolare	Lavati i denti adesso.
burn	bruciare	Non bruciare il pane.
businessman	l'uomo d'affari	L'uomo d'affari è arrivato presto.
button	il bottone; il pulsante	Premi il pulsante rosso.
camp	il campo; campeggiare	Campeggiamo vicino al lago.
camping	il campeggio	Il campeggio è divertente in estate.
can2	la lattina; il barattolo	Apri la lattina con attenzione.
care	la cura; curarsi	Curati della tua salute.
careful	attento; prudente	Stai attento sulle scale.
carefully	con attenzione; attentamente	Leggi la domanda attentamente.
carpet	il tappeto	Il tappeto è morbido.
cartoon	il cartone animato	Questo cartone animato è divertente.
case	il caso; la custodia	Mettilo nella custodia.
cash	i contanti	Ho pagato in contanti.
castle	il castello	Il castello è molto vecchio.
catch	prendere; afferrare	Prendi la palla ora.
cause	la causa; causare	La pioggia può causare problemi.
celebrate	celebrare; festeggiare	Festeggiamo il mio compleanno.
celebrity	la celebrità	La celebrità era molto gentile.
certain	certo; sicuro	Ne sono sicuro.
certainly	certamente; sicuramente	Ti aiuterò sicuramente.
chance	la possibilità; l'occasione	Hai una possibilità.
character	il personaggio; il carattere	Questo personaggio è coraggioso.
charity	l'organizzazione benefica; la beneficenza	L'organizzazione benefica aiuta i bambini.
chat	chiacchierare; la chat	Chiacchieriamo dopo la lezione.
chef	lo chef; il cuoco	Lo chef ha preparato la zuppa.
chemistry	la chimica	La chimica è difficile per me.
chip	la patatina; il chip	Questa patatina è salata.
choice	la scelta	Questa scelta è importante.
church	la chiesa	La chiesa è vicina.
cigarette	la sigaretta	Una sigaretta fa male alla salute.
circle	il cerchio; cerchiare	Disegna qui un cerchio.
classical	classico	Mi piace la musica classica.
clear	chiaro; liberare	La risposta è chiara.
clearly	chiaramente	Parla chiaramente, per favore.
clever	intelligente	Lei è una bambina intelligente.
climate	il clima	Il clima sta cambiando.
close2	vicino	La mia scuola è vicino a casa mia.
closed	chiuso	Il negozio è chiuso.
clothing	l'abbigliamento; i vestiti	L'abbigliamento caldo è utile.
cloud	la nuvola	La nuvola copre il sole.
coach	l'allenatore; il pullman	L'allenatore ha aiutato la squadra.
coast	la costa	Abbiamo viaggiato lungo la costa.
code	il codice	Inserisci il codice qui.
colleague	il collega; la collega	Il mio collega mi ha chiamato.
collect	raccogliere; collezionare	Colleziono vecchie carte.
column	la colonna	Leggi la prima colonna.
comedy	la commedia	Questa commedia è divertente.
comfortable	comodo	Questa sedia è comoda.
comment	il commento; commentare	Lascia un commento sotto.
communicate	comunicare	Comunichiamo via email.
community	la comunità	La nostra comunità è amichevole.
compete	competere; partecipare	Loro competono ogni anno.
competition	la competizione; la concorrenza	La competizione inizia domani.
complain	lamentarsi	Non lamentarti di nuovo.
completely	completamente	Sono completamente d'accordo con te.
condition	la condizione; lo stato	L'auto è in buone condizioni.
