source_headword	TR	example_TR
stranger	yabancı	Bir yabancı yol sordu.
strength	güç	Onun gücü takıma yardım etti.
string	ip	Kutuyu iple bağla.
strongly	şiddetle	Bu fikre kesinlikle katılmıyorum.
studio	stüdyo	Sanatçı küçük bir stüdyoda çalışıyor.
stuff	eşya	Eşyalarını rafa koy.
substance	madde	Polis garip bir madde buldu.
successfully	başarıyla	Projeyi başarıyla bitirdiler.
sudden	ani	Ani bir ses bizi uyandırdı.
suffer	acı çekmek	Kuru havada birçok bitki zarar görür.
suitable	uygun	Bu ceket okul için uygun.
summarize	özetlemek	Makaleyi özetleyebilir misin?
summary	özet	Bu gece kısa bir özet yaz.
supply	tedarik	Kasabanın temiz su kaynağına ihtiyacı var.
supporter	destekçi	Her taraftar yüksek sesle tezahürat yaptı.
surely	elbette	Bunu kesinlikle çözebiliriz.
surface	yüzey	Yüzey soğuk ve pürüzsüzdü.
survive	hayatta kalmak	Bu hayvanlar soğuk kışlarda hayatta kalır.
switch	düğme / açıp kapatmak	Mutfak lambasını kapat.
symptom	belirti	Öksürük bir belirti olabilir.
tail	kuyruk	Köpeğin uzun bir kuyruğu var.
talent	yetenek	Müziğe yeteneği var.
talented	yetenekli	O yetenekli genç bir oyuncu.
tape	bant	Kutuyu kapatmak için bant kullanın.
tax	vergi	Herkes bu vergiyi ödemeli.
technical	teknik	Teknik bir sorun yaşadık.
technique	teknik	Bu teknik zaman kazandırır.
tend	eğiliminde olmak	Çocuklar hızlı öğrenme eğilimindedir.
tent	çadır	Küçük bir çadırda uyuduk.
theirs	onlarınki	Mavi bisikletler onların.
theme	tema	Partinin bir plaj teması vardı.
theory	teori	Onun teorisi sorunu açıklıyor.
therefore	bu nedenle	Yağmur yağdı, bu yüzden içeride kaldık.
though	olmasına rağmen	Yorgun olmasına rağmen çalışmaya devam etti.
throat	boğaz	Bu sabah boğazım ağrıyor.
throughout	boyunca	İnsanlar gece boyunca dans etti.
tight	sıkı	Bu ayakkabılar çok sıkı hissettiriyor.
till	-e kadar	Ben dönene kadar burada bekle.
tin	konserve kutusu	Bir konserve fasulye aç.
tiny	minik	Minik bir kuş yakına kondu.
toe	ayak parmağı	Dün ayak parmağımı incittim.
tongue	dil	Çaydan dilini yaktı.
total	toplam	Toplam maliyet düşüktü.
totally	tamamen	Endişeni tamamen anlıyorum.
trade	ticaret	Uluslararası ticaret iş yaratır.
translate	çevirmek	Lütfen bu cümleyi çevirin.
translation	çeviri	Çeviri kulağa doğal geliyor.
treat	davranmak	Herkese saygıyla davranın.
treatment	tedavi	Hastanın bugün tedaviye ihtiyacı var.
trend	eğilim	Bu eğilim dünya çapında büyüyor.
trick	hile	O kart hilesi beni şaşırttı.
truth	gerçek	Lütfen gerçeği söyleyin.
tube	tüp	Tüpü nazikçe sıkın.
typically	genellikle	Öğrenciler genellikle dokuzdan önce gelir.
tyre	lastik	Arabanın yeni bir lastiğe ihtiyacı var.
ugly	çirkin	O duvar rengi çirkin görünüyor.
unable	aciz	Cevap veremedi.
uncomfortable	rahatsız	Bu sandalye rahatsız.
underwear	iç çamaşırı	Yolculuk için temiz iç çamaşırı paketleyin.
unemployed	işsiz	İki aydır işsizdi.
unemployment	işsizlik	Kışın işsizlik arttı.
unfair	haksız	Karar haksız göründü.
union	sendika	Sendika daha güvenli çalışma şartları istedi.
unless	olmadıkça	Ben aramadıkça ayrılma.
unlike	aksine	Tom'un aksine Ana kışı sever.
unlikely	olası olmayan	Bu hafta kar yağması pek olası değil.
unnecessary	gereksiz	Fazla çantalar gereksiz.
unpleasant	hoş olmayan	Odanın hoş olmayan bir kokusu vardı.
update	güncellemek	Telefonumu güncellemem gerekiyor.
upon	üzerine	Bir varmış bir yokmuş, bir kral yaşarmış.
upset	üzgün	Aramadan sonra üzgün hissetti.
used1	kullanılan	Bu oda toplantılar için kullanılıyor.
used2	alışkın	Erken kalkmaya alışkınım.
valuable	değerli	Bu saat değerli.
value	değer	Ev geçen yıl değer kaybetti.
various	çeşitli	Çeşitli yerel yemekler denedik.
version	versiyon	Bu sürüm daha iyi çalışıyor.
victim	kurban	Kurban polisi aradı.
viewer	izleyici	Bir izleyici bir soru sordu.
violent	şiddetli	Film çok şiddetliydi.
volunteer	gönüllü	Kütüphanede gönüllü olarak çalışıyorum.
vote	oy	Yarın oy vermeyi unutmayın.
warn	uyarmak	Onu uyarmaya çalıştım.
warning	uyarı	Ekranda uyarı belirdi.
waste	israf etmek	Temiz suyu israf etmeyin.
weapon	silah	Bıçak bir silaha dönüştü.
weigh	tartmak	Unu dikkatlice tartın.
western	batılı	Bir western filmi izlediler.
whatever	her ne	Ne istersen onu seç.
whenever	ne zaman	Yardıma ihtiyacın olduğunda ara.
whether	olup olmadığını	Aynı fikirde olup olmadığını bilmiyorum.
wing	kanat	Kuş bir kanadını incitti.
within	içinde	Lütfen iki gün içinde cevap verin.
wonder	merak etmek	Ne olduğunu merak ediyorum.
wool	yün	Bu palto yünden yapılmış.
worldwide	dünya çapında	Şarkı dünya çapında popüler oldu.
worth	değer	Bu kitap okunmaya değer.
written	yazılı	Lütfen yazılı talimatları gönderin.
yard	avlu	Çocuklar avluda oynadılar.
youth	gençlik	Gençlik kulüpleri yerel gençleri destekler.
