source_headword	HU	example_HU
toss	dob	Az asztalra dobta a kulcsokat.
total	kitesz	A javítások a vártnál többet tesznek ki.
toxic	mérgező	A mérgező füst mindenkit a szabadba kényszerített.
trademark	védjegy	A logó a vállalat védjegye lett.
trail	ösvény	Az ösvény az erdőn át vezetett.
trailer	előzetes	Az előzetes megmutatta a film végét.
transaction	tranzakció	A tranzakció megjelent a bankszámlakivonatomon.
transcript	kivonat	A hallgató hivatalos kivonatot kért.
transformation	átalakulás	A város jelentős átalakuláson ment keresztül.
transit	szállítás	A csomag szállítás közben megsérült.
transmission	továbbítás	Az adatok továbbítása biztonságos volt.
transparency	átláthatóság	A jelentés nagyobb átláthatóságot sürgetett.
transparent	átlátható	A folyamatnak mindenki számára átláthatónak kell lennie.
trauma	trauma	A baleset mély traumát hagyott maga után.
treaty	szerződés	Az országok békeszerződést írtak alá.
tremendous	hatalmas	A csapat hatalmas fejlődést ért el.
tribal	törzsi	A múzeumban törzsi művészetet állítottak ki.
tribunal	törvényszék	A törvényszék egész héten bizonyítékokat hallgatott meg.
tribute	tiszteletadás	A koncert egy tiszteletadás volt neki.
trio	trió	A trió fellépett a fesztiválon.
triumph	diadal	A győzelem személyes diadal volt.
trophy	trófea	A kapitány büszkén emelte fel a trófeát.
troubled	gondokkal küzdő	A gondokkal küzdő vállalatnak új vezetésre volt szüksége.
trustee	kurátor	A kurátor kezeli az ösztöndíjalapot.
tuition	tandíj	A tandíja idén emelkedett.
turnout	részvétel	A választási részvétel a vártnál magasabb volt.
turnover	fluktuáció	A személyzet fluktuációja csökkent a változások után.
twist	csavar	Lecsavarta a fedelet.
undergraduate	egyetemi hallgató	Az egyetemi hallgató csatlakozott egy kutatási projekthez.
underlying	mögöttes	A jelentés megmagyarázta a mögöttes okokat.
undermine	aláás	A botrány aláásta a közbizalmat.
undoubtedly	kétségtelenül	Kétségtelenül ő a legjobb jelölt.
unify	egyesít	A terv célja a csapatok egyesítése.
unprecedented	példátlan	A vihar példátlan károkat okozott.
unveil	leleplez	A vállalat holnap leleplezi a dizájnt.
upcoming	közelgő	A közelgő választás felkeltette a közvélemény figyelmét.
upgrade	frissít	Tegnap este frissítettük a szoftvert.
uphold	helybenhagy	Helybenhagyjuk az eredeti döntést.
utility	rezsi	Az apartman minden rezsiköltséget tartalmaz.
utilize	hasznosít	A csapat hasznosította a rendelkezésre álló adatokat.
utterly	teljesen	A magyarázat teljesen zavaros volt.
vacuum	űr	A vezetésben keletkezett űr feszültséget keltett.
vague	homályos	A válasza homályos és gyenge volt.
validity	érvényesség	A tanulmány megkérdőjelezte a teszt érvényességét.
vanish	eltűnik	A fájl eltűnt a mappából.
variable	változó	Az ár egy fontos változó.
varied	változatos	A kurzus változatos feladatokat kínál.
vein	véna	A nővér gyorsan megtalált egy vénát.
venture	vállalkozás	Az új vállalkozás vonzotta a befektetőket.
verbal	szóbeli	Szóbeli megállapodásra jutottak.
verdict	ítélet	Az esküdtszék kihirdette az ítéletet.
verify	megerősít	Kérjük, erősítse meg az e-mail címét.
verse	versszak	Idézett egy versszakot a versből.
versus	szemben	A vita a magánélet védelme a biztonsággal szemben volt.
vessel	hajó	A hajó gabonát szállított a tengeren át.
veteran	veterán	A veterán képezte ki az új személyzetet.
viable	életképes	A javaslat pénzügyileg életképes.
vibrant	élénk	A városnak élénk a művészeti élete.
vice	bűn	A kapzsiság volt a legnagyobb bűne.
vicious	kegyetlen	A kegyetlen támadás sokkolta a várost.
villager	falusi	Egy falusi vezetett el minket a folyóhoz.
violate	megsért	A vállalat megsértheti a biztonsági szabályokat.
violation	szabálysértés	Az ellenőr súlyos szabálysértést jelentett.
virtue	erény	A türelem egy fontos erény.
vocal	szókimondó	A döntéssel kapcsolatban szókimondó volt.
vow	megesküszik	Megesküdött, hogy befejezi a munkát.
vulnerability	sebezhetőség	Az ellenőrzés biztonsági sebezhetőséget tárt fel.
vulnerable	sebezhető	A gyerekek sebezhetők az extrém hőség idején.
ward	kórterem	A beteg egy másik kórterembe költözött.
warehouse	raktár	A raktár alkatrészeket tárol.
warfare	hadviselés	A modern hadviselés a technológiára támaszkodik.
warrant	parancs	A rendőrség felmutatott egy házkutatási parancsot.
warrior	harcos	A harcos megvédte a falut.
weaken	gyengít	A sérülés gyengítette a szorítását.
weave	fon	Megtanult kosarakat fonni.
weed	gyom	Egy gyom nőtt a kövek között.
well	kút	A falu kútja kiszáradt.
well-being	jólét	Az alvás létfontosságú a jóléthez.
whatsoever	egyáltalán	Egyáltalán semmi érdeklődést nem mutatott.
whereby	amely által	A törvény létrehozott egy rendszert, amely által a családok fellebbezhettek.
whilst	mialatt	Ő dolgozott, mialatt a férfi pihent.
