source_headword	HR	example_HR
hunt	tražiti	Oni traže gljive u jesen.
hurricane	uragan	Uragan je oštetio mnoge domove.
hurry	žurba	Danas nema žurbe.
identity	identitet	Njezin identitet ostao je tajan.
ignore	ignorirati	Ne ignoriraj ovo upozorenje.
illegal	nezakonit	Ovdje je nezakonito parkirati.
imaginary	izmišljen	Priča ima izmišljeni otok.
immediate	hitan	Trebamo hitan odgovor.
immigrant	imigrant	Imigrant je brzo naučio engleski.
impact	utjecaj	Vijest je imala snažan utjecaj.
import	uvoziti	Zemlja će uvoziti više riže.
importance	važnost	Razumjela je važnost sna.
impression	dojam	Njegov prvi dojam bio je pozitivan.
impressive	impresivan	Muzej ima impresivan ulaz.
improvement	poboljšanje	Ovaj mjesec bilo je jasno poboljšanje.
incredibly	nevjerojatno	Test je bio nevjerojatno težak.
indeed	doista	Doista je bio čudan dan.
indicate	pokazati	Znak će pokazati izlaz.
indirect	neizravan	Dala je neizravan odgovor.
indoor	unutarnji	Hotel ima unutarnji bazen.
indoors	u zatvorenom	Ostali smo u zatvorenom tijekom oluje.
influence	utjecaj	Njegov učitelj imao je snažan utjecaj.
ingredient	sastojak	Brašno je glavni sastojak.
injure	ozlijediti	Nemoj ozlijediti leđa.
injured	ozlijeđen	Ozlijeđeni igrač napustio je teren.
innocent	nevin	Dijete je izgledalo potpuno nevino.
intelligence	inteligencija	Pokazala je veliku inteligenciju u razredu.
intend	namjeravati	Namjeravam studirati u inozemstvu.
intention	namjera	Njegova namjera bila je pomoći.
invest	ulagati	Oni ulažu novac u obrazovanje.
investigate	istražiti	Policija će istražiti nesreću.
involved	uključen	Nekoliko učenika bilo je uključeno.
iron	željezo	Vrata su izrađena od željeza.
issue	problem	Ovo je ozbiljan problem.
IT	informacijska tehnologija	Ona radi u informacijskoj tehnologiji.
journal	dnevnik	On piše u dnevnik.
judge	sudac	Sudac je pažljivo slušao.
keen	željan	Ona je željna učenja.
keyboard	tipkovnica	Moja tipkovnica prestala je raditi.
kick	udariti	Udari loptu nježno.
killing	ubojstvo	Ubojstvo je šokiralo selo.
kind (caring)	ljubazan	To je bila ljubazna gesta.
kiss	poljubac	Dala je bebi poljubac.
label	etiketa	Pročitaj etiketu prije upotrebe.
laboratory	laboratorij	Laboratorij je danas zatvoren.
lack	nedostatak	Nedostatak sna šteti pamćenju.
latest	najnoviji	Jesi li pročitao najnovije izvješće?
lay	položiti	Položi knjigu na stol.
layer	sloj	Dodaj još jedan sloj boje.
leading	vodeći	Ona je vodeća znanstvenica.
leaf	list	List je pao na moj kaput.
leather	koža	Njegova torba izrađena je od kože.
legal	pravni	Trebamo pravni savjet.
leisure	slobodno vrijeme	Čitanje je moja omiljena aktivnost u slobodno vrijeme.
length	duljina	Izmjeri duljinu sobe.
lie2 (tell a lie)	lagati	Nemoj lagati roditeljima.
limit	ograničenje	Ograničenje brzine je pedeset.
lip	usna	Ugrizla se za usnu.
liquid	tekućina	Voda je bistra tekućina.
literature	književnost	Studira francusku književnost.
live2	uživo	Bend je sinoć svirao uživo.
living	živ	Žive biljke trebaju svjetlo.
locate	locirati	Možeš li locirati datoteku?
located	smješten	Ured je smješten u centru.
location	lokacija	Ovo je dobra lokacija.
lonely	usamljen	Osjećao se usamljeno nakon preseljenja.
loss	gubitak	Gubitak je svima bio težak.
luxury	luksuz	Hotel nudi pravi luksuz.
mad	ljut	Bila je ljuta zbog kašnjenja.
magic	magija	Predstava je bila puna magije.
mainly	uglavnom	Grupa su uglavnom studenti.
mall	trgovački centar	Sreli smo se u trgovačkom centru.
management	upravljanje	Dobro upravljanje štedi vrijeme.
marketing	marketing	Marketing pomaže prodaji proizvoda.
marriage	brak	Njihov brak trajao je trideset godina.
meanwhile	u međuvremenu	U međuvremenu sam skuhao večeru.
measure	izmjeriti	Pažljivo izmjeri stol.
medium	srednji	Naručio sam srednju pizzu.
mental	mentalni	Stres utječe na mentalno zdravlje.
mess	nered	Počisti ovaj nered.
mild	blag	Juha ima blag okus.
mine (hole in the ground)	rudnik	Rudnik je zatvoren prošle godine.
mix	pomiješati	Pomiješaj jaja s mlijekom.
mixture	smjesa	Smjesa je postala gusta.
mood	raspoloženje	Glazba joj je promijenila raspoloženje.
mud	blato	Njegove cipele bile su prekrivene blatom.
murder	ubojstvo	Ubojstvo se dogodilo noću.
muscle	mišić	Vježbanje razvija mišiće.
mystery	misterij	Stara kuća je misterij.
nail	nokat	Slomio sam nokat.
narrative	pripovijest	Roman ima jasnu pripovijest.
nation	nacija	Cijela nacija je slavila.
native	materinski	Španjolski je njezin materinski jezik.
naturally	prirodno	Djeca prirodno uče kroz igru.
necessarily	nužno	Skupa hrana nije nužno bolja.
needle	igla	Igla je vrlo oštra.
neighbourhood	susjedstvo	Žive u mirnom susjedstvu.
net	mreža	Ribar je popravio svoju mrežu.
nor	niti	Nije se niti nasmiješio niti progovorio.
northern	sjeverni	Posjetili su sjevernu obalu.
nuclear	nuklearni	Rasprava je bila o nuklearnoj energiji.
obvious	očit	Odgovor je bio očit.
obviously	očito	Očito nam treba više vremena.
occasion	prilika	Ovo je posebna prilika.
occur	dogoditi se	Nesreće se mogu dogoditi bilo gdje.
odd	čudan	To je bilo čudno pitanje.
official	službeni	Službeni rezultat stigao je danas.
old-fashioned	staromodan	Njezin telefon izgleda staromodno.
operation	operacija	Operacija je trajala dva sata.
organized	organiziran	Njezin stol je vrlo organiziran.
organizer	organizator	Organizator je dočekao goste.
originally	izvorno	Izvorno je došla iz Kanade.
ought modal	trebao bi	Trebao bi se odmoriti.
ours	naš	Ovaj stol je naš.
outdoor	vanjski	Kupili smo vanjski namještaj.
outdoors	vani	Djeca bi se trebala igrati vani.
package	paket	Paket je stigao jutros.
painful	bolan	Posjekotina je bila bolna.
pale	blijed	Njegovo lice izgledalo je blijedo.
pan	tava	Prvo zagrij tavu.
participate	sudjelovati	Svatko može sudjelovati.
particularly	osobito	Osobito mi se sviđa ova pjesma.
passion	strast	Glazba je njezina strast.
path	staza	Slijedi stazu kroz park.
payment	plaćanje	Plaćanje dospijeva sutra.
peaceful	miran	Vrt je miran.
percentage	postotak	Mali postotak se složio.
perfectly	savršeno	Plan je savršeno funkcionirao.
performance	izvedba	Njezina izvedba bila je izvrsna.
personally	osobno	Osobno više volim čaj.
persuade	nagovoriti	Možeš li ga nagovoriti da se pridruži?
photographer	fotograf	Fotograf je snimio mnogo fotografija.
photography	fotografija	Fotografija je njegov omiljeni hobi.
pin	pribadača	Stavi pribadaču na kartu.
pipe	cijev	Cijev prenosi vodu.
planning	planiranje	Planiranje zahtijeva vrijeme.
pleasant	ugodan	Imali smo ugodnu večer.
pleasure	zadovoljstvo	Bilo mi je zadovoljstvo upoznati te.
plenty	dovoljno	Imamo dovoljno vremena.
plot	radnja	Radnju je bilo lako pratiti.
plus1	plus	Dva plus tri je pet.
poem	pjesma	Napisala je kratku pjesmu.
poet	pjesnik	Pjesnik je čitao naglas.
poetry	poezija	On voli modernu poeziju.
poison	otrov	Drži otrov dalje od djece.
poisonous	otrovan	Neke gljive su otrovne.
policy	politika	Tvrtka je promijenila svoju politiku.
political	politički	Govor je bio politički.
politician	političar	Političar je odgovarao na pitanja.
politics	politika	Politika može biti komplicirana.
port	luka	Brod je ušao u luku.
portrait	portret	Portret visi u hodniku.
possibly	moguće	Moguće je da će stići kasno.
pot	lonac	Biljci treba veći lonac.
pour	uliti	Polako ulij mlijeko.
poverty	siromaštvo	Mnoge obitelji žive u siromaštvu.
powder	prah	Dodaj prah u vodu.
powerful	snažan	Motor je snažan.
practical	praktičan	Ovo je praktično rješenje.
pray	moliti se	Oni se mole svako jutro.
prayer	molitva	Tiho je izrekla molitvu.
prediction	predviđanje	Njegovo predviđanje bilo je točno.
prepared	spreman	Spreman sam za ispit.
presentation	prezentacija	Njezina prezentacija bila je jasna.
press	pritisnuti	Pritisni gumb jednom.
pressure	pritisak	Pritisak može utjecati na tvoje zdravlje.
pretend	pretvarati se	Nemoj se pretvarati da spavaš.
previous	prethodni	Prethodna lekcija bila je lakša.
previously	prethodno	Prethodno smo živjeli u Rimu.
priest	svećenik	Svećenik je govorio tiho.
primary	glavni	Zdravlje je naša glavna briga.
prince	princ	Princ je posjetio školu.
princess	princeza	Princeza je nosila plavu haljinu.
printing	ispis	Ispis izvješća trajao je nekoliko minuta.
prisoner	zatvorenik	Zatvorenik je pobjegao noću.
private	privatan	Ovo je privatan razgovor.
producer	producent	Producentu se svidio film.
production	proizvodnja	Proizvodnja počinje sljedeći tjedan.
profession	profesija	Poučavanje je cijenjena profesija.
profit	dobit	Trgovina je ostvarila dobit.
promote	promicati	Oni promiču zdravu prehranu.
proper	prikladan	Nosi prikladne cipele za planinarenje.
properly	ispravno	Zatvori vrata ispravno.
property	nekretnina	Kupili su nekretninu blizu rijeke.
protest	prosvjed	Prosvjed je završio mirno.
proud	ponosan	Bila je ponosna na svoga sina.
prove	dokazati	Možeš li dokazati svoj odgovor?
punish	kazniti	Učitelj ga nije kaznio.
punishment	kazna	Kazna se činila pravednom.
qualification	kvalifikacija	Treba ti kvalifikacija za ovaj posao.
qualified	kvalificiran	Ona je kvalificirana medicinska sestra.
qualify	kvalificirati se	Naš tim se može kvalificirati.
queue	red	Čekali smo u dugom redu.
quit	prestati	Odlučio je prestati pušiti.
quotation	citat	Esej počinje citatom.
quote	citirati	Mogu li citirati tvoje riječi?
race (people)	rasa	Obrazac pita za rasu.
racing	utrke	Konjske utrke ondje su popularne.
range	raspon	Trgovina prodaje širok raspon.
rare	rijedak	Ova ptica je rijetka.
rarely	rijetko	Rijetko jedemo vani.
reaction	reakcija	Njezina reakcija me iznenadila.
reality	stvarnost	Stvarnost je bila drukčija od njegova sna.
receipt	račun	Sačuvaj račun.
recommendation	preporuka	Hvala ti na preporuci.
reference	referenca	Dodaj referencu na kraju.
reflect	odražavati	Zrcalo može odražavati svjetlost.
regularly	redovito	Ona redovito vježba.
reject	odbiti	Mogli bi odbiti ponudu.
relate	poistovjetiti se	Mogu se poistovjetiti s tom pričom.
related	povezan	Ta dva problema su povezana.
relation	odnos	Postoji odnos između njih.
relative	relativan	Brzina je relativna.
relaxed	opušten	Osjećao se opušteno nakon večere.
relaxing	opuštajući	Glazba je bila opuštajuća.
release	objaviti	Uskoro će objaviti film.
reliable	pouzdan	Ovaj autobus je obično pouzdan.
