source_headword	SK	example_SK
absorb	absorbovať	Uterák rýchlo saje vodu.
abstract	abstraktný	Prednáška rozoberala abstraktné myšlienky.
accent	prízvuk	Jej prízvuku sa dá ľahko porozumieť.
accidentally	náhodou	Omylom som vymazal ten súbor.
accommodate	prispôsobiť	Hotel dokáže ubytovať veľké rodiny.
accomplish	splniť	Svoj cieľ dosiahla pred júnom.
accountant	účtovník	Účtovník skontroloval faktúru.
accuracy	presnosť	Test meria presnosť čítania.
accurately	presne	Mapa presne ukazuje trasu.
acid	kyselina	Kyselina poškodila kovový povrch.
activate	aktivovať	Stlačením tlačidla aktivujete alarm.
addiction	závislosť	Jeho závislosť ovplyvnila jeho prácu.
additionally	navyše	Navyše potrebujeme viac stoličiek.
adequate	adekvátny	Miestnosť má dostatočné svetlo.
adequately	adekvátne	Správa dostatočne vysvetlila problém.
adjust	upraviť	Pred jazdou si nastavte sedadlo.
affordable	cenovo dostupný	Byt je pre študentov cenovo dostupný.
agriculture	poľnohospodárstvo	Poľnohospodárstvo živí mnoho vidieckych rodín.
AIDS	AIDS	Lekári liečia AIDS modernou medicínou.
alien	mimozemšťan	Film ukazuje mimozemskú planétu.
alongside	popri	Cyklotrasa vedie popri rieke.
altogether	celkom	Celkovo projekt trval šesť týždňov.
ambulance	sanitka	Sanitka dorazila v priebehu niekoľkých minút.
amusing	zábavný	Príbeh bol zábavný a ľahký.
analyst	analytik	Analytik preskúmal údaje o predaji.
ancestor	predok	Môj predok žil neďaleko tejto dediny.
animation	animácia	Animácia urobila lekciu jasnejšou.
annually	ročne	Festival sa koná každoročne.
anticipate	predvídať	Zajtra očakávame hustú premávku.
anxiety	úzkosť	Úzkosť môže sťažiť spánok.
apology	ospravedlnenie	Ponúkla úprimné ospravedlnenie.
applicant	žiadateľ	Uchádzač poslal nový životopis.
appropriately	vhodne	Na pohovor sa prosím oblečte vhodne.
arrow	šípka	Šípka ukazuje k východu.
artwork	umelecké dielo	Múzeum vystavilo miestne umelecké diela.
aside	bokom	Odstúpila nabok, aby ho nechala prejsť.
asset	aktívum	Skúsenosti sú cenným prínosom.
assign	prideliť	Učiteľ dnes zadal domácu úlohu.
assistance	pomoc	Požiadajte personál o pomoc.
assumption	predpoklad	Ten predpoklad môže byť nesprávny.
assure	uistiť	Uisťujem vás, že dvere sú zamknuté.
astonishing	ohromujúci	Výhľad z útesu bol ohromujúci.
attachment	príloha	E-mail obsahuje prílohu.
auction	aukcia	Obraz sa predal v aukcii.
audio	audio	Zvukový záznam znie čisto.
automatic	automatický	Dvere majú automatický zámok.
automatically	automaticky	Svetlá sa zapínajú automaticky.
awareness	povedomie	Kampaň zvýšila povedomie verejnosti.
awkward	trápny	Ticho bolo trápne.
badge	odznak	Návštevníci musia nosiť visačku.
balanced	vyvážený	Vyvážená strava obsahuje zeleninu.
ballet	balet	Po škole študuje balet.
balloon	balón	Balón sa vznášal nad stolom.
barely	sotva	Sotva počul oznámenie.
bargain	výhodná kúpa	Tá bunda bola naozaj výhodná kúpa.
basement	suterén	Krabice sú v suteréne.
basket	kôš	Vložila jablká do košíka.
bat	pálka	Netopier vyletel z jaskyne.
beneficial	prospešný	Pravidelné cvičenie je prospešné pre zdravie.
beside	vedľa	Lampa stojí vedľa pohovky.
besides	okrem toho	Okrem matematiky študuje aj chémiu.
bias	zaujatosť	Článok ukazoval jasnú zaujatosť.
bid	ponuka	Spoločnosť dala vyššiu ponuku.
biological	biologický	Biologický test potvrdil výsledok.
blanket	deka	Dieťa spalo pod prikrývkou.
blow	úder	Silný úder rozbil okno.
bold	odvážny	Nadpis používal tučné písmená.
bombing	bombardovanie	Bombardovanie poškodilo niekoľko budov.
booking	rezervácia	Potvrdil som rezerváciu v hoteli.
boost	podpora	Výhra posilnila sebadôveru tímu.
bound	viazaný	Zásielka bola zviazaná špagátom.
brick	tehla	Stena je postavená z tehál.
briefly	stručne	Po obede stručne prehovorila.
broadcaster	vysielateľ	Vysielateľ robil rozhovor so starostom.
broadly	široko	Tieto dva plány sú zhruba podobné.
bug	chyba	Aplikácia spadla kvôli chybe.
cabin	chata	Zostali sme v malej chate.
canal	kanál	Lode sa pomaly pohybovali po kanáli.
candle	sviečka	Sviečka horela na stole.
carbon	uhlík	Stromy absorbujú uhlík zo vzduchu.
casual	neformálny	Do práce mal oblečené ležérne oblečenie.
cave	jaskyňa	Turisti vošli do jaskyne.
certainty	istota	Nemôžeme to vedieť s istotou.
certificate	certifikát	Získala osvedčenie o školení.
challenging	náročný	Kurz bol náročný, ale užitočný.
championship	majstrovstvá	Náš tím sa dostal do finále šampionátu.
charming	očarujúci	Stará ulica vyzerala očarujúco.
chase	naháňačka	Pes naháňal loptičku.
cheek	líce	Po líci jej stekala slza.
cheer	jasot	Dav začal hlasno jasať.
choir	zbor	Zbor spieval nádherne.
chop	sekať	Nakrájajte cibuľu na malé kúsky.
