source_headword	TH	example_TH
institute	สถาบัน	สถาบันได้เปิดโครงการวิจัยใหม่.
institution	องค์กร	สถาบันได้เปลี่ยนกฎการรับสมัคร.
insurance	ประกันภัย	ประกันของเธอครอบคลุมค่าใช้จ่ายของโรงพยาบาล.
intended	ที่ตั้งใจไว้	ข้อความได้เข้าถึงกลุ่มเป้าหมายแล้ว.
intense	รุนแรง	การโต้วาทีกลายเป็นเรื่องรุนแรงอย่างรวดเร็ว.
internal	ภายใน	บริษัทเริ่มการทบทวนเป็นการภายใน.
interpret	ตีความ	โปรดตีความผลลัพธ์อย่างระมัดระวัง.
interrupt	ขัดจังหวะ	อย่าขัดจังหวะผู้พูดในตอนนี้.
investigation	การสืบสวน	การสืบสวนเผยให้เห็นข้อผิดพลาดร้ายแรง.
investment	การลงทุน	การลงทุนได้สร้างงานในท้องถิ่นมากมาย.
joy	ความสุข	ความสำเร็จของพวกเขานำมาซึ่งความสุขอย่างยิ่ง.
judgement	วิจารณญาณ	วิจารณญาณของเขาดีขึ้นจากประสบการณ์.
junior	ผู้น้อย	เธอเข้าร่วมทีมในฐานะนักวิเคราะห์ระดับจูเนียร์.
justice	ความยุติธรรม	ครอบครัวเรียกร้องความยุติธรรมหลังการพิจารณาคดี.
justify	ให้เหตุผล	คุณต้องให้เหตุผลกับการตัดสินใจนั้นอย่างชัดเจน.
labour	แรงงาน	โครงการนี้ต้องการแรงงานที่มีทักษะ.
landscape	ภูมิทัศน์	ภูมิทัศน์เปลี่ยนไปหลังเกิดพายุ.
largely	ส่วนใหญ่	แผนการส่วนใหญ่ประสบความสำเร็จ.
launch	เปิดตัว	พวกเขาจะเปิดตัวผลิตภัณฑ์ในวันพรุ่งนี้.
leadership	ความเป็นผู้นำ	ความเป็นผู้นำที่เข้มแข็งช่วยให้ทีมฟื้นตัวได้.
league	ลีก	สโมสรของเราเข้าร่วมลีกระดับภูมิภาค.
lean	พิง	อย่าพิงกำแพงที่เปียก.
licence	ใบอนุญาต	ใบอนุญาตจะหมดอายุในเดือนหน้า.
limited	จำกัด	วันนี้เรามีเวลาจำกัด.
lively	มีชีวิตชีวา	การประชุมมีชีวิตชีวาขึ้นหลังอาหารกลางวัน.
load	น้ำหนักบรรทุก	รถบรรทุกบรรทุกของหนัก.
loan	เงินกู้	ธนาคารอนุมัติเงินกู้แล้ว.
logical	มีเหตุผล	ข้อโต้แย้งของเธอชัดเจนและมีเหตุผล.
long-term	ระยะยาว	นี่คือวิธีแก้ปัญหาระยะยาว.
loose	หลวม	ด้ามจับรู้สึกหลวม.
lord	ขุนนาง	ขุนนางเป็นเจ้าของหมู่บ้านหลายแห่ง.
lower	ลดลง	พวกเขาลดราคาในช่วงฤดูหนาว.
lung	ปอด	การสูบบุหรี่สามารถทำลายปอดได้.
maintain	รักษาไว้	เรารักษาการติดต่อกันอย่างสม่ำเสมอ.
majority	เสียงข้างมาก	เสียงข้างมากสนับสนุนข้อเสนอนี้.
mass	มวล	กลุ่มเมฆก้อนใหญ่ปกคลุมท้องฟ้า.
massive	ใหญ่โต	แผ่นดินไหวทำให้เกิดความเสียหายมหาศาล.
master	ผู้เชี่ยวชาญ	เธอกลายเป็นผู้เชี่ยวชาญด้านการเจรจา.
matching	เข้าคู่กัน	เขาสวมรองเท้าและเข็มขัดที่เข้าคู่กัน.
maximum	สูงสุด	ห้องมีความจุถึงระดับสูงสุดแล้ว.
means	วิธีการ	อีเมลคือวิธีการติดต่อหลักของเรา.
measurement	การวัด	การวัดผิดพลาดเล็กน้อย.
melt	ละลาย	หิมะจะละลายตอนเที่ยง.
military	ทหาร	ฐานทัพทหารปิดตัวลงเมื่อปีที่แล้ว.
mineral	แร่ธาตุ	เหล็กเป็นแร่ธาตุที่สำคัญ.
minimum	ขั้นต่ำ	อายุขั้นต่ำคือสิบแปดปี.
minister	รัฐมนตรี	รัฐมนตรีตอบคำถามที่ยาก.
minor	เล็กน้อย	อุบัติเหตุทำให้เกิดความเสียหายเล็กน้อย.
minority	ชนกลุ่มน้อย	เสียงข้างน้อยคัดค้านกฎใหม่นี้.
mission	ภารกิจ	ภารกิจของพวกเขาสิ้นสุดลงอย่างปลอดภัย.
mixed	ผสม	ข่าวนี้ได้รับปฏิกิริยาที่หลากหลาย.
modify	แก้ไข	เราสามารถแก้ไขการออกแบบในภายหลังได้.
monitor	จอภาพ	พยาบาลจะเฝ้าดูอาการของเขา.
moral	ทางศีลธรรม	เรื่องนี้มีข้อคิดทางศีลธรรม.
motor	มอเตอร์	มอเตอร์หยุดโดยไม่มีการเตือนล่วงหน้า.
mount	ติดตั้ง	พวกเขาติดตั้งกล้องใกล้ทางเข้า.
multiple	หลายอย่าง	ปัจจัยหลายอย่างทำให้เกิดความล่าช้า.
multiply	คูณ	คูณตัวเลขด้วยสิบ.
mysterious	ลึกลับ	แสงลึกลับปรากฏขึ้นข้างนอก.
neat	เรียบร้อย	โต๊ะของเธอเป็นระเบียบเรียบร้อยเสมอ.
nerve	เส้นประสาท	อาการบาดเจ็บทำลายเส้นประสาท.
nevertheless	ถึงกระนั้น	งานนั้นยากถึงกระนั้นเราก็ทำเสร็จ.
nightmare	ฝันร้าย	การเดินทางกลายเป็นฝันร้าย.
notion	ความคิด	ปฏิเสธความคิดที่ว่าการเปลี่ยนแปลงเป็นไปไม่ได้.
numerous	มากมาย	การศึกษามากมายสนับสนุนแนวคิดนี้.
obey	ปฏิบัติตาม	คนขับรถต้องปฏิบัติตามป้ายจราจร.
objective	วัตถุประสงค์	วัตถุประสงค์ของเราคือการลดขยะ.
obligation	ภาระผูกพัน	พ่อแม่มีภาระผูกพันในการปกป้องลูก.
observation	การสังเกต	การสังเกตของเขาทำให้การอภิปรายเปลี่ยนไป.
observe	สังเกต	นักวิทยาศาสตร์สังเกตนกในแต่ละฤดูใบไม้ผลิ.
obtain	ได้รับ	คุณต้องได้รับอนุญาตเป็นลายลักษณ์อักษร.
occasionally	เป็นครั้งคราว	เธอทำงานจากที่บ้านเป็นครั้งคราว.
offence	การทำให้ขุ่นเคือง	ความคิดเห็นนี้ทำให้เกิดความขุ่นเคืองอย่างรุนแรง.
offend	ทำให้ขุ่นเคือง	ฉันไม่ได้ตั้งใจจะทำให้ใครขุ่นเคือง.
offensive	ซึ่งทำให้ขุ่นเคือง	โปสเตอร์มีข้อความที่ไม่สุภาพ.
opening	ตำแหน่งว่าง	ตำแหน่งงานว่างดึงดูดผู้สมัครจำนวนมาก.
operate	ทำงาน	เครื่องจักรนี้สามารถทำงานได้โดยอัตโนมัติ.
opponent	คู่ต่อสู้	คู่ต่อสู้ของเธอวิพากษ์วิจารณ์นโยบายนี้.
oppose	คัดค้าน	ชาวบ้านจำนวนมากคัดค้านแผนการนี้.
opposed	ซึ่งขัดแย้งกัน	กลุ่มเหล่านี้มีมุมมองที่ขัดแย้งกัน.
opposition	การคัดค้าน	ข้อเสนอนี้เผชิญกับการคัดค้านอย่างรุนแรง.
organ	อวัยวะ	หัวใจเป็นอวัยวะที่สำคัญ.
origin	จุดเริ่มต้น	ไม่ทราบสาเหตุของการเกิดไฟไหม้.
otherwise	มิฉะนั้น	ออกเดินทางตอนนี้เลยมิฉะนั้นคุณจะสาย.
outcome	ผลลัพธ์	ผลลัพธ์ทำให้ทุกคนประหลาดใจ.
outer	ภายนอก	กำแพงด้านนอกจำเป็นต้องซ่อมแซม.
outline	โครงร่าง	โปรดสรุปโครงร่างข้อโต้แย้งหลักของคุณ.
overall	โดยรวม	ผลลัพธ์โดยรวมเป็นไปในเชิงบวก.
owe	เป็นหนี้	ฉันเป็นหนี้คำขอโทษคุณ.
pace	จังหวะ	เดินด้วยจังหวะที่สม่ำเสมอ.
panel	คณะกรรมการ	คณะกรรมการหารือเกี่ยวกับนโยบายสภาพภูมิอากาศ.
parliament	รัฐสภา	รัฐสภาอนุมัติกฎหมายใหม่.
participant	ผู้เข้าร่วม	ผู้เข้าร่วมแต่ละคนลงนามในแบบฟอร์ม.
partly	บางส่วน	ความล่าช้าส่วนหนึ่งเป็นความผิดของเรา.
passage	บทความ	อ่านบทความก่อนตอบคำถาม.
pension1	เงินบำนาญ	เงินบำนาญของเขาเลี้ยงดูเขาหลังจากเกษียณอายุ.
permanent	ถาวร	พวกเขาต้องการทางออกที่ถาวร.
permit	อนุญาต	กฎอนุญาตให้มีการเยี่ยมชมสั้นๆได้.
perspective	มุมมอง	พยายามเข้าใจมุมมองของเธอ.
phase	ระยะ	โครงการเข้าสู่ระยะสุดท้าย.
phenomenon	ปรากฏการณ์	ปรากฏการณ์นี้เกิดขึ้นในหลายวัฒนธรรม.
philosophy	ปรัชญา	ปรัชญาของเธอให้คุณค่ากับการลงมือทำจริง.
pile	กอง	กองเอกสารวางคลุมเต็มโต๊ะ.
pitch	สนาม	ทีมงานเตรียมสนามอย่างระมัดระวัง.
