source_headword	MS	example_MS
toss	melempar	Dia melempar kunci ke atas meja.
total	berjumlah	Pembaikan itu berjumlah lebih daripada yang dijangkakan.
toxic	toksik	Asap toksik itu memaksa semua orang keluar.
trademark	tanda dagangan	Logo itu menjadi tanda dagangan syarikat tersebut.
trail	jejak	Jejak itu menghala melalui hutan.
trailer	treler	Treler itu menunjukkan pengakhiran filem tersebut.
transaction	transaksi	Transaksi itu muncul pada penyata bank saya.
transcript	transkrip	Pelajar itu meminta transkrip rasmi.
transformation	transformasi	Bandar itu melihat transformasi yang besar.
transit	transit	Pakej itu rosak semasa transit.
transmission	penghantaran	Penghantaran data itu selamat.
transparency	ketelusan	Laporan itu meminta ketelusan yang lebih besar.
transparent	telus	Proses itu harus telus kepada semua orang.
trauma	trauma	Kemalangan itu meninggalkan trauma yang mendalam.
treaty	perjanjian	Negara-negara itu menandatangani perjanjian keamanan.
tremendous	sangat besar	Pasukan itu mencapai kemajuan yang sangat besar.
tribal	puak	Muzium itu mempamerkan seni puak.
tribunal	tribunal	Tribunal mendengar bukti sepanjang minggu.
tribute	penghormatan	Konsert itu adalah penghormatan kepadanya.
trio	trio	Trio itu membuat persembahan di festival tersebut.
triumph	kejayaan	Kemenangan itu adalah kejayaan peribadi.
trophy	trofi	Kapten itu menjulang trofi dengan bangga.
troubled	bermasalah	Syarikat yang bermasalah itu memerlukan kepimpinan baharu.
trustee	pemegang amanah	Pemegang amanah itu menguruskan dana biasiswa.
tuition	tuisyen	Yuran tuisyennya meningkat tahun ini.
turnout	peratusan keluar mengundi	Peratusan keluar mengundi lebih tinggi daripada yang dijangkakan.
turnover	lantik ganti	Lantik ganti kakitangan menurun selepas perubahan itu.
twist	memutar	Dia memutar penutup itu sehingga terbuka.
undergraduate	mahasiswa	Mahasiswa itu menyertai projek penyelidikan.
underlying	asas	Laporan itu menerangkan punca-punca asas.
undermine	menjejaskan	Skandal itu menjejaskan kepercayaan awam.
undoubtedly	sudah pasti	Dia sudah pasti calon yang terbaik.
unify	menyatukan	Rancangan itu bertujuan untuk menyatukan pasukan-pasukan tersebut.
unprecedented	belum pernah terjadi sebelumnya	Ribut itu menyebabkan kerosakan yang belum pernah terjadi sebelumnya.
unveil	mendedahkan	Syarikat itu akan mendedahkan reka bentuk tersebut esok.
upcoming	akan datang	Pilihan raya yang akan datang menarik perhatian orang awam.
upgrade	menaik taraf	Kami menaik taraf perisian itu malam tadi.
uphold	mengekalkan	Kami mengekalkan keputusan asal.
utility	utiliti	Pangsapuri itu merangkumi semua kos utiliti.
utilize	menggunakan	Pasukan itu menggunakan data yang tersedia.
utterly	sama sekali	Penjelasan itu sama sekali mengelirukan.
vacuum	kekosongan	Kekosongan dalam kepimpinan mewujudkan ketegangan.
vague	samar-samar	Jawapannya samar-samar dan lemah.
validity	kesahihan	Kajian itu mempersoalkan kesahihan ujian tersebut.
vanish	lenyap	Fail itu lenyap dari folder.
variable	pemboleh ubah	Harga ialah satu pemboleh ubah yang penting.
varied	pelbagai	Kursus ini menawarkan tugasan yang pelbagai.
vein	urat	Jururawat itu menemui urat dengan cepat.
venture	usaha	Usaha baharu itu menarik minat pelabur.
verbal	lisan	Mereka mencapai persetujuan lisan.
verdict	keputusan	Juri menyampaikan keputusannya.
verify	mengesahkan	Sila sahkan alamat e-mel anda.
verse	rangkap	Dia memetik satu rangkap dari puisi itu.
versus	melawan	Perdebatan itu adalah tentang privasi melawan keselamatan.
vessel	kapal	Kapal itu membawa bijirin merentasi laut.
veteran	veteran	Veteran itu melatih kakitangan baharu.
viable	berdaya maju	Cadangan itu berdaya maju dari segi kewangan.
vibrant	meriah	Bandar ini mempunyai latar seni yang meriah.
vice	sifat buruk	Ketamakan adalah sifat buruk terbesarnya.
vicious	ganas	Serangan ganas itu mengejutkan bandar tersebut.
villager	penduduk kampung	Seorang penduduk kampung membimbing kami ke sungai.
violate	melanggar	Syarikat itu mungkin melanggar peraturan keselamatan.
violation	pelanggaran	Pemeriksa melaporkan pelanggaran yang serius.
virtue	kebaikan	Kesabaran ialah satu kebaikan yang penting.
vocal	lantang	Dia lantang tentang keputusan itu.
vow	berikrar	Dia berikrar untuk menyelesaikan kerja itu.
vulnerability	kelemahan	Audit itu mendedahkan satu kelemahan keselamatan.
vulnerable	terdedah	Kanak-kanak terdedah semasa haba melampau.
ward	wad	Pesakit itu berpindah ke wad lain.
warehouse	gudang	Gudang itu menyimpan alat ganti.
warfare	peperangan	Peperangan moden bergantung pada teknologi.
warrant	waran	Polis menunjukkan waran geledah.
warrior	pahlawan	Pahlawan itu melindungi kampung tersebut.
weaken	melemahkan	Kecederaan itu melemahkan cengkamannya.
weave	menganyam	Dia belajar menganyam bakul.
weed	rumpai	Rumpai tumbuh di antara batu-batu itu.
well	perigi	Perigi kampung itu kering.
well-being	kesejahteraan	Tidur amat penting untuk kesejahteraan.
whatsoever	sama sekali	Dia tidak menunjukkan minat sama sekali.
whereby	yang melaluinya	Undang-undang itu mewujudkan sistem yang melaluinya keluarga boleh membuat rayuan.
whilst	sementara	Dia bekerja sementara lelaki itu berehat.
whip	menyebat	Angin boleh menyebat bendera-bendera itu.
wholly	sepenuhnya	Keputusan itu sepenuhnya tidak dijangka.
widen	melebarkan	Bandar itu merancang untuk melebarkan jalan tersebut.
widow	janda	Janda itu tinggal berhampiran sekolah.
width	kelebaran	Ukur kelebaran pintu itu.
willingness	kesediaan	Kesediaannya untuk membantu mengagumkan semua orang.
wipe	mengelap	Lap skrin itu dengan sehelai kain.
wit	kepintaran	Kepintarannya menjadikan ucapan itu meriah.
withdrawal	penarikan balik	Penarikan balik pembiayaan melambatkan projek tersebut.
workout	senaman	Senaman itu berlangsung selama empat puluh minit.
worship	ibadat	Orang ramai berkumpul untuk beribadat pada waktu subuh.
worthwhile	berbaloi	Perjalanan itu berbaloi.
worthy	layak	Badan amal itu layak mendapat sokongan.
yell	menjerit	Jangan menjerit pada kakitangan itu.
yield	hasil	Hasil ladang itu bertambah baik pada musim ini.
youngster	anak muda	Anak muda itu bertanyakan banyak soalan.
