source_headword	HI	example_HI
abandon	छोड़ देना	कल उन्होंने योजना छोड़ दी.
absolute	पूर्ण	यहाँ पूर्ण ईमानदारी चाहिए.
acceptable	स्वीकार्य	यह समाधान स्वीकार्य लगता है.
accompany	साथ देना	संगीत ने पूरे दृश्य का साथ दिया.
accurate	सटीक	रिपोर्ट सटीक होनी चाहिए.
accuse	आरोप लगाना	उन्होंने उस पर गलती का आरोप लगाया.
acknowledge	स्वीकार करना	उसने समस्या को खुले तौर पर स्वीकार किया.
acquire	प्राप्त करना	कंपनी ने नया कौशल प्राप्त किया.
actual	वास्तविक	वास्तविक कीमत कम थी.
adapt	अनुकूल होना	हमें जल्दी अनुकूल होना पड़ा.
additional	अतिरिक्त	अतिरिक्त जानकारी बाद में आई.
administration	प्रशासन	प्रशासन ने नियम बदले.
adopt	अपनाना	उन्होंने नई नीति अपनाई.
advance	आगे बढ़ना	परियोजना धीरे-धीरे आगे बढ़ी.
affair	मामला	यह मामला निजी रहा.
afterwards	बाद में	बाद में सभी ने राहत महसूस की.
agency	एजेंसी	एजेंसी ने नई रिपोर्ट जारी की.
agenda	कार्यसूची	कार्यसूची पहले ही भर गई थी.
aggressive	आक्रामक	उसका स्वर बहुत आक्रामक था.
aid	सहायता	गाँव को जल्दी सहायता मिली.
aircraft	विमान	विमान शाम को उतरा.
alter	बदलना	एक छोटे विवरण ने परिणाम बदल दिया.
anger	क्रोध	उसका क्रोध साफ दिखाई दे रहा था.
angle	कोण	तस्वीर निचले कोण से ली गई.
anniversary	वर्षगांठ	उन्होंने घर पर वर्षगांठ मनाई.
annual	वार्षिक	वार्षिक बैठक मई में होती है.
anxious	चिंतित	वह परीक्षा से पहले चिंतित थी.
apparent	स्पष्ट	गलती तुरंत स्पष्ट थी.
apparently	जाहिर तौर पर	जाहिर तौर पर ट्रेन देर से आई.
appeal	अपील	अपील कई लोगों तक पहुँची.
approach	दृष्टिकोण	यह दृष्टिकोण बेहतर काम आया.
appropriate	उचित	उचित उत्तर चुनो.
approval	मंजूरी	योजना को प्रबंधक की मंजूरी मिली.
approve	मंजूर करना	समिति ने बजट मंजूर किया.
arise	उठना	बैठक में एक सवाल उठा.
armed	सशस्त्र	सशस्त्र गार्ड दरवाजे पर रहा.
arms	हथियार	हथियार बंद अलमारी में रखे गए.
artificial	कृत्रिम	स्वाद बहुत कृत्रिम लगा.
artistic	कलात्मक	उसकी कलात्मक दृष्टि मजबूत है.
ashamed	शर्मिंदा	वह अपने शब्दों के लिए शर्मिंदा था.
aspect	पहलू	इस पहलू पर अधिक ध्यान चाहिए.
assess	आकलन करना	शिक्षक ने हमारे काम का आकलन किया.
assessment	आकलन	परीक्षा के बाद आकलन तैयार हुआ.
associate	जोड़ना	कई लोग इस गंध को गर्मियों से जोड़ते हैं.
associated	संबंधित	ये जोखिम परियोजना से संबंधित हैं.
association	संघ	संघ ने खुली चर्चा आयोजित की.
assume	मान लेना	मैं मान लेता हूँ कि वह आएगा.
attempt	प्रयास	पहला प्रयास असफल रहा.
bacteria	बैक्टीरिया	बैक्टीरिया गर्म पानी में फैलते हैं.
barrier	बाधा	भाषा एक बड़ी बाधा थी.
basically	मूल रूप से	मूल रूप से योजना सरल थी.
bear (deal with)	सहना	मैं यह शोर नहीं सह सकता.
beg	भीख माँगना	उसने ईमानदारी से मदद माँगी.
being	जीव	वह जीव धीरे-धीरे चला.
bent	मुड़ा हुआ	मुड़ा हुआ तार आसानी से टूट गया.
bet	शर्त	उसने छोटी शर्त जीती.
beyond	से आगे	रास्ता घर से आगे जाता था.
bitter	कड़वा	कॉफी बहुत कड़वी थी.
blame	दोष देना	हर बात का दोष उसे मत दो.
blind	अंधा	अंधे आदमी ने दरवाज़ा पहचान लिया.
bond	बंधन	वर्षों में मजबूत बंधन बना.
breast	स्तन	डॉक्टर ने स्तन की सावधानी से जाँच की.
