source_headword	SL	example_SL
rock (music)	rock glasba	Rad imam rock glasbo.
role	vloga	Njena vloga je pomembna.
roof	streha	Streho je treba popraviti.
round	okrogel	Miza je okrogla.
route	pot	Ta pot je krajša.
rubbish	smeti	Odnesi smeti ven.
rude	nevljuden	Ta pripomba je bila nevljudna.
runner	tekač	Tekač je videti utrujen.
running	tek	Tek me ohranja zdravega.
sadly	žal	Žal smo zamudili vlak.
safe	varen	Ta ulica je videti varna.
sail	jadrati	V soboto bomo jadrali.
sailing	jadranje	Jadranje je tukaj priljubljeno.
salary	plača	Njegova plača je zdaj višja.
sale	razprodaja	Razprodaja se začne jutri.
sauce	omaka	Dodaj omako k rižu.
save	shraniti; rešiti	Shrani svoje delo zdaj.
scared	prestrašen	Otrok je prestrašen.
scary	strašen	Ta zgodba je strašna.
scene	prizor	Zadnji prizor je bil smešen.
schedule	urnik	Danes preveri urnik.
score	rezultat	Kakšen je rezultat?
screen	zaslon	Previdno očisti zaslon.
search	iskati	Išči slike na internetu.
season	sezona	Poletje je zasedena sezona.
seat	sedež	Prosim, vzemi ta sedež.
second1 (next after the first)	drugi	Drugič, umij si roke.
secondly	drugič	Drugič, preveri odgovor.
secret	skrivnost	Čuvaj to skrivnost.
secretary	tajnik; tajnica	Tajnica je danes poklicala.
seem	zdeti se	Zdiš se utrujen.
sense	smisel	Ta načrt ima smisel.
separate	ločen	Papirje drži ločeno.
series	serija	Ta serija je priljubljena.
serious	resen	Ta težava je resna.
serve	postreči	Kosilo postrežejo opoldne.
service	storitev	Storitev je bila hitra.
several	več	Več učencev je prišlo zgodaj.
shake	pretresti	Najprej pretresi steklenico.
shall modal	naj	Ali naj začnemo zdaj?
shape	oblika	Nariši kvadratno obliko.
sheet	rjuha	Položi rjuho na posteljo.
ship	ladja	Ladja je danes odplula.
shoulder	rama	Boli me rama.
shout	vpiti	Ne vpij v razredu.
shut	zapreti	Prosim, zapri okno.
side	stran	Sedi na to stran.
sign	znak	Pazljivo preberi znak.
silver	srebro	Srebro je svetla kovina.
simple	preprost	Ta vaja je preprosta.
since	od	Čakam od poldneva.
singing	petje	Petje mi pomaga sprostiti se.
single	en sam	Kupil sem eno samo vozovnico.
sir	gospod	Gospod, vaša torba je pripravljena.
site	spletno mesto	To spletno mesto je varno.
size	velikost	Katero velikost potrebuješ?
ski	smučati	Pozimi smučamo.
skiing	smučanje	Smučanje je pozimi zabavno.
skin	koža	Njena koža je suha.
sky	nebo	Nebo je jasno.
slowly	počasi	Počasi hodi po ledu.
smartphone	pametni telefon	Moj pametni telefon je nov.
smell	vonj; dišati	Juha lepo diši.
smile	nasmeh; nasmehniti se	Nasmehni se kameri.
smoke	dim	Dim je napolnil sobo.
smoking	kajenje	Kajenje ni dovoljeno.
soap	milo	Uporabi milo in vodo.
soccer	nogomet	Nogomet je tukaj priljubljen.
social	družaben	To je družabni dogodek.
society	družba	Družba se s časom spreminja.
sock	nogavica	Ena nogavica manjka.
soft	mehak	Ta odeja je mehka.
soldier	vojak	Vojak se je vrnil domov.
solution	rešitev	Našli smo rešitev.
solve	rešiti	Reši to uganko.
somewhere	nekje	Postavi to nekam na varno.
