source_headword	KN	example_KN
crawl	ತೆವಳು	ಮಗು ಕಾರ್ಪೆಟ್ ಮೇಲೆ ತೆವಳಲು ಪ್ರಾರಂಭಿಸಿತು.
creator	ಸೃಷ್ಟಿಕರ್ತ	ಸೃಷ್ಟಿಕರ್ತರು ಅವರ ಬೆಂಬಲಕ್ಕಾಗಿ ಎಲ್ಲರಿಗೂ ಧನ್ಯವಾದ ತಿಳಿಸಿದರು.
credibility	ವಿಶ್ವಾಸಾರ್ಹತೆ	ವಿಚಾರಣೆಯ ಸಮಯದಲ್ಲಿ ಸಾಕ್ಷಿಯು ವಿಶ್ವಾಸಾರ್ಹತೆಯನ್ನು ಕಳೆದುಕೊಂಡನು.
credible	ವಿಶ್ವಾಸಾರ್ಹ	ವರದಿಯು ವಿಶ್ವಾಸಾರ್ಹ ಪುರಾವೆಗಳನ್ನು ನೀಡಿತು.
creep	ತೆವಳು	ಕಣಿವೆಯ ಮೂಲಕ ಮಂಜು ನಿಧಾನವಾಗಿ ಹರಡಲು ಪ್ರಾರಂಭಿಸಿತು.
critique	ವಿಮರ್ಶೆ	ಪ್ರಾಧ್ಯಾಪಕರು ವಿವರವಾದ ವಿಮರ್ಶೆಯನ್ನು ನೀಡಿದರು.
crown	ಕಿರೀಟ	ರಾಣಿಯು ಬೆಳ್ಳಿಯ ಕಿರೀಟವನ್ನು ಧರಿಸಿದ್ದಳು.
crude	ಒರಟಾದ	ಚಿತ್ರವು ಒರಟಾಗಿದ್ದರೂ ಸ್ಪಷ್ಟವಾಗಿತ್ತು.
crush	ಪುಡಿಮಾಡು	ಭಾರವಾದ ಬಂಡೆಗಳು ಪೈಪ್ ಅನ್ನು ಪುಡಿಮಾಡಬಹುದು.
crystal	ಹರಳು	ಹರಳು ಮುಂಜಾನೆಯ ಬೆಳಕನ್ನು ಪ್ರತಿಫಲಿಸಿತು.
cult	ಪಂಥ	ಆ ಪಂಥವು ತನ್ನ ಸದಸ್ಯರನ್ನು ಪ್ರತ್ಯೇಕಿಸಿತು.
cultivate	ಬೆಳೆಸು	ಈ ಪ್ರದೇಶದಲ್ಲಿ ರೈತರು ಭತ್ತವನ್ನು ಬೆಳೆಯುತ್ತಾರೆ.
curiosity	ಕುತೂಹಲ	ಕುತೂಹಲವು ಅವಳನ್ನು ವಿಜ್ಞಾನದ ಕಡೆಗೆ ಕರೆದೊಯ್ಯಿತು.
custody	ವಶ	ಮಗು ಅವಳ ತಂದೆಯ ವಶದಲ್ಲಿ ಉಳಿಯಿತು.
cutting	ತುಣುಕು	ಪತ್ರಿಕೆಯು ಅವನ ಬಗ್ಗೆ ಒಂದು ತುಣುಕನ್ನು ಪ್ರಕಟಿಸಿತು.
cynical	ಸಿನಿಕ	ಅವನ ಸಿನಿಕ ಹೇಳಿಕೆಯು ತಂಡವನ್ನು ಅಸಮಾಧಾನಗೊಳಿಸಿತು.
dam	ಅಣೆಕಟ್ಟು	ಅಣೆಕಟ್ಟು ನದಿಯ ನೀರನ್ನು ತಡೆದಿಡುತ್ತದೆ.
damaging	ಹಾನಿಕಾರಕ	ಹಾನಿಕಾರಕ ಲೇಖನವು ಪ್ರಚಾರಕ್ಕೆ ಪೆಟ್ಟು ನೀಡಿತು.
dawn	ಮುಂಜಾನೆ	ನಾವು ಮುಂಜಾನೆ ಹಳ್ಳಿಯನ್ನು ಬಿಟ್ಟು ಹೊರಟೆವು.
