source_headword	VI	example_VI
abolish	huỷ bỏ	Đạo luật sẽ huỷ bỏ mức phí cũ.
abortion	sự phá thai	Phá thai vẫn là một vấn đề y tế nhạy cảm.
absence	sự vắng mặt	Sự vắng mặt của cô ấy làm trì hoãn quyết định cuối cùng.
absent	vắng mặt	Hai thành viên đã vắng mặt trong lớp.
absurd	vô lý	Tuyên bố đó nghe có vẻ vô lý đối với mọi người.
abundance	sự dồi dào	Thung lũng có nguồn nước dồi dào.
abuse	sự lạm dụng	Báo cáo mô tả sự lạm dụng tại nơi làm việc.
academy	học viện	Học viện đào tạo các nhạc sĩ trẻ.
accelerate	đẩy nhanh	Nguồn tài trợ mới sẽ đẩy nhanh quá trình nghiên cứu.
acceptance	sự chấp nhận	Sự chấp nhận lời chỉ trích của anh ấy làm tôi ấn tượng.
accessible	có thể tiếp cận	Bảo tàng có thể tiếp cận được đối với người sử dụng xe lăn.
accomplishment	thành tựu	Hoàn thành cuốn sách là một thành tựu thực sự.
accordance	sự phù hợp	Công việc được thực hiện phù hợp với chính sách.
accordingly	một cách tương ứng	Bằng chứng đã thay đổi, và chúng tôi đã hành động tương ứng.
accountability	trách nhiệm giải trình	Chính sách này làm tăng trách nhiệm giải trình của các nhà quản lý.
accountable	chịu trách nhiệm	Các nhà quản lý phải chịu trách nhiệm về sự an toàn.
accumulate	tích tụ	Bụi có thể tích tụ phía sau màn hình.
accumulation	sự tích tụ	Việc tích lũy dữ liệu mất nhiều tháng.
accusation	lời buộc tội	Lời buộc tội đã gây sốc cho ủy ban.
accused	bị cáo	Bị cáo đã xuất hiện tại tòa án.
acquisition	sự mua lại	Việc mua lại đã mở rộng công ty một cách nhanh chóng.
acre	mẫu Anh	Nông trại rộng một mẫu Anh.
activation	sự kích hoạt	Việc kích hoạt thẻ mất vài phút.
activist	nhà hoạt động	Nhà hoạt động đã phát biểu tại cuộc biểu tình.
acute	dữ dội	Cô ấy cảm thấy đau nhói sau khi chạy.
adaptation	sự chuyển thể	Bản chuyển thể đã thay đổi phần kết của cuốn tiểu thuyết.
adhere	tuân thủ	Nhân viên phải tuân thủ các quy tắc an toàn.
adjacent	liền kề	Khách sạn nằm liền kề với nhà ga.
adjustment	sự điều chỉnh	Một sự điều chỉnh nhỏ đã khắc phục được sự cố.
administer	tiêm	Các y tá tiêm vắc xin một cách cẩn thận.
administrative	thuộc về hành chính	Nhân viên hành chính xử lý các biểu mẫu.
administrator	quản trị viên	Quản trị viên đã đặt lại mật khẩu của tôi.
admission	sự vào cửa	Việc vào cửa bảo tàng là miễn phí.
adolescent	thanh thiếu niên	Thanh thiếu niên này cần được hỗ trợ thêm.
adoption	sự nhận nuôi	Việc nhận con nuôi đã mang lại cho đứa trẻ một mái ấm ổn định.
adverse	bất lợi	Thuốc đã gây ra các tác dụng phụ.
advocate	người ủng hộ	Người ủng hộ đã bảo vệ quyền lợi của người thuê nhà.
aesthetic	có tính thẩm mỹ	Căn phòng có phong cách thẩm mỹ thanh bình.
affection	tình cảm	Cô ấy thể hiện tình cảm đối với gia đình mình.
aftermath	hậu quả	Hậu quả của cơn bão thật tồi tệ.
aggression	sự hung hăng	Giáo viên nhận thấy sự hung hăng trong giờ ra chơi.
agricultural	thuộc về nông nghiệp	Xuất khẩu nông nghiệp đã tăng trong năm nay.
aide	phụ tá	Người phụ tá đã sắp xếp lịch trình của bộ trưởng.
albeit	mặc dù	Kế hoạch đã phát huy tác dụng, mặc dù chậm chạp.
alert	cảnh báo	Vui lòng cảnh báo cho nhân viên ngay lập tức.
align	căn chỉnh	Các mũi tên căn chỉnh với con đường.
alignment	sự căn chỉnh	Sự căn chỉnh bánh xe đã cải thiện khả năng điều khiển của xe.
alike	giống nhau	Cặp song sinh ăn mặc giống nhau vào cuối tuần.
allegation	cáo buộc	Cáo buộc đã xuất hiện trên tờ báo.
allege	cho rằng	Họ cho rằng tiền đã bị mất.
allegedly	được cho là	Người lái xe được cho là đã phớt lờ lời cảnh báo.
alliance	liên minh	Các đảng phái đã thành lập một liên minh tạm thời.
allocate	phân bổ	Thành phố sẽ phân bổ tiền cho các trường học.
allocation	sự phân bổ	Việc phân bổ chỗ ngồi không công bằng.
allowance	tiền tiêu vặt	Tiền tiêu vặt của cô ấy dùng cho bữa trưa và việc đi lại.
ally	đồng minh	Canada đã trở thành một đồng minh thân cận.
aluminium	nhôm	Khung được làm bằng nhôm.
amateur	nghiệp dư	Một nhiếp ảnh gia nghiệp dư đã chụp bức ảnh.
ambassador	đại sứ	Đại sứ đã gặp gỡ các sinh viên địa phương.
amend	sửa đổi	Quốc hội đã bỏ phiếu để sửa đổi luật.
amendment	bản sửa đổi	Bản sửa đổi đã thay đổi một đoạn văn.
amid	ở giữa	Bài phát biểu diễn ra trong bối cảnh căng thẳng gia tăng.
analogy	sự ví von	Giáo viên đã sử dụng một phép loại suy đơn giản.
anchor	mỏ neo	Chiếc thuyền thả neo gần hòn đảo.
angel	thiên thần	Đứa trẻ mặc trang phục thiên thần.
anonymous	ẩn danh	Lời phàn nàn là ẩn danh.
apparatus	dụng cụ	Dụng cụ phòng thí nghiệm cần được làm sạch.
appealing	hấp dẫn	Lời đề nghị có vẻ hấp dẫn đối với sinh viên.
appetite	sự thèm ăn	Việc tập thể dục đã làm tăng sự thèm ăn của anh ấy.
applaud	vỗ tay	Khán giả bắt đầu vỗ tay lớn.
applicable	có thể áp dụng	Khoản giảm giá được áp dụng vào hôm nay.
appoint	bổ nhiệm	Hội đồng quản trị sẽ bổ nhiệm một giám đốc.
appreciation	sự trân trọng	Cô ấy đã bày tỏ sự trân trọng đối với sự giúp đỡ của họ.
arbitrary	tùy tiện	Thời hạn dường như là tùy tiện đối với các nhân viên.
architectural	thuộc về kiến trúc	Thành phố bảo vệ di sản kiến trúc của mình.
archive	kho lưu trữ	Kho lưu trữ cất giữ các bức ảnh cũ.
arena	đấu trường	Cuộc tranh luận đã chuyển sang đấu trường công cộng.
arguably	có thể cho là	Đây có thể cho là cuốn tiểu thuyết hay nhất của ông ấy.
arm	trang bị vũ khí	Các vệ sĩ sẽ trang bị vũ khí cho đoàn xe.
array	một loạt	Cửa hàng cung cấp một loạt các công cụ.
articulate	diễn đạt	Cô ấy có thể diễn đạt những ý tưởng phức tạp một cách rõ ràng.
ash	tro bụi	Tro bụi phủ kín chiếc xe sau vụ hỏa hoạn.
aspiration	nguyện vọng	Nguyện vọng của cô ấy là trở thành một bác sĩ phẫu thuật.
aspire	khao khát	Nhiều học sinh khao khát được đi du học.
assassination	vụ ám sát	Vụ ám sát đã thay đổi nền chính trị của đất nước.
assault	cuộc tấn công	Vụ hành hung xảy ra gần nhà ga.
assemble	lắp ráp	Những người công nhân lắp ráp đồ nội thất bằng tay.
assembly	buổi tập trung	Buổi chào cờ của trường bắt đầu lúc chín giờ.
assert	khẳng định	Anh ấy đã cố gắng khẳng định uy quyền của mình.
assertion	sự khẳng định	Sự khẳng định của cô ấy đã làm hội đồng ngạc nhiên.
assurance	sự bảo đảm	Người quản lý đã đưa ra sự bảo đảm về việc hỗ trợ.
asylum	tị nạn	Gia đình đã xin tị nạn ở biên giới.
atrocity	sự tàn bạo	Bộ phim miêu tả một sự tàn bạo trong thời chiến.
attain	đạt được	Rất ít vận động viên điền kinh đạt được tốc độ đó.
attendance	sự tham dự	Số người tham dự đã cải thiện sau thông báo.
attorney	luật sư	Luật sư đã thẩm vấn nhân chứng.
attribute	quy cho	Các nhà khoa học quy sự gia tăng này cho tình trạng ô nhiễm.
audit	cuộc kiểm toán	Cuộc kiểm toán đã phát hiện ra một số lỗi.
authentic	đích thực	Nhà hàng phục vụ đồ ăn chính gốc của vùng.
authorize	cho phép	Chỉ có các nhà quản lý mới có thể cho phép hoàn tiền.
auto	ô tô	Ngành công nghiệp ô tô thay đổi nhanh chóng.
autonomy	quyền tự trị	Khu vực này muốn có quyền tự trị lớn hơn.
availability	sự có sẵn	Số lượng ghế trống có hạn.
await	chờ đợi	Vài tin nhắn đang chờ bạn trả lời.
backdrop	phông nền	Những ngọn núi tạo thành một phông nền ngoạn mục.
backing	sự ủng hộ	Đề xuất đã nhận được sự ủng hộ từ cử tri.
backup	bản sao lưu	Hệ thống tạo bản sao lưu hàng ngày.
bail	tiền bảo lãnh	Thẩm phán đã định mức tiền bảo lãnh vào buổi trưa.
ballot	lá phiếu	Mỗi cử tri đã nhận được một lá phiếu.
banner	biểu ngữ	Biểu ngữ được treo phía trên lối vào.
bare	trống trơn	Căn phòng có những bức tường trống trơn.
barrel	thùng	Thùng chứa đầy nước.
bass1	âm trầm	Âm trầm nghe sâu và ấm.
