source_headword	HR	example_HR
absorb	apsorbirati	Ručnik brzo apsorbira vodu.
abstract	apstraktan	Predavanje je raspravljalo o apstraktnim idejama.
accent	naglasak	Njezin naglasak je lako razumjeti.
accidentally	slučajno	Slučajno sam izbrisao datoteku.
accommodate	prilagoditi	Hotel može smjestiti velike obitelji.
accomplish	ostvariti	Ostvarila je svoj cilj prije lipnja.
accountant	računovođa	Računovođa je provjerio račun.
accuracy	točnost	Test mjeri točnost čitanja.
accurately	točno	Karta točno prikazuje rutu.
acid	kiselina	Kiselina je oštetila metalnu površinu.
activate	aktivirati	Pritisnite gumb za aktiviranje alarma.
addiction	ovisnost	Njegova ovisnost utjecala je na njegov rad.
additionally	dodatno	Dodatno, trebamo još stolica.
adequate	adekvatan	Soba ima prikladno osvjetljenje.
adequately	adekvatno	Izvješće je prikladno objasnilo problem.
adjust	prilagoditi	Prilagodite sjedalo prije vožnje.
affordable	pristupačan	Stan je pristupačan za studente.
agriculture	poljoprivreda	Poljoprivreda uzdržava mnoge ruralne obitelji.
AIDS	SIDA	Liječnici liječe AIDS modernom medicinom.
alien	izvanzemaljac	Film prikazuje vanzemaljski planet.
alongside	uz	Biciklistička staza prolazi uz rijeku.
altogether	posve	Ukupno je projekt trajao šest tjedana.
ambulance	hitna pomoć	Hitna pomoć stigla je u roku od nekoliko minuta.
amusing	zabavan	Priča je bila zabavna i laka.
analyst	analitičar	Analitičar je pregledao podatke o prodaji.
ancestor	predak	Moj predak živio je blizu ovog sela.
animation	animacija	Animacija je učinila lekciju jasnijom.
annually	godišnje	Festival se održava godišnje.
anticipate	predvidjeti	Predviđamo gust promet sutra.
anxiety	tjeskoba	Tjeskoba može otežati spavanje.
apology	isprika	Ponudila je iskrenu ispriku.
applicant	podnositelj zahtjeva	Kandidat je poslao novi životopis.
appropriately	prikladno	Molimo obucite se prikladno za intervju.
arrow	strelica	Strelica pokazuje prema izlazu.
artwork	umjetničko djelo	Muzej je izložio lokalno umjetničko djelo.
aside	u stranu	Stala je u stranu da ga pusti da prođe.
asset	imovina	Iskustvo je vrijedna prednost.
assign	dodijeliti	Učitelj je danas zadao domaću zadaću.
assistance	pomoć	Molimo vas da zatražite pomoć od osoblja.
assumption	pretpostavka	Ta pretpostavka bi mogla biti pogrešna.
assure	uvjeriti	Uvjeravam vas da su vrata zaključana.
