source_headword	IS	example_IS
abandon	hætta við	Í gær hættu þau við áætlunina.
absolute	algjör	Hér þarf algjöra heiðarleika.
acceptable	ásættanlegt	Þessi lausn er ásættanleg.
accompany	fylgja	Tónlistin fylgdi öllu atriðinu.
accurate	nákvæmur	Skýrslan þarf að vera nákvæm.
accuse	saka	Þau sökuðu hann um mistök.
acknowledge	viðurkenna	Hún viðurkenndi vandann opinberlega.
acquire	afla sér	Fyrirtækið aflaði sér nýrrar færni.
actual	raunverulegur	Raunverulegt verð var lægra.
adapt	aðlagast	Við urðum að aðlagast fljótt.
additional	viðbótar	Viðbótarupplýsingar komu síðar.
administration	stjórnsýsla	Stjórnsýslan breytti reglunum.
adopt	taka upp	Þau tóku upp nýja stefnu.
advance	þróast	Verkefnið þróaðist hægt.
affair	mál	Þetta mál var áfram einkamál.
afterwards	síðan	Síðan fannst öllum léttir.
agency	stofnun	Stofnunin birti nýja skýrslu.
agenda	dagskrá	Dagskráin var þegar full.
aggressive	árásargjarn	Tónn hans var of árásargjarn.
aid	aðstoð	Þorpið fékk fljótt aðstoð.
aircraft	flugvél	Flugvélin lenti um kvöldið.
alter	breyta	Lítið smáatriði breytti niðurstöðunni.
anger	reiði	Reiði hans var greinileg.
angle	horn	Myndin var tekin frá lágu horni.
anniversary	afmælisdagur	Þau fögnuðu afmælisdeginum heima.
annual	árlegur	Árlegi fundurinn er í maí.
anxious	kvíðinn	Hún var kvíðin fyrir prófið.
apparent	augljós	Villan var strax augljós.
apparently	að því er virðist	Að því er virðist tafðist lestin.
appeal	áskorun	Áskorunin náði til margra.
approach	nálgun	Þessi nálgun virkaði betur.
appropriate	viðeigandi	Veldu viðeigandi svar.
approval	samþykki	Áætlunin fékk samþykki stjórnandans.
approve	samþykkja	Nefndin samþykkti fjárhagsáætlunina.
arise	koma upp	Spurning kom upp á fundinum.
armed	vopnaður	Vopnaður vörður beið við dyrnar.
arms	vopn	Vopnin voru geymd í læstum skáp.
artificial	gervi-	Bragðið var of gervilegt.
artistic	listrænn	Hún hefur sterka listræna sýn.
