source_headword	TE	example_TE
toss	విసిరేయడం	ఆమె తాళాలను టేబుల్‌పైకి విసిరేసింది.
total	మొత్తం	మరమ్మతుల మొత్తం ఊహించిన దానికంటే ఎక్కువగా ఉంది.
toxic	విషపూరితమైన	విషపూరితమైన పొగ ప్రతి ఒక్కరినీ బయటకు వెళ్లేలా చేసింది.
trademark	ట్రేడ్‌మార్క్	లోగో కంపెనీ ట్రేడ్‌మార్క్‌గా మారింది.
trail	కాలిబాట	కాలిబాట అడవి గుండా దారి తీసింది.
trailer	ట్రైలర్	ట్రైలర్ సినిమా ముగింపును చూపించింది.
transaction	లావాదేవీ	ఆ లావాదేవీ నా బ్యాంక్ స్టేట్‌మెంట్‌లో కనిపించింది.
transcript	ట్రాన్స్‌క్రిప్ట్	విద్యార్థి అధికారిక ట్రాన్స్‌క్రిప్ట్‌ను అభ్యర్థించాడు.
transformation	పరివర్తన	నగరం ఒక పెద్ద పరివర్తనను చూసింది.
transit	రవాణా	రవాణా సమయంలో ప్యాకేజీ దెబ్బతింది.
transmission	ప్రసారం	డేటా ప్రసారం సురక్షితంగా జరిగింది.
transparency	పారదర్శకత	ఆ నివేదిక మరింత పారదర్శకతను కోరింది.
transparent	పారదర్శకమైన	ఈ ప్రక్రియ ప్రతి ఒక్కరికీ పారదర్శకంగా ఉండాలి.
trauma	మానసిక ఆఘాతం	ఈ ప్రమాదం తీవ్రమైన మానసిక ఆఘాతాన్ని మిగిల్చింది.
treaty	ఒప్పందం	దేశాలు శాంతి ఒప్పందంపై సంతకం చేశాయి.
tremendous	అద్భుతమైన	జట్టు అద్భుతమైన పురోగతిని సాధించింది.
tribal	గిరిజన	మ్యూజియం గిరిజన కళలను ప్రదర్శించింది.
tribunal	ట్రిబ్యునల్	ట్రిబ్యునల్ వారం అంతా సాక్ష్యాలను విన్నది.
tribute	నివాళి	ఈ సంగీత కచేరీ ఆమెకు ఒక నివాళి.
trio	త్రయం	ఆ త్రయం పండుగలో ప్రదర్శన ఇచ్చారు.
triumph	విజయం	ఈ గెలుపు ఒక వ్యక్తిగత విజయం.
trophy	ట్రోఫీ	కెప్టెన్ గర్వంగా ట్రోఫీని ఎత్తాడు.
troubled	ఇబ్బందుల్లో ఉన్న	ఇబ్బందుల్లో ఉన్న కంపెనీకి కొత్త నాయకత్వం అవసరం.
trustee	ధర్మకర్త	ధర్మకర్త స్కాలర్‌షిప్ నిధిని నిర్వహిస్తారు.
tuition	ట్యూషన్ ఫీజు	ఈ సంవత్సరం ఆమె ట్యూషన్ ఫీజు పెరిగింది.
turnout	హాజరు	ఓటర్ల హాజరు ఊహించిన దానికంటే ఎక్కువగా ఉంది.
turnover	సిబ్బంది మార్పు	మార్పుల తర్వాత సిబ్బంది వదిలివెళ్లడం తగ్గింది.
twist	తిప్పడం	ఆమె మూతను తిప్పి తెరిచింది.
undergraduate	అండర్ గ్రాడ్యుయేట్	ఆ అండర్ గ్రాడ్యుయేట్ ఒక పరిశోధన ప్రాజెక్టులో చేరాడు.
underlying	అంతర్లీనమైన	నివేదిక అంతర్లీన కారణాలను వివరించింది.
undermine	బలహీనపరచడం	ఈ కుంభకోణం ప్రజల నమ్మకాన్ని బలహీనపరిచింది.
undoubtedly	నిస్సందేహంగా	ఆమె నిస్సందేహంగా ఉత్తమ అభ్యర్థి.
unify	ఏకం చేయడం	జట్లను ఏకం చేయడమే ఈ పథకం లక్ష్యం.
unprecedented	అపూర్వమైన	తుఫాను అపూర్వమైన నష్టాన్ని కలిగించింది.
unveil	ఆవిష్కరించడం	కంపెనీ రేపు డిజైన్‌ను ఆవిష్కరిస్తుంది.
upcoming	రాబోయే	రాబోయే ఎన్నికలు ప్రజల దృష్టిని ఆకర్షించాయి.
upgrade	అప్‌గ్రేడ్ చేయడం	మేము గత రాత్రి సాఫ్ట్‌వేర్‌ను అప్‌గ్రేడ్ చేసాము.
uphold	సమర్థించడం	మేము అసలు నిర్ణయాన్ని సమర్థిస్తాము.
utility	వసతి	అపార్ట్‌మెంట్‌లో అన్ని యుటిలిటీ ఖర్చులు కలిసి ఉంటాయి.
utilize	వినియోగించడం	జట్టు అందుబాటులో ఉన్న డేటాను ఉపయోగించింది.
utterly	పూర్తిగా	వివరణ పూర్తిగా గందరగోళంగా ఉంది.
vacuum	శూన్యం	నాయకత్వంలోని శూన్యం ఉద్రిక్తతను సృష్టించింది.
vague	అస్పష్టమైన	అతని సమాధానం అస్పష్టంగా మరియు బలహీనంగా ఉంది.
validity	చెల్లుబాటు	ఈ అధ్యయనం పరీక్ష యొక్క చెల్లుబాటును ప్రశ్నించింది.
vanish	మాయమవడం	ఆ ఫైల్ ఫోల్డర్ నుండి మాయమైంది.
variable	వేరియబుల్	ధర అనేది ఒక ముఖ్యమైన వేరియబుల్.
varied	వివిధ రకాలైన	ఈ కోర్సు వివిధ రకాల అసైన్‌మెంట్‌లను అందిస్తుంది.
vein	నరం	నర్సు త్వరగా ఒక నరాన్ని కనుగొంది.
venture	వ్యాపారం	కొత్త వ్యాపారం పెట్టుబడిదారులను ఆకర్షించింది.
verbal	మౌఖిక	వారు మౌఖిక ఒప్పందానికి వచ్చారు.
verdict	తీర్పు	జ్యూరీ తమ తీర్పును వెలువరించింది.
verify	ధృవీకరించడం	దయచేసి మీ ఇమెయిల్ చిరునామాను ధృవీకరించండి.
verse	పద్యం	ఆమె కవిత నుండి ఒక పద్యాన్ని ఉదహరించింది.
versus	వర్సెస్	ఆ చర్చ గోప్యత వర్సెస్ భద్రత గురించి.
vessel	ఓడ	ఆ ఓడ సముద్రం మీదుగా ధాన్యాన్ని తీసుకెళ్లింది.
veteran	అనుభవజ్ఞుడు	ఆ అనుభవజ్ఞుడు కొత్త సిబ్బందికి శిక్షణ ఇచ్చాడు.
viable	ఆచరణాత్మకమైన	ఈ ప్రతిపాదన ఆర్థికంగా ఆచరణాత్మకమైనది.
vibrant	సజీవమైన	నగరంలో సజీవమైన కళా వాతావరణం ఉంది.
vice	దుర్గుణం	దురాశ అతని అతిపెద్ద దుర్గుణం.
vicious	దుర్మార్గమైన	ఆ దుర్మార్గపు దాడి పట్టణాన్ని దిగ్భ్రాంతికి గురి చేసింది.
villager	గ్రామస్థుడు	ఒక గ్రామస్థుడు మాకు నదికి దారి చూపించాడు.
violate	ఉల్లంఘించడం	ఆ కంపెనీ భద్రతా నిబంధనలను ఉల్లంఘించవచ్చు.
