hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	PT-BR	example_PT-BR	ES-419	example_ES-419	AZ	example_AZ	UZ	example_UZ
303:白色	白色	白色	beyaz renk	Beyaz bardağı seviyorum.	rangi nyeupe	Ninapenda kikombe cheupe.	cor branca	Gosto do copo branco.	color blanco	Me gusta la taza blanca.	ağ rəng	Ağ fincanı xoşlayıram.	oq rang	Menga oq piyola yoqadi.
305:帮	帮	帮	yardım etmek	Lütfen kapıyı açmama yardım et.	kusaidia	Tafadhali nisaidie kufungua mlango.	ajudar	Por favor, me ajude a abrir a porta.	ayudar	Por favor, ayúdame a abrir la puerta.	kömək etmək	Zəhmət olmasa qapını açmağa mənə kömək et.	yordam bermoq	Iltimos, eshikni ochishga menga yordam bering.
308:本子	本子	本子	defter	Bu defter benim.	daftari	Daftari hili ni langu.	caderno	Este caderno é meu.	cuaderno	Este cuaderno es mío.	dəftər	Bu dəftər mənimdir.	daftar	Bu daftar meniki.
310:笔	笔	笔	kalem; kurşun kalem	Bir kalemim var.	kalamu; penseli	Nina kalamu moja.	caneta; lápis	Tenho uma caneta.	pluma; lápiz	Tengo una pluma.	qələm; karandaş	Bir qələmim var.	ruchka; qalam	Menda bitta ruchka bor.
312:不错	不错	不错	fena değil; oldukça iyi	Bu lokanta oldukça iyi.	si mbaya; nzuri kiasi	Mkahawa huu ni mzuri kiasi.	nada mal; muito bom	Este restaurante é muito bom.	nada mal; bastante bueno	Este restaurante está bastante bueno.	pis deyil; yaxşıdır	Bu restoran pis deyil.	yomon emas; yaxshi	Bu restoran yaxshi.
313:不好意思	不好意思	不好意思	affedersin; utanmak	Affedersin, geç kaldım.	samahani; kuona aibu	Samahani, nimechelewa.	desculpe; ficar sem jeito	Desculpe, cheguei atrasado.	disculpa; sentir pena	Disculpa, llegué tarde.	bağışlayın; utanmaq	Bağışlayın, gecikdim.	kechirasiz; uyalmoq	Kechirasiz, kechikdim.
315:车站	车站	车站	istasyon; durak	Durak ileride.	kituo; stendi	Kituo kiko mbele.	estação; ponto	O ponto fica mais à frente.	estación; parada	La parada está adelante.	stansiya; dayanacaq	Dayanacaq qabaqdadır.	stansiya; bekat	Bekat oldinda.
317:出国	出国	出国	yurt dışına çıkmak	Gelecek yıl okumak için yurt dışına gidecek.	kwenda nje ya nchi	Mwaka ujao ataenda nje ya nchi kusoma.	ir para o exterior	Ele vai para o exterior estudar no ano que vem.	ir al extranjero	Él irá al extranjero a estudiar el próximo año.	xaricə getmək	O gələn il oxumaq üçün xaricə gedəcək.	chet elga ketmoq	U kelasi yil o'qish uchun chet elga ketadi.
318:出来	出来	出来	dışarı çıkmak	Lütfen biraz dışarı çık.	kutoka nje	Tafadhali toka nje kidogo.	sair; vir para fora	Por favor, saia um momento.	salir	Por favor, sal un momento.	çölə çıxmaq	Zəhmət olmasa bir az çölə çıx.	tashqariga chiqmoq	Iltimos, bir oz tashqariga chiqing.
319:出门	出门	出门	evden çıkmak	Sabah sekizde evden çıkarım.	kutoka nyumbani	Mimi hutoka nyumbani saa mbili asubuhi.	sair de casa	Saio de casa às oito da manhã.	salir de casa	Salgo de casa a las ocho de la mañana.	evdən çıxmaq	Səhər saat səkkizdə evdən çıxıram.	uydan chiqmoq	Men ertalab soat sakkizda uydan chiqaman.
320:出去	出去	出去	dışarı gitmek	Dışarı çıkıp yürümek istiyorum.	kwenda nje	Ninataka kwenda nje kutembea.	sair	Quero sair para caminhar.	salir	Quiero salir a caminar.	çölə getmək	Çölə çıxıb gəzmək istəyirəm.	tashqariga chiqmoq	Men tashqariga chiqib sayr qilmoqchiman.
