source_headword	UZ	example_UZ
clothes	kiyimlar	Mening kiyimlarim toza.
club	klub; to'garak	U musiqa klubiga boradi.
coat	palto	Mening paltom issiq.
coffee	qahva	Men ertalab qahva ichaman.
cold	sovuq; shamollash	Suv sovuq.
college	kollej	Opam kollejda o'qiydi.
colour	rang	Mening sevimli rangim ko'k.
come	kelmoq	Iltimos, bu yerga kel.
common	oddiy; keng tarqalgan	Bu ism keng tarqalgan.
company	kompaniya	Onam bir kompaniyada ishlaydi.
compare	solishtirmoq	Bu ikki rasmni solishtir.
complete	to'liq; tugatmoq	Forma to'liq.
computer	kompyuter	Bu kompyuter yangi.
concert	konsert	Biz bugun kechqurun konsertga boramiz.
conversation	suhbat	Biz qisqa suhbat qildik.
cook	ovqat pishirmoq; oshpaz	Men uyda kechki ovqat pishiraman.
cooking	ovqat pishirish	Dadam bilan ovqat pishirish menga yoqadi.
cool	salqin; zo'r	Xona salqin.
correct	to'g'ri; tuzatmoq	Sening javobing to'g'ri.
cost	narx; turmoq	Bu qancha turadi?
could modal	qila olardi; mumkin	Men senga yordam bera olardim.
country	mamlakat	Kanada katta mamlakat.
course	kurs; o'quv kursi	Men ingliz tili kursini olaman.
cousin	amakivachcha; qarindosh	Mening amakivachcham yaqinimda yashaydi.
cow	sigir	Sigir o't yeydi.
cream	qaymoq	Men qahvaga qaymoq qo'shaman.
create	yaratmoq	Ular yangi o'yin yaratadi.
culture	madaniyat	Biz mahalliy madaniyatni o'rganamiz.
cup	piyola	Bu piyola bo'sh.
customer	mijoz	Mijoz savol beradi.
cut	kesmoq	Olmani yarmiga kes.
dad	dada	Mening dadam ishda.
dance	raqs; raqsga tushmoq	Biz kechki ovqatdan keyin raqsga tushamiz.
dancer	raqqos; raqqosa	Raqqosa tez harakat qiladi.
dancing	raqsga tushish	Raqsga tushish qiziqarli.
dangerous	xavfli	Bu yo'l xavfli.
dark	qorong'i; to'q	Xona qorong'i.
date	sana	Bugungi sana nima?
daughter	qiz farzand	Uning qizi olti yoshda.
day	kun	Kuning yaxshi o'tsin.
dear	aziz	Aziz do'stim, rahmat.
December	dekabr	Mening tug'ilgan kunim dekabrda.
decide	qaror qilmoq	Iltimos, hozir qaror qil.
delicious	mazali	Bu sho'rva mazali.
describe	tasvirlamoq	Xonangni tasvirla.
description	tavsif	Qisqa tavsifni o'qi.
design	dizayn; loyihalamoq	Men oddiy karta loyihalayman.
desk	yozuv stoli	Kitob mening stolim ustida.
detail	tafsilot	Bitta tafsilot yo'q.
dialogue	dialog; suhbat	Endi dialogni o'qi.
dictionary	lug'at	Darsda lug'atdan foydalan.
die	o'lmoq	Suvsiz gullar o'ladi.
diet	ovqatlanish tartibi	Mening ovqatlanish tartibimda mevalar bor.
difference	farq	Bitta farq bor.
different	boshqa; turli	Bizda turli ismlar bor.
difficult	qiyin	Bu savol qiyin.
dinner	kechki ovqat	Kechki ovqat tayyor.
dirty	iflos	Mening oyoq kiyimlarim iflos.
discuss	muhokama qilmoq	Biz rejani muhokama qilamiz.
dish	taom; idish	Bu taom issiq.
do1	qilmoq; yordamchi fe'l	Sen nima qilyapsan?
doctor	shifokor	Shifokor band.
dog	it	It tashqarida yuguradi.
dollar	dollar	Bu bir dollar turadi.
door	eshik	Iltimos, eshikni yop.
down	pastga	Bu yerda pastga o'tir.
downstairs	pastki qavatda	Oshxona pastki qavatda.
draw	chizmoq	Kichik uy chiz.
dress	ko'ylak; kiyim	U qizil ko'ylak kiyadi.
drink	ichmoq; ichimlik	Men suv ichaman.
drive	haydamoq	Men ishga mashina haydayman.
driver	haydovchi	Haydovchi bu yerda to'xtaydi.
during	davomida	Men parvoz davomida uxlayman.
DVD	DVD disk	Bu DVD disk eski.
each	har bir	Har bir bolada bitta kitob bor.
ear	quloq	Qulog'im og'riyapti.
early	erta	Men erta turaman.
east	sharq	Quyosh sharqda chiqadi.
easy	oson	Bu imtihon oson.
eat	yemoq	Biz birga tushlik qilamiz.
egg	tuxum	Men bitta tuxum yeyman.
eight	sakkiz	Menda sakkizta karta bor.
eighteen	o'n sakkiz	U o'n sakkiz yoshda.
eighty	sakson	Bobom sakson yoshda.
elephant	fil	Fil katta.
eleven	o'n bir	Dars o'n birda boshlanadi.
else	boshqa narsa	Senga boshqa narsa kerakmi?
email	elektron xat	Menga elektron xat yubor.
end	oxir; tugatmoq	Bu oxiri.
enjoy	rohatlanmoq	Men bu qo'shiqdan rohatlanaman.
enough	yetarli	Bizda yetarli vaqt bor.
euro	yevro	Bu bir yevro turadi.
even	ham	Ukam ham biladi.
evening	kechqurun	Biz bu kechqurun uchrashamiz.
event	tadbir; voqea	Tadbir bugun boshlanadi.
ever	hech qachon; biror marta	Sen biror marta ovqat pishirasanmi?
every	har bir	Men har kuni o'qiyman.
everybody	hamma	Hamma bu yerda.
everyone	har kim	Har kim musiqani yaxshi ko'radi.
everything	hamma narsa	Hamma narsa tayyor.
exam	imtihon	Imtihon tez orada boshlanadi.
example	misol	Bu yaxshi misol.
excited	hayajonlangan	Men bugun hayajonlanganman.
exciting	hayajonli	O'yin hayajonli.
exercise	mashq; jismoniy mashq	Men nonushtadan oldin mashq qilaman.
expensive	qimmat	Bu palto qimmat.
explain	tushuntirmoq	Iltimos, bu so'zni tushuntir.
extra	qo'shimcha	Menga qo'shimcha vaqt kerak.
eye	ko'z	Ko'zim qizil.
face	yuz	Yuzingni yuv.
fact	fakt; haqiqat	Bu fakt muhim.
fall	tushmoq	Kuzda barglar tushadi.
false	noto'g'ri	Bu javob noto'g'ri.
family	oila	Mening oilam kichik.
famous	mashhur	U mashhur qo'shiqchi.
fantastic	ajoyib	Konsert ajoyib edi.
far	uzoq	Maktab uzoqda.
farm	ferma; dala	Ular fermada yashaydi.
farmer	fermer	Fermer oziq-ovqat yetishtiradi.
fast	tez	Bu poyezd tez.
fat	semiz	Mushuk semiz.
father	ota	Mening otam baland bo'yli.
favourite	sevimli	Bu mening sevimli qo'shig'im.
February	fevral	Bu yerda fevralda sovuq bo'ladi.
feel	his qilmoq; tuyulmoq	Men o'zimni baxtli his qilaman.
feeling	his	Men bu hisni bilaman.
festival	festival; bayram	Festival ertaga boshlanadi.
few	bir nechta; oz	Bu yerda bir nechta o'quvchi bor.
fifteen	o'n besh	Men o'n besh yoshdaman.
fifth	beshinchi	Bu beshinchi dars.
fifty	ellik	Onam ellik yoshda.
fill	to'ldirmoq	Piyolani suv bilan to'ldir.
film	film	Biz film ko'ramiz.
final	oxirgi	Bu oxirgi savol.
find	topmoq	Men kalitlarimni topaman.
fine	yaxshi	Men hozir yaxshiman.
finish	tugatmoq	Uy vazifangni tugat.
fire	olov	Olov issiq.
first	birinchi	U navbatda birinchi.
fish	baliq	Men kechki ovqatga baliq yeyman.
five	besh	Menda beshta kitob bor.
flat	kvartira	Mening kvartiram kichik.
flight	parvoz	Parvoz kechikdi.
floor	pol; qavat	Sumka polda.
flower	gul	Bu gul sariq.
fly	uchmoq	Qushlar osmonda uchadi.
follow	ergashmoq	Iltimos, menga ergash.
food	ovqat	Ovqat tayyor.
foot	oyoq	Oyog'im og'riyapti.
football	futbol	Biz bugun futbol o'ynaymiz.
for	uchun	Bu sovg'a sen uchun.
forget	unutmoq	Kalitlaringni unutma.
form	forma; shakl	Formani to'ldir.
forty	qirq	Otam qirq yoshda.
four	to'rt	Men to'rtta qush ko'ryapman.
fourteen	o'n to'rt	U o'n to'rt yoshda.
fourth	to'rtinchi	Bu to'rtinchi qavat.
free	bepul; erkin	Chipta bepul.
Friday	juma	Biz juma kuni uchrashamiz.
friend	do'st	Mening do'stim bu yerda.
friendly	do'stona	O'qituvchi do'stona.
from	dan	Men bu yerdanman.
front	old	Oldinda tur.
fruit	meva	Men har kuni meva yeyman.
full	to'la	Shisha to'la.
fun	mazza; qiziq	Bu o'yin qiziq.
funny	kulgili	Film kulgili.
future	kelajak	Kelajaging haqida o'yla.
game	o'yin	O'yin hozir boshlanadi.
garden	bog'	Bog' chiroyli.
geography	geografiya	Men maktabda geografiya o'qiyman.
get	olmoq; yetib bormoq	Men soat oltida uyga yetib boraman.
girl	qiz	Qiz jilmayadi.
girlfriend	qiz do'st	Uning qiz do'sti mehribon.
give	bermoq	Menga kitob ber.
glass	stakan	Men stakandan ichaman.
go	bormoq	Biz hozir uyga boramiz.
good	yaxshi	Bu qahva yaxshi.
goodbye	xayr	Xayr, ertaga ko'rishamiz.
grandfather	bobo	Mening bobom keksa.
grandmother	buvi	Mening buvim sho'rva qiladi.
grandparent	bobo yoki buvi	Bobo yoki buvi biz bilan yashaydi.
great	zo'r; buyuk	Bu zo'r fikr.
green	yashil	Eshik yashil.
grey	kulrang	Osmon kulrang.
group	guruh	Kichik guruhda ishlang.
grow	o'smoq; yetishtirmoq	O'simliklar bog'da o'sadi.
guess	taxmin qilmoq	Javobni taxmin qil.
guitar	gitara	U gitara chaladi.
gym	sport zali	Men sport zaliga boraman.
hair	soch	Uning sochi uzun.
half	yarmi	Tortni yarmiga kes.
hand	qo'l	Qo'lingni ko'tar.
happen	sodir bo'lmoq	Keyin nima sodir bo'ladi?
happy	baxtli	Men bugun baxtliman.
hard	qattiq; qiyin	Bu stul qattiq.
hat	shlyapa; bosh kiyim	Mening shlyapam qora.
hate	nafratlanmoq	Men sovuq choyni yoqtirmayman.
have	ega bo'lmoq; bor	Menda mashina bor.
have to modal	kerak; majbur	Men o'qishim kerak.
he	u	U mening akam.
head	bosh	Boshim og'riyapti.
health	sog'liq	Yaxshi ovqat sog'liqqa yordam beradi.
healthy	sog'lom	Bu taom sog'lom.
hear	eshitmoq	Men musiqa eshitaman.
hello	salom	Salom, seni ko'rganimdan xursandman.
help	yordam; yordam bermoq	Iltimos, menga yordam ber.
her	uni; uning	Bu uning sumkasi.
here	bu yerda	Hozir bu yerga kel.
hey	hey	Hey, meni kut.
hi	salom	Salom, qalaysan?
high	baland; yuqori	Devor baland.
him	uni	Men uni taniyman.
his	uning	Uning paltosi ko'k.
history	tarix	Men tarix o'qiyman.
hobby	sevimli mashg'ulot	O'qish mening sevimli mashg'ulotim.
holiday	ta'til	Biz iyulda ta'til olamiz.
home	uy	Men uydaman.
homework	uy vazifasi	Bugun kechqurun uy vazifangni qil.
hope	umid qilmoq	Sen kelasan deb umid qilaman.
horse	ot	Ot tez yuguradi.
hospital	shifoxona	Shifoxona bu yerga yaqin.
hot	issiq	Sho'rva issiq.
hotel	mehmonxona	Mehmonxona toza.
hour	soat	Bir soat kut.
house	uy	Bu uy eski.
how	qanday	Sen qalaysan?
however	ammo	Ammo men bu yerda qola olaman.
hundred	yuz	Yuz kishi keldi.
hungry	och	Men ochman.
husband	er	Uning eri shifokor.
I	men	Menga choy yoqadi.
ice	muz	Muz sovuq.
ice cream	muzqaymoq	Menga muzqaymoq kerak.
idea	fikr	Bu yaxshi fikr.
if	agar	Agar yordam kerak bo'lsa, menga qo'ng'iroq qil.
imagine	tasavvur qilmoq	Kichik uyni tasavvur qil.
important	muhim	Bu dars muhim.
improve	yaxshilamoq	Men yaxshilanishni xohlayman.
in	ichida; da	Kalitlar sumkamda.
include	kiritmoq	Iltimos, ismingni kirit.
information	ma'lumot	Menga ko'proq ma'lumot kerak.
interest	qiziqish	U san'atga qiziqadi.
interested	qiziqqan	Men musiqaga qiziqaman.
interesting	qiziqarli	Bu kitob qiziqarli.
internet	internet	Internet sekin.
interview	suhbat; intervyu	Menda bugun intervyu bor.
into	ichiga	Kitoblarni sumkaga sol.
introduce	tanishtirmoq	Iltimos, do'stingni tanishtir.
island	orol	Bu orol kichik.
it	u	U sovuq.
its	uning	It o'z yotog'ini yaxshi ko'radi.
jacket	kurtka	Mening kurtkam yangi.
January	yanvar	Yanvar birinchi oy.
jeans	jinsi	Mening jinsim ko'k.
