simplified	DA	example_DA
啊	en bekræftende partikel; en samtykkepartikel	Okay, lad os gå nu.
阿姨	en tante; en barnepige; en ældre kvinde	Tanten arbejder i et supermarked.
矮	lav; kort	Dette bord er lidt lavt.
爱好	en hobby; en interesse	Min hobby er at lytte til musik.
安静	rolig; stille	Der er meget stille på biblioteket.
把	at holde; at gribe; en objektsmarkør	Luk døren, tak.
搬	at flytte; at bære	Vi flytter i morgen.
班	en klasse; et hold	Der er tyve elever i vores klasse.
办法	en metode; en måde	Denne metode er meget god.
办公室	et kontor	Lederen er på kontoret.
半	halv; halvt	Jeg ventede en halv time.
帮忙	at hjælpe; at give en hånd	Kan du hjælpe?
包	at pakke; en taske	Hun købte en ny taske.
饱	mæt	Jeg er allerede mæt.
北方	nord; den nordlige del	Om vinteren er der meget koldt mod nord.
被	en passivmarkør; af	En ven lånte min cykel.
鼻子	en næse	Hans næse er lidt rød.
比较	at sammenligne; ret	I dag er det ret varmt.
比赛	en kamp; en konkurrence	Denne kamp er meget vigtig.
笔记本	en notesbog	Jeg lagde notesbogen på bordet.
必须	at skulle; at være nødt til	Du skal repetere grundigt.
变化	en forandring; at ændre sig	Denne by har forandret sig meget.
别人	andre; andre mennesker	Tag ikke andres ting.
冰箱	et køleskab	Frugten ligger i køleskabet.
不但…而且…	ikke kun... men også...	Han er ikke kun klog, men også flittig.
菜单	et menukort	Giv mig menukortet, tak.
参加	at deltage; at være med	Jeg vil gerne deltage i dette møde.
草	græs	Hvalpen løber på græsset.
层	en etage; et lag	Denne bygning har tre etager.
差	at være forskellig; at mangle; dårlig	Vejret er dårligt i dag.
超市	et supermarked	Jeg går i supermarkedet for at købe brød.
衬衫	en skjorte; en bluse	Denne skjorte er meget ren.
城市	en by	Beijing er en stor by.
成绩	en karakter; et resultat	Hans karakterer i matematik er meget gode.
迟到	at komme for sent	Kom ikke for sent til timen.
除了	udover; bortset fra	Udover kaffe vil jeg også have te.
船	en båd; et skib	Vi tager til den by med båd.
春	forår	Om foråret er der mange blomster.
词典	en ordbog	Denne ordbog er meget nyttig.
聪明	klog; intelligent	Dette barn er meget klogt.
打扫	at gøre rent; at feje	Jeg gør værelset rent i weekenden.
打算	at planlægge; at have tænkt sig	Hvad har du planlagt for i morgen?
带	at tage med; at have med	Tag passet med, tak.
担心	at bekymre sig; bekymret	Bare rolig, jeg hjælper dig.
蛋糕	en kage	Denne kage er meget sød.
当然	selvfølgelig; naturligvis	Selvfølgelig må du det.
地	en adverbialpartikel	Han smilede glad.
灯	en lampe; et lys	Tænd lyset, tak.
地方	et sted; et område	Dette sted er meget roligt.
地铁	en metro	Jeg tager metroen på arbejde hver dag.
地图	et kort	Jeg leder efter skolen på kortet.
电梯	en elevator	Elevatoren er til venstre.
电子邮件	en e-mail	Jeg sender læreren en e-mail.
东	øst	Solen står op i øst.
冬	vinter	Om vinteren kan jeg lide at drikke varm te.
动物	et dyr	Pandaen er et berømt dyr i Kina.
短	kort	Disse bukser er for korte.
段	et afsnit; en sektion	Læs dette afsnit, tak.
锻炼	at træne; at motionere	Jeg træner hver morgen.
多么	hvor; hvor meget	Hvor er miljøet godt her!
饿	sulten	Jeg er sulten og vil gerne spise brød.
耳朵	et øre	Mit øre gør lidt ondt.
发	at sende; at udgive	Om aftenen sender jeg e-mails.
发烧	at have feber	Han har feber og kan ikke gå i skole.
发现	at opdage; at finde ud af	Jeg opdagede, at denne metode er god.
方便	praktisk; bekvem	Det er praktisk at tage metroen.
放	at lægge; at sætte; at slippe	Læg bogen på bordet, tak.
放心	at være rolig; at holde op med at bekymre sig	Bare rolig, jeg kommer til tiden.
分	at dele; at fordele	Del kagen mellem alle, tak.
复习	at repetere; en repetition	Jeg skal repetere før eksamen.
附近	i nærheden; et nærområde	Der ligger en restaurant i nærheden.
干净	ren	Dette værelse er meget rent.
感冒	at være forkølet; en forkølelse	Jeg er forkølet og vil gerne hvile mig.
感兴趣	at være interesseret	Jeg er meget interesseret i kinesisk.
刚才	lige før; for et øjeblik siden	Hvem ringede til dig lige før?
个子	en højde; en kropshøjde	Han er høj.
根据	ifølge; baseret på	Ifølge kortet ligger skolen mod øst.
跟	med; at følge	Jeg går i parken med en ven.
更	mere; endnu mere	I dag er det endnu koldere end i går.
公斤	et kilogram; et kilo	Disse æbler vejer et kilo.
公园	en park	Børnene leger i parken.
故事	en historie	Bedstefar fortæller mig en historie.
刮风	at blæse; at være blæsende	Det blæser i dag; lad være med at cykle.
关	at lukke; at slukke	Luk døren, tak.
关系	et forhold; en forbindelse	Mit forhold til min kollega er godt.
关心	at bekymre sig om; at vise omsorg	Min mor bekymrer sig meget om mit helbred.
关于	om; angående	Denne bog handler om kinesisk kultur.
国家	et land; en stat	Kina er et meget stort land.
过	en erfaringspartikel; at have gjort før	Jeg har været i Beijing.
过去	fortid; tidligere	Tidligere var der ingen metro her.
还是	eller; stadig	Drikker du te eller kaffe?
害怕	at være bange	Jeg er ikke bange for eksamen.
黑板	en tavle	Læreren skriver tegn på tavlen.
后来	senere; bagefter	Senere gik vi i parken.
护照	et pas	Tag passet med, tak.
96:花	at bruge; at koste	Det kostede to tusind yuan at købe telefonen.
97:花	en blomst	Der står en blomst på bordet.
画	at tegne; et billede; et maleri	Min lillesøster kan lide at tegne pandaer.
坏	dårlig; i stykker	Min pc gik i stykker.
欢迎	at byde velkommen; velkommen	Velkommen hjem til mig.
环境	et miljø; omgivelser	Denne skoles miljø er meget godt.
还	at aflevere tilbage; at give tilbage	Aflever min bog tilbage i morgen, tak.
换	at bytte; at skifte	Jeg vil gerne bytte skjorten.
黄河	Den Gule Flod	Den Gule Flod er meget lang.
回答	at svare; et svar	Svar på mit spørgsmål, tak.
会议	et møde; en konference	Mødet begynder klokken ni.
或者	eller; måske	Du kan tage metroen eller bussen.
几乎	næsten	Han træner næsten hver dag.
机会	en mulighed; en chance	Dette er en god mulighed.
极	ekstremt; meget	Hun er ekstremt glad.
季节	en årstid	Efteråret er min yndlingsårstid.
记得	at huske	Husker du at tage kreditkortet med?
检查	at tjekke; at undersøge	Lægen undersøger mig.
简单	enkel; simpel	Denne sætning er meget enkel.
健康	et helbred; sund	Motion er godt for helbredet.
见面	at mødes	Vi mødes i skolen i morgen.
讲	at forklare; at tale	Læreren forklarer meget tydeligt.
教	at undervise; at lære nogen	Han lærer mig at skrive kinesiske tegn.
脚	en fod	Min fod gør lidt ondt.
角	et hjørne; en vinkel	Butikken ligger på gadehjørnet.
接	at hente; at modtage; at svare	Jeg tager ud til lufthavnen for at hente en ven.
街道	en gade	Denne gade er meget ren.
结婚	at blive gift	De bliver gift næste år.
结束	at slutte; at afslutte	Kampen er allerede slut.
节目	en udsendelse	Den tv-udsendelse er meget god.
节日	en helligdag; en festival	Forårsfestivalen er en vigtig kinesisk festival.
解决	at løse	Dette problem er allerede løst.
借	at låne; at låne ud	Jeg vil gerne låne din ordbog.
经常	ofte	Jeg går ofte på biblioteket.
经过	at passere; at gå igennem; en proces	Jeg går forbi denne park hver dag.
经理	en leder; en direktør	Lederen er til møde.
久	længe; lang tid	Jeg har boet her længe.
旧	gammel; brugt	Dette stykke tøj er meget gammelt.
句子	en sætning	Skriv en sætning, tak.
决定	at beslutte; en beslutning	Jeg besluttede at lære kinesisk.
