hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
303:白色	白色	白色	bela boja	Sviđa mi se bela šolja.	bela barva	Všeč mi je bela skodelica.	balta spalva	Man patinka baltas puodelis.	balta krāsa	Man patīk baltā krūze.	valge värv	Mulle meeldib valge tass.	hvítur litur	Mér líkar við hvíta bollann.
305:帮	帮	帮	pomagati	Molim te, pomozi mi da otvorim vrata.	pomagati	Prosim, pomagaj mi odpreti vrata.	padėti	Prašau padėk man atidaryti duris.	palīdzēt	Lūdzu, palīdzi man atvērt durvis.	aitama	Palun aita mul ust avada.	hjálpa	Vinsamlegast hjálpaðu mér að opna hurðina.
308:本子	本子	本子	sveska; beležnica	Ova sveska je moja.	zvezek; beležnica	Ta zvezek je moj.	sąsiuvinis; užrašų knygelė	Šis sąsiuvinis yra mano.	burtnīca; piezīmju grāmata	Šī burtnīca ir mana.	vihik; märkmik	See vihik on minu oma.	glósubók	Þessi glósubók er mín.
310:笔	笔	笔	olovka; hemijska olovka	Imam olovku.	pisalo; svinčnik	Imam pisalo.	rašiklis; pieštukas	Turiu rašiklį.	pildspalva; zīmulis	Man ir pildspalva.	pliiats; pastakas	Mul on pastakas.	penni; blýantur	Ég á penna.
312:不错	不错	不错	nije loše; prilično dobro	Ovaj restoran je prilično dobar.	ni slabo; precej dobro	Ta restavracija je precej dobra.	neblogai; gana gerai	Šis restoranas gana geras.	nav slikti; diezgan labi	Šis restorāns ir diezgan labs.	pole paha; päris hea	See restoran on päris hea.	ekki slæmt; nokkuð gott	Þessi veitingastaður er nokkuð góður.
313:不好意思	不好意思	不好意思	izvinite; neprijatno mi je	Izvinite, zakasnio sam.	oprostite; nerodno mi je	Oprostite, zamudil sem.	atsiprašau; nejauku	Atsiprašau, pavėlavau.	atvainojiet; neērti	Atvainojiet, es nokavēju.	vabandust; piinlik	Vabandust, jäin hiljaks.	fyrirgefðu; vandræðalegur	Fyrirgefðu, ég kom seint.
315:车站	车站	车站	stanica; stajalište	Stajalište je napred.	postaja; postajališče	Postaja je spredaj.	stotis; stotelė	Stotelė yra priekyje.	stacija; pietura	Pietura ir priekšā.	jaam; peatus	Peatus on eespool.	stöð; stoppistöð	Stoppistöðin er fram undan.
317:出国	出国	出国	otići u inostranstvo	Sledeće godine ide u inostranstvo da uči.	iti v tujino	Naslednje leto gre študirat v tujino.	išvykti į užsienį	Kitais metais jis išvyks mokytis į užsienį.	doties uz ārzemēm	Nākamgad viņš dosies mācīties uz ārzemēm.	välismaale minema	Järgmisel aastal läheb ta välismaale õppima.	fara til útlanda	Hann fer til útlanda að læra á næsta ári.
318:出来	出来	出来	izaći; izaći napolje	Molim te, izađi na trenutak.	priti ven	Prosim, pridi ven za trenutek.	išeiti; ateiti į lauką	Prašau išeik trumpam.	iznākt ārā	Lūdzu, iznāc uz brīdi.	välja tulema	Palun tule hetkeks välja.	koma út	Vinsamlegast komdu út í smástund.
319:出门	出门	出门	izaći iz kuće	Ujutru izlazim iz kuće u osam.	iti od doma	Zjutraj grem od doma ob osmih.	išeiti iš namų	Ryte išeinu iš namų aštuntą.	iziet no mājām	No rīta es izeju no mājām astoņos.	kodust välja minema	Ma lähen hommikul kell kaheksa kodust välja.	fara að heiman	Ég fer að heiman klukkan átta að morgni.
