source_headword	KO	example_KO
hunt	찾다; 사냥하다	그들은 가을에 버섯을 찾습니다.
hurricane	허리케인	허리케인이 많은 집을 손상시켰습니다.
hurry	서두름	오늘은 서두를 필요가 없습니다.
identity	신원; 정체성	그녀의 신원은 비밀로 남아 있었습니다.
ignore	무시하다	이 경고를 무시하지 마세요.
illegal	불법의	여기에 주차하는 것은 불법입니다.
imaginary	상상의	그 이야기에는 상상의 섬이 있습니다.
immediate	즉각적인	우리는 즉각적인 답변이 필요합니다.
immigrant	이민자	그 이민자는 영어를 빨리 배웠습니다.
impact	영향	그 뉴스는 큰 영향을 주었습니다.
import	수입하다	그 나라는 더 많은 쌀을 수입할 것입니다.
importance	중요성	그녀는 수면의 중요성을 이해했습니다.
impression	인상	그의 첫인상은 긍정적이었습니다.
impressive	인상적인	그 박물관에는 인상적인 입구가 있습니다.
improvement	개선	이번 달에는 분명한 개선이 있었습니다.
incredibly	믿을 수 없을 만큼	그 시험은 믿을 수 없을 만큼 어려웠습니다.
indeed	정말로	그날은 정말로 이상한 날이었습니다.
indicate	나타내다	그 표지는 출구를 나타낼 것입니다.
indirect	간접적인	그녀는 간접적인 대답을 했습니다.
indoor	실내의	그 호텔에는 실내 수영장이 있습니다.
indoors	실내에서	우리는 폭풍 동안 실내에 머물렀습니다.
influence	영향	그의 선생님은 큰 영향을 주었습니다.
ingredient	재료	밀가루가 주재료입니다.
injure	다치게 하다	등을 다치게 하지 마세요.
injured	다친	다친 선수가 경기장을 떠났습니다.
innocent	무죄의; 순진한	그 아이는 완전히 순진해 보였습니다.
intelligence	지능	그녀는 수업에서 높은 지능을 보였습니다.
intend	의도하다	나는 해외에서 공부할 생각입니다.
intention	의도	그의 의도는 돕는 것이었습니다.
invest	투자하다	그들은 교육에 돈을 투자합니다.
investigate	조사하다	경찰은 그 사고를 조사할 것입니다.
involved	관련된	몇몇 학생들이 관련되어 있었습니다.
iron	철	그 문은 철로 만들어졌습니다.
issue	문제	이것은 심각한 문제입니다.
IT	정보기술	그녀는 정보기술 분야에서 일합니다.
journal	일기; 학술지	그는 일기에 글을 씁니다.
judge	판사	판사는 주의 깊게 들었습니다.
keen	열심인	그녀는 배우는 데 열심입니다.
keyboard	키보드	내 키보드가 작동을 멈췄습니다.
kick	차다	공을 부드럽게 차세요.
killing	살해	그 살해 사건은 마을에 충격을 주었습니다.
kind (caring)	친절한	그것은 친절한 행동이었습니다.
kiss	키스	그녀는 아기에게 키스했습니다.
label	라벨	사용하기 전에 라벨을 읽으세요.
laboratory	실험실	실험실은 오늘 닫혀 있습니다.
lack	부족	수면 부족은 기억력에 해롭습니다.
latest	최신의	최신 보고서를 읽었나요?
lay	놓다	책을 탁자 위에 놓으세요.
layer	층	페인트를 한 층 더 칠하세요.
leading	선도적인	그녀는 선도적인 과학자입니다.
leaf	잎	잎 하나가 내 코트 위에 떨어졌습니다.
leather	가죽	그의 가방은 가죽으로 만들어졌습니다.
legal	법률의; 합법적인	우리는 법률 조언이 필요합니다.
leisure	여가	독서는 내가 가장 좋아하는 여가 활동입니다.
length	길이	방의 길이를 재세요.
lie2 (tell a lie)	거짓말하다	부모님께 거짓말하지 마세요.
limit	한계; 제한	속도 제한은 오십입니다.
lip	입술	그녀는 입술을 깨물었습니다.
liquid	액체	물은 투명한 액체입니다.
literature	문학	그녀는 프랑스 문학을 공부합니다.
live2	생방송의; 라이브의	그 밴드는 어젯밤 라이브로 연주했습니다.
living	살아 있는	살아 있는 식물은 빛이 필요합니다.
locate	찾아내다	그 파일을 찾아낼 수 있나요?
located	위치한	사무실은 시내에 위치해 있습니다.
location	위치	이곳은 좋은 위치입니다.
lonely	외로운	그는 이사 후 외로움을 느꼈습니다.
loss	상실; 손실	그 상실은 모두에게 힘들었습니다.
luxury	사치	그 호텔은 진정한 사치를 제공합니다.
mad	화난	그녀는 지연 때문에 화가 났습니다.
magic	마법	그 쇼는 마법으로 가득했습니다.
mainly	주로	그 그룹은 주로 학생들입니다.
mall	쇼핑몰	우리는 쇼핑몰에서 만났습니다.
management	관리	좋은 관리는 시간을 절약합니다.
marketing	마케팅	마케팅은 제품 판매를 돕습니다.
marriage	결혼	그들의 결혼은 삼십 년 동안 지속되었습니다.
meanwhile	그동안	그동안 나는 저녁을 만들었습니다.
measure	재다	탁자를 조심해서 재세요.
medium	중간의	나는 중간 크기 피자를 주문했습니다.
mental	정신의	스트레스는 정신 건강에 영향을 줍니다.
mess	엉망	이 엉망인 것을 치우세요.
mild	순한	그 수프는 맛이 순합니다.
mine (hole in the ground)	광산	그 광산은 작년에 문을 닫았습니다.
mix	섞다	달걀을 우유와 섞으세요.
mixture	혼합물	그 혼합물은 걸쭉해졌습니다.
mood	기분	음악이 그녀의 기분을 바꾸었습니다.
mud	진흙	그의 신발은 진흙으로 덮였습니다.
murder	살인	살인은 밤에 일어났습니다.
muscle	근육	운동은 근육을 만듭니다.
mystery	수수께끼	그 오래된 집은 수수께끼입니다.
nail	손톱	나는 손톱 하나가 부러졌습니다.
narrative	서사	그 소설에는 분명한 서사가 있습니다.
nation	국가; 국민	온 나라가 축하했습니다.
native	모국의	스페인어는 그녀의 모국어입니다.
naturally	자연스럽게	아이들은 놀이를 통해 자연스럽게 배웁니다.
necessarily	반드시	비싼 음식이 반드시 더 좋은 것은 아닙니다.
needle	바늘	그 바늘은 매우 날카롭습니다.
neighbourhood	동네	그들은 조용한 동네에 삽니다.
net	그물	어부가 그물을 고쳤습니다.
nor	도 아니다	그는 웃지도 말하지도 않았습니다.
northern	북쪽의	그들은 북쪽 해안을 방문했습니다.
nuclear	핵의	그 토론은 핵에너지에 관한 것이었습니다.
obvious	명백한	답은 명백했습니다.
obviously	분명히	분명히 우리는 시간이 더 필요합니다.
occasion	행사; 경우	이것은 특별한 행사입니다.
occur	일어나다	사고는 어디서든 일어날 수 있습니다.
odd	이상한	그것은 이상한 질문이었습니다.
official	공식의	공식 결과가 오늘 도착했습니다.
old-fashioned	구식의	그녀의 전화기는 구식처럼 보입니다.
operation	수술	수술은 두 시간 동안 계속되었습니다.
organized	정돈된	그녀의 책상은 매우 정돈되어 있습니다.
organizer	주최자	주최자가 손님들을 맞았습니다.
originally	원래	그녀는 원래 캐나다에서 왔습니다.
ought modal	해야 하다	너는 쉬어야 합니다.
ours	우리의 것	이 탁자는 우리의 것입니다.
outdoor	야외의	우리는 야외용 가구를 샀습니다.
outdoors	야외에서	아이들은 야외에서 놀아야 합니다.
package	소포	소포가 오늘 아침 도착했습니다.
painful	아픈	그 상처는 아팠습니다.
pale	창백한	그의 얼굴은 창백해 보였습니다.
pan	프라이팬	먼저 프라이팬을 달구세요.
participate	참여하다	모두가 참여할 수 있습니다.
particularly	특히	나는 특히 이 노래를 좋아합니다.
passion	열정	음악은 그녀의 열정입니다.
path	길	공원을 지나는 길을 따라가세요.
payment	지불	지불 기한은 내일입니다.
peaceful	평화로운	정원은 평화롭습니다.
percentage	비율	작은 비율의 사람들이 동의했습니다.
perfectly	완벽하게	계획은 완벽하게 작동했습니다.
performance	공연; 성과	그녀의 공연은 훌륭했습니다.
personally	개인적으로	개인적으로 나는 차를 더 좋아합니다.
persuade	설득하다	그가 함께하도록 설득할 수 있나요?
photographer	사진가	사진가는 많은 사진을 찍었습니다.
photography	사진술	사진은 그가 가장 좋아하는 취미입니다.
pin	핀	지도에 핀을 꽂으세요.
pipe	파이프	그 파이프는 물을 운반합니다.
planning	계획	계획에는 시간이 걸립니다.
pleasant	즐거운	우리는 즐거운 저녁을 보냈습니다.
pleasure	기쁨	만나서 기뻤습니다.
plenty	많음	우리는 시간이 많습니다.
plot	줄거리	그 줄거리는 이해하기 쉬웠습니다.
plus1	더하기	이 더하기 삼은 오입니다.
poem	시	그녀는 짧은 시를 썼습니다.
poet	시인	시인이 소리 내어 읽었습니다.
poetry	시	그는 현대시를 즐깁니다.
poison	독	독을 아이들에게서 멀리 두세요.
poisonous	유독한	어떤 버섯은 유독합니다.
policy	정책	회사는 정책을 바꾸었습니다.
political	정치적인	그 연설은 정치적이었습니다.
politician	정치인	정치인은 질문에 답했습니다.
politics	정치	정치는 복잡할 수 있습니다.
port	항구	배가 항구에 들어왔습니다.
portrait	초상화	초상화가 홀에 걸려 있습니다.
possibly	아마도	그녀는 아마도 늦게 도착할 것입니다.
pot	화분	그 식물은 더 큰 화분이 필요합니다.
pour	붓다	우유를 천천히 부으세요.
poverty	가난	많은 가족이 가난 속에 삽니다.
powder	가루	가루를 물에 넣으세요.
powerful	강력한	엔진은 강력합니다.
practical	실용적인	이것은 실용적인 해결책입니다.
pray	기도하다	그들은 매일 아침 기도합니다.
prayer	기도	그녀는 조용히 기도했습니다.
prediction	예측	그의 예측은 맞았습니다.
prepared	준비된	나는 시험 준비가 되어 있습니다.
presentation	발표	그녀의 발표는 명확했습니다.
press	누르다	버튼을 한 번 누르세요.
pressure	압박	압박은 건강에 영향을 줄 수 있습니다.
pretend	척하다	잠든 척하지 마세요.
previous	이전의	이전 수업은 더 쉬웠습니다.
previously	이전에	우리는 이전에 로마에 살았습니다.
priest	사제	사제가 조용히 말했습니다.
primary	주요한	건강이 우리의 주요 관심사입니다.
prince	왕자	왕자가 학교를 방문했습니다.
princess	공주	공주는 파란 드레스를 입었습니다.
printing	인쇄	보고서를 인쇄하는 데 몇 분이 걸렸습니다.
prisoner	죄수	죄수가 밤에 탈출했습니다.
private	사적인	이것은 사적인 대화입니다.
producer	제작자	제작자는 그 영화를 좋아했습니다.
production	생산	생산은 다음 주에 시작됩니다.
profession	직업	가르치는 일은 존경받는 직업입니다.
profit	이익	그 가게는 이익을 냈습니다.
promote	촉진하다	그들은 건강한 식생활을 촉진합니다.
proper	적절한	하이킹에는 적절한 신발을 신으세요.
properly	제대로	문을 제대로 닫으세요.
property	부동산	그들은 강 근처에 부동산을 샀습니다.
protest	시위	시위는 평화롭게 끝났습니다.
proud	자랑스러운	그녀는 아들을 자랑스러워했습니다.
prove	증명하다	당신의 답을 증명할 수 있나요?
punish	벌하다	선생님은 그를 벌하지 않았습니다.
punishment	벌	그 벌은 공정해 보였습니다.
qualification	자격	이 일에는 자격이 필요합니다.
qualified	자격 있는	그녀는 자격 있는 간호사입니다.
qualify	자격을 얻다	우리 팀은 자격을 얻을 수도 있습니다.
queue	줄	우리는 긴 줄에서 기다렸습니다.
quit	그만두다	그는 담배를 끊기로 했습니다.
quotation	인용문	그 에세이는 인용문으로 시작합니다.
quote	인용하다	당신의 말을 인용해도 될까요?
race (people)	인종	그 양식은 인종을 묻습니다.
racing	경마	경마는 그곳에서 인기가 있습니다.
range	범위; 종류	그 가게는 다양한 종류를 팝니다.
rare	드문	이 새는 드뭅니다.
rarely	드물게	우리는 드물게 외식합니다.
reaction	반응	그녀의 반응은 나를 놀라게 했습니다.
reality	현실	현실은 그의 꿈과 달랐습니다.
receipt	영수증	영수증을 보관하세요.
recommendation	추천	추천해 주셔서 감사합니다.
reference	참고	끝에 참고를 추가하세요.
reflect	반사하다	거울은 빛을 반사할 수 있습니다.
regularly	정기적으로	그녀는 정기적으로 운동합니다.
reject	거절하다	그들은 제안을 거절할 수도 있습니다.
relate	공감하다	나는 그 이야기에 공감할 수 있습니다.
related	관련된	두 문제는 관련되어 있습니다.
relation	관계	그들 사이에는 관계가 있습니다.
relative	상대적인	속도는 상대적입니다.
relaxed	편안한	그는 저녁 식사 후 편안해졌습니다.
relaxing	편안하게 하는	그 음악은 편안하게 해 줍니다.
release	개봉하다; 발표하다	그들은 곧 그 영화를 개봉할 것입니다.
reliable	믿을 만한	이 버스는 보통 믿을 만합니다.
religion	종교	종교는 그녀에게 중요합니다.
religious	종교적인	그들은 종교적인 건물을 방문했습니다.
remain	남다; 유지하다	침착하게 있으세요.
remind	상기시키다	내일 나에게 알려 주세요.
remote	외딴	그들은 외딴 마을에 삽니다.
rent	임대료	임대료는 오늘까지입니다.
repeated	반복된	반복된 실수가 일을 늦췄습니다.
represent	대표하다	별은 희망을 대표합니다.
require	요구하다	이 일은 훈련을 요구할 것입니다.
reservation	예약	나는 예약을 했습니다.
resource	자원	도서관은 유용한 자원입니다.
respect	존중	급우들을 존중하세요.
responsibility	책임	아이 돌봄은 큰 책임입니다.
responsible	책임 있는	그녀는 표를 책임지고 있습니다.
retire	은퇴하다	아버지는 곧 은퇴할 것입니다.
retired	은퇴한	그는 은퇴한 교사입니다.
revise	수정하다	오늘 밤 에세이를 수정하세요.
risk	위험	비가 올 위험이 있습니다.
robot	로봇	로봇이 바닥을 청소했습니다.
roll	굴리다	공을 나에게 굴리세요.
romantic	낭만적인	그들은 낭만적인 저녁을 보냈습니다.
rope	밧줄	밧줄을 단단히 묶으세요.
rough	거친	길이 거칠었습니다.
row1	줄	앞줄에 앉으세요.
royal	왕실의	왕실 가족이 도착했습니다.
rugby	럭비	우리는 텔레비전으로 럭비를 보았습니다.
safety	안전	일터에서는 안전이 중요합니다.
sailor	선원	선원이 배를 고쳤습니다.
sample	샘플	간호사가 혈액 샘플을 채취했습니다.
sand	모래	모래가 내 신발을 덮었습니다.
scan	스캔하다	먼저 문서를 스캔하세요.
scientific	과학적인	이것은 과학적인 방법입니다.
script	대본	배우가 대본을 읽었습니다.
sculpture	조각	조각품은 밖에 서 있습니다.
secondary	부차적인	이것은 부차적인 문제입니다.
security	보안	보안 직원이 우리 가방을 확인했습니다.
seed	씨앗	씨앗을 흙에 심으세요.
sensible	현명한	그것은 현명한 생각입니다.
seriously	진지하게	이 문제를 진지하게 받아들이세요.
servant	하인	하인이 문을 열었습니다.
set (put)	놓다	유리를 탁자 위에 놓으세요.
set (group)	세트	이 세트에는 컵 여섯 개가 포함됩니다.
setting	배경	그 이야기에는 도시 배경이 있습니다.
sex	성별	그 양식은 나이와 성별을 묻습니다.
sexual	성적인	수업에서 성 건강을 논의했습니다.
sharp	날카로운	이 칼은 날카롭습니다.
shelf	선반	책을 선반에 놓으세요.
shell	조개껍데기	조개껍데기는 비어 있었습니다.
shift	교대 근무	내 교대 근무는 여덟 시에 시작합니다.
shine	빛나다	별은 밤에 빛납니다.
shiny	반짝이는	그녀의 신발은 반짝입니다.
shoot	촬영하다	사진가가 그 장면을 촬영할 것입니다.
shy	수줍은	그는 낯선 사람에게 수줍어합니다.
sight	광경	그 산은 아름다운 광경이었습니다.
signal	신호	신호가 약했습니다.
silent	조용한	방이 조용해졌습니다.
silly	어리석은	그것은 어리석은 실수였습니다.
similarity	유사성	분명한 유사성이 있습니다.
similarly	비슷하게	두 번째 계획도 비슷하게 작동합니다.
simply	간단히	간단히 이 버튼을 누르세요.
sink	가라앉다	무거운 돌은 빨리 가라앉습니다.
slice	조각	나는 케이크 한 조각을 먹었습니다.
slightly	약간	방이 약간 더 따뜻합니다.
smart	말쑥한	그녀는 말쑥한 재킷을 입었습니다.
smooth	매끄러운	길은 매끄럽습니다.
software	소프트웨어	소프트웨어는 업데이트가 필요합니다.
soil	흙	흙이 말라 있습니다.
solid	단단한	벽은 단단합니다.
southern	남쪽의	그들은 남쪽 해안에 삽니다.
specifically	구체적으로	나는 구체적으로 차를 요청했습니다.
spending	지출	정부 지출이 증가했습니다.
spicy	매운	이 카레는 맵습니다.
spirit	정신	팀은 강한 정신을 보였습니다.
spoken	말로 하는	말하기 영어는 연습으로 좋아집니다.
spot	장소	이 장소는 완벽합니다.
spread	바르다	빵에 버터를 바르세요.
stadium	경기장	경기장은 가득 찼습니다.
staff	직원	직원들은 도움이 되었습니다.
standard	기준	기준이 높았습니다.
statistic	통계	이 통계는 놀랍습니다.
statue	동상	동상은 광장에 서 있습니다.
stick (push into/attach)	붙이다	상자에 라벨을 붙이세요.
stick (piece of wood)	막대기	그는 막대기 하나를 집어 들었습니다.
