source_headword	ZH	example_ZH
rock (music)	摇滚乐	我喜欢摇滚乐。
role	角色	她的角色很重要。
roof	屋顶	屋顶需要修理。
round	圆的	这张桌子是圆的。
route	路线	这条路线更短。
rubbish	垃圾	把垃圾放到外面。
rude	粗鲁的	那句话很粗鲁。
runner	跑步者	这名跑步者看起来很累。
running	跑步	跑步让我保持健康。
sadly	遗憾地	遗憾的是，我们错过了火车。
safe	安全的	这条街感觉很安全。
sail	航行	我们星期六去航行。
sailing	帆船运动	帆船运动在这里很受欢迎。
salary	薪水	他的薪水现在更高了。
sale	特卖	特卖明天开始。
sauce	酱汁	往米饭里加点酱汁。
save	保存	现在保存你的作业。
scared	害怕的	这个孩子感到害怕。
scary	可怕的	这个故事很可怕。
scene	场景	最后一个场景很有趣。
schedule	日程表	今天查看日程表。
score	比分	比分是多少？
screen	屏幕	仔细清洁屏幕。
search	搜索	在网上搜索照片。
season	季节	夏天是繁忙的季节。
seat	座位	请坐这个座位。
second1 (next after the first)	第二	第二，洗手。
secondly	其次	其次，检查你的答案。
secret	秘密的	把这个秘密保管好。
secretary	秘书	秘书今天打了电话。
seem	似乎	你似乎很累。
sense	意义	这个计划有道理。
separate	分开的	把这些纸分开放。
series	系列	这个系列很受欢迎。
serious	严重的	这个问题很严重。
serve	供应	他们中午供应午餐。
service	服务	服务很快。
several	几个	几个学生早到了。
shake	摇动	先摇一摇瓶子。
shall modal	好吗	我们现在开始好吗？
shape	形状	画一个正方形。
sheet	床单	把床单铺在床上。
ship	船	这艘船今天离开。
shoulder	肩膀	我的肩膀疼。
shout	喊叫	不要在课堂上喊叫。
shut	关上	请关上窗户。
side	一边	坐在这一边。
sign	标志	仔细看这个标志。
silver	银	银是一种明亮的金属。
simple	简单的	这个练习很简单。
since	自从	我从中午开始等。
singing	唱歌	唱歌帮助我放松。
single	单程的	我买了一张单程票。
sir	先生	先生，您的包准备好了。
site	网站	这个网站很安全。
size	尺寸	你需要什么尺寸？
ski	滑雪	我们冬天滑雪。
skiing	滑雪运动	冬天滑雪很好玩。
skin	皮肤	她的皮肤感觉很干。
sky	天空	天空很晴朗。
slowly	慢慢地	在冰上慢慢走。
smartphone	智能手机	我的智能手机是新的。
smell	闻起来	汤闻起来很香。
smile	微笑	对着相机微笑。
smoke	烟	烟充满了房间。
smoking	吸烟	这里不允许吸烟。
soap	肥皂	用肥皂和水。
soccer	足球	足球在这里很受欢迎。
social	社交的	这是一个社交活动。
society	社会	社会会随时间改变。
sock	袜子	少了一只袜子。
soft	柔软的	这条毯子很柔软。
soldier	士兵	这名士兵回家了。
solution	解决办法	我们找到了一个解决办法。
solve	解决	解决这个谜题。
somewhere	某个地方	把它放在安全的地方。
sort	种类	你想要哪一种？
source	来源	先查看来源。
speaker	扬声器	这个扬声器声音很大。
specific	具体的	我需要一个具体的答案。
speech	演讲	她的演讲很短。
speed	速度	在这里降低速度。
spider	蜘蛛	墙上有一只蜘蛛。
spoon	勺子	喝汤用勺子。
square	正方形的	画一个正方形盒子。
stage	舞台	乐队在舞台上。
stair	楼梯	这级楼梯坏了。
stamp	邮票	在信上贴一张邮票。
state	说明	请清楚地说明你的名字。
steal	偷	不要偷钱。
step	一步	向前迈一步。
stomach	胃	我的胃疼。
stone	石头	这块石头很重。
store	商店	这家商店很早关门。
storm	暴风雨	暴风雨要来了。
straight	直接地	直接回家。
strange	奇怪的	那个声音很奇怪。
strategy	策略	我们需要一个策略。
stress	压力	工作会造成压力。
structure	结构	这个结构很坚固。
stupid	愚蠢的	那是一个愚蠢的错误。
succeed	成功	你可以在这里成功。
successful	成功的	她变得很成功。
such	这样的	这样的帮助很有用。
suddenly	突然	突然，狗跑开了。
suggest	建议	我建议短暂休息一下。
suggestion	建议	你的建议很有帮助。
suit	西装	这套西装很贵。
support	支持	我们支持我们的队伍。
suppose	认为	我认为你是对的。
surprise	惊喜	这个惊喜让她很开心。
surprised	惊讶的	她今天很惊讶。
surprising	令人惊讶的	结果令人惊讶。
survey	调查	请完成这份调查。
sweet	甜的	这杯茶很甜。
symbol	符号	这个符号表示危险。
system	系统	这个系统运行良好。
tablet	平板电脑	我的平板电脑在桌上。
target	目标	小心地击中目标。
task	任务	这个任务很容易。
taste	品尝	先尝尝汤。
teaching	教学	教学是一项困难的工作。
technology	技术	技术变化很快。
teenage	青少年的	我十几岁的弟弟学习很努力。
temperature	温度	温度很低。
term	学期	这个学期很快结束。
themselves	他们自己	他们自己做了晚饭。
thick	厚的	这本书很厚。
thief	小偷	小偷跑走了。
thin	薄的	这张纸很薄。
thinking	思考	思考需要时间。
thought	想法	我有了一个奇怪的想法。
throw	扔	轻轻地扔球。
tidy	整洁的	保持你的房间整洁。
tie	系	现在系好你的鞋带。
tip	小费	为服务留下小费。
tool	工具	使用合适的工具。
top	顶部	最上面的架子满了。
touch	触碰	不要触碰玻璃。
tour	游览	我们参加了一次城市游览。
tourism	旅游业	旅游业帮助这个小镇。
towards	朝向	朝车站走。
towel	毛巾	带一条干净的毛巾。
tower	塔	这座塔很旧。
toy	玩具	这辆玩具车是红色的。
track	小路	这条小路向北延伸。
tradition	传统	这个传统很古老。
traditional	传统的	她穿了传统服装。
trainer	教练	我的教练很有帮助。
training	训练	训练明天开始。
transport	公共交通	公共交通晚点了。
traveller	旅行者	这名旅行者请求帮助。
trouble	麻烦	我们昨天遇到了麻烦。
truck	卡车	卡车在外面。
twin	双胞胎	我的双胞胎妹妹更高。
typical	典型的	这是典型的一天。
underground	地下的	火车在地下运行。
understanding	理解	你的理解是正确的。
unfortunately	不幸的是	不幸的是，商店关门了。
unhappy	不高兴的	他看起来不高兴。
uniform	校服	她穿着校服。
unit	单元	这个单元很小。
united	团结的	这支队伍保持团结。
unusual	不寻常的	那个声音不寻常。
used to modal	过去常常	我们过去常常住在这里。
user	用户	每个用户都有一个号码。
usual	通常的	我坐了通常的座位。
valley	山谷	山谷是绿色的。
van	面包车	这辆面包车装满了。
variety	多样性	我们需要更多多样性。
vehicle	车辆	这辆车很慢。
view	景色	景色很美。
virus	病毒	病毒让他生病了。
voice	声音	她的声音很轻。
war	战争	战争多年前结束了。
washing	洗好的衣物	洗好的衣物在外面。
wave	波浪	一个波浪打到了船上。
weak	虚弱的	我的腿感觉虚弱。
web	网页	这个网页打开了。
wedding	婚礼	婚礼很快开始。
weight	重量	先检查重量。
wet	湿的	我的鞋湿了。
wheel	轮子	轮子坏了。
while	一会儿	在这里等一会儿。
whole	整个的	我吃了整个苹果。
whose	谁的	这是谁的手机？
wide	宽的	这条路很宽。
wild	野生的	野生动物住在这里。
wind1	风	风很大。
winner	获胜者	获胜者笑了。
wish	愿望	许个愿吧。
wood	木头	这把椅子是木头做的。
wooden	木制的	这个木箱很重。
working	工作的	工作日结束了。
worried	担心的	我今天感到担心。
worry	担心	现在不要担心。
worse	更糟的	这种疼痛更糟了。
worst	最糟的	那是最糟的一天。
wow	哇	哇，那太棒了！
yet	还	我们到了吗？
yours	你的	这本书是你的。
zero	零	倒数到零。
