source_headword	PT-BR	example_PT-BR
crawl	engatinhar	O bebê começou a engatinhar pelo tapete.
creator	o criador	O criador agradeceu a todos pelo apoio.
credibility	a credibilidade	A testemunha perdeu a credibilidade durante o interrogatório.
credible	confiável	O relatório ofereceu evidências confiáveis.
creep	espalhar-se	A neblina começou a se espalhar pelo vale.
critique	a crítica	O professor fez uma crítica detalhada.
crown	a coroa	A rainha usava uma coroa de prata.
crude	tosco	O desenho era tosco, mas claro.
crush	esmagar	Pedras pesadas podem esmagar o cano.
crystal	o cristal	O cristal refletia a luz da manhã.
cult	a seita	A seita isolou seus membros.
cultivate	cultivar	Os agricultores cultivam arroz nesta região.
curiosity	a curiosidade	A curiosidade a levou para a ciência.
custody	a guarda	A criança permaneceu sob a guarda do pai.
cutting	o recorte	O jornal publicou um recorte sobre ele.
cynical	cínico	Seu comentário cínico irritou a equipe.
dam	a represa	A represa retém a água do rio.
damaging	prejudicial	O artigo prejudicial prejudicou a campanha.
dawn	o amanhecer	Saímos da vila ao amanhecer.
debris	os destroços	Os destroços da tempestade bloquearam a estrada.
debut	a estreia	Sua estreia atraiu a atenção nacional.
decision-making	a tomada de decisão	Uma boa tomada de decisão requer informações claras.
decisive	decisivo	Sua ação decisiva evitou mais danos.
declaration	a declaração	O ministro leu uma declaração formal.
dedicated	dedicado	A enfermeira dedicada trabalhou a noite toda.
dedication	a dedicação	Sua dedicação inspirou jogadores mais jovens.
deed	o ato	O ato heroico salvou duas vidas.
deem	considerar	O tribunal pode considerar o contrato inválido.
default	o padrão	Use a configuração padrão por enquanto.
defect	o defeito	Os inspetores encontraram um defeito grave.
defensive	defensivo	Seu tom defensivo surpreendeu a todos.
deficiency	a deficiência	A deficiência de ferro pode afetar a saúde.
deficit	o déficit	O déficit orçamentário preocupou as autoridades.
defy	desafiar	Os manifestantes decidiram desafiar a proibição.
delegate	o delegado	Cada delegado recebeu um cartão de votação.
delegation	a delegação	A delegação chegou antes do meio-dia.
delicate	delicado	O vidro delicado quebrou facilmente.
demon	o demônio	A história descreve um demônio antigo.
denial	a negação	Sua negação irritou as vítimas.
denounce	denunciar	Líderes denunciam a violência nas escolas.
dense	denso	A floresta densa bloqueava a luz do sol.
density	a densidade	A densidade populacional é alta no centro.
dependence	a dependência	A dependência do país em relação ao petróleo diminuiu.
depict	retratar	O mural retrata a vida na vila.
deploy	mobilizar	O exército mobilizará funcionários extras.
deployment	a mobilização	A mobilização das tropas começou na segunda-feira.
deprive	privar	A falta de sono pode privar os alunos de foco.
deputy	o vice	O vice assinou o acordo.
descend	descer	O caminho começou a descer bruscamente.
descent	a descida	O avião iniciou a sua descida.
designate	designar	A cidade designará um novo parque.
desirable	desejável	Uma boa iluminação é desejável nas salas de aula.
desktop	a área de trabalho	O arquivo está na minha área de trabalho.
destructive	destrutivo	A tempestade teve uma força destrutiva.
detain	deter	A polícia pode deter suspeitos durante a noite.
detection	a detecção	A detecção precoce melhora o tratamento do câncer.
detention	a detenção	Os alunos protestaram contra as condições de detenção.
deteriorate	piorar	A saúde dele começou a piorar.
devastate	devastar	O terremoto pode devastar cidades costeiras.
devil	o diabo	A criança desenhou um diabo sorridente.
devise	conceber	Os engenheiros concebem sistemas de transporte mais seguros.
diagnose	diagnosticar	Os médicos diagnosticam a doença com exames de sangue.
diagnosis	o diagnóstico	O diagnóstico explicou seus sintomas.
dictate	ditar	O contrato ditará as condições de pagamento.
dictator	o ditador	O ditador controlava a mídia.
differentiate	diferenciar	Você consegue diferenciar fato de opinião?
dignity	a dignidade	Todos merecem dignidade no trabalho.
dilemma	o dilema	O gerente enfrentou um sério dilema.
dimension	a dimensão	O problema tem uma dimensão política.
diminish	diminuir	A dor deve diminuir lentamente.
dip	cair	As temperaturas podem cair abaixo de zero.
diplomat	o diplomata	O diplomata se encontrou com líderes estrangeiros.
diplomatic	diplomático	As conversas diplomáticas continuaram durante a noite.
directory	o diretório	Procure o número dele no diretório.
disastrous	desastroso	A enchente desastrosa destruiu várias pontes.
discard	descartar	Não descarte registros úteis.
discharge	dar alta	O hospital dará alta para ele amanhã.
disclose	divulgar	As autoridades se recusaram a divulgar os números.
disclosure	a revelação	A revelação chocou o conselho.
discourse	o discurso	O discurso público tornou-se mais educado.
discretion	a discrição	Use sua discrição com casos delicados.
