source_headword	BG	example_BG
absolutely	абсолютно	Абсолютно съм съгласен с теб.
academic	академичен	Академичната година започва през септември.
access	достъп	Студентите имат нужда от достъп до библиотеката.
accommodation	настаняване	Резервирахме настаняване близо до гарата.
account	сметка	Тя откри нова банкова сметка.
achievement	постижение	Завършването на курса беше голямо постижение.
ad	реклама	Рекламата показваше нов телефон.
addition	добавка	Басейнът е полезна добавка.
admire	възхищавам се	Възхищавам се на спокойния й подход.
admit	признавам	Той призна грешката си.
advanced	напреднал	Това е курс за напреднали по английски.
advise	съветвам	Лекарите съветват редовно движение.
afford	позволявам си	Не можем да си позволим такси.
aged	на възраст	Курсът е за деца на възраст десет години.
agent	агент	Туристическият агент смени билетите ни.
agreement	споразумение	Днес постигнаха споразумение.
ahead	напред	Пътят напред е свободен.
aim	стремя се	Стремим се да приключим скоро.
alarm	аларма	Алармата звънна в шест.
album	албум	Този албум има десет песни.
alcohol	алкохол	Хотелът не сервира алкохол.
alcoholic	алкохолен	Тази напитка не е алкохолна.
amazed	изумен	Тя беше изумена от резултата.
ambition	амбиция	Амбицията му е да стане пилот.
ambitious	амбициозен	Той има амбициозен план.
analyse	анализирам	Трябва да анализираме резултатите.
analysis	анализ	Нейният анализ беше ясен и внимателен.
announce	обявявам	Утре ще обявят победителя.
announcement	съобщение	Съобщението изненада всички.
annoy	дразня	Силната музика може да дразни съседите.
annoyed	раздразнен	Той изглеждаше раздразнен след закъснението.
annoying	дразнещ	Този звук е много дразнещ.
apart	отделно	Къщите са на два метра една от друга.
apologize	извинявам се	Извинявам се за закъснението.
application	заявление	Попълни заявлението онлайн.
appointment	час	Утре имам час при зъболекаря.
appreciate	оценявам	Оценявам помощта ти.
approximately	приблизително	Разходката трае приблизително двадесет минути.
arrest	арестувам	Полицията арестува шофьора.
arrival	пристигане	Пристигането ни беше по-късно от очакваното.
assignment	задача	Задачата трябва да се предаде в петък.
assist	помагам	Медицинските сестри помагат на лекаря.
atmosphere	атмосфера	Кафенето има спокойна атмосфера.
attach	прикачвам	Прикачи файла към имейла си.
attitude	отношение	Отношението й се промени след срещата.
attract	привличам	Ярките цветя привличат пчели.
attraction	атракция	Замъкът е популярна атракция.
authority	власт	Местната власт ремонтира пътя.
aware	наясно	Тя е наясно с риска.
backwards	назад	Той вървеше внимателно назад.
bake	пека	Пека хляб всяка неделя.
balance	равновесие	Добрите обувки помагат за равновесието.
ban	забранявам	Градът ще забрани автомобилите.
bank (river)	бряг	Стояхме на брега на реката.
base	база	Екипът се върна в базата.
basic	основен	Всеки има нужда от основни компютърни умения.
basis	основа	Доверието е основа на приятелството.
battery	батерия	Батерията на телефона ми е слаба.
battle	битка	Битката продължи цяла нощ.
beauty	красота	Възхитихме се на красотата на планините.
bee	пчела	Пчела кацна на цветето.
belief	вяра	Вярата му му даде смелост.
bell	звънец	Училищният звънец звънна силно.
bend	сгъвам	Сгъвай коленете си, когато вдигаш.
bite	хапя	Кучето може да хапе непознати.
block	блокирам	Падналото дърво блокира пътя.
bomb	бомба	Бомбата повреди няколко сгради.
border	граница	Те прекосиха границата през нощта.
bother	безпокоя	Моля те, не безпокой сестра си.
branch	клон	Един клон се счупи в бурята.
brand	марка	Тази марка е популярна сред студентите.
brave	смел	Смелият мъж спаси детето.
breath	дъх	Поеми дълбок дъх.
breathe	дишам	Не мога да дишам в този дим.
breathing	дишане	Дишането й беше бавно.
bride	булка	Булката носеше бяла рокля.
bubble	балонче	Балонче плуваше над чашата.
bury	погребвам	Те погребаха кутията в пясъка.
calm	спокоен	Остани спокоен по време на изпита.
campaign	кампания	Кампанията събра пари за училища.
campus	кампус	Студентите живеят близо до кампуса.
candidate	кандидат	Всеки кандидат отговори на три въпроса.
cap	шапка	Той носеше бейзболна шапка.
captain	капитан	Капитанът говори с отбора.
careless	невнимателен	Една невнимателна грешка ни струва време.
category	категория	Избери правилната категория.
ceiling	таван	Таванът беше боядисан в бяло.
celebration	празненство	Празненството продължи цяла вечер.
central	централен	Хотелът има централно местоположение.
ceremony	церемония	Церемонията започна по обяд.
chain	верига	Тя носеше сребърна верига.
