hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
503:爱人	爱人	爱人	małżonek; ukochana osoba	Mój małżonek pracuje dziś po godzinach.	echtgenoot; geliefde	Mijn echtgenoot werkt vandaag over.	make; älskad person	Min make arbetar övertid i dag.	ektefelle; kjær person	Ektefellen min jobber overtid i dag.	ægtefælle; elsket person	Min ægtefælle arbejder over i dag.	puoliso; rakas ihminen	Puolisoni tekee tänään ylitöitä.
508:班级	班级	班级	klasa; grupa klasowa	W naszej klasie jest trzydziestu uczniów.	klas; klasgroep	In onze klas zitten dertig leerlingen.	klass; klassgrupp	I vår klass finns trettio elever.	klasse; klassegruppe	I klassen vår er det tretti elever.	klasse; klassegruppe	I vores klasse er der tredive elever.	luokka; opetusryhmä	Luokassamme on kolmekymmentä oppilasta.
509:搬家	搬家	搬家	przeprowadzać się	Przeprowadzamy się w ten weekend.	verhuizen	Wij verhuizen dit weekend.	flytta	Vi flyttar i helgen.	flytte	Vi flytter denne helgen.	flytte	Vi flytter i weekenden.	muuttaa	Muutamme tänä viikonloppuna.
510:办	办	办	załatwiać; obsługiwać	Po południu idę do banku załatwić kartę bankową.	regelen; aanvragen	Vanmiddag ga ik naar de bank om een bankpas aan te vragen.	ordna; ansöka om	I eftermiddag går jag till banken för att ordna ett bankkort.	ordne; søke om	I ettermiddag går jeg til banken for å ordne et bankkort.	ordne; ansøge om	I eftermiddag går jeg i banken for at ordne et bankkort.	hoitaa; hakea	Menen iltapäivällä pankkiin hakemaan pankkikorttia.
513:半天	半天	半天	pół dnia; bardzo długo	Czekałem bardzo długo, zanim on przyszedł.	halve dag; heel lang	Ik wachtte heel lang voordat hij kwam.	en halv dag; länge	Jag väntade länge innan han kom.	en halv dag; lenge	Jeg ventet lenge før han kom.	en halv dag; længe	Jeg ventede længe, før han kom.	puoli päivää; kauan	Odotin kauan ennen kuin hän tuli.
517:北	北	北	północ	Na północ od szkoły jest park.	noord	Ten noorden van de school is er een park.	norr	Det finns en park norr om skolan.	nord	Det ligger en park nord for skolen.	nord	Der er en park nord for skolen.	pohjoinen	Koulun pohjoispuolella on puisto.
520:笔记	笔记	笔记	notatki	On uważnie robi notatki na lekcji.	notities; aantekeningen	Hij maakt zorgvuldig aantekeningen in de les.	anteckningar	Han gör noggranna anteckningar på lektionen.	notater	Han tar nøye notater i timen.	noter	Han tager omhyggelige noter i timen.	muistiinpanot	Hän tekee tunnilla huolellisesti muistiinpanoja.
526:变	变	变	zmieniać się; stać się	Pogoda zrobiła się zimna.	veranderen; worden	Het weer is koud geworden.	förändras; bli	Vädret har blivit kallt.	forandre seg; bli	Været har blitt kaldt.	ændre sig; blive	Vejret er blevet koldt.	muuttua; tulla	Sää on muuttunut kylmäksi.
528:变成	变成	变成	zmienić się w; stać się	Deszcz zmienił się w śnieg.	veranderen in; worden	De regen veranderde in sneeuw.	förvandlas till; bli	Regnet blev till snö.	bli til; forandre seg til	Regnet ble til snø.	blive til; forvandle sig til	Regnen blev til sne.	muuttua joksikin; tulla	Sade muuttui lumeksi.
531:别的	别的	别的	inny; pozostały	Czy masz jeszcze inne pytania?	ander; overige	Heb je nog andere vragen?	annan; övrig	Har du några andra frågor?	annen; øvrig	Har du andre spørsmål?	anden; øvrig	Har du andre spørgsmål?	muu; toinen	Onko sinulla muita kysymyksiä?
533:宾馆	宾馆	宾馆	hotel; pensjonat	Mieszkamy w hotelu niedaleko lotniska.	hotel; verblijf	Wij verblijven in een hotel vlak bij de luchthaven.	hotell	Vi bor på ett hotell nära flygplatsen.	hotell	Vi bor på et hotell nær flyplassen.	hotel; overnatningssted	Vi bor på et hotel tæt på lufthavnen.	hotelli	Yövymme hotellissa lentokentän lähellä.
534:冰	冰	冰	lód	W kubku jest lód.	ijs	Er zit ijs in de beker.	is	Det finns is i koppen.	is	Det er is i koppen.	is	Der er is i koppen.	jää	Kupissa on jäätä.
537:病人	病人	病人	pacjent; chory	Lekarz przyjmuje teraz pacjenta.	patiënt; zieke	De arts ziet nu een patiënt.	patient; sjuk person	Läkaren tar emot en patient.	pasient; syk person	Legen ser på en pasient nå.	patient; syg person	Lægen ser en patient nu.	potilas; sairas ihminen	Lääkäri tapaa parhaillaan potilasta.
538:不但	不但	不但	nie tylko	On mówi nie tylko po chińsku, ale też po angielsku.	niet alleen	Hij spreekt niet alleen Chinees, maar ook Engels.	inte bara	Han talar inte bara kinesiska utan också engelska.	ikke bare	Han snakker ikke bare kinesisk, men også engelsk.	ikke kun	Han taler ikke kun kinesisk, men også engelsk.	ei ainoastaan	Hän osaa puhua paitsi kiinaa myös englantia.
539:不见	不见	不见	nie widzieć; zniknąć	Dawno się nie widzieliśmy. Jak się ostatnio masz?	niet zien; verdwijnen	Lang niet gezien. Hoe gaat het de laatste tijd met je?	inte se; försvinna	Det var länge sedan. Hur har du haft det på sistone?	ikke se; forsvinne	Lenge siden sist. Hvordan har du hatt det i det siste?	ikke se; forsvinde	Længe siden. Hvordan har du haft det på det seneste?	ei nähdä; kadota	Pitkästä aikaa. Miten sinulla on viime aikoina mennyt?
540:不用	不用	不用	nie trzeba; nie używać	Nie musisz na mnie czekać.	niet nodig; niet gebruiken	Je hoeft niet op mij te wachten.	behövs inte; inte använda	Du behöver inte vänta på mig.	trenger ikke; ikke bruke	Du trenger ikke vente på meg.	behøver ikke; ikke bruge	Du behøver ikke vente på mig.	ei tarvitse; olla käyttämättä	Sinun ei tarvitse odottaa minua.
541:不同	不同	不同	różny; inny	Mamy różne pomysły.	verschillend	Wij hebben verschillende ideeën.	olika	Vi har olika idéer.	forskjellig	Vi har forskjellige ideer.	forskellig	Vi har forskellige ideer.	erilainen	Meillä on erilaisia ajatuksia.
