source_headword	TA	example_TA
absorb	உள்வாங்கு	துண்டு தண்ணீரை விரைவாக உறிஞ்சுகிறது.
abstract	அருவமான	விரிவுரையில் கருத்தியலான யோசனைகள் விவாதிக்கப்பட்டன.
accent	உச்சரிப்பு	அவளுடைய உச்சரிப்பை புரிந்துகொள்வது எளிது.
accidentally	தற்செயலாக	நான் தற்செயலாக கோப்பை அழித்துவிட்டேன்.
accommodate	இடமளி	இந்த விடுதியில் பெரிய குடும்பங்களுக்கு இடமளிக்க முடியும்.
accomplish	சாதித்து முடி	அவள் ஜூன் மாதத்திற்கு முன்பு தனது இலக்கைச் சாதித்தாள்.
accountant	கணக்காளர்	கணக்காளர் விலைப்பட்டியலை சரிபார்த்தார்.
accuracy	துல்லியம்	இந்த சோதனை வாசிக்கும் துல்லியத்தை அளவிடுகிறது.
accurately	துல்லியமாக	வரைபடம் வழியை துல்லியமாகக் காட்டுகிறது.
acid	அமிலம்	அமிலம் உலோக மேற்பரப்பை சேதப்படுத்தியது.
activate	செயல்படுத்து	அலாரத்தை செயல்படுத்த பொத்தானை அழுத்தவும்.
addiction	போதை பழக்கம்	அவனது அடிமைத்தனம் அவனது வேலையைப் பாதித்தது.
additionally	கூடுதலாக	கூடுதலாக, எங்களுக்கு இன்னும் நாற்காலிகள் தேவை.
adequate	போதுமான	அறையில் போதுமான வெளிச்சம் உள்ளது.
adequately	போதுமான அளவு	அறிக்கை சிக்கலை போதுமான அளவில் விளக்கியது.
adjust	சரிசெய்	ஓட்டுவதற்கு முன் இருக்கையை சரிசெய்யவும்.
affordable	மலிவான	இந்த அடுக்குமாடி குடியிருப்பு மாணவர்களுக்கு கட்டுப்படியாகக்கூடிய விலையில் உள்ளது.
agriculture	விவசாயம்	விவசாயம் பல கிராமப்புற குடும்பங்களுக்கு ஆதரவளிக்கிறது.
AIDS	எய்ட்ஸ்	மருத்துவர்கள் நவீன மருத்துவத்தால் எய்ட்ஸ் நோய்க்கு சிகிச்சையளிக்கின்றனர்.
alien	வேற்று கிரகவாசி	திரைப்படம் ஒரு வேற்றுகிரகத்தைக் காட்டுகிறது.
alongside	அருகில்	மிதிவண்டிப் பாதை நதியோரமாகச் செல்கிறது.
altogether	ஒட்டுமொத்தமாக	மொத்தமாக, இந்தத் திட்டத்திற்கு ஆறு வாரங்கள் ஆனது.
ambulance	ஆம்புலன்ஸ்	ஆம்புலன்ஸ் சில நிமிடங்களில் வந்தது.
amusing	வேடிக்கையான	கதை வேடிக்கையாகவும் இலகுவாகவும் இருந்தது.
analyst	பகுப்பாய்வாளர்	பகுப்பாய்வாளர் விற்பனைத் தரவை மதிப்பாய்வு செய்தார்.
ancestor	மூதாதையர்	என் மூதாதையர் இந்த கிராமத்திற்கு அருகில் வாழ்ந்தார்.
animation	அனிமேஷன்	அசைவூட்டம் பாடத்தை மேலும் தெளிவாக்கியது.
annually	ஆண்டுதோறும்	இந்த திருவிழா ஆண்டுதோறும் நடத்தப்படுகிறது.
anticipate	எதிர்பார்	நாளை அதிக போக்குவரத்து நெரிசலை எதிர்பார்க்கிறோம்.
anxiety	பதட்டம்	பதற்றம் தூக்கத்தை கடினமாக்கும்.
apology	மன்னிப்பு	அவள் மனமார்ந்த மன்னிப்பு கேட்டாள்.
applicant	விண்ணப்பதாரர்	விண்ணப்பதாரர் புதிய சுயவிவரக் குறிப்பை அனுப்பினார்.
appropriately	பொருத்தமாக	நேர்காணலுக்குப் பொருத்தமாக உடை அணியவும்.
arrow	அம்பு	அம்பு வெளியேறும் வழியைக் காட்டுகிறது.
artwork	கலைப்படைப்பு	அருங்காட்சியகத்தில் உள்ளூர் கலைப்படைப்புகள் காட்சிப்படுத்தப்பட்டன.
aside	தனியாக	அவர் செல்வதற்கு வசதியாக அவள் ஒருபுறம் நகர்ந்தாள்.
asset	சொத்து	அனுபவம் ஒரு மதிப்புமிக்க சொத்து.
assign	ஒதுக்கு	ஆசிரியர் இன்று வீட்டுப்பாடம் கொடுத்தார்.
assistance	உதவி	உதவிக்கு பணியாளர்களைக் கேளுங்கள்.
assumption	அனுமானம்	அந்த அனுமானம் தவறாக இருக்கலாம்.
assure	உறுதியளி	கதவு பூட்டப்பட்டுள்ளது என்று நான் உங்களுக்கு உறுதியளிக்கிறேன்.
astonishing	ஆச்சரியமான	குன்றிலிருந்து பார்த்த காட்சி ஆச்சரியமாக இருந்தது.
attachment	இணைப்பு	மின்னஞ்சலில் ஒரு இணைப்பு உள்ளது.
auction	ஏலம்	அந்த ஓவியம் ஏலத்தில் விற்கப்பட்டது.
audio	ஆடியோ	ஒலிப்பதிவு தெளிவாக கேட்கிறது.
