simplified	SV	example_SV
啊	modal partikel för instämmande eller bekräftelse	Okej, vi går nu.
阿姨	en moster; en faster; en barnskötare	Mostern arbetar i snabbköpet.
矮	låg; kort	Det här bordet är lite lågt.
爱好	en hobby; ett intresse	Min hobby är att lyssna på musik.
安静	tyst; lugn	Det är mycket tyst i biblioteket.
把	hålla; objektpartikel	Stäng dörren, är du snäll.
搬	flytta; bära bort	Vi flyttar i morgon.
班	en klass; en grupp	Det finns tjugo elever i vår klass.
办法	en metod; ett sätt	Den här metoden är mycket bra.
办公室	ett kontor	Chefen är på kontoret.
半	halv; hälft	Jag väntade i en halvtimme.
帮忙	hjälpa till; ge en hand	Kan du hjälpa till?
包	en väska; slå in; täcka över	Hon köpte en ny väska.
饱	mätt	Jag är redan mätt.
北方	norr; norra delen	Vintern i norr är mycket kall.
被	passivpartikel; av	Min cykel lånades av en vän.
鼻子	en näsa	Hans näsa är lite röd.
比较	jämföra; ganska	I dag är det ganska varmt.
比赛	en match; en tävling	Den här matchen är mycket viktig.
笔记本	en anteckningsbok; ett häfte	Jag lade anteckningsboken på bordet.
必须	måste; vara nödvändigt	Du måste repetera noggrant.
变化	en förändring; förändras	Den här staden har förändrats mycket.
别人	andra människor	Ta inte andras saker.
冰箱	ett kylskåp	Frukten ligger i kylskåpet.
不但…而且…	inte bara... utan också...	Han är inte bara smart utan också flitig.
菜单	en meny	Ge mig en meny, är du snäll.
参加	delta; vara med	Jag vill delta i det här mötet.
草	gräs	Valpen springer på gräset.
层	en våning; ett lager	Den här byggnaden har tre våningar.
差	dålig; skilja sig; saknas	Vädret är dåligt i dag.
超市	ett snabbköp; en stormarknad	Jag går till snabbköpet för att köpa bröd.
衬衫	en skjorta; en blus	Den här skjortan är mycket ren.
城市	en stad	Peking är en stor stad.
成绩	ett betyg; ett resultat	Hans betyg i matematik är mycket bra.
迟到	komma för sent	Kom inte för sent till lektionen.
除了	förutom; utöver	Förutom kaffe vill jag också ha te.
船	en båt; ett fartyg	Vi åker till den staden med båt.
春	vår	Det finns många blommor på våren.
词典	en ordbok	Den här ordboken är mycket användbar.
聪明	smart; begåvad	Det här barnet är mycket smart.
打扫	städa; sopa	Jag städar rummet på helgen.
打算	planera; tänka göra	Vilka planer har du för i morgon?
带	ta med; bära med sig	Ta med ditt pass, är du snäll.
担心	oroa sig; vara orolig	Oroa dig inte, jag hjälper dig.
蛋糕	en tårta; en kaka	Den här tårtan är mycket söt.
当然	självklart; naturligtvis	Självklart kan du det.
地	adverbiell partikel	Han log lyckligt.
灯	en lampa; ett ljus	Tänd lampan, är du snäll.
地方	en plats; ett område	Den här platsen är mycket lugn.
地铁	en tunnelbana	Jag tar tunnelbanan till jobbet varje dag.
地图	en karta	Jag letar efter skolan på kartan.
电梯	en hiss	Hissen är till vänster.
电子邮件	ett mejl; e-post	Jag skickar ett mejl till läraren.
东	öster	Solen går upp i öster.
冬	vinter	På vintern tycker jag om att dricka varmt te.
动物	ett djur	Pandan är ett berömt djur i Kina.
短	kort	De här byxorna är för korta.
段	ett stycke; en del	Läs det här stycket, är du snäll.
锻炼	träna; motionera	Jag tränar varje morgon.
多么	vad; hur	Vad bra miljön är här!
饿	vara hungrig; hungrig	Jag är hungrig och vill äta bröd.
耳朵	ett öra	Mitt öra gör lite ont.
发	skicka; utfärda	Jag skickar mejl på kvällen.
发烧	ha feber	Han har feber och kan inte gå till skolan.
发现	upptäcka; märka	Jag upptäckte att den här metoden är bra.
方便	bekväm; praktisk	Det är praktiskt att ta tunnelbanan.
放	lägga; ställa; släppa	Lägg boken på bordet, är du snäll.
放心	vara lugn; sluta oroa sig	Oroa dig inte, jag kommer i tid.
分	dela; fördela	Dela tårtan mellan alla, är du snäll.
复习	repetera; läsa på	Jag behöver repetera före provet.
附近	i närheten; närområde	Det finns en restaurang i närheten.
干净	ren; prydlig	Det här rummet är mycket rent.
感冒	vara förkyld; en förkylning	Jag är förkyld och vill vila.
感兴趣	vara intresserad	Jag är mycket intresserad av kinesiska.
刚才	nyss; alldeles nyss	Vem ringde dig nyss?
个子	längd; kroppslängd	Han är lång.
根据	enligt; baserat på	Enligt kartan ligger skolan österut.
跟	med; följa	Jag går till parken med en vän.
更	mer; ännu mer	I dag är det ännu kallare än i går.
公斤	ett kilogram	De här äpplena väger ett kilogram.
公园	en park	Barnen leker i parken.
故事	en berättelse	Morfar berättar en historia för mig.
刮风	blåsa; vara blåsigt	Det blåser i dag, cykla inte.
关	stänga; släcka	Stäng dörren, är du snäll.
关系	en relation; ett förhållande	Min relation med min kollega är bra.
关心	bry sig om; vara omtänksam	Mamma bryr sig mycket om min hälsa.
关于	om; angående	Den här boken handlar om kinesisk kultur.
国家	ett land; en stat	Kina är ett mycket stort land.
过	erfarenhetspartikel; ha gjort tidigare	Jag har varit i Peking.
过去	det förflutna; förr	Förr fanns det ingen tunnelbana här.
还是	eller; fortfarande	Dricker du te eller kaffe?
害怕	vara rädd	Jag är inte rädd för provet.
黑板	en svart tavla	Läraren skriver tecken på tavlan.
后来	senare; därefter	Senare gick vi till parken.
护照	ett pass	Ta med ditt pass, är du snäll.
96:花	spendera; kosta	Att köpa telefonen kostade två tusen yuan.
97:花	en blomma	Det finns en blomma på bordet.
画	rita; en teckning; en målning	Min lillasyster tycker om att rita pandor.
坏	dålig; trasig	Min dator är trasig.
欢迎	välkomna; välkommen	Välkommen hem till mig.
环境	en miljö; en omgivning	Den här skolans miljö är mycket bra.
还	lämna tillbaka; återvända	Lämna tillbaka min bok i morgon, är du snäll.
换	byta; växla	Jag vill byta en skjorta.
黄河	Gula floden	Gula floden är mycket lång.
回答	svara; ett svar	Svara på min fråga, är du snäll.
会议	ett möte; en konferens	Mötet börjar klockan nio.
或者	eller; kanske	Du kan ta tunnelbanan eller bussen.
几乎	nästan	Han tränar nästan varje dag.
机会	en möjlighet; en chans	Det här är en bra möjlighet.
极	ytterst; mycket	Hon är ytterst glad.
季节	en årstid	Hösten är min favoritårstid.
记得	komma ihåg	Kom du ihåg att ta med kreditkortet?
检查	kontrollera; undersöka	Läkaren undersöker mig.
简单	enkel; inte komplicerad	Den här meningen är mycket enkel.
健康	hälsa; hälsosam	Motion är bra för hälsan.
见面	träffas	Vi träffas i skolan i morgon.
讲	förklara; tala	Läraren förklarar mycket tydligt.
教	undervisa; lära ut	Han lär mig att skriva kinesiska tecken.
脚	en fot; ett ben	Min fot gör lite ont.
角	ett hörn; en vinkel	Butiken ligger i gathörnet.
接	hämta; ta emot; svara	Jag ska till flygplatsen för att hämta en vän.
街道	en gata	Den här gatan är mycket ren.
结婚	gifta sig	De ska gifta sig nästa år.
结束	sluta; avsluta	Matchen är redan slut.
节目	ett program; en föreställning	Det här tv-programmet är mycket bra.
节日	en högtid; en festival	Vårfesten är en viktig kinesisk högtid.
解决	lösa	Det här problemet är redan löst.
借	låna; låna ut	Jag vill låna din ordbok.
经常	ofta; regelbundet	Jag går ofta till biblioteket.
经过	passera; gå förbi	Jag går förbi den här parken varje dag.
经理	en chef; en föreståndare	Chefen är på möte.
久	länge; lång tid	Jag har bott här länge.
旧	gammal; begagnad	Det här klädesplagget är mycket gammalt.
句子	en mening	Skriv en mening, är du snäll.
决定	bestämma; ett beslut	Jag bestämde mig för att studera kinesiska.
可爱	söt; gullig	Den här katten är mycket söt.
渴	vara törstig	Jag är törstig och vill dricka vatten.
刻	en kvart; ett ögonblick	Klockan är kvart över åtta.
客人	en gäst; en kund	En gäst kom hem till oss i dag.
空调	luftkonditionering	Sätt på luftkonditioneringen, är du snäll.
口	en mun; måttord för människor eller djur	Han tog en klunk vatten.
哭	gråta	Varför gråter barnet?
裤子	byxor	De här byxorna är nya.
筷子	ätpinnar	Jag kan äta med ätpinnar.
蓝	blå	Himlen är blå.
老	gammal; äldre	Min lärare är inte gammal.
离开	lämna; åka från	Han lämnar Peking i morgon.
礼物	en present	Det här är en present till dig.
历史	historia	Jag tycker om kinesisk historia.
脸	ett ansikte	Hennes ansikte är mycket rött.
练习	öva; en övning	Öva mer på att tala kinesiska, är du snäll.
辆	måttord för fordon	Det står en taxi vid dörren.
聊天	prata; småprata	Jag småpratar med en vän.
了解	förstå; lära känna	Jag vill förstå kinesisk kultur.
邻居	en granne	Min granne är mycket vänlig.
留学	studera utomlands	Hon studerar utomlands i Kina.
楼	en byggnad; en våning	Kontoret ligger på tredje våningen.
绿	grön	På våren blir träden gröna.
马	en häst	Den hästen springer mycket snabbt.
马上	genast; omedelbart	Jag kommer tillbaka genast.
满意	nöjd	Jag är mycket nöjd med det här rummet.
帽子	en hatt; en mössa	Den här hatten är mycket fin.
米	en meter; ris	Det här bordet är två meter långt.
面包	bröd	Jag äter bröd till frukost.
明白	förstå; tydlig	Jag förstår vad du menar.
拿	ta; hålla	Ta en bok åt mig, är du snäll.
奶奶	farmor; mormor	Farmor tycker om att lyssna på musik.
南	söder	Skolan ligger i södra delen av staden.
难	svår	Den här frågan är inte svår.
难过	ledsen; bedrövad	Hon är lite ledsen i dag.
年级	en årskurs	Min lillasyster går i tredje årskursen.
年轻	ung	Den här chefen är mycket ung.
