source_headword	UZ	example_UZ
rock (music)	rok musiqa	Menga rok musiqa yoqadi.
role	rol	Uning roli muhim.
roof	tom	Tomni ta'mirlash kerak.
round	dumaloq	Stol dumaloq.
route	yo'nalish	Bu yo'nalish qisqa.
rubbish	axlat	Axlatni tashqariga chiqar.
rude	qo'pol	Bu izoh qo'pol edi.
runner	yuguruvchi	Yuguruvchi charchaganga o'xshaydi.
running	yugurish	Yugurish meni sog'lom qiladi.
sadly	afsuski	Afsuski, biz poyezdni o'tkazib yubordik.
safe	xavfsiz	Bu yo'l xavfsiz tuyuladi.
sail	suzib bormoq	Biz shanba kuni suzib boramiz.
sailing	kema sayohati	Bu yerda kema sayohati mashhur.
salary	maosh	Uning maoshi hozir yuqoriroq.
sale	sotuv	Sotuv ertaga boshlanadi.
sauce	sous	Guruchga sous qo'sh.
save	saqlamoq	Ishingni hozir saqla.
scared	qo'rqqan	Bola qo'rqqanga o'xshaydi.
scary	qo'rqinchli	Bu hikoya qo'rqinchli.
scene	sahna	Oxirgi sahna kulgili edi.
schedule	jadval	Bugungi jadvalga qarang.
score	hisob	Hisob nechchi?
screen	ekran	Ekranni ehtiyotkorlik bilan tozala.
search	qidirmoq	Rasmlarni vebda qidir.
season	fasl	Yoz band fasl.
seat	o'rindiq	Iltimos, bu o'rindiqni oling.
second1 (next after the first)	ikkinchi	Bu ikkinchi savol.
secondly	ikkinchidan	Ikkinchidan, javobingni tekshir.
secret	sir	Bu sirni xavfsiz saqla.
secretary	kotib	Kotib bugun qo'ng'iroq qildi.
seem	tuyulmoq	Sen charchaganga o'xshaysan.
sense	ma'no	Bu rejada ma'no bor.
separate	alohida	Qog'ozlarni alohida qo'y.
series	serial	Bu serial mashhur.
serious	jiddiy	Bu muammo jiddiy.
serve	xizmat qilmoq	Ular tushlikni berishadi.
service	xizmat	Xizmat tez edi.
several	bir nechta	Bir nechta talaba erta keldi.
shake	silkitmoq	Avval shishani silkit.
shall modal	qilaylikmi	Hozir boshlaylikmi?
shape	shakl	Kvadrat shakl chiz.
sheet	choyshab	Choyshabni karavotga sol.
ship	kema	Kema bugun jo'nadi.
shoulder	yelka	Yelkam og'riyapti.
shout	baqirmoq	Sinfda baqirma.
shut	yopmoq	Iltimos, derazani yop.
side	tomon	Bu tomonda o'tir.
sign	belgi	Belgini diqqat bilan o'qi.
silver	kumush	Kumush yaltiroq metall.
simple	oddiy	Bu mashq oddiy.
since	dan beri	Men tushdan beri kutyapman.
singing	kuylash	Kuylash menga dam beradi.
single	bitta	Men bitta chipta oldim.
sir	janob	Janob, sumkangiz tayyor.
site	sayt	Bu sayt xavfsiz.
size	o'lcham	Senga qaysi o'lcham kerak?
ski	chang'ida uchmoq	Biz qishda chang'ida uchamiz.
skiing	chang'ida uchish	Qishda chang'ida uchish qiziqarli.
skin	teri	Uning terisi quruq tuyuladi.
sky	osmon	Osmon tiniq.
slowly	sekin	Muz ustida sekin yur.
smartphone	smartfon	Mening smartfonim yangi.
smell	hid kelmoq	Sho'rvadan yaxshi hid kelmoqda.
smile	tabassum qilmoq	Kamera uchun tabassum qil.
smoke	tutun	Tutun xonani to'ldirdi.
smoking	chekish	Chekishga ruxsat yo'q.
soap	sovun	Sovun va suvdan foydalan.
soccer	futbol	Futbol bu yerda mashhur.
social	ijtimoiy	Bu ijtimoiy tadbir.
society	jamiyat	Jamiyat vaqt bilan o'zgaradi.
sock	paypoq	Bitta paypoq yo'qoldi.
soft	yumshoq	Bu adyol yumshoq.
soldier	askar	Askar uyga keldi.
solution	yechim	Biz yechim topdik.
solve	hal qilmoq	Bu boshqotirmani hal qil.
somewhere	qayerdadir	Uni qayerdadir xavfsiz joyga qo'y.
sort	tur	Senga qaysi tur kerak?
source	manba	Avval manbani tekshir.
speaker	ma'ruzachi	Ma'ruzachi baland gapirdi.
specific	aniq	Menga aniq javob kerak.
speech	nutq	Uning nutqi qisqa edi.
speed	tezlik	Bu yerda tezligingni kamaytir.
spider	o'rgimchak	Devorda o'rgimchak bor.
spoon	qoshiq	Sho'rva uchun qoshiq ishlat.
square	kvadrat	Kvadrat quti chiz.
stage	sahna	Guruh sahnada.
stair	zina	Zina singan.
stamp	marka	Xatga marka yopishtir.
state	aytmoq	Ismingni aniq ayt.
steal	o'g'irlamoq	Pul o'g'irlama.
step	qadam	Bir qadam oldinga qo'y.
stomach	qorin	Qornim og'riyapti.
stone	tosh	Tosh og'ir.
store	do'kon	Do'kon erta yopiladi.
storm	bo'ron	Bo'ron kelmoqda.
straight	to'g'ri	To'g'ri uyga bor.
strange	g'alati	Bu tovush g'alati.
strategy	strategiya	Bizga strategiya kerak.
stress	stress	Ish stress keltirishi mumkin.
structure	tuzilma	Bu tuzilma kuchli.
stupid	ahmoqona	Bu ahmoqona xato edi.
succeed	muvaffaqiyatga erishmoq	Sen bu yerda muvaffaqiyatga erishasan.
successful	muvaffaqiyatli	U muvaffaqiyatli bo'ldi.
such	shunday	Shunday yordam foydali.
suddenly	to'satdan	To'satdan, it yugurdi.
suggest	taklif qilmoq	Men qisqa tanaffus taklif qilaman.
suggestion	taklif	Sening taklifing foydali.
suit	kostyum	Bu kostyum qimmat.
support	qo'llab-quvvatlamoq	Biz jamoamizni qo'llab-quvvatlaymiz.
suppose	o'ylamoq	Men sen haqsan deb o'ylayman.
surprise	kutilmagan hodisa	Kutilmagan hodisa uni xursand qildi.
surprised	hayron	U bugun hayron bo'ldi.
surprising	hayratlanarli	Natija hayratlanarli edi.
survey	so'rov	Iltimos, so'rovni to'ldir.
sweet	shirin	Bu choy shirin.
symbol	belgi	Bu belgi xavfni bildiradi.
system	tizim	Tizim yaxshi ishlaydi.
tablet	planshet	Mening planshetim stolda.
target	nishon	Nishonni ehtiyotkorlik bilan ur.
task	vazifa	Bu vazifa oson.
taste	tatib ko'rmoq	Avval sho'rvani tatib ko'r.
teaching	o'qitish	O'qitish qiyin ish.
technology	texnologiya	Texnologiya tez o'zgaradi.
teenage	o'smir	Mening o'smir ukam qattiq o'qiydi.
temperature	harorat	Harorat pasaydi.
term	muddat	Bu muddat tez tugaydi.
themselves	o'zlari	Ular kechki ovqatni o'zlari pishirishdi.
thick	qalin	Bu kitob qalin.
thief	o'g'ri	O'g'ri qochib ketdi.
thin	yupqa	Qog'oz yupqa.
thinking	o'ylash	O'ylash uchun vaqt kerak.
thought	fikr	Menga g'alati fikr keldi.
throw	otmoq	To'pni yumshoq ot.
tidy	ozoda	Xonangni ozoda tut.
