source_headword	LT	example_LT
crawl	ropoti	Kūdikis pradėjo ropoti kilimu.
creator	kūrėjas	Kūrėjas padėkojo visiems už palaikymą.
credibility	patikimumas	Liudytojas apklausos metu prarado patikimumą.
credible	patikimas	Ataskaitoje buvo pateikta patikimų įrodymų.
creep	slinkti	Rūkas pradėjo slinkti slėniu.
critique	kritika	Profesorius pateikė išsamią kritiką.
crown	karūna	Karalienė dėvėjo sidabrinę karūną.
crude	grubus	Piešinys buvo grubus, bet aiškus.
crush	sutraiškyti	Sunkūs akmenys gali sutraiškyti vamzdį.
crystal	kristalas	Kristalas atspindėjo ryto šviesą.
cult	kultas	Kultas izoliavo savo narius.
cultivate	auginti	Ūkininkai šiame regione augina ryžius.
curiosity	smalsumas	Smalsumas atvedė ją į mokslą.
custody	globa	Vaikas liko tėvo globoje.
cutting	iškarpa	Laikraštis išspausdino iškarpą apie jį.
cynical	ciniškas	Jo ciniška pastaba nuliūdino komandą.
dam	užtvanka	Užtvanka sulaiko upės vandenį.
damaging	žalingas	Žalingas straipsnis pakenkė kampanijai.
dawn	aušra	Mes palikome kaimą auštant.
debris	nuolaužos	Audros nuolaužos užblokavo kelią.
debut	debiutas	Jos debiutas pritraukė nacionalinį dėmesį.
decision-making	sprendimų priėmimas	Geram sprendimų priėmimui reikia aiškios informacijos.
decisive	ryžtingas	Jos ryžtingas veiksmas užkirto kelią tolesnei žalai.
declaration	deklaracija	Ministras perskaitė oficialią deklaraciją.
dedicated	atsidavęs	Atsidavusi slaugytoja dirbo per naktį.
dedication	atsidavimas	Jo atsidavimas įkvėpė jaunesnius žaidėjus.
deed	poelgis	Drąsus poelgis išgelbėjo dvi gyvybes.
deem	laikyti	Teismas gali laikyti sutartį negaliojančia.
default	numatytasis	Kol kas naudokite numatytąjį nustatymą.
defect	defektas	Inspektoriai rado rimtą defektą.
defensive	gynybinis	Jo gynybinis tonas visus nustebino.
deficiency	trūkumas	Geležies trūkumas gali paveikti sveikatą.
deficit	deficitas	Biudžeto deficitas kėlė nerimą pareigūnams.
defy	nepaisyti	Protestuotojai nusprendė nepaisyti draudimo.
delegate	delegatas	Kiekvienas delegatas gavo balsavimo kortelę.
delegation	delegacija	Delegacija atvyko prieš vidurdienį.
delicate	trapus	Trapus stiklas lengvai sudužo.
demon	demonas	Istorija aprašo senovinį demoną.
denial	neigimas	Jo neigimas supykdė aukas.
denounce	pasmerkti	Lyderiai smerkia smurtą mokyklose.
dense	tankus	Tankus miškas užstojo saulės šviesą.
density	tankumas	Gyventojų tankumas centre yra didelis.
dependence	priklausomybė	Šalies priklausomybė nuo naftos sumažėjo.
depict	vaizduoti	Freska vaizduoja kaimo gyvenimą.
deploy	dislokuoti	Kariuomenė dislokuos papildomą personalą.
deployment	dislokavimas	Karių dislokavimas prasidėjo pirmadienį.
deprive	atimti	Miego trūkumas gali atimti iš studentų susikaupimą.
deputy	pavaduotojas	Pavaduotojas pasirašė sutartį.
descend	leistis	Takas pradėjo staigiai leistis.
descent	nusileidimas	Lėktuvas pradėjo nusileidimą.
designate	paskirti	Miestas paskirs naują parką.
desirable	pageidautinas	Geras apšvietimas yra pageidautinas klasėse.
desktop	darbalaukis	Failas yra mano darbalaukyje.
destructive	destruktyvus	Audra turėjo destruktyvią jėgą.
detain	sulaikyti	Policija gali sulaikyti įtariamuosius per naktį.
detection	aptikimas	Ankstyvas aptikimas pagerina vėžio gydymą.
detention	sulaikymas	Studentai protestavo prieš sulaikymo sąlygas.
deteriorate	pablogėti	Jo sveikata pradėjo blogėti.
devastate	nuniokoti	Žemės drebėjimas gali nuniokoti pakrantės miestus.
devil	velnias	Vaikas nupiešė besišypsantį velnią.
devise	sugalvoti	Inžinieriai sugalvoja saugesnes transporto sistemas.
diagnose	diagnozuoti	Gydytojai diagnozuoja ligą kraujo tyrimais.
diagnosis	diagnozė	Diagnozė paaiškino jos simptomus.
dictate	diktuoti	Sutartis diktuos mokėjimo sąlygas.
dictator	diktatorius	Diktatorius kontroliavo žiniasklaidą.
differentiate	atskirti	Ar galite atskirti faktą nuo nuomonės?
dignity	orumas	Visi nusipelno orumo darbe.
dilemma	dilema	Vadybininkas susidūrė su rimta dilema.
dimension	dimensija	Problema turi politinę dimensiją.
diminish	sumažėti	Skausmas turėtų lėtai sumažėti.
dip	nukristi	Temperatūra gali nukristi žemiau nulio.
diplomat	diplomatas	Diplomatas susitiko su užsienio lyderiais.
diplomatic	diplomatinis	Diplomatinės derybos tęsėsi per naktį.
directory	katalogas	Ieškokite jo numerio kataloge.
disastrous	katastrofiškas	Katastrofiškas potvynis sunaikino kelis tiltus.
discard	išmesti	Neišmeskite naudingų įrašų.
discharge	išrašyti	Ligoninė jį išrašys rytoj.
disclose	atskleisti	Pareigūnai atsisakė atskleisti skaičius.
disclosure	atskleidimas	Atskleidimas šokiravo valdybą.
discourse	diskursas	Viešasis diskursas tapo mandagesnis.
discretion	diskrecija	Naudokitės savo diskrecija su jautriomis bylomis.
discrimination	diskriminacija	Įstatymas draudžia diskriminaciją priimant į darbą.
dismissal	atleidimas	Jo atleidimas sukėlė visuomenės pyktį.
displace	perkelti	Karas gali perkelti tūkstančius.
disposal	šalinimas	Atliekų šalinimas išlieka vietine problema.
dispose	atsikratyti	Įmonė turi saugiai atsikratyti chemikalų.
dispute	ginčas	Ginčas truko kelis mėnesius.
disrupt	sutrikdyti	Triukšmas gali sutrikdyti koncentraciją.
disruption	sutrikdymas	Streikas sukėlė didelį sutrikdymą.
dissolve	ištirpti	Cukrus ištirps karštoje arbatoje.
distinction	skirtumas	Skirtumas tarp jų yra svarbus.
distinctive	išskirtinis	Ji turi išskirtinį balsą.
distort	iškreipti	Veidrodis gali iškreipti jūsų atspindį.
distress	sielvartas	Skambutis sukėlė rimtą sielvartą.
disturbing	nerimą keliantis	Dokumentinis filmas rodė nerimą keliančias scenas.
divert	nukreipti	Policijai teko nukreipti eismą.
divine	dieviškas	Koplyčioje tvyro dieviška atmosfera.
doctrine	doktrina	Partija atmetė senąją doktriną.
documentation	dokumentacija	Prieš paleidimą užpildykite dokumentaciją.
domain	domenas	Svetainė naudoja saugų domeną.
dominance	dominavimas	Komandos dominavimas truko dešimtmetį.
donor	donoras	Donoras šiandien davė kraujo.
dose	dozė	Išgerkite vieną dozę po pusryčių.
drain	nutekėti	Vanduo nutekės į upę.
drift	sklisti	Dūmai pradėjo sklisti per kelią.
driving	varomasis	Lietus buvo varomasis vėlavimų veiksnys.
drown	nuskęsti	Niekada neplaukite ten, kur srovės gali jus nuskandinti.
dual	dvigubas	Prietaisas atlieka dvigubą funkciją.
dub	praminti	Kritikai praminė miestą kultūros sostine.
dumb	kvailas	Tai buvo kvaila klaida.
duo	duetas	Komikų duetas gastroliavo po Europą.
eager	nekantraujantis	Studentai nekantravo pradėti.
earnings	uždarbis	Įmonės uždarbis smarkiai išaugo.
ease	palengvinti	Naujas kelias palengvins eismą.
echo	aidėti	Jos balsas aidėjo salėje.
ecological	ekologinis	Ekologinis poveikis išlieka neaiškus.
educator	pedagogas	Pedagogas sukūrė naują kursą.
effectiveness	veiksmingumas	Tyrimas matavo vakcinos veiksmingumą.
efficiency	efektyvumas	Geresnė programinė įranga pagerino efektyvumą.
ego	ego	Jo ego kėlė problemų darbe.
elaborate	sudėtingas	Sudėtingas kostiumas pareikalavo savaičių.
electoral	rinkimų	Rinkimų sistema pasikeitė praėjusiais metais.
elevate	pakelti	Apdovanojimas pakels jos profilį.
eligible	turintis teisę	Tik gyventojai turi teisę į nuolaidas.
elite	elitas	Elitas treniravosi privačioje akademijoje.
embark	leistis	Jie leisis į ilgą kelionę.
embarrassment	sumišimas	Jis nusijuokė, norėdamas nuslėpti sumišimą.
embassy	ambasada	Ambasada paskelbė naują patarimą keliautojams.
embed	integruotis	Žurnalistas integruosis į padalinį.
embody	įkūnyti	Atrodo, kad statula įkūnija drąsą.
emergence	atsiradimas	Telefonų atsiradimas pakeitė kasdienį gyvenimą.
empirical	empirinis	Straipsnis remiasi empiriniais įrodymais.
empower	įgalinti	Švietimas gali įgalinti vietos bendruomenes.
enact	priimti	Parlamentas balsavo už reformos priėmimą.
encompass	apimti	Kursas apims moderniąją istoriją.
encouragement	padrąsinimas	Jos padrąsinimas padėjo jam tęsti.
encouraging	teikiantis vilties	Ankstyvieji rezultatai teikia vilties.
endeavour	pastanga	Gelbėjimas buvo sunki pastanga.
endless	begalinis	Dykuma atrodė begalinė.
endorse	palaikyti	Profsąjunga atsisakė palaikyti kandidatą.
endorsement	palaikymas	Jo palaikymas sustiprino jos kampaniją.
endure	ištverti	Augalai gali ištverti atšiaurias žiemas.
enforce	užtikrinti	Policija užtikrina greičio apribojimą.
enforcement	vykdymas	Griežtesnis vykdymas sumažino nelegalų šiukšlių išmetimą.
engagement	įsitraukimas	Studentų įsitraukimas šį semestrą pagerėjo.
engaging	įtraukiantis	Pranešėjas pasakė įtraukiančią kalbą.
enquire	pasiteirauti	Prašome pasiteirauti registratūroje.
enrich	praturtinti	Kelionės gali praturtinti jūsų supratimą.
enrol	užsiregistruoti	Studentai turi užsiregistruoti iki rugsėjo.
ensue	kilti	Po pranešimo gali kilti chaosas.
enterprise	įmonė	Įmonėje dirba vietiniai menininkai.
enthusiast	entuziastas	Kiekvienas dviračių entuziastas žino šį maršrutą.
entitle	suteikti teisę	Bilietas suteiks jums teisę įeiti.
entity	subjektas	Įmonė yra atskiras juridinis subjektas.
epidemic	epidemija	Epidemija išplito keliuose regionuose.
equality	lygybė	Judėjimas kovojo už lygybę.
equation	lygtis	Lygtis turi du nežinomuosius.
erect	pastatyti	Darbininkai pastatys naują tvorą.
escalate	paaštrėti	Konfliktas gali greitai paaštrėti.
essence	esmė	Eilėraštis užfiksuoja vaikystės esmę.
establishment	elitas	Elitas priešinosi reformai.
eternal	amžinas	Jie pažadėjo amžiną draugystę.
evacuate	evakuoti	Ugniagesiai padėjo gyventojams saugiai evakuotis.
evoke	sukelti	Daina gali sukelti stiprius prisiminimus.
evolutionary	evoliucinis	Fosilija rodo evoliucinį pokytį.
exaggerate	perdėti	Neperdėkite savo patirties.
excellence	meistriškumas	Mokykla apdovanoja už akademinį meistriškumą.
exceptional	išskirtinis	Ji parodė išskirtinius įgūdžius.
excess	perteklius	Vandens perteklius užtvindė rūsį.
exclusion	atskirtis	Socialinė atskirtis kenkia jauniems žmonėms.
exclusive	išskirtinis	Klubas siūlo išskirtinę prieigą.
exclusively	išimtinai	Šiuo kambarį išimtinai naudoja darbuotojai.
execute	įvykdyti	Komanda atidžiai įvykdys planą.
execution	įvykdymas	Strategijos įvykdymas užtruko mėnesius.
exert	panaudoti	Turite panaudoti daugiau spaudimo.
exile	tremtis	Rašytojas gyveno tremtyje.
expenditure	išlaidos	Valstybės išlaidos praėjusiais metais išaugo.
experimental	eksperimentinis	Gydymas vis dar yra eksperimentinis.
expire	baigti galioti	Mano pasas greitai baigs galioti.
explicit	aiškus	Instrukcijos buvo aiškios.
explicitly	aiškiai	Taisyklės aiškiai draudžia rūkyti.
exploitation	išnaudojimas	Ataskaita atskleidė darbuotojų išnaudojimą.
explosive	sprogstamasis	Sprogstamasis įtaisas buvo saugiai pašalintas.
extremist	ekstremistas	Ekstremistų grupė prarado palaikymą.
facilitate	palengvinti	Programėlė palengvins nuotolinį mokymąsi.
faction	frakcija	Viena frakcija pasipriešino lyderiui.
faculty	fakultetas	Fakultetas patvirtino pasiūlymą.
fade	išblukti	Dažai saulėje išbluks.
fairness	sąžiningumas	Sąžiningumas svarbus kiekvienose varžybose.
fatal	mirtinas	Nelaimingas atsitikimas sukėlė mirtinus sužalojimus.
fate	likimas	Niekas nežinojo jo likimo.
favourable	palankus	Atsiliepimas buvo palankus.
feat	žygdarbis	Kopimas į tą viršūnę buvo žygdarbis.
feminist	feministinis	Feministinis judėjimas pakeitė viešąsias diskusijas.
fibre	skaidula	Šioje duonoje yra papildomų skaidulų.
fierce	nuožmus	Nuožmi audra apgadino stogus.
film-maker	filmų kūrėjas	Filmų kūrėjas vėliau atsakinėjo į klausimus.
filter	filtras	Filtras pašalina dulkes iš oro.
fine	bauda	Įmonė sumokėjo baudą.
firearm	šaunamasis ginklas	Pareigūnas rado pavogtą šaunamąjį ginklą.
fit	tikimas	Nauji batai tobulai tinka.
fixture	nekilnojamas įrenginys	Lempa yra nuolatinis įrenginys.
flaw	trūkumas	Dizainas turi vieną rimtą trūkumą.
flawed	ydingas	Ydingas tyrimas davė klaidingus rezultatus.
flee	bėgti	Šeimoms teko bėgti nuo kovų.
fleet	parkas	Oro linijos atnaujino savo parką.
flesh	kūnas	Spyglys perdūrė jo kūną.
flexibility	lankstumas	Nuotolinis darbas suteikia daugiau lankstumo.
flourish	klestėti	Smulkusis verslas čia gali klestėti.
fluid	skystis	Po mankštos gerkite daug skysčių.
footage	filmuota medžiaga	Filmuota medžiaga parodė avariją.
foreigner	užsienietis	Formoje klausiama, ar esate užsienietis.
forge	užmegzti	Jie bandė užmegzti naują aljansą.
formula	formulė	Formulė išsprendė problemą.
formulate	suformuluoti	Mokslininkai formuluoja naują teoriją.
forth	pirmyn	Upė nešė valtį pirmyn.
forthcoming	būsimas	Būsimas pranešimas viską paaiškins.
foster	skatinti	Programa padeda skatinti savarankiškumą.
fragile	trapus	Su trapia vaza reikia elgtis atsargiai.
franchise	franšizė	Restoranas tapo pasauline franšize.
frankly	atvirai kalbant	Atvirai kalbant, mums reikia daugiau laiko.
frustrated	nusivylęs	Darbuotojai jautėsi nusivylę dėl vėlavimo.
frustrating	erzinantis	Lėtas ryšys buvo erzinantis.
frustration	nusivylimas	Nusivylimas augo susitikimo metu.
functional	funkcionalus	Sena virtuvė vis dar yra funkcionali.
fundraising	lėšų rinkimas	Lėšų rinkimas prasideda kitą savaitę.
funeral	laidotuvės	Laidotuvės vyko penktadienį.
gallon	galonas	Bakas talpina vieną galoną.
gambling	azartiniai lošimai	Azartiniai lošimai yra ribojami įstatymų.
gathering	susibūrimas	Susibūrimas baigėsi taikiai.
gaze	žvilgsnis	Ji trumpam sulaikė jo žvilgsnį.
gear	įranga	Prieš kopdami susipakuokite saugos įrangą.
generic	generinis	Generinė versija kainuoja mažiau.
genocide	genocidas	Genocidas paliko gilią tautos traumą.
glance	žvilgsnis	Jis greitai žvilgtelėjo.
glimpse	trumpas žvilgsnis	Pagavau trumpą jūros žvilgsnį.
glorious	šlovingas	Komanda džiaugėsi šlovinga pergale.
glory	šlovė	Ji svajojo apie olimpinę šlovę.
governance	valdymas	Geras valdymas reikalauja skaidrumo.
grace	orumas	Ji priėmė pralaimėjimą su orumu.
grasp	suprasti	Jam nepavyko suprasti koncepcijos.
grave (for dead person)	kapas	Kapas buvo padengtas gėlėmis.
grave (serious)	rimtas	Situacija išlieka rimta.
gravity	gravitacija	Gravitacija traukia objektus link Žemės.
grid	tinklelis	Žemėlapis naudoja paprastą tinklelį.
grief	sielvartas	Sielvartas pakeitė visą jo šeimą.
grin	šypsnys	Berniukas plačiai nusišypsojo.
grind	malti	Darbuotojai kiekvieną rytą mala pupeles.
grip	laikymas	Tvirtai laikykite virvę.
gross	bruto	Bruto pajamos smarkiai išaugo.
guerrilla	partizanas	Partizanai slėpėsi kalvose.
guidance	gairės	Gidas teikia praktines gaires.
guilt	kaltė	Pamelavusi ji jautė kaltę.
gut	instinktas	Sunkiais pasirinkimais pasikliaukite savo instinktu.
hail	šlovinti	Kaimiečiai šlovina gydytoją kaip didvyrį.
halfway	pusiaukelėje	Sustojome pusiaukelėje į kalvą.
halt	sustabdymas	Traukinys staiga sustojo.
handful	saujelė	Saujelė savanorių pasiliko iki vėlumos.
handling	tvarkymas	Tinkamas tvarkymas apsaugo nuo žalos.
handy	patogus	Šis įrankis patogus remontui.
harassment	priekabiavimas	Įmonė tyrė skundus dėl priekabiavimo.
hardware	aparatinė įranga	Parduotuvė parduoda kompiuterių aparatinę įrangą.
harmony	harmonija	Choras dainavo tobuloje harmonijoje.
harsh	griežtas	Teisėjas skyrė griežtą bausmę.
harvest	derlius	Derliaus nuėmimas prasideda rugsėjį.
haunt	persekioti	Prisiminimai ir toliau jį persekiojo.
hazard	pavojus	Ledas yra rimtas pavojus kelyje.
