source_headword	MS	example_MS
incur	menanggung	Kelewatan mungkin menyebabkan kos tambahan.
indicator	penunjuk	Pengangguran adalah salah satu penunjuk ekonomi.
indictment	dakwaan	Dakwaan itu menyenaraikan tiga pertuduhan.
indigenous	asli	Tumbuhan asli tumbuh dengan baik di sini.
induce	menyebabkan	Ubat ini boleh menyebabkan rasa mengantuk.
indulge	melayan	Dia tidak melayan tabiat yang mahal.
inequality	ketidaksamaan	Ketidaksamaan pendapatan kekal sebagai isu utama.
infamous	terkenal buruk	Penjara itu menjadi terkenal buruk di seluruh dunia.
infant	bayi	Bayi itu tidur di dalam katil bayi.
infect	menjangkiti	Virus itu boleh menjangkiti sel yang sihat.
inflict	mendatangkan	Jangan mendatangkan kesakitan kepada haiwan.
influential	berpengaruh	Dia ialah seorang sarjana undang-undang yang berpengaruh.
inherent	semula jadi	Reka bentuk itu mempunyai risiko semula jadi.
inhibit	menghalang	Ketakutan boleh menghalang perbincangan yang jujur.
initiate	memulakan	Pengurus akan memulakan semakan tersebut.
inject	menyuntik	Jururawat akan menyuntik vaksin tersebut.
injection	suntikan	Suntikan itu mengurangkan kesakitan.
injustice	ketidakadilan	Keputusan itu mendedahkan ketidakadilan yang jelas.
inmate	banduan	Banduan itu meminta nasihat undang-undang.
insertion	penyisipan	Borang tersebut memerlukan satu penyisipan teks.
insider	orang dalam	Orang dalam telah membocorkan laporan tersebut.
inspect	memeriksa	Pegawai memeriksa jambatan itu setiap tahun.
inspection	pemeriksaan	Pemeriksaan itu mendapati kerosakan yang serius.
inspiration	inspirasi	Ucapan beliau memberi saya inspirasi.
instinct	naluri	Naluri pertamanya adalah untuk membantu.
institutional	institusi	Peraturan institusi membentuk keputusan tersebut.
instruct	mengarahkan	Manual ini akan mengarahkan kakitangan baharu.
instrumental	memainkan peranan penting	Nasihat beliau memainkan peranan penting dalam rundingan.
insufficient	tidak mencukupi	Bukti tersebut tidak mencukupi untuk pertuduhan.
insult	penghinaan	Penghinaannya menamatkan perbualan itu.
intact	utuh	Tembok purba itu kekal utuh.
intake	pengambilan	Pengambilan gula haruslah sederhana.
integral	penting	Kepercayaan adalah penting kepada pasukan.
integrated	bersepadu	Sekolah ini menawarkan sokongan bersepadu.
integration	integrasi	Integrasi menambah baik keseluruhan sistem.
integrity	integriti	Hakim itu menunjukkan integriti yang tinggi.
