source_headword	MY	example_MY
stranger	လူစိမ်း	လူစိမ်းတစ်ယောက်က လမ်းမေးခဲ့သည်။
strength	ခွန်အား	သူမ၏ခွန်အားက အသင်းကို အထောက်အကူဖြစ်စေခဲ့သည်။
string	ကြိုး	သေတ္တာကို ကြိုးနှင့် ချည်လိုက်ပါ။
strongly	ပြင်းပြင်းထန်ထန်	ထိုအကြံအစည်ကို ကျွန်တော် ပြင်းပြင်းထန်ထန် သဘောမတူပါ။
studio	စတူဒီယို	ပန်းချီဆရာသည် စတူဒီယိုအသေးလေးတစ်ခုတွင် အလုပ်လုပ်သည်။
stuff	ပစ္စည်း	သင့်ပစ္စည်းများကို စင်ပေါ်တွင် တင်ထားပါ။
substance	အရာဝတ္ထု	ရဲများသည် ထူးဆန်းသော အရာဝတ္ထုတစ်ခုကို တွေ့ရှိခဲ့သည်။
successfully	အောင်မြင်စွာ	သူတို့သည် ပရောဂျက်ကို အောင်မြင်စွာ ပြီးမြောက်ခဲ့သည်။
sudden	ရုတ်တရက်	ရုတ်တရက် ဆူညံသံကြောင့် ကျွန်တော်တို့ နိုးသွားသည်။
suffer	ခံစားရသည်	အပင်များစွာသည် ခြောက်သွေ့သောရာသီဥတုတွင် ဒဏ်ခံရသည်။
suitable	သင့်တော်သော	ဤအကျီသည် ကျောင်းအတွက် သင့်တော်ပါသည်။
summarize	အကျဉ်းချုံးသည်	ဆောင်းပါးကို အကျဉ်းချုံးပေးနိုင်မလား။
summary	အကျဉ်းချုပ်	ဒီည အကျဉ်းချုပ်တိုတိုလေး ရေးပါ။
supply	ထောက်ပံ့မှု	မြို့သည် သန့်ရှင်းသော ရေပေးဝေမှု လိုအပ်သည်။
supporter	အားပေးသူ	အားပေးသူတိုင်းက ကျယ်ကျယ်လောင်လောင် အားပေးခဲ့ကြသည်။
surely	သေချာပေါက်	သေချာပေါက် ဒါကို ကျွန်တော်တို့ ဖြေရှင်းနိုင်ပါတယ်။
surface	မျက်နှာပြင်	မျက်နှာပြင်သည် အေးပြီး ချောမွေ့နေသည်။
survive	အသက်ရှင်ကျန်ရစ်သည်	ဤတိရစ္ဆာန်များသည် အေးသောဆောင်းရာသီများကို အသက်ရှင်ဖြတ်သန်းနိုင်သည်။
switch	ခလုတ်	မီးဖိုချောင်မီးကို ပိတ်လိုက်ပါ။
symptom	ရောဂါလက္ခဏာ	ချောင်းဆိုးခြင်းက ရောဂါလက္ခဏာတစ်ခု ဖြစ်နိုင်သည်။
tail	အမြီး	ခွေးတွင် ရှည်လျားသော အမြီးတစ်ခု ရှိသည်။
talent	ပါရမီ	သူမတွင် ဂီတအတွက် ပါရမီရှိသည်။
talented	ပါရမီရှိသော	သူသည် ပါရမီရှိသော လူငယ်သရုပ်ဆောင်တစ်ဦး ဖြစ်သည်။
tape	တိပ်	သေတ္တာကိုပိတ်ရန် တိပ်ကိုသုံးပါ။
tax	အခွန်	လူတိုင်း ဤအခွန်ကို ပေးရမည်။
technical	နည်းပညာပိုင်းဆိုင်ရာ	ကျွန်တော်တို့တွင် နည်းပညာပိုင်းဆိုင်ရာ ပြဿနာတစ်ခု ရှိခဲ့သည်။
technique	နည်းစနစ်	ဤနည်းစနစ်က အချိန်ကုန်သက်သာစေသည်။
tend	ဖြစ်လေ့ရှိသည်	ကလေးများသည် မြန်မြန်သင်ယူလေ့ရှိကြသည်။
tent	တဲ	ကျွန်တော်တို့ တဲအသေးလေးတစ်ခုထဲတွင် အိပ်ခဲ့ကြသည်။
theirs	သူတို့၏အရာ	အပြာရောင်စက်ဘီးများသည် သူတို့အရာများဖြစ်သည်။
theme	အဓိကအကြောင်းအရာ	ပါတီတွင် ကမ်းခြေပုံစံ အပြင်အဆင်ရှိသည်။
theory	သီအိုရီ	သူ၏သီအိုရီက ပြဿနာကို ရှင်းပြသည်။
therefore	ထို့ကြောင့်	မိုးရွာသည်၊ ထို့ကြောင့် ကျွန်တော်တို့ အထဲတွင်သာ နေခဲ့ကြသည်။
though	သော်လည်း	ပင်ပန်းနေသော်လည်း သူမ ဆက်၍အလုပ်လုပ်ခဲ့သည်။
throat	လည်ချောင်း	ဒီမနက် ကျွန်တော့်လည်ချောင်း နာနေသည်။
throughout	တစ်လျှောက်လုံး	လူများသည် ညနေခင်းတစ်လျှောက်လုံး ကခဲ့ကြသည်။
tight	ကျပ်သော	ဤဖိနပ်များသည် အရမ်းကျပ်နေသည်။
till	အထိ	ငါပြန်လာသည်အထိ ဒီမှာစောင့်ပါ။
tin	သံဖြူဘူး	ပဲသံဖြူဘူးတစ်ဘူးကို ဖွင့်ပါ။
tiny	သေးငယ်သော	သေးငယ်သော ငှက်တစ်ကောင် အနားတွင် နားခဲ့သည်။
toe	ခြေချောင်း	မနေ့က ကျွန်တော့်ခြေချောင်း နာသွားသည်။
tongue	လျှာ	လက်ဖက်ရည်ပူကြောင့် သူမ၏လျှာကို အပူလောင်သွားသည်။
total	စုစုပေါင်း	စုစုပေါင်းကုန်ကျစရိတ်က နည်းပါသည်။
totally	လုံးဝ	သင့်စိုးရိမ်ပူပန်မှုကို ကျွန်တော်လုံးဝနားလည်ပါသည်။
trade	ကုန်သွယ်မှု	နိုင်ငံတကာကုန်သွယ်မှုက အလုပ်အကိုင်များကို ဖန်တီးပေးသည်။
translate	ဘာသာပြန်သည်	ကျေးဇူးပြု၍ ဤဝါကျကို ဘာသာပြန်ပေးပါ။
translation	ဘာသာပြန်ဆိုချက်	ဘာသာပြန်ဆိုချက်က သဘာဝကျပါသည်။
treat	ဆက်ဆံသည်	လူတိုင်းကို လေးလေးစားစား ဆက်ဆံပါ။
treatment	ကုသမှု	လူနာသည် ယနေ့ ကုသမှုလိုအပ်သည်။
trend	ခေတ်ရေစီးကြောင်း	ဤခေတ်ရေစီးကြောင်းသည် ကမ္ဘာတစ်ဝှမ်းတွင် ကြီးထွားလာနေသည်။
trick	လှည့်ကွက်	ထိုဖဲချပ်လှည့်ကွက်က ကျွန်တော့်ကို အံ့ဩစေခဲ့သည်။
truth	အမှန်တရား	ကျေးဇူးပြု၍ အမှန်အတိုင်းပြောပါ။
tube	ပြွန်	ပြွန်ကို ဖြည်းဖြည်းချင်း ညှစ်ပါ။
typically	ပုံမှန်အားဖြင့်	ကျောင်းသားများသည် ပုံမှန်အားဖြင့် ကိုးနာရီမထိုးမီ ရောက်ကြသည်။
tyre	တာယာ	ကားသည် တာယာအသစ်တစ်ခု လိုအပ်သည်။
ugly	ရုပ်ဆိုးသော	ထိုနံရံအရောင်က အရုပ်ဆိုးသည်။
unable	မလုပ်နိုင်သော	သူသည် အဖြေမပေးနိုင်ခဲ့ပေ။
uncomfortable	သက်သောင့်သက်သာမရှိသော	ဤကုလားထိုင်က သက်သောင့်သက်သာ မရှိပါ။
underwear	အတွင်းခံ	ခရီးစဉ်အတွက် အတွင်းခံအသန့်များ ထည့်ပါ။
unemployed	အလုပ်လက်မဲ့ဖြစ်သော	သူမသည် နှစ်လကြာ အလုပ်လက်မဲ့ဖြစ်ခဲ့သည်။
unemployment	အလုပ်လက်မဲ့ဖြစ်ခြင်း	ဆောင်းရာသီတွင် အလုပ်လက်မဲ့ဖြစ်မှု မြင့်တက်လာသည်။
unfair	မတရားသော	ဆုံးဖြတ်ချက်က မတရားဘူးဟု ထင်ရသည်။
union	သမဂ္ဂ	သမဂ္ဂက ပိုမိုလုံခြုံသော အလုပ်ဖြစ်ရန် တောင်းဆိုခဲ့သည်။
unless	မလုပ်လျှင်	ငါမခေါ်လျှင် မထွက်သွားပါနှင့်။
