source_headword	SL	example_SL
abandon	zapustiti	Včeraj so zapustili načrt.
absolute	absoluten	Tukaj potrebujemo absolutno iskrenost.
acceptable	sprejemljiv	Njegov odgovor je bil sprejemljiv.
accompany	spremljati	Njen brat jo je spremljal domov.
accurate	točen	Poročilo se zdi točno.
accuse	obtožiti	Obtožili so ga laganja.
acknowledge	priznati	Prosim, priznaj napako.
acquire	pridobiti	Hitro je pridobila nove veščine.
actual	dejanski	Dejanski strošek je bil nižji.
adapt	prilagoditi se	Prilagodili smo se spremembi.
additional	dodaten	Dodatna pomoč je prispela danes.
administration	uprava	Uprava je spremenila pravila.
adopt	usvojiti	Usvojili so novo metodo.
advance	napredek	Naredili smo majhen napredek.
affair	afera	Afera je škodila javnemu zaupanju.
afterwards	potem	Potem so se vsi umirili.
agency	agencija	Agencija je zaposlila tri prevajalce.
agenda	dnevni red	Varnost je na dnevnem redu.
aggressive	agresiven	Njegov ton je zvenel agresivno.
aid	pomoč	Zdravniška pomoč je hitro prispela.
aircraft	letalo	Letalo je varno pristalo.
alter	spremeniti	Ne spreminjaj pogodbe.
anger	jeza	Njegova jeza je presenetila vse.
angle	kot	Poskusi drug kot kamere.
anniversary	obletnica	Njuna obletnica je jutri.
annual	leten	Letni sestanek se začne v ponedeljek.
anxious	zaskrbljen	Pred operacijo je bila zaskrbljena.
apparent	očiten	Njegovo razočaranje je bilo očitno.
apparently	očitno	Očitno vlak zamuja.
appeal	pritožba	Odločitev lahko sproži pritožbo.
approach	pristop	Njen pristop je rešil težavo.
appropriate	ustrezen	Izberi ustrezen odgovor.
approval	odobritev	Projekt potrebuje odobritev.
approve	odobriti	Odbor je odobril proračun.
arise	nastati	Težave lahko nastanejo pozneje.
armed	oborožen	Oboroženi stražarji so stali zunaj.
arms	orožje	Odložili so orožje.
artificial	umeten	Rože so bile videti umetne.
artistic	umetniški	Ima umetniški talent.
ashamed	osramočen	Pozneje se je počutil osramočenega.
aspect	vidik	Pazljivo premisli vsak vidik.
assess	oceniti	Oceniti moramo škodo.
