source_headword	DA	example_DA
rock (music)	rockmusik	Jeg elsker rockmusik.
role	en rolle	Hendes rolle er vigtig.
roof	et tag	Taget skal repareres.
round	rund	Bordet er rundt.
route	en rute	Denne rute er kortere.
rubbish	affald	Sæt affaldet udenfor.
rude	uhøflig	Den kommentar var uhøflig.
runner	en løber	Løberen ser træt ud.
running	løb	Løb holder mig sund.
sadly	desværre	Desværre nåede vi ikke toget.
safe	sikker; tryg	Denne gade føles tryg.
sail	sejle	Vi sejler på lørdag.
sailing	sejlads	Sejlads er populært her.
salary	en løn	Hans løn er højere nu.
sale	et udsalg	Udsalget starter i morgen.
sauce	en sauce	Tilsæt saucen til risen.
save	gemme; lagre	Gem dit arbejde nu.
scared	bange	Barnet er bange.
scary	uhyggelig	Denne historie er uhyggelig.
scene	en scene	Den sidste scene var sjov.
schedule	en tidsplan	Tjek tidsplanen i dag.
score	en score	Hvad er scoren?
screen	en skærm	Rengør skærmen forsigtigt.
search	søge	Søg efter billeder på nettet.
season	en årstid	Sommeren er en travl årstid.
seat	et sæde	Tag dette sæde, tak.
second1 (next after the first)	for det andet	For det andet, vask hænderne.
secondly	for det andet	For det andet, tjek dit svar.
secret	en hemmelighed	Hold denne hemmelighed sikker.
secretary	en sekretær	Sekretæren ringede i dag.
seem	virke	Du virker træt.
sense	en mening	Denne plan giver mening.
separate	adskilt	Hold papirerne adskilt.
series	en serie	Denne serie er populær.
serious	alvorlig	Dette problem er alvorligt.
serve	servere	De serverer frokost klokken tolv.
service	en service	Servicen var hurtig.
several	flere	Flere elever kom tidligt.
shake	ryste	Ryst flasken først.
shall modal	skal	Skal vi starte nu?
shape	en form	Tegn en firkantet form.
sheet	et lagen	Læg lagenet på sengen.
ship	et skib	Skibet tog afsted i dag.
shoulder	en skulder	Min skulder gør ondt.
shout	råbe	Råb ikke i klassen.
shut	lukke	Luk vinduet, tak.
side	en side	Sid på denne side.
sign	et skilt	Læs skiltet nøje.
silver	sølv	Sølv er et lyst metal.
simple	enkel	Denne øvelse er enkel.
since	siden	Jeg har ventet siden klokken tolv.
singing	sang	Sang hjælper mig med at slappe af.
single	enkelt	Jeg købte en enkeltbillet.
sir	hr.; herre	Hr., din taske er klar.
site	et websted	Dette websted er sikkert.
size	en størrelse	Hvilken størrelse har du brug for?
ski	stå på ski	Vi står på ski om vinteren.
skiing	skiløb	Skiløb er sjovt om vinteren.
skin	hud	Hendes hud føles tør.
sky	en himmel	Himlen er klar.
slowly	langsomt	Gå langsomt på isen.
smartphone	en smartphone	Min smartphone er ny.
smell	lugte; en lugt	Suppen dufter godt.
smile	et smil	Smil til kameraet.
smoke	røg	Røgen fyldte rummet.
