source_headword	SK	example_SK
ability	schopnosť; zručnosť	Jej schopnosť plávať je jasná.
able	schopný; môcť	Dnes môže prísť.
abroad	v zahraničí; do zahraničia	Chce študovať v zahraničí.
accept	prijať; akceptovať	Prijmi prosím tento malý darček.
accident	nehoda	Nehoda sa stala blízko školy.
according to	podľa	Podľa správy príde dážď.
achieve	dosiahnuť	Môžeš dosiahnuť svoj cieľ.
act	konať; hrať	Môže hrať v divadle.
active	aktívny	Je aktívna každý deň.
actually	vlastne; v skutočnosti	Vlastne potrebujem viac času.
advantage	výhoda	Tento plán má výhodu.
adventure	dobrodružstvo	Ich cesta bola dobrodružstvom.
advertise	inzerovať; propagovať	Inzerujú nové pracovné miesto.
advertisement	reklama; inzerát	Videl som reklamu.
advertising	reklama; propagácia	Reklama pomáha predávať jedlo.
affect	ovplyvniť	Spánok môže ovplyvniť tvoje zdravie.
against	proti; o	Neopieraj sa o stenu.
ah	ach; aha	Aha, teraz tomu rozumiem.
airline	letecká spoločnosť	Letecká spoločnosť je veľmi zaneprázdnená.
alive	živý	Malá ryba je živá.
all right	v poriadku; dobre	Všetko je teraz v poriadku.
allow	dovoliť	Tu povoľujú psy.
almost	takmer; skoro	Sme skoro pripravení.
alone	sám; osamote	Žije sama.
along	pozdĺž; ďalej	Choď po tejto ceste.
already	už	Už poznám odpoveď.
alternative	alternatíva; náhradný	Tento vlak je alternatíva.
although	hoci; aj keď	Hoci je neskoro, môžeme zostať.
among	medzi	Stál medzi stromami.
amount	množstvo; suma	Množstvo je príliš malé.
ancient	staroveký	Tento staroveký múr je slávny.
ankle	členok	Dnes ma bolí členok.
anybody	niekto; ktokoľvek	Môže na to niekto odpovedať?
any more	už; viac	Už nepotrebujem viac.
anyway	každopádne	Každopádne môžeme začať hneď.
anywhere	kdekoľvek; kamkoľvek	Sadni si, kam chceš.
app	aplikácia	Táto aplikácia je užitočná.
appear	objaviť sa; zdať sa	Jej meno sa tu objaví.
appearance	vzhľad	Jeho vzhľad je iný.
apply	požiadať; použiť	Požiadaj o prácu dnes.
architect	architekt	Architekt má plán.
architecture	architektúra	Mám rád modernú architektúru.
argue	hádať sa; tvrdiť	Nehádaj sa so sestrou.
argument	hádka; argument	Hádka bola krátka.
army	armáda	Armáda je veľká.
arrange	zariadiť; usporiadať	Zariaď prosím stretnutie.
arrangement	dohoda; usporiadanie	Táto dohoda funguje dobre.
asleep	spiaci; zaspatý	Dieťa spí.
assistant	asistent; pomocník	Asistent mi pomohol.
athlete	športovec	Športovec beží rýchlo.
attack	útok; zaútočiť	Pes môže zaútočiť.
attend	navštevovať; zúčastniť sa	Dnes sa zúčastním hodiny.
attention	pozornosť	Venuj teraz pozornosť.
attractive	príťažlivý; pekný	Záhrada je pekná.
audience	publikum	Publikum bolo tiché.
