source_headword	SW	example_SW
prey	mnyama anayewindwa	Bundi huwinda usiku.
privatization	ubinafsishaji	Ubinafsishaji ulibadilisha mfumo wa reli.
privilege	pendeleo	Elimu haipaswi kuwa pendeleo.
probe	uchunguzi	Uchunguzi ulibaini makosa makubwa.
problematic	-enye matatizo	Makubaliano bado yana matatizo.
proceedings	mashauri	Mashauri ya mahakama yalianza Jumatatu.
proceeds	mapato	Mapato yatasaidia shule za mitaa.
processing	uchakataji	Uchakataji wa picha huchukua muda.
processor	kichakataji	Kichakataji kilishindwa wakati wa majaribio.
proclaim	kutangaza	Viongozi hutangaza ushindi mapema mno.
productive	-enye tija	Mkutano ulikuwa na tija.
productivity	tija	Tija iliboreka baada ya mafunzo.
profitable	-enye faida	Duka lilipata faida mwaka huu.
profound	-a kina	Hotuba ilikuwa na athari kubwa.
projection	makadirio	Makadirio yanaonyesha ukuaji thabiti.
prominent	mashuhuri	Alikuja kuwa mwanasayansi mashuhuri.
pronounced	wazi	Lafudhi yake ikawa wazi zaidi.
propaganda	propaganda	Kampeni ilitumia propaganda mtandaoni.
proposition	pendekezo	Pendekezo hilo lina hatari.
prosecute	kushtaki	Maofisa hushtaki kesi kubwa za utapeli.
prosecution	upande wa mashtaka	Upande wa mashtaka uliwasilisha ushahidi mpya.
prosecutor	mwendesha mashtaka	Mwendesha mashtaka alimhoji shahidi.
prospective	mtarajiwa	Wanafunzi watarajiwa walitembelea chuo.
prosperity	ustawi	Biashara ilileta ustawi katika kanda.
protective	-a kinga	Alivaa glavu za kinga.
protocol	itifaki	Itifaki inahitaji idhini ya maandishi.
province	jimbo	Jimbo liliwekeza kwenye usafiri.
provincial	-a jimbo	Maofisa wa jimbo walitangaza mpango.
provision	sharti	Mkataba unajumuisha sharti la usalama.
provoke	kuchochea	Hotuba inaweza kuchochea hisia kali.
psychiatric	-a matibabu ya akili	Hospitali ilifungua kitengo cha matibabu ya akili.
pulse	mapigo ya moyo	Muuguzi alipima mapigo yake ya moyo.
pump	pampu	Pampu inasukuma maji juu.
punch	ngumi	Alirusha ngumi kwa hasira.
query	swali	Tuma swali lako kwa huduma kwa wateja.
quest	msako	Msako wao wa haki uliendelea.
quota	mgawo	Timu ilifikia mgawo wake wa mauzo.
radar	rada	Dhoruba ilionekana kwenye rada.
radical	-a msingi	Kikundi kilipendekeza mageuzi makubwa.
rage	hasira kali	Hasira yake kali ilipungua haraka.
raid	uvamizi	Polisi walifanya uvamizi wa alfajiri.
rally	mkutano wa hadhara	Wafuasi walijiunga na mkutano wa hadhara mjini.
ranking	cheo	Chuo kikuu kiliboresha cheo chake.
rape	ubakaji	Kesi za ubakaji zinahitaji uchunguzi makini.
ratio	uwiano	Darasa lina uwiano mdogo wa walimu.
rational	-a busara	Uamuzi wake ulikuwa wa busara.
ray	mwale	Mwale wa jua uliingia.
readily	kwa urahisi	Alikubali ofa kwa urahisi.
realization	utambuzi	Utambuzi huo ulibadilisha mipango yake.
realm	nyanja	Swali hili ni la nyanja nyingine.
rear	-a nyuma	Tumia mlango wa nyuma leo.
reasoning	hoja	Hoja yake ilikuwa wazi.
reassure	kuhakikishia	Daktari alijaribu kumhakikishia.
rebel	mwasi	Kiongozi wa waasi aliepuka kukamatwa.
rebellion	uasi	Uasi ulimalizika baada ya mazungumzo.
recipient	mpokeaji	Mpokeaji alisaini fomu.
reconstruction	ujenzi mpya	Ujenzi mpya ulianza baada ya mafuriko.
recount1	kusimulia	Anaweza kusimulia matukio kwa wazi.
referendum	kura ya maoni	Kura ya maoni ililigawanya taifa.
reflection	tafakari	Insha ilihitaji tafakari ya kina.
reform	mageuzi	Mageuzi yaliboresha huduma za umma.
refuge	kimbilio	Familia ilitafuta kimbilio nje ya nchi.
refusal	kukataa	Kukataa kwake kulishangaza kamati.
regain	kupata tena	Alifanya bidii kupata tena uaminifu.
regardless	bila kujali	Waliendelea bila kujali ukosoaji.
regime	utawala	Utawala ulizuia uhuru wa kujieleza.
regulator	mdhibiti	Mdhibiti aliipiga faini kampuni.
regulatory	-a udhibiti	Idhini ya udhibiti ilichukua miezi.
rehabilitation	urekebishaji	Urekebishaji ulimsaidia kutembea tena.
reign	utawala	Utawala wa mfalme ulidumu kwa miongo.
rejection	kukataliwa	Kukataliwa kuliumiza kujiamini kwake.
relevance	uhusiano	Takwimu zina uhusiano mdogo.
reliability	uaminifu	Uaminifu ni muhimu katika mifumo ya dharura.
reluctant	-sita	Alisita kuzungumza.
remainder	salio	Salio lilienda kwa shirika la misaada.
remains	mabaki	Mabaki yalichunguzwa kwa makini.
remedy	suluhisho	Sheria hutoa suluhisho.
reminder	kikumbusho	Barua pepe ilikuwa kikumbusho muhimu.
removal	kuondolewa	Kuondolewa kwa vizuizi kulisaidia biashara.
render	kufanya	Kosa lilifanya mkataba kuwa batili.
renew	kufanya upya	Fanya upya pasipoti yako hivi karibuni.
renowned	mashuhuri	Yeye ni mashuhuri kwa utafiti wake.
rental	ukodishaji	Ukodishaji unajumuisha bima.
replacement	mbadala	Sehemu mbadala imewasili leo.
reportedly	inasemekana	Waziri inasemekana alijiuzulu jana.
representation	uwakilishi	Uwakilishi wa haki bado ni muhimu.
reproduce	kuzaliana	Mimea hii huzaliana haraka.
reproduction	nakala	Nakala ya kidijitali iliboresha upatikanaji.
republic	jamhuri	Jamhuri ilifanya uchaguzi.
resemble	kufanana	Miundo hiyo miwili inafanana sana.
reside	kuishi	Wanaishi karibu na mpaka.
residence	makazi	Makazi yake rasmi yanalindwa.
residential	-a makazi	Eneo hili ni la makazi zaidi.
residue	mabaki	Kisafishaji kiliacha mabaki yanayonata.
resignation	kujiuzulu	Kujiuzulu kwake kulishangaza bodi.
resistance	upinzani	Upinzani wa mabadiliko ulikuwa na nguvu.
respective	-a kila mmoja	Walirudi kwenye ofisi zao.
respectively	mtawalia	Alama zilikuwa 80 na 90 mtawalia.
