source_headword	IS	example_IS
ability	hæfni; geta	Hæfni hennar í sundi er skýr.
able	fær; geta	Hann getur komið í dag.
abroad	erlendis	Hún vill læra erlendis.
accept	taka við	Vinsamlegast taktu við þessari litlu gjöf.
accident	slys	Slysið gerðist nálægt skólanum.
according to	samkvæmt	Samkvæmt skýrslunni kemur rigning.
achieve	ná	Þú getur náð markmiðinu þínu.
act	leika; athöfn	Hann getur leikið í leikriti.
active	virkur	Hún er virk á hverjum degi.
actually	í raun	Í raun þarf ég meiri tíma.
advantage	kostur	Þessi áætlun hefur kost.
adventure	ævintýri	Ferð þeirra var ævintýri.
advertise	auglýsa	Þau auglýsa nýja starfið.
advertisement	auglýsing	Ég sá auglýsingu.
advertising	auglýsingar	Auglýsingar hjálpa til við að selja mat.
affect	hafa áhrif	Svefn getur haft áhrif á heilsu þína.
against	á móti; við	Ekki halla þér upp við vegginn.
ah	ah	Ah, nú skil ég.
airline	flugfélag	Flugfélagið er mjög upptekið.
alive	á lífi	Litli fiskurinn er á lífi.
all right	í lagi	Allt er í lagi núna.
allow	leyfa	Þau leyfa hunda hér.
almost	næstum	Við erum næstum tilbúin.
alone	einn; ein	Hún býr ein.
along	meðfram	Gakktu meðfram þessum vegi.
already	nú þegar	Ég veit nú þegar svarið.
alternative	valkostur	Þessi lest er valkostur.
although	þótt	Þótt það sé seint getum við verið áfram.
among	meðal	Hann stóð meðal trjánna.
amount	magn; upphæð	Upphæðin er of lítil.
ancient	forn	Þessi forni veggur er frægur.
ankle	ökkli	Ökklinn minn er aumur í dag.
anybody	einhver	Getur einhver svarað þessu?
any more	ekki lengur	Ég þarf ekki meira.
anyway	allavega	Allavega getum við byrjað núna.
anywhere	hvar sem er	Sestu hvar sem þú vilt.
app	app	Þetta app er gagnlegt.
appear	birtast	Nafn hennar mun birtast hér.
appearance	útlit	Útlit hans er öðruvísi.
apply	sækja um; beita	Sæktu um starfið í dag.
architect	arkitekt	Arkitektinn hefur áætlun.
architecture	arkitektúr	Mér líkar nútíma arkitektúr.
argue	deila	Ekki deila við systur þína.
argument	rifrildi	Rifrildið var stutt.
army	her	Herinn er stór.
arrange	skipuleggja	Vinsamlegast skipuleggðu fundinn.
arrangement	fyrirkomulag	Fyrirkomulagið virkar vel.
asleep	sofandi	Barnið er sofandi.
assistant	aðstoðarmaður	Aðstoðarmaðurinn hjálpaði mér.
athlete	íþróttamaður	Íþróttamaðurinn hleypur hratt.
attack	árás; ráðast á	Hundurinn gæti ráðist á.
attend	mæta	Ég mæti í tíma í dag.
attention	athygli	Vinsamlegast sýndu athygli núna.
attractive	aðlaðandi	Garðurinn er aðlaðandi.
audience	áhorfendur	Áhorfendurnir voru hljóðir.
author	höfundur	Höfundurinn skrifaði þessa bók.
available	tiltækur; fáanlegur	Matur er fáanlegur núna.
average	meðal	Meðaleinkunnin var góð.
avoid	forðast	Forðastu fjölfarna veginn.
award	verðlaun	Hún vann verðlaun.
awful	hræðilegur	Veðrið var hræðilegt.
background	bakgrunnur	Myndin hefur dökkan bakgrunn.
badly	illa	Hann spilaði illa í dag.
bar	bar	Við hittumst á hótelbarnum.
baseball	hafnabolti	Hafnabolti er vinsæll hér.
based	byggður	Myndin er byggð á bók.
basketball	körfubolti	Við spilum körfubolta eftir skóla.
bean	baun	Þessi baun er græn.
bear (animal)	björn	Björn býr í skóginum.
beat	sigra; slá	Liðið okkar getur sigrað þau.
beef	nautakjöt	Ég borðaði nautakjöt í kvöldmat.
behave	haga sér	Vinsamlegast hagaðu þér vel í tíma.
behaviour	hegðun	Hegðun hans var kurteis.
belong	tilheyra	Þessir skór tilheyra mér.
belt	belti	Beltið hans er svart.
benefit	ávinningur	Hreyfing hefur raunverulegan ávinning.
billion	milljarður	Milljarður er risastór tala.
bin	ruslatunna	Settu pappírinn í ruslatunnuna.
biology	líffræði	Líffræði er besti tíminn minn.
birth	fæðing	Fæðing hennar var í maí.
biscuit	kex	Hún borðar kex.
bit	smávegis	Ég þarf smávegis meiri tíma.
blank	eyða	Skrifaðu nafnið þitt í eyðuna.
blood	blóð	Blóð er rautt.
blow	blása	Vindurinn getur blásið hart.
board	tafla	Skrifaðu það á töfluna.
boil	sjóða	Sjóðið vatnið fyrst.
bone	bein	Hundurinn hefur bein.
borrow	fá lánað	Má ég fá pennann þinn lánaðan?
boss	yfirmaður	Yfirmaðurinn minn er vingjarnlegur.
bottom	botn	Skrifaðu undir neðst.
bowl	skál	Skálin er full.
brain	heili	Heilinn þinn þarf hvíld.
bridge	brú	Brúin er gömul.
bright	bjartur	Herbergið er bjart.
brilliant	frábær	Þessi hugmynd er frábær.
broken	brotinn	Stóllinn er brotinn.
brush	bursta; bursti	Burstaðu tennurnar núna.
burn	brenna	Ekki brenna brauðið.
businessman	kaupsýslumaður	Kaupsýslumaðurinn kom snemma.
button	hnappur	Ýttu á rauða hnappinn.
camp	búðir; tjalda	Við tjöldum nálægt vatninu.
camping	tjaldferð	Tjaldferð er skemmtileg á sumrin.
can2	dós	Opnaðu dósina varlega.
care	umönnun; umhyggja	Gættu að heilsunni þinni.
careful	varfærinn	Vertu varfærinn í stiganum.
carefully	varlega	Lestu spurninguna varlega.
carpet	teppi	Teppið er mjúkt.
cartoon	teiknimynd	Þessi teiknimynd er fyndin.
case	mál; hulstur	Settu það í hulstrið.
