hsk_key	source_word	simplified	TR	example_TR	SW	example_SW	AZ	example_AZ	UZ	example_UZ
2002:哎呀	哎呀	哎呀	eyvah; hay aksi	Eyvah, anahtarlarımı evde unuttum.	jamani; kumbe	Jamani, funguo zangu nimeziacha nyumbani.	vay; ay aman	Vay, açarlarımı evdə unutmuşam.	voy; voybo‘	Voy, kalitlarimni uyda unutibman.
2005:安	安	安	sakin; huzurlu	Çocuk uyuduktan sonra ev birden sakinleşti.	tulivu; yenye amani	Mtoto alipolala, chumba kilitulia ghafla.	sakit; dinc	Uşaq yatandan sonra ev birdən sakitləşdi.	tinch; osoyishta	Bola uxlab qolganidan keyin xona birdan tinchib qoldi.
2006:安全带	安全带	安全带	emniyet kemeri	Arabayı sürmeden önce lütfen emniyet kemerini takın.	mkanda wa usalama	Tafadhali funga mkanda wa usalama kabla ya kuendesha gari.	təhlükəsizlik kəməri	Maşın sürməzdən əvvəl təhlükəsizlik kəmərini bağlayın.	xavfsizlik kamari	Mashina haydashdan oldin xavfsizlik kamarini taqing.
2013:半夜	半夜	半夜	gece yarısı; gecenin geç saati	Gece yarısı biri onu aradı.	usiku wa manane; usiku sana	Mtu fulani alimwita simu usiku wa manane.	gecəyarısı; gecənin gec vaxtı	Gecəyarısı kimsə ona zəng etdi.	yarim tun; tun yarmi	Yarim tunda kimdir unga qo‘ng‘iroq qildi.
2020:宝	宝	宝	hazine; sevgili	Bu eski yeşim taşı ailenin hazinesidir.	hazina; mpendwa	Jiwe hili la kale la jade ni hazina ya familia.	xəzinə; əziz	Bu köhnə jade daşı ailənin xəzinəsidir.	xazina; aziz	Bu eski nefrit oilaning xazinasidir.
2021:保	保	保	korumak; muhafaza etmek	Bu ormanlık alanı korumamız gerekiyor.	kulinda; kuhifadhi	Tunahitaji kulinda eneo hili la msitu.	qorumaq; saxlamaq	Bu meşə sahəsini qorumaq lazımdır.	himoya qilmoq; saqlamoq	Bu o‘rmonzorni himoya qilishimiz kerak.
2022:保安	保安	保安	güvenlik görevlisi	Girişteki güvenlik görevlisi kimliğimi kontrol etti.	mlinzi; usalama	Mlinzi mlangoni alikagua kitambulisho changu.	mühafizəçi; təhlükəsizlik	Girişdəki mühafizəçi sənədimi yoxladı.	qo‘riqchi; xavfsizlik	Kirish joyidagi qo‘riqchi hujjatimni tekshirdi.
2029:保质期	保质期	保质期	raf ömrü; son kullanma süresi	Süt almadan önce son kullanma süresine bakın.	muda wa matumizi; muda wa ubora	Kabla ya kununua maziwa, angalia muda wake wa matumizi.	yararlılıq müddəti	Süd almadan əvvəl yararlılıq müddətinə baxın.	yaroqlilik muddati	Sut sotib olishdan oldin yaroqlilik muddatini tekshiring.
2034:暴雨	暴雨	暴雨	şiddetli yağmur; sağanak	Şiddetli yağmurdan sonra yolda çok su birikti.	mvua kubwa; mvua ya dhoruba	Baada ya mvua kubwa, maji mengi yalijaa barabarani.	leysan yağış	Leysan yağışdan sonra yolda çox su yığıldı.	kuchli yomg‘ir	Kuchli yomg‘irdan keyin yo‘lda ko‘p suv to‘plandi.
2037:背后	背后	背后	arkasında; arka planında	Başarının arkasında çok emek vardır.	nyuma; usuli	Nyuma ya mafanikio kuna juhudi nyingi.	arxasında; fonunda	Uğurun arxasında çox zəhmət var.	ortida; orqa fonida	Muvaffaqiyat ortida juda ko‘p mehnat bor.
2041:本地	本地	本地	yerel; bu bölgeye ait	Bu mağaza çoğunlukla yerel meyve satar.	wa eneo hili; wa hapa	Duka hili huuza hasa matunda ya hapa.	yerli; bu ərazidən olan	Bu mağaza əsasən yerli meyvə satır.	mahalliy; shu joyga oid	Bu do‘kon asosan mahalliy mevalarni sotadi.
2046:比分	比分	比分	skor; maç sonucu	Maç bittiğinde skor üçe ikiydi.	alama; matokeo ya mchezo	Mchezo ulipoisha, alama zilikuwa tatu kwa mbili.	hesab	Oyun bitəndə hesab üçə iki idi.	hisob; o‘yin natijasi	O‘yin tugaganda hisob uchga ikki edi.
2049:必	必	必	mutlaka; şart	Önemli belgeler mutlaka ilgili kişinin imzasını taşımalıdır.	lazima; kwa hakika	Nyaraka muhimu lazima zisainiwe na mtu mwenyewe.	mütləq; gərək	Vacib sənədləri mütləq şəxsin özü imzalamalıdır.	albatta; shart	Muhim hujjatlarni albatta tegishli shaxsning o‘zi imzolashi kerak.
2052:闭幕式	闭幕式	闭幕式	kapanış töreni	Spor oyunlarının kapanış töreni akşam yapılacak.	sherehe ya kufunga	Sherehe ya kufunga mashindano ya michezo itafanyika jioni.	bağlanış mərasimi	İdman oyunlarının bağlanış mərasimi axşam keçiriləcək.	yopilish marosimi	Sport o‘yinlarining yopilish marosimi kechqurun bo‘lib o‘tadi.
2054:必需	必需	必需	gerekli; zorunlu	Su ve yiyecek yolculuk sırasında gerekli şeylerdir.	muhimu; lazima	Maji na chakula ni vitu muhimu wakati wa safari.	zəruri; vacib	Su və yemək səyahət zamanı zəruri şeylərdir.	zarur; kerakli	Suv va ovqat safar paytida zarur narsalardir.
2057:变动	变动	变动	değişiklik; düzenleme	Bu ayın çalışma düzeninde değişiklik var.	mabadiliko; marekebisho	Ratiba ya kazi ya mwezi huu ina mabadiliko.	dəyişiklik; düzəliş	Bu ayın iş qrafikində dəyişiklik var.	o‘zgarish; tuzatish	Bu oyning ish jadvalida o‘zgarish bor.
