source_headword	TH	example_TH
ability	ความสามารถ;ทักษะ	ความสามารถในการว่ายน้ำของเธอชัดเจน.
able	สามารถ;มีความสามารถ	เขามาได้วันนี้.
abroad	ต่างประเทศ;ไปต่างประเทศ	เธออยากเรียนต่างประเทศ.
accept	ยอมรับ;รับ	โปรดรับของขวัญเล็กๆนี้.
accident	อุบัติเหตุ	อุบัติเหตุเกิดใกล้โรงเรียน.
according to	ตาม;ตามที่	ตามรายงานฝนกำลังจะมา.
achieve	บรรลุ;ทำสำเร็จ	คุณบรรลุเป้าหมายได้.
act	กระทำ;แสดง;การกระทำ	เขาแสดงในละครได้.
active	กระตือรือร้น;คล่องแคล่ว	เธอกระตือรือร้นทุกวัน.
actually	จริงๆแล้ว;ที่จริง	จริงๆแล้วฉันต้องการเวลาอีก.
advantage	ข้อดี;ความได้เปรียบ	แผนนี้มีข้อดี.
adventure	การผจญภัย	การเดินทางของพวกเขาเป็นการผจญภัย.
advertise	โฆษณา;ประชาสัมพันธ์	พวกเขาโฆษณางานใหม่.
advertisement	โฆษณา	ฉันเห็นโฆษณาหนึ่ง.
advertising	การโฆษณา;ธุรกิจโฆษณา	การโฆษณาช่วยขายอาหาร.
affect	ส่งผลต่อ;กระทบ	การนอนหลับส่งผลต่อสุขภาพได้.
against	ต่อต้าน;พิง	อย่าพิงกำแพง.
ah	อา;อ้อ	อ้อฉันเข้าใจแล้ว.
airline	สายการบิน	สายการบินนั้นยุ่งมาก.
alive	มีชีวิตอยู่	ปลาตัวเล็กยังมีชีวิตอยู่.
all right	เรียบร้อย;โอเค	ตอนนี้ทุกอย่างเรียบร้อยดี.
allow	อนุญาต;ยอมให้	ที่นี่อนุญาตให้นำสุนัขเข้า.
almost	เกือบ	เราเกือบพร้อมแล้ว.
alone	คนเดียว;ตามลำพัง	เธออยู่คนเดียว.
along	ตาม;ไปตาม	เดินไปตามถนนนี้.
already	แล้ว;เรียบร้อยแล้ว	ฉันรู้คำตอบแล้ว.
alternative	ทางเลือก;ทางเลือกอื่น	รถไฟขบวนนี้เป็นทางเลือก.
although	ถึงแม้ว่า;แม้ว่า	ถึงแม้จะดึกเราก็อยู่ต่อได้.
among	ท่ามกลาง;ในหมู่	เขายืนอยู่ท่ามกลางต้นไม้.
amount	ปริมาณ;จำนวนเงิน	ปริมาณน้อยเกินไป.
ancient	โบราณ;เก่าแก่	กำแพงโบราณนี้มีชื่อเสียง.
ankle	ข้อเท้า	วันนี้ข้อเท้าของฉันเจ็บ.
anybody	ใครก็ได้;ใครสักคน	ใครตอบคำถามนี้ได้ไหม?
any more	อีกต่อไป;อีก	ฉันไม่ต้องการอีกแล้ว.
anyway	อย่างไรก็ตาม;ยังไงก็ตาม	อย่างไรก็ตามเราเริ่มได้ตอนนี้.
anywhere	ที่ไหนก็ได้;ทุกที่	นั่งที่ไหนก็ได้ที่คุณชอบ.
app	แอป;แอปพลิเคชัน	แอปนี้มีประโยชน์.
appear	ปรากฏ;แสดงขึ้น	ชื่อของเธอจะปรากฏที่นี่.
appearance	ลักษณะภายนอก;รูปลักษณ์	ลักษณะของเขาแตกต่าง.
apply	สมัคร;ใช้	สมัครงานนั้นวันนี้.
architect	สถาปนิก	สถาปนิกมีแผนหนึ่ง.
architecture	สถาปัตยกรรม	ฉันชอบสถาปัตยกรรมสมัยใหม่.
argue	โต้เถียง;ทะเลาะ	อย่าโต้เถียงกับน้องสาวของคุณ.
argument	การโต้เถียง;ข้อโต้แย้ง	การโต้เถียงนั้นสั้น.
army	กองทัพ	กองทัพนั้นใหญ่.
arrange	จัดเตรียม;จัดเรียง	โปรดจัดเตรียมการประชุม.
arrangement	การจัดเตรียม;ข้อตกลง	การจัดเตรียมนี้ใช้ได้ดี.
asleep	หลับอยู่	ทารกหลับอยู่.
assistant	ผู้ช่วย;ผู้ช่วยงาน	ผู้ช่วยช่วยฉัน.
athlete	นักกีฬา	นักกีฬาคนนั้นวิ่งเร็ว.
attack	โจมตี;การโจมตี	สุนัขอาจโจมตี.
attend	เข้าร่วม;เข้าเรียน	วันนี้ฉันเข้าเรียน.
attention	ความสนใจ;ความใส่ใจ	โปรดตั้งใจตอนนี้.
attractive	น่าดึงดูด;มีเสน่ห์	สวนนี้น่าดึงดูด.
audience	ผู้ชม;ผู้ฟัง	ผู้ชมเงียบ.
author	ผู้แต่ง;นักเขียน	ผู้แต่งเขียนหนังสือเล่มนี้.
available	มีอยู่;พร้อมใช้	ตอนนี้มีอาหารแล้ว.
average	เฉลี่ย;ค่าเฉลี่ย	คะแนนเฉลี่ยดี.
avoid	หลีกเลี่ยง	หลีกเลี่ยงถนนที่ยุ่ง.
award	รางวัล;มอบรางวัล	เธอได้รับรางวัล.
awful	แย่มาก;น่ากลัว	อากาศแย่มาก.
background	พื้นหลัง;ภูมิหลัง	รูปภาพมีพื้นหลังมืด.
badly	อย่างแย่;ไม่ดี	วันนี้เขาเล่นได้แย่.
bar	บาร์;เคาน์เตอร์	เราพบกันที่บาร์ของโรงแรม.
baseball	เบสบอล	เบสบอลเป็นที่นิยมที่นี่.
based	อ้างอิงจาก;มีพื้นฐานจาก	ภาพยนตร์อ้างอิงจากหนังสือ.
basketball	บาสเกตบอล	เราเล่นบาสเกตบอลหลังเลิกเรียน.
bean	ถั่ว	ถั่วนี้สีเขียว.
