source_headword	ML	example_ML
fridge	ഫ്രിഡ്ജ്	പാൽ ഫ്രിഡ്ജിൽ ആണ്.
frog	തവള	തവള കുളത്തിന് സമീപം ഇരിക്കുന്നു.
furniture	മരസാമാനങ്ങൾ	മുറിയിലെ മരസാമാനങ്ങൾ പുതുതാണ്.
further	കൂടുതൽ ദൂരെ	നാം കൂടുതൽ ദൂരെ നടന്നു.
gallery	ഗാലറി	ചിത്രങ്ങൾ ഗാലറിയിൽ തൂങ്ങുന്നു.
gap	ഇടവ്	മതിലിൽ ചെറിയ ഇടവ് ഉണ്ട്.
gas	വാതകം	അടുക്കളയിൽ വാതകത്തിന്റെ മണം വന്നു.
gate	വാതിൽ	സ്കൂളിന്റെ വാതിൽ തുറന്നിരിക്കുന്നു.
general	പൊതുവായ	ഇത് ഒരു പൊതുവായ നിയമമാണ്.
gift	സമ്മാനം	അവൾ അമ്മയ്ക്ക് സമ്മാനം കൊടുത്തു.
goal	ലക്ഷ്യം	അവന്റെ ലക്ഷ്യം വ്യക്തമാണ്.
god	ദൈവം	അവൾ ദൈവത്തോട് നന്ദി പറഞ്ഞു.
gold	സ്വർണം	മോതിരം സ്വർണത്തിൽ ആണ്.
golf	ഗോൾഫ്	അവൻ ഞായറാഴ്ച ഗോൾഫ് കളിച്ചു.
government	സർക്കാർ	സർക്കാർ പുതിയ പദ്ധതി പ്രഖ്യാപിച്ചു.
grass	പുല്ല്	പുല്ല് മഴയ്ക്ക് ശേഷം പച്ചയായി.
greet	അഭിവാദ്യം ചെയ്യുക	അവൻ അതിഥിയെ അഭിവാദ്യം ചെയ്തു.
ground	നിലം	കുട്ടികൾ നിലത്ത് ഇരുന്നു.
guest	അതിഥി	അതിഥി നേരത്തെ എത്തി.
guide	വഴികാട്ടി	വഴികാട്ടി നഗരത്തെക്കുറിച്ച് പറഞ്ഞു.
gun	തോക്ക്	പോലീസ് തോക്ക് സുരക്ഷിതമായി വെച്ചു.
guy	ആൾ	ആ ആൾ വളരെ സൗഹൃദപരനാണ്.
habit	ശീലം	രാവിലെ വായിക്കുന്നത് നല്ല ശീലമാണ്.
hall	ഹാൾ	യോഗം വലിയ ഹാളിൽ നടന്നു.
happily	സന്തോഷത്തോടെ	അവർ സന്തോഷത്തോടെ വീട്ടിലേക്ക് മടങ്ങി.
headache	തലവേദന	അവൾക്ക് ഇന്ന് തലവേദന ഉണ്ട്.
heart	ഹൃദയം	അവന്റെ ഹൃദയം വേഗം ഇടിച്ചു.
heat	ചൂട്	ഉച്ചയ്ക്ക് ചൂട് കൂടുന്നു.
heavy	ഭാരമുള്ള	ഈ പെട്ടി വളരെ ഭാരമുള്ളതാണ്.
height	ഉയരം	കെട്ടിടത്തിന്റെ ഉയരം കൂടുതലാണ്.
helpful	സഹായകരമായ	ഈ ഉപദേശം വളരെ സഹായകരമാണ്.
hero	നായകൻ	കഥയിലെ നായകൻ ധീരനാണ്.
hers	അവളുടേത്	ആ ബാഗ് അവളുടേതാണ്.
herself	അവൾ തന്നെ	അവൾ തന്നെ വാതിൽ തുറന്നു.
hide	മറയ്ക്കുക	അവൻ താക്കോൽ മറച്ചു.
hill	കുന്ന്	വീട് കുന്നിന് മുകളിൽ ആണ്.
himself	അവൻ തന്നെ	അവൻ തന്നെ ഭക്ഷണം പാകം ചെയ്തു.
hit	അടിക്കുക	പന്ത് ജനാലയിൽ അടിച്ചു.
hockey	ഹോക്കി	അവർ വൈകുന്നേരം ഹോക്കി കളിച്ചു.
hold	പിടിക്കുക	ദയവായി ഈ കയർ പിടിക്കൂ.
hole	കുഴി	റോഡിൽ വലിയ കുഴി ഉണ്ട്.
huge	വമ്പിച്ച	അവിടെ വമ്പിച്ച മരമുണ്ട്.
human	മനുഷ്യൻ	മനുഷ്യൻ വെള്ളം കൂടാതെ ജീവിക്കില്ല.
hurt	വേദനിപ്പിക്കുക	വാക്കുകൾ അവനെ വേദനിപ്പിച്ചു.
ideal	ആദർശമായ	ഇത് പഠിക്കാൻ ആദർശമായ സ്ഥലമാണ്.
identify	തിരിച്ചറിയുക	അവൾ പക്ഷിയെ തിരിച്ചറിയാൻ ശ്രമിച്ചു.
ill	അസുഖമുള്ള	കുഞ്ഞ് ഇന്നലെ അസുഖമായിരുന്നു.
illness	രോഗം	ഈ രോഗം വേഗം പടരും.
image	ചിത്രം	സ്ക്രീനിൽ വ്യക്തമായ ചിത്രം കാണുന്നു.
