source_headword	ZH	example_ZH
stranger	陌生人	一个陌生人问了路。
strength	力量	她的力量帮助了团队。
string	绳子	用绳子把盒子绑好。
strongly	强烈地	我强烈反对那个想法。
studio	工作室	那位艺术家在一个小工作室里工作。
stuff	东西	把你的东西放在架子上。
substance	物质	警察发现了一种奇怪的物质。
successfully	成功地	他们成功地完成了这个项目。
sudden	突然的	一阵突然的噪音把我们吵醒了。
suffer	受苦	许多植物在干燥的天气中受苦。
suitable	合适的	这件夹克很适合穿去学校。
summarize	总结	你能总结一下这篇文章吗？
summary	摘要	今晚写一个简短的摘要。
supply	供应	这个镇需要清洁的供水。
supporter	支持者	每个支持者都大声欢呼。
surely	肯定	我们肯定能解决这个问题。
surface	表面	表面摸起来冰冷光滑。
survive	生存	这些动物能熬过寒冷的冬天。
switch	关掉	关掉厨房的灯。
symptom	症状	咳嗽可能是一种症状。
tail	尾巴	那只狗有一条长尾巴。
talent	天赋	她有音乐天赋。
talented	有天赋的	他是一个有天赋的年轻演员。
tape	胶带	用胶带封好盒子。
tax	税	每个人都必须缴这个税。
technical	技术的	我们遇到了一个技术问题。
technique	技巧	这种技巧能节省时间。
tend	倾向于	孩子们往往学得很快。
tent	帐篷	我们在一个小帐篷里睡觉。
theirs	他们的	蓝色的自行车是他们的。
theme	主题	派对有一个海滩主题。
theory	理论	他的理论解释了这个问题。
therefore	因此	下雨了，因此我们待在室内。
though	尽管	尽管很累，她还是继续工作。
throat	喉咙	我今天早上喉咙痛。
throughout	整个	人们整晚都在跳舞。
tight	紧的	这双鞋感觉太紧了。
till	直到	在这里等我回来。
tin	罐头	打开一罐豆子。
tiny	极小的	一只极小的鸟落在附近。
toe	脚趾	我昨天弄伤了脚趾。
tongue	舌头	她喝茶烫伤了舌头。
total	总的	总成本很低。
totally	完全地	我完全理解你的担忧。
trade	贸易	国际贸易创造了就业机会。
translate	翻译	请翻译这个句子。
translation	翻译	这个翻译听起来很自然。
treat	对待	尊重每一个人。
treatment	治疗	这个病人今天需要治疗。
trend	趋势	这种趋势在世界范围内正在增长。
trick	魔术	那个纸牌魔术让我很惊讶。
truth	真相	请说出真相。
tube	管子	轻轻挤压管子。
typically	通常	学生通常在九点前到达。
tyre	轮胎	这辆车需要一个新轮胎。
ugly	丑陋的	那面墙的颜色看起来很丑。
unable	无法	他无法回答。
uncomfortable	不舒服的	这把椅子不舒服。
underwear	内衣	为旅行打包干净的内衣。
unemployed	失业的	她失业了两个月。
unemployment	失业	冬季失业率上升了。
unfair	不公平的	这个决定似乎不公平。
union	工会	工会要求更安全的工作条件。
unless	除非	除非我打电话，否则不要离开。
unlike	与……不同	和汤姆不同，安娜喜欢冬天。
unlikely	不太可能的	这周不太可能下雪。
unnecessary	不必要的	额外的包是不必要的。
unpleasant	令人不快的	房间里有一股令人不快的味道。
update	更新	我需要更新我的手机。
upon	在……之上	从前，有一个国王。
upset	难过的	打完电话后她感到很难过。
used1	用于	这个房间是用于开会的。
used2	习惯于	我习惯了早起。
valuable	贵重的	这块表很贵重。
value	价值	这所房子去年贬值了。
various	各种各样的	我们尝试了各种各样的当地菜肴。
version	版本	这个版本更好用。
victim	受害者	受害者报了警。
viewer	观众	一位观众提了一个问题。
violent	暴力的	这部电影太暴力了。
volunteer	做志愿工作	我在图书馆做志愿者。
vote	投票	记得明天去投票。
warn	警告	我试图警告他。
warning	警告	警告出现在屏幕上。
waste	浪费	不要浪费干净的水。
weapon	武器	这把刀成了一种武器。
weigh	称重	仔细称面粉的重量。
western	西部的	他们看了一部西部片。
whatever	任何事物	选任何你喜欢的。
whenever	无论何时	需要帮助时随时打电话。
whether	是否	我不知道她是否同意。
wing	翅膀	那只鸟伤到了一只翅膀。
within	在……之内	请在两天内回复。
wonder	想知道	我想知道发生了什么事。
wool	羊毛	这件大衣是用羊毛做的。
worldwide	全世界的	这首歌在世界各地流行起来。
worth	值得	这本书值得一读。
written	书面的	请发送书面指示。
yard	院子	孩子们在院子里玩耍。
youth	青年	青年俱乐部支持当地的青少年。
