simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV
爱	волети; свиђати се	Волим маму.	ljubiti; imeti rad	Rad imam mamo.	mylėti; patikti	Myliu mamą.	mīlēt; patikt	Es mīlu mammu.
八	осам	Имам осам књига.	osem	Imam osem knjig.	aštuoni	Turiu aštuonias knygas.	astoņi	Man ir astoņas grāmatas.
爸爸	тата; отац	Тата је код куће.	oče; ata	Oče je doma.	tėtis; tėvas	Tėtis yra namuose.	tētis; tēvs	Tētis ir mājās.
杯子	шоља; чаша	Ова шоља је велика.	skodelica; kozarec	Ta skodelica je velika.	puodelis; stiklinė	Šis puodelis didelis.	krūze; glāze	Šī krūze ir liela.
北京	Пекинг	Радим у Пекингу.	Peking	Delam v Pekingu.	Pekinas	Dirbu Pekine.	Pekina	Es strādāju Pekinā.
本	мерна реч за књиге; том	Имам једну књигу.	števna beseda za knjige; zvezek	Imam eno knjigo.	skaitiklis knygoms; tomas	Turiu vieną knygą.	skaitītājvārds grāmatām; sējums	Man ir viena grāmata.
不	не	Не једем пиринач.	ne	Ne jem riža.	ne	Nevalgau ryžių.	ne	Es neēdu rīsus.
不客气	нема на чему	Хвала. Нема на чему.	ni za kaj	Hvala. Ni za kaj.	prašom; nėra už ką	Ačiū. Prašom.	nav par ko	Paldies. Nav par ko.
菜	јело; храна	Ово јело је укусно.	jed; hrana	Ta jed je okusna.	patiekalas; maistas	Šis patiekalas skanus.	ēdiens; maltīte	Šis ēdiens ir garšīgs.
茶	чај	Пијем чај.	čaj	Pijem čaj.	arbata	Geriu arbatą.	tēja	Es dzeru tēju.
吃	јести	Једем јабуку.	jesti	Jem jabolko.	valgyti	Valgau obuolį.	ēst	Es ēdu ābolu.
出租车	такси	Идем у школу таксијем.	taksi	V šolo grem s taksijem.	taksi	Į mokyklą važiuoju taksi.	taksometrs	Es braucu uz skolu ar taksometru.
打电话	телефонирати; позвати	Телефонирам.	telefonirati; poklicati	Telefoniram.	skambinti telefonu	Skambinu telefonu.	zvanīt pa telefonu	Es zvanu pa telefonu.
大	велики	Ова школа је велика.	velik	Ta šola je velika.	didelis	Ši mokykla didelė.	liels	Šī skola ir liela.
的	присвојна честица	Ово је моја књига.	svojilni delec	To je moja knjiga.	savybinė dalelytė	Tai mano knyga.	piederības partikula	Šī ir mana grāmata.
点	сат; тачка; мало	Сада је осам сати.	ura; točka; malo	Zdaj je osem.	valanda; taškas; šiek tiek	Dabar aštunta valanda.	pulkstenis; punkts; mazliet	Tagad ir pulksten astoņi.
电脑	рачунар	Мој рачунар је на столу.	računalnik	Moj računalnik je na mizi.	kompiuteris	Mano kompiuteris yra ant stalo.	dators	Mans dators ir uz galda.
电视	телевизија; ТВ	Гледам телевизију.	televizija; TV	Gledam televizijo.	televizija; televizorius	Žiūriu televizorių.	televīzija; televizors	Es skatos televizoru.
电影	филм	Волим филмове.	film	Rad imam filme.	filmas	Mėgstu filmus.	filma	Man patīk filmas.
东西	ствар; предмет	Шта је ова ствар?	stvar; predmet	Kaj je ta stvar?	daiktas; dalykas	Kas yra šis daiktas?	lieta; priekšmets	Kas ir šī lieta?
都	сви; обоје	Сви смо ученици.	vsi; oba	Vsi smo učenci.	visi; abu	Mes visi esame mokiniai.	visi; abi	Mēs visi esam skolēni.
读	читати; учити	Читам књигу.	brati; študirati	Berem knjigo.	skaityti; mokytis	Skaitau knygą.	lasīt; mācīties	Es lasu grāmatu.
对不起	извини; жао ми је	Извини, не познајем те.	oprosti; žal mi je	Oprosti, ne poznam te.	atsiprašau; man gaila	Atsiprašau, tavęs nepažįstu.	piedod; man žēl	Piedod, es tevi nepazīstu.
多	много; више	Имам много пријатеља.	veliko; več	Imam veliko prijateljev.	daug; daugiau	Turiu daug draugų.	daudz; vairāk	Man ir daudz draugu.
多少	колико	Колико кошта ова шоља?	koliko	Koliko stane ta skodelica?	kiek	Kiek kainuoja šis puodelis?	cik	Cik maksā šī krūze?
儿子	син	Мој син је ученик.	sin	Moj sin je učenec.	sūnus	Mano sūnus yra mokinys.	dēls	Mans dēls ir skolēns.
二	два; две	Фебруар је хладан.	dva; dve	Februar je hladen.	du; dvi	Vasaris šaltas.	divi; divas	Februāris ir auksts.
饭馆	ресторан	Ресторан је испред школе.	restavracija	Restavracija je pred šolo.	restoranas	Restoranas yra priešais mokyklą.	restorāns	Restorāns ir skolas priekšā.
飞机	авион	Идем у Пекинг авионом.	letalo	V Peking grem z letalom.	lėktuvas	Į Pekiną skrendu lėktuvu.	lidmašīna	Es lidoju uz Pekinu ar lidmašīnu.
分钟	минут	Учим пет минута.	minuta	Učim se pet minut.	minutė	Mokausi penkias minutes.	minūte	Es mācos piecas minūtes.
高兴	срећан; задовољан	Данас сам веома срећан.	srečen; vesel	Danes sem zelo srečen.	laimingas; patenkintas	Šiandien esu labai laimingas.	laimīgs; priecīgs	Šodien esmu ļoti laimīgs.
个	општа мерна реч	Имам једног пријатеља.	splošna števna beseda	Imam enega prijatelja.	bendras skaitiklis	Turiu vieną draugą.	vispārīgs skaitītājvārds	Man ir viens draugs.
工作	радити; посао	Радим у Пекингу.	delati; delo	Delam v Pekingu.	dirbti; darbas	Dirbu Pekine.	strādāt; darbs	Es strādāju Pekinā.
狗	пас	Волим псе.	pes	Rad imam pse.	šuo	Mėgstu šunis.	suns	Man patīk suņi.
汉语	кинески језик	Учим кинески.	kitajščina; kitajski jezik	Učim se kitajščine.	kinų kalba	Mokausi kinų kalbos.	ķīniešu valoda	Es mācos ķīniešu valodu.
好	добар; добро	Време је данас лепо.	dober; dobro	Danes je lepo vreme.	geras; gerai	Šiandien geras oras.	labs; labi	Šodien ir labs laiks.
喝	пити	Пијем воду.	piti	Pijem vodo.	gerti	Geriu vandenį.	dzert	Es dzeru ūdeni.
和	и; са	Идем у школу са пријатељем.	in; z	V šolo grem s prijateljem.	ir; su	Į mokyklą einu su draugu.	un; ar	Es eju uz skolu ar draugu.
很	веома; много	Она је веома лепа.	zelo	Ona je zelo lepa.	labai	Ji labai graži.	ļoti	Viņa ir ļoti skaista.
后面	иза; задња страна	Школа је иза ресторана.	zadaj; zadnja stran	Šola je za restavracijo.	už; gale	Mokykla yra už restorano.	aiz; aizmugurē	Skola ir aiz restorāna.
回	вратити се	Враћам се кући.	vrniti se	Vračam se domov.	grįžti	Grįžtu namo.	atgriezties	Es atgriežos mājās.
会	моћи; знати како	Знам да говорим кинески.	znati; moči	Znam govoriti kitajsko.	mokėti; galėti	Moku kalbėti kiniškai.	prast; varēt	Es protu runāt ķīniski.
火车站	железничка станица	Железничка станица је велика.	železniška postaja	Železniška postaja je velika.	geležinkelio stotis	Geležinkelio stotis didelė.	dzelzceļa stacija	Dzelzceļa stacija ir liela.
几	колико; неколико	Колико пријатеља имаш?	koliko; nekaj	Koliko prijateljev imaš?	kiek; keli	Kiek draugų turi?	cik; daži	Cik draugu tev ir?
家	дом; породица	Мој дом је у Пекингу.	dom; družina	Moj dom je v Pekingu.	namai; šeima	Mano namai yra Pekine.	mājas; ģimene	Manas mājas ir Pekinā.
叫	звати се; звати	Како се зовеш?	imenovati se; klicati	Kako ti je ime?	vadintis; vadinti	Koks tavo vardas?	saukties; saukt	Kā tevi sauc?
今天	данас	Данас је вруће.	danes	Danes je vroče.	šiandien	Šiandien karšta.	šodien	Šodien ir karsts.
九	девет	Сада је девет сати.	devet	Zdaj je devet.	devyni	Dabar devinta valanda.	deviņi	Tagad ir pulksten deviņi.
开	отворити; укључити	Укључујем рачунар.	odpreti; vklopiti	Vklopim računalnik.	atidaryti; įjungti	Įjungiu kompiuterį.	atvērt; ieslēgt	Es ieslēdzu datoru.
看	гледати; читати	Читам књигу.	gledati; brati	Berem knjigo.	žiūrėti; skaityti	Skaitau knygą.	skatīties; lasīt	Es lasu grāmatu.
看见	видети	Видим учитеља.	videti	Vidim učitelja.	pamatyti; matyti	Matau mokytoją.	redzēt	Es redzu skolotāju.
块	комад; јуан	Ова књига кошта десет јуана.	kos; juan	Ta knjiga stane deset juanov.	gabalas; juanis	Ši knyga kainuoja dešimt juanių.	gabals; juaņa	Šī grāmata maksā desmit juaņas.
来	доћи	Он долази у школу.	priti	On pride v šolo.	ateiti	Jis ateina į mokyklą.	nākt	Viņš nāk uz skolu.
老师	учитељ; наставник	Учитељ је у школи.	učitelj	Učitelj je v šoli.	mokytojas	Mokytojas yra mokykloje.	skolotājs	Skolotājs ir skolā.
了	честица за свршену радњу	Појео сам пиринач.	delec za dovršeno dejanje	Jedel sem riž.	baigtinio veiksmo dalelytė	Valgiau ryžius.	pabeigtas darbības partikula	Es apēdu rīsus.
冷	хладан	Данас је хладно.	hladen	Danes je hladno.	šaltas	Šiandien šalta.	auksts	Šodien ir auksts.
里	унутра; у	У шољи је вода.	notri; v	V skodelici je voda.	viduje; į	Puodelyje yra vandens.	iekšā; iekš	Krūzē ir ūdens.
零	нула	Нула није један.	nič; ničla	Ničla ni ena.	nulis	Nulis nėra vienas.	nulle	Nulle nav viens.
六	шест	Сада је шест сати.	šest	Zdaj je šest.	šeši	Dabar šešta valanda.	seši	Tagad ir pulksten seši.
妈妈	мама; мајка	Мама пије чај.	mama; mati	Mama pije čaj.	mama; motina	Mama geria arbatą.	mamma; māte	Mamma dzer tēju.
吗	упитна честица да-не	Да ли си ученик?	vprašalni delec da-ne	Si učenec?	taip-ne klausimo dalelytė	Ar tu mokinys?	jā-nē jautājuma partikula	Vai tu esi skolēns?
买	купити	Купујем јабуке.	kupiti	Kupujem jabolka.	pirkti	Perku obuolius.	pirkt	Es pērku ābolus.
猫	мачка	Мачка је на столици.	mačka	Mačka je na stolu.	katė	Katė yra ant kėdės.	kaķis	Kaķis ir uz krēsla.
没	немати; не	Немам новца.	nimati; ne	Nimam denarja.	neturėti; ne	Neturiu pinigų.	nebūt; ne	Man nav naudas.
没关系	нема везе; нема проблема	Нема проблема.	ni važno; ni problema	Ni problema.	nieko tokio; jokių problemų	Nieko tokio.	nekas; nav problēmu	Nav problēmu.
米饭	кувани пиринач	Једем пиринач.	kuhan riž	Jem riž.	virti ryžiai	Valgau ryžius.	vārīti rīsi	Es ēdu rīsus.
名字	име	Како се зовеш?	ime	Kako ti je ime?	vardas	Koks tavo vardas?	vārds	Kā tevi sauc?
明天	сутра	Сутра идем у Пекинг.	jutri	Jutri grem v Peking.	rytoj	Rytoj vyksiu į Pekiną.	rīt	Rīt es braukšu uz Pekinu.
哪	који; која; које; где; куда	Куда идеш?	kateri; katera; katero; katere; kje; kam	Kam greš?	kuris; kuri; kurie; kurios; kur	Kur eini?	kurš; kura; kuri; kuras; kur; uz kurieni	Uz kurieni tu ej?
那	тај; та; то; ти; те	То је мој учитељ.	tisti; tista; tisto; tisti; tiste	To je moj učitelj.	tas; ta; tai; tie; tos	Tai mano mokytojas.	tas; tā; tie; tās	Tas ir mans skolotājs.
呢	упитна честица; а	А ти?	vprašalni delec; pa	Pa ti?	klausiamoji dalelytė; o	O tu?	jautājuma partikula; bet	Un tu?
能	моћи; бити у стању	Могу ли да идем?	moči; biti sposoben	Lahko grem?	galėti; būti pajėgiam	Ar galiu eiti?	varēt; spēt	Vai es varu iet?
你	ти; тебе	Како си?	ti; tebe	Kako si?	tu; tave	Kaip sekasi?	tu; tevi	Kā tev klājas?
年	година	Година има дванаест месеци.	leto	Leto ima dvanajst mesecev.	metai	Metai turi dvylika mėnesių.	gads	Gadā ir divpadsmit mēneši.
女儿	ћерка	Њена ћерка је веома лепа.	hči	Njena hči je zelo lepa.	dukra	Jos dukra labai graži.	meita	Viņas meita ir ļoti skaista.
朋友	пријатељ	Он је мој пријатељ.	prijatelj	On je moj prijatelj.	draugas	Jis yra mano draugas.	draugs	Viņš ir mans draugs.
漂亮	леп	Она је веома лепа.	lep	Ona je zelo lepa.	gražus	Ji labai graži.	skaists	Viņa ir ļoti skaista.
苹果	јабука	Волим јабуке.	jabolko	Rad imam jabolka.	obuolys	Mėgstu obuolius.	ābols	Man patīk āboli.
七	седам	Сада је седам сати.	sedem	Zdaj je sedem.	septyni	Dabar septinta valanda.	septiņi	Tagad ir pulksten septiņi.
前面	испред; предња страна	Ресторан је испред продавнице.	spredaj; pred	Restavracija je pred trgovino.	priekyje; prieš	Restoranas yra priešais parduotuvę.	priekšā; pirms	Restorāns ir veikala priekšā.
钱	новац	Немам новца.	denar	Nimam denarja.	pinigai	Neturiu pinigų.	nauda	Man nav naudas.
请	молим; позвати; тражити	Молим те, пиј чај.	prosim; povabiti; prositi	Prosim, pij čaj.	prašau; kviesti; prašyti	Prašau, gerk arbatą.	lūdzu; aicināt; lūgt	Lūdzu, dzer tēju.
去	ићи	Идем у школу.	iti	Grem v šolo.	eiti	Einu į mokyklą.	iet	Es eju uz skolu.
热	врућ; топао	Данас је вруће.	vroč; topel	Danes je vroče.	karštas; šiltas	Šiandien karšta.	karsts; silts	Šodien ir karsts.
人	човек; људи	У школи има много људи.	oseba; ljudje	V šoli je veliko ljudi.	žmogus; žmonės	Mokykloje yra daug žmonių.	cilvēks; cilvēki	Skolā ir daudz cilvēku.
认识	познавати; препознати	Познајем га.	poznati; prepoznati	Poznam ga.	pažinti; atpažinti	Aš jį pažįstu.	pazīt; atpazīt	Es viņu pazīstu.
日	дан; датум	Данас је први март.	dan; datum	Danes je prvi marec.	diena; data	Šiandien kovo pirmoji.	diena; datums	Šodien ir pirmais marts.
三	три	Имам три шоље.	tri	Imam tri skodelice.	trys	Turiu tris puodelius.	trīs	Man ir trīs krūzes.
商店	продавница	Продавница је испред школе.	trgovina	Trgovina je pred šolo.	parduotuvė	Parduotuvė yra priešais mokyklą.	veikals	Veikals ir skolas priekšā.
上	горе; на	Књига је на столу.	zgoraj; na	Knjiga je na mizi.	viršuje; ant	Knyga yra ant stalo.	augšā; uz	Grāmata ir uz galda.
上午	пре подне; јутро	Пре подне учим кинески.	dopoldne	Dopoldne se učim kitajsko.	rytas; priešpietis	Priešpiet mokausi kinų kalbos.	rīts; priekšpusdiena	Priekšpusdienā es mācos ķīniešu valodu.
少	мало; малобројан	Има мало ученика.	malo; malobrojen	Malo je učencev.	mažai; nedaug	Mokinių mažai.	maz; nedaudz	Skolēnu ir maz.
什么	шта; какав	Шта је ово?	kaj	Kaj je to?	kas; koks	Kas tai?	kas; kāds	Kas tas ir?
十	десет	Имам десет књига.	deset	Imam deset knjig.	dešimt	Turiu dešimt knygų.	desmit	Man ir desmit grāmatas.
时候	време; тренутак	Када долазиш?	čas; trenutek	Kdaj prideš?	laikas; momentas	Kada ateisi?	laiks; brīdis	Kad tu nāksi?
是	бити; да	Ја сам ученик.	biti; da	Sem učenec.	būti; taip	Esu mokinys.	būt; jā	Es esmu skolēns.
书	књига	Читам књигу.	knjiga	Berem knjigo.	knyga	Skaitau knygą.	grāmata	Es lasu grāmatu.
谁	ко	Ко је он?	kdo	Kdo je on?	kas	Kas jis?	kas	Kas viņš ir?
