source_headword	SW	example_SW
fridge	friji	Maziwa yako kwenye friji.
frog	chura	Chura yuko karibu na bwawa.
furniture	samani	Samani za chumba ni mpya.
further	mbali zaidi	Tulienda mbali zaidi barabarani.
gallery	nyumba ya sanaa	Picha zimetundikwa kwenye nyumba ya sanaa.
gap	pengo	Kuna pengo dogo ukutani.
gas	gesi	Kulikuwa na harufu ya gesi jikoni.
gate	lango	Lango la shule liko wazi.
general	jumla	Hii ni kanuni ya jumla.
gift	zawadi	Alimpa mama yake zawadi.
goal	lengo	Lengo lake liko wazi.
god	Mungu	Alimshukuru Mungu.
gold	dhahabu	Pete imetengenezwa kwa dhahabu.
golf	gofu	Alicheza gofu Jumapili.
government	serikali	Serikali ilitangaza mpango mpya.
grass	nyasi	Nyasi ni kijani baada ya mvua.
greet	salimia	Alimsalimia mgeni.
ground	ardhi	Watoto walikaa ardhini.
guest	mgeni	Mgeni alifika mapema.
guide	mwongozo	Mwongozo alizungumza kuhusu mji.
gun	bunduki	Polisi aliweka bunduki mahali salama.
guy	jamaa	Jamaa huyu ni mwema sana.
habit	tabia	Kusoma asubuhi ni tabia nzuri.
hall	ukumbi	Mkutano ulikuwa kwenye ukumbi mkubwa.
happily	kwa furaha	Walirudi nyumbani kwa furaha.
headache	maumivu ya kichwa	Ana maumivu ya kichwa leo.
heart	moyo	Moyo wake ulipiga haraka.
heat	joto	Joto liliongezeka mchana.
heavy	nzito	Sanduku hili ni zito sana.
height	urefu	Urefu wa jengo ni mkubwa.
helpful	wenye msaada	Ushauri huu una msaada mkubwa.
hero	shujaa	Shujaa wa hadithi ni jasiri.
hers	yake	Mkoba huu ni wake.
herself	mwenyewe	Alifungua mlango mwenyewe.
hide	kuficha	Alificha ufunguo.
hill	kilima	Nyumba iko juu ya kilima.
himself	mwenyewe	Aliandaa chakula mwenyewe.
hit	kugonga	Mpira uligonga dirisha.
hockey	hoki	Walicheza hoki jioni.
hold	kushika	Tafadhali shika kamba hii.
hole	shimo	Kuna shimo kubwa barabarani.
huge	kubwa sana	Kuna mti mkubwa sana pale.
human	binadamu	Binadamu hawezi kuishi bila maji.
hurt	kuumiza	Maneno yake yaliniumiza.
ideal	bora	Hapa ni mahali bora pa kusoma.
identify	kutambua	Alijaribu kumtambua ndege.
ill	mgonjwa	Mtoto alikuwa mgonjwa jana.
illness	ugonjwa	Ugonjwa huu unaenea haraka.
image	picha	Kuna picha wazi kwenye skrini.
immediately	mara moja	Alijibu mara moja.
impossible	haiwezekani	Haiwezekani kufanya hivi peke yako.
included	imejumuishwa	Kodi imejumuishwa kwenye bei.
including	ikiwa ni pamoja na	Wote, ikiwa ni pamoja na mwalimu, walikuja.
increase	kuongezeka	Bei iliongezeka mwezi huu.
incredible	ajabu	Mandhari ilikuwa ya ajabu.
independent	huru	Alifanya uamuzi huru.
individual	binafsi	Kila mwanafunzi anahitaji msaada binafsi.
industry	sekta	Mji huu una sekta kubwa.
informal	isiyo rasmi	Huu ni mazungumzo yasiyo rasmi.
injury	jeraha	Mchezaji alipata jeraha dogo.
