source_headword	ML	example_ML
heal	സുഖപ്പെടുത്തുക	വിശ്രമം ശരീരത്തെ സുഖപ്പെടുത്താൻ സഹായിക്കുന്നു.
healthcare	ആരോഗ്യ പരിരക്ഷ	ഈ വർഷം ആരോഗ്യ പരിരക്ഷാ ചെലവുകൾ വർദ്ധിച്ചു.
helmet	ഹെൽമറ്റ്	ബൈക്കിൽ പോകുമ്പോൾ ഹെൽമറ്റ് ധരിക്കുക.
hence	അതിനാൽ	അതിനാൽ, ഞങ്ങൾ സമയക്രമം മാറ്റി.
herb	ഔഷധസസ്യം	തുളസി ഉപയോഗപ്രദമായ ഒരു ഔഷധസസ്യമാണ്.
hidden	ഒളിപ്പിച്ചുവെച്ച	താക്കോൽ പായയുടെ അടിയിൽ ഒളിപ്പിച്ചിരുന്നു.
highway	ഹൈവേ	മഞ്ഞുവീഴ്ചയ്ക്ക് ശേഷം ഹൈവേ അടച്ചിരുന്നു.
hilarious	വളരെ രസകരമായ	സിനിമ വളരെ രസകരമായിരുന്നു.
hip	ഇടുപ്പ്	പരിശീലനത്തിനിടെ അവളുടെ ഇടുപ്പിന് പരിക്കേറ്റു.
historian	ചരിത്രകാരൻ	ചരിത്രകാരൻ പഴയ കത്തുകൾ പഠിച്ചു.
homeless	ഭവനരഹിതരായ	അഭയകേന്ദ്രം ഭവനരഹിതരായ കുടുംബങ്ങളെ സഹായിക്കുന്നു.
honesty	സത്യസന്ധത	സത്യസന്ധത വിശ്വാസം വളർത്തുന്നു.
hook	കൊളുത്ത്	കോട്ട് കൊളുത്തിൽ തൂക്കിയിടുക.
hopefully	പ്രതീക്ഷയോടെ	ട്രെയിൻ ഉടൻ എത്തുമെന്ന് പ്രതീക്ഷിക്കാം.
hunger	വിശപ്പ്	വിശപ്പ് ഏകാഗ്രതയെ ബാധിച്ചേക്കാം.
hypothesis	അനുമാനം	പരീക്ഷണം ഈ അനുമാനം പരിശോധിച്ചു.
icon	ഐക്കൺ	ആപ്പ് ഐക്കൺ ഇന്ന് മാറി.
ID	തിരിച്ചറിയൽ കാർഡ്	റിസപ്ഷനിൽ നിങ്ങളുടെ തിരിച്ചറിയൽ കാർഡ് കാണിക്കുക.
identical	ഒരേപോലെയുള്ള	ഇരട്ടകൾ ഒരേപോലെയുള്ള ജാക്കറ്റുകൾ ധരിച്ചിരുന്നു.
illusion	മിഥ്യ	കണ്ണാടി ഒരു മിഥ്യ സൃഷ്ടിക്കുന്നു.
immigration	കുടിയേറ്റം	കുടിയേറ്റ നയം കഴിഞ്ഞ വർഷം മാറി.
immune	പ്രതിരോധശേഷിയുള്ള	വാക്സിനേഷന് ആളുകളെ പ്രതിരോധശേഷിയുള്ളവരാക്കാൻ കഴിയും.
implement	നടപ്പിലാക്കുക	സ്കൂൾ നയം നടപ്പിലാക്കും.
implication	സൂചന	സൂചന വ്യക്തമായിരുന്നു.
incentive	പ്രോത്സാഹനം	ബോണസ് തൊഴിലാളികൾക്ക് ഒരു പ്രോത്സാഹനം നൽകി.
incorporate	ഉൾപ്പെടുത്തുക	ഭക്ഷണത്തിൽ കൂടുതൽ പച്ചക്കറികൾ ഉൾപ്പെടുത്തുക.
incorrect	തെറ്റായ	ഉത്തരം തെറ്റായിരുന്നു.
independence	സ്വാതന്ത്ര്യം	രാജ്യം സ്വാതന്ത്ര്യം ആഘോഷിച്ചു.
index	സൂചിക	വിഷയത്തിനായി സൂചിക പരിശോധിക്കുക.
indication	സൂചന	പുഞ്ചിരി ആശ്വാസത്തിന്റെ ഒരു സൂചനയായിരുന്നു.
inevitable	അനിവാര്യമായ	കുറച്ച് കാലതാമസം അനിവാര്യമായിരുന്നു.
inevitably	അനിവാര്യമായും	ക്ഷാമത്തിന് ശേഷം അനിവാര്യമായും വില വർദ്ധിച്ചു.
infer	ഊഹിക്കുക	പശ്ചാത്തലത്തിൽ നിന്ന് നമുക്ക് ഉത്തരം ഊഹിക്കാൻ കഴിയും.
inflation	പണപ്പെരുപ്പം	പണപ്പെരുപ്പം ഭക്ഷ്യവില വർദ്ധിപ്പിച്ചു.
info	വിവരം	വെബ്സൈറ്റ് ഉപയോഗപ്രദമായ വിവരങ്ങൾ നൽകുന്നു.
infrastructure	അടിസ്ഥാന സൗകര്യങ്ങൾ	കൊടുങ്കാറ്റ് പ്രാദേശിക അടിസ്ഥാന സൗകര്യങ്ങളെ തകർത്തു.
inhabitant	നിവാസി	ഓരോ നിവാസിക്കും ശുദ്ധജലം ലഭിച്ചു.
inherit	അനന്തരാവകാശമായി ലഭിക്കുക	അവൾക്ക് കുടുംബ വീട് അനന്തരാവകാശമായി ലഭിക്കും.
ink	മഷി	പ്രിൻ്ററിന് കറുത്ത മഷി ആവശ്യമാണ്.
innovation	നവീകരണം	നവീകരണം വ്യവസായത്തെ മുന്നോട്ട് നയിക്കുന്നു.
innovative	നൂതനമായ	കമ്പനി ഒരു നൂതനമായ ഉൽപ്പന്നം പുറത്തിറക്കി.
input	അഭിപ്രായം	മാനേജർ അഭിപ്രായം ചോദിച്ചു.
insert	ഇടുക	മെഷീനിൽ കാർഡ് ഇടുക.
inspector	പരിശോധകൻ	പരിശോധകൻ കെട്ടിടം പരിശോധിച്ചു.
installation	സ്ഥാപിക്കൽ	സ്ഥാപിക്കാൻ രണ്ട് മണിക്കൂർ എടുത്തു.
instant	തൽക്ഷണമുള്ള	ആപ്പ് തൽക്ഷണ മറുപടി അയച്ചു.
instantly	പെട്ടെന്ന്	സ്ക്രീൻ തൽക്ഷണം ഓണായി.
integrate	സംയോജിപ്പിക്കുക	സോഫ്റ്റ്‌വെയറിന് പുതിയ ടൂളുകൾ സംയോജിപ്പിക്കാൻ കഴിയും.
intellectual	ബൗദ്ധികമായ	സംവാദം ബൗദ്ധികവും എന്നാൽ സൗഹൃദപരവുമായിരുന്നു.
interact	ആശയവിനിമയം നടത്തുക	ഗ്രൂപ്പ് വർക്കിനിടെ വിദ്യാർത്ഥികൾ ആശയവിനിമയം നടത്തുന്നു.
interaction	ഇടപെടൽ	ഇടപെടൽ മര്യാദയോടുകൂടിയതായിരുന്നു.
interpretation	വ്യാഖ്യാനം	കവിതയെക്കുറിച്ചുള്ള അവളുടെ വ്യാഖ്യാനം മൗലികമായിരുന്നു.
interval	ഇടവേള	അഭിനയങ്ങൾക്കിടയിൽ ഒരു ചെറിയ ഇടവേള ഉണ്ടായിരുന്നു.
invade	ആക്രമിച്ചുകയറുക	സൈന്യം ദ്വീപ് ആക്രമിച്ചുകയറാൻ ശ്രമിച്ചു.
invasion	അധിനിവേശം	അധിനിവേശം പല നഗരങ്ങളെയും നശിപ്പിച്ചു.
investor	നിക്ഷേപകൻ	നിക്ഷേപകൻ ഒരു പുതിയ സ്റ്റാർട്ടപ്പിന് പണം നൽകി.
isolate	ഒറ്റപ്പെടുത്തുക	ഗുരുതരമായ അണുബാധയുള്ള രോഗികളെ ഡോക്ടർമാർ മാറ്റിപ്പാർപ്പിക്കുന്നു.
isolated	ഒറ്റപ്പെട്ട	മഞ്ഞുവീഴ്ച കാരണം ഗ്രാമം ഒറ്റപ്പെട്ടു.
jail	ജയിൽ	കള്ളൻ ജയിലിൽ പോയി.
jet	ജെറ്റ് വിമാനം	ജെറ്റ് വിമാനം ഉച്ചയ്ക്ക് ലാൻഡ് ചെയ്തു.
joint	സംയുക്തമായ	അവർ ഒരു സംയുക്ത പദ്ധതി പ്രഖ്യാപിച്ചു.
journalism	പത്രപ്രവർത്തനം	പത്രപ്രവർത്തനത്തിന് കൃത്യമായ വസ്തുതകൾ ആവശ്യമാണ്.
jury	ജൂറി	ജൂറി ഒരു തീരുമാനത്തിലെത്തി.
kit	കിറ്റ്	റിപ്പയർ കിറ്റിൽ സ്ക്രൂകൾ ഉൾപ്പെടുന്നു.
ladder	കോണി	കോണി ഭിത്തിയിൽ ചാരിവച്ചിരുന്നു.
landing	ലാൻഡിംഗ്	വിമാനം സുഗമമായി ലാൻഡ് ചെയ്തു.
lane	ലെയ്ൻ	വലതുവശത്തെ ലെയ്നിൽ തുടരുക.
lately	അടുത്തിടെയായി	അടുത്തിടെയായി എനിക്ക് ഉറക്കം കുറവായിരുന്നു.
leaflet	ലഘുലേഖ	ലഘുലേഖ ഈ സേവനം വിശദീകരിക്കുന്നു.
legend	ഐതിഹ്യം	ഐതിഹ്യം ഒരു ഒളിഞ്ഞിരിക്കുന്ന നഗരത്തെക്കുറിച്ച് പറയുന്നു.
lens	ലെൻസ്	ക്യാമറ ലെൻസ് ശ്രദ്ധാപൂർവ്വം വൃത്തിയാക്കുക.
lifetime	ജീവിതകാലം	അവൻ ഒരു ജീവിതകാലം മുഴുവൻ പണം സമ്പാദിച്ചു.
lighting	വെളിച്ചം	നല്ല വെളിച്ചം മുറിയെ മികച്ചതാക്കുന്നു.
likewise	അതുപോലെ	അവൾ പുഞ്ചിരിച്ചു; അവനും അതുപോലെ ചെയ്തു.
limitation	പരിമിതി	പദ്ധതിക്ക് ഒരു പരിമിതിയുണ്ട്.
literally	അക്ഷരാർത്ഥത്തിൽ	അവൾ അക്ഷരാർത്ഥത്തിൽ ബസ്സിലേക്ക് ഓടി.
literary	സാഹിത്യപരമായ	ഈ ഉത്സവം സാഹിത്യ സൃഷ്ടികളെ ആദരിക്കുന്നു.
litre	ലിറ്റർ	ഒരു ലിറ്റർ പാൽ വാങ്ങുക.
litter	മാലിന്യം	മാലിന്യം വലിച്ചെറിയരുത്.
logo	ലോഗോ	എല്ലാ പേജിലും ലോഗോ കാണാം.
lottery	ലോട്ടറി	അവന് ഒരു ചെറിയ ലോട്ടറി സമ്മാനം ലഭിച്ചു.
loyal	വിശ്വസ്തനായ	നായ അതിൻ്റെ ഉടമസ്ഥനോട് വിശ്വസ്തനായിരുന്നു.
lyric	വരികൾ	വരികൾ പ്രധാന ആശയം ആവർത്തിച്ചു.
magnificent	ഗംഭീരമായ	കൊട്ടാരം ഗംഭീരമായിരുന്നു.
make-up	മേക്കപ്പ്	അവൾ ലളിതമായ മേക്കപ്പ് ധരിച്ചിരുന്നു.
making	നിർമ്മാണം	സിനിമയുടെ നിർമ്മാണം ബുദ്ധിമുട്ടായിരുന്നു.
manufacture	നിർമ്മിക്കുക	ഫാക്ടറി ഫോണുകൾ നിർമ്മിക്കും.
manufacturing	നിർമ്മാണം	പ്രാദേശികമായി നിർമ്മാണ ജോലികൾ വർദ്ധിച്ചു.
marathon	മാരത്തൺ	അവൾ മാരത്തൺ പൂർത്തിയാക്കി.
margin	മാർജിൻ	മാർജിനിൽ കുറിപ്പുകൾ എഴുതുക.
marker	മാർക്കർ	ലേബലിനായി ഒരു മാർക്കർ ഉപയോഗിക്കുക.
martial	ആയോധന	അവൻ ആയോധന കലകൾ പഠിക്കുന്നു.
mate	കൂട്ടുകാരൻ	എൻ്റെ പഴയ സ്കൂൾ കൂട്ടുകാരൻ ഇന്നലെ വിളിച്ചു.
mayor	മേയർ	മേയർ ലൈബ്രറി ഉദ്ഘാടനം ചെയ്തു.
mechanic	മെക്കാനിക്ക്	മെക്കാനിക്ക് ബസ് നന്നാക്കി.
mechanical	യാന്ത്രികമായ	ക്ലോക്കിന് ഒരു യാന്ത്രിക തകരാറുണ്ട്.
mechanism	സംവിധാനം	പൂട്ടുന്ന സംവിധാനം ലളിതമാണ്.
medal	മെഡൽ	അവൾക്ക് സ്വർണ്ണ മെഡൽ ലഭിച്ചു.
medication	മരുന്ന്	വെള്ളത്തോടൊപ്പം മരുന്ന് കഴിക്കുക.
membership	അംഗത്വം	ഓൺലൈനിൽ ജിം അംഗത്വത്തിന് നിരക്ക് കുറവാണ്.
memorable	സ്മരണീയമായ	ആ യാത്ര സ്മരണീയമായിരുന്നു.
metaphor	രൂപകം	ആ കവിത ശക്തമായൊരു രൂപകം ഉപയോഗിക്കുന്നു.
miner	ഖനിത്തൊഴിലാളി	ഖനിത്തൊഴിലാളി ഭൂമിക്കടിയിൽ ജോലി ചെയ്തു.
miserable	ദുരിതപൂർണ്ണമായ	മഴ കാരണം വിനോദയാത്ര ദുരിതപൂർണ്ണമായി.
mode	മോഡ്	ക്യാമറ നൈറ്റ് മോഡിലേക്ക് മാറ്റുക.
modest	ലളിതമായ	അവർ ഒരു ലളിതമായ വീട്ടിലാണ് താമസിക്കുന്നത്.
monster	ഭീകരജീവി	ആ കഥയിൽ ഭയപ്പെടുത്തുന്ന ഒരു ഭീകരജീവിയുണ്ട്.
monthly	പ്രതിമാസ	ഞങ്ങൾ പ്രതിമാസ വാടക നൽകുന്നു.
monument	സ്മാരകം	സ്മാരകം നദിക്കരയിൽ സ്ഥിതിചെയ്യുന്നു.
moreover	കൂടാതെ	കൂടാതെ, ആ പദ്ധതി പണം ലാഭിക്കുന്നു.
mortgage	ഭവനവായ്പ	അവർ ഭവനവായ്പയ്ക്കായി അപേക്ഷിച്ചു.
mosque	പള്ളി	ആ പള്ളി മാർക്കറ്റിനടുത്താണ്.
motion	ചലനം	സെൻസർ ചലനം തിരിച്ചറിയുന്നു.
motivate	പ്രചോദിപ്പിക്കുക	അഭിനന്ദനം വിദ്യാർത്ഥികളെ പ്രചോദിപ്പിക്കും.
motivation	പ്രചോദനം	അവളുടെ പ്രചോദനം ശക്തമായി തുടർന്നു.
moving	ഹൃദയസ്പർശിയായ	ആ പ്രസംഗം ഹൃദയസ്പർശിയായിരുന്നു.
myth	ഐതിഹ്യം	പർവതത്തിന്റെ പേരിന് പിന്നിലെ ഐതിഹ്യം അത് വ്യക്തമാക്കുന്നു.
naked	നഗ്നമായ	കുളികഴിഞ്ഞപ്പോൾ കുഞ്ഞ് നഗ്നനായിരുന്നു.
nasty	ഗുരുതരമായ	ആ മുറിവ് ഗുരുതരമാണെന്ന് തോന്നി.
navigation	നാവിഗേഷൻ	ആ ആപ്പ് നാവിഗേഷൻ മെച്ചപ്പെടുത്തുന്നു.
nearby	അടുത്തുള്ള	അടുത്തുള്ള ഒരു കഫേ നേരത്തെ തുറക്കും.
necessity	അനിവാര്യത	ശുദ്ധജലം ഒരു അനിവാര്യതയാണ്.
negotiate	ചർച്ച ചെയ്യുക	അവർ നാളെ കരാറിനെക്കുറിച്ച് ചർച്ച ചെയ്യും.
negotiation	ചർച്ച	ചർച്ച രാവിലെ മുഴുവൻ നീണ്ടുനിന്നു.
neutral	നിഷ്പക്ഷമായ	ജഡ്ജി നിഷ്പക്ഷത പാലിച്ചു.
newly	പുതുതായി	പുതുതായി പെയിന്റടിച്ച വാതിൽ തിളക്കമുള്ളതായിരുന്നു.
norm	പതിവ്	റിമോട്ട് ജോലി ഒരു പതിവായി മാറി.
notebook	നോട്ട്ബുക്ക്	നിങ്ങളുടെ നോട്ട്ബുക്കിൽ കുറിപ്പുകൾ എഴുതുക.
novelist	നോവലിസ്റ്റ്	ആ നോവലിസ്റ്റ് തന്റെ പുസ്തകത്തിൽ ഒപ്പുവെച്ചു.
nowadays	ഇക്കാലത്ത്	ഇക്കാലത്ത് ധാരാളം ആളുകൾ ഓൺലൈനിൽ ജോലി ചെയ്യുന്നു.
nursing	നഴ്‌സിംഗ്	അവൾ നഴ്‌സിംഗ് പഠിക്കുകയാണ്.
nutrition	പോഷകാഹാരം	നല്ല പോഷകാഹാരം ആരോഗ്യത്തെ പിന്തുണയ്ക്കുന്നു.
obesity	അമിതവണ്ണം	അമിതവണ്ണം ആരോഗ്യപ്രശ്നങ്ങൾ വർദ്ധിപ്പിക്കുന്നു.
observer	നിരീക്ഷകൻ	നിരീക്ഷകൻ ഫലങ്ങൾ രേഖപ്പെടുത്തി.
obstacle	തടസ്സം	ആ വീണ മരം ഒരു തടസ്സമായിരുന്നു.
occupation	തൊഴിൽ	ദയവായി നിങ്ങളുടെ തൊഴിൽ ഇവിടെ എഴുതുക.
occupy	താമസമാക്കുക	ആ കുടുംബം അപ്പാർട്ട്മെന്റിൽ താമസമാക്കും.
offender	കുറ്റവാളി	കുറ്റവാളി കോടതിയിൽ ക്ഷമ ചോദിച്ചു.
ongoing	തുടരുന്ന	അന്വേഷണം നടന്നുകൊണ്ടിരിക്കുകയാണ്.
openly	തുറന്ന്	അവൾ തന്റെ ഭയങ്ങളെക്കുറിച്ച് തുറന്നു പറഞ്ഞു.
opera	ഓപ്പറ	ഞങ്ങൾ മിലാനിൽ ഒരു ഓപ്പറ കണ്ടു.
operator	ഓപ്പറേറ്റർ	ഓപ്പറേറ്റർ കോൾ ബന്ധിപ്പിച്ചു.
optimistic	ശുഭാപ്തിവിശ്വാസമുള്ള	ഭാവിയിൽ അവൾക്ക് ശുഭാപ്തിവിശ്വാസമുണ്ട്.
orchestra	ഓർക്കസ്ട്ര	ഓർക്കസ്ട്ര മൃദുവായി വായിച്ചു.
organic	ഓർഗാനിക്	അവർ ഓർഗാനിക് പച്ചക്കറികൾ വാങ്ങി.
outfit	വസ്ത്രം	അവളുടെ വസ്ത്രം ആ അവസരത്തിന് അനുയോജ്യമായിരുന്നു.
output	ഉത്പാദനം	മെഷീന്റെ ഉത്പാദനം വർദ്ധിച്ചു.
outstanding	മികച്ച	അവന്റെ പ്രകടനം മികച്ചതായിരുന്നു.
overcome	മറികടക്കുക	അവർ ഒരുമിച്ച് പ്രശ്നങ്ങൾ മറികടക്കുന്നു.
overnight	ഒറ്റരാത്രികൊണ്ട്	ആ പാക്കേജ് ഒറ്റരാത്രികൊണ്ട് എത്തി.
overseas	വിദേശത്ത്	അവന് വിദേശത്ത് ജോലി കിട്ടി.
ownership	ഉടമസ്ഥാവകാശം	ഭൂമിയുടെ ഉടമസ്ഥാവകാശം മാറി.
oxygen	ഓക്സിജൻ	സസ്യങ്ങൾ ഓക്സിജൻ ഉത്പാദിപ്പിക്കുന്നു.
packet	പാക്കറ്റ്	ആ പാക്കറ്റ് ശ്രദ്ധയോടെ തുറക്കുക.
palm	കൈവെള്ള	നാണയം നിങ്ങളുടെ കൈവെള്ളയിൽ പിടിക്കുക.
panic	പരിഭ്രാന്തി	ആൾക്കൂട്ടത്തിനിടയിൽ പരിഭ്രാന്തി പടർന്നു.
parade	പരേഡ്	പരേഡ് ഉച്ചയ്ക്ക് ആരംഭിച്ചു.
parallel	സമാന്തരമായ	ആ റോഡുകൾ സമാന്തരമായി പോകുന്നു.
participation	പങ്കാളിത്തം	ക്ലാസ്സിലെ പങ്കാളിത്തം മെച്ചപ്പെട്ടു.
partnership	പങ്കാളിത്തം	പങ്കാളിത്തം ഇരു കമ്പനികളെയും സഹായിച്ചു.
part-time	പാർട്ട് ടൈം	അവൾക്ക് ഒരു പാർട്ട് ടൈം ജോലി ലഭിച്ചു.
passionate	താല്പര്യമുള്ള	അവന് സംഗീതത്തോട് വളരെ താല്പര്യമുണ്ട്.
password	പാസ്‌വേഡ്	ശക്തമായ ഒരു പാസ്‌വേഡ് തിരഞ്ഞെടുക്കുക.
patience	ക്ഷമ	ചെറിയ കുട്ടികളെ പഠിപ്പിക്കാൻ ക്ഷമ ആവശ്യമാണ്.
pause	പോസ് ചെയ്യുക	വീഡിയോ ഇപ്പോൾ പോസ് ചെയ്യുക.
peer	സമപ്രായക്കാരൻ	സമപ്രായക്കാരുടെ സമ്മർദ്ദം അവന്റെ തീരുമാനത്തെ സ്വാധീനിച്ചു.
