source_headword	MY	example_MY
toss	ပစ်သည်	သူမက သော့များကို စားပွဲပေါ်သို့ ပစ်တင်လိုက်သည်။
total	စုစုပေါင်းဖြစ်သည်	ပြုပြင်စရိတ် စုစုပေါင်းသည် မျှော်လင့်ထားသည်ထက် ပိုများသည်။
toxic	အဆိပ်သင့်စေသော	အဆိပ်သင့်စေသော မီးခိုးများကြောင့် လူတိုင်း အပြင်သို့ ထွက်ပြေးခဲ့ရသည်။
trademark	ကုန်အမှတ်တံဆိပ်	အမှတ်တံဆိပ်သည် ကုမ္ပဏီ၏ ကုန်အမှတ်တံဆိပ် ဖြစ်လာသည်။
trail	လမ်းကြောင်း	လမ်းကြောင်းသည် သစ်တောထဲသို့ ဦးတည်နေသည်။
trailer	ရုပ်ရှင်နမူနာ	ရုပ်ရှင်နမူနာက ဇာတ်ကား၏ ဇာတ်သိမ်းပိုင်းကို ပြသခဲ့သည်။
transaction	ငွေပေးငွေယူ	ငွေပေးငွေယူသည် ကျွန်ုပ်၏ ဘဏ်စာရင်းရှင်းတမ်းတွင် ပေါ်လာသည်။
transcript	မှတ်တမ်း	ကျောင်းသားက တရားဝင် မှတ်တမ်းကို တောင်းဆိုခဲ့သည်။
transformation	အသွင်ပြောင်းလဲမှု	မြို့တော်သည် ကြီးမားသော အသွင်ပြောင်းလဲမှုကြီးကို မြင်တွေ့ခဲ့ရသည်။
transit	သယ်ယူပို့ဆောင်ရေး	သယ်ယူပို့ဆောင်ရေး လုပ်ဆောင်နေစဉ်အတွင်း ပါဆယ်ထုပ် ပျက်စီးသွားသည်။
transmission	ပေးပို့ခြင်း	အချက်အလက် ပေးပို့ခြင်းသည် လုံခြုံမှုရှိသည်။
transparency	ပွင့်လင်းမြင်သာမှု	အစီရင်ခံစာက ပိုမိုသော ပွင့်လင်းမြင်သာမှုရှိရန် တောင်းဆိုခဲ့သည်။
transparent	ပွင့်လင်းမြင်သာသော	လုပ်ငန်းစဉ်သည် လူတိုင်းအတွက် ပွင့်လင်းမြင်သာမှု ရှိသင့်သည်။
trauma	စိတ်ဒဏ်ရာ	ယာဉ်တိုက်မှုက နက်ရှိုင်းသော စိတ်ဒဏ်ရာကို ချန်ရစ်ခဲ့သည်။
treaty	စာချုပ်	နိုင်ငံများသည် ငြိမ်းချမ်းရေး စာချုပ်ကို လက်မှတ်ရေးထိုးခဲ့ကြသည်။
tremendous	အလွန်ကြီးမားသော	အသင်းသည် အလွန်ကြီးမားသော တိုးတက်မှုကို ရရှိခဲ့သည်။
tribal	မျိုးနွယ်စု	ပြတိုက်တွင် မျိုးနွယ်စု အနုပညာများကို ပြသထားသည်။
tribunal	ခုံရုံး	ခုံရုံးသည် တစ်ပတ်လုံး အထောက်အထားများကို ကြားနာခဲ့သည်။
tribute	ဂုဏ်ပြုခြင်း	တေးဂီတဖျော်ဖြေပွဲသည် သူမကို ဂုဏ်ပြုခြင်းတစ်ခု ဖြစ်သည်။
trio	သုံးဦးအဖွဲ့	သုံးဦးအဖွဲ့သည် ပွဲတော်တွင် ဖျော်ဖြေခဲ့သည်။
triumph	အောင်ပွဲ	အနိုင်ရရှိမှုသည် ကိုယ်ပိုင် အောင်ပွဲတစ်ခု ဖြစ်သည်။
