source_headword	DA	example_DA
fridge	et køleskab	Mælken står i køleskabet.
frog	en frø	En frø sprang ned i dammen.
furniture	møbler	Disse møbler er gamle, men stærke.
further	videre; yderligere	Vi har brug for yderligere oplysninger.
gallery	et galleri	Galleriet er åbent i dag.
gap	et hul; et mellemrum	Der er et hul i væggen.
gas	benzin; gas	Bilen har brug for benzin.
gate	en port	Luk porten, tak.
general	generel	Dette er en generel regel.
gift	en gave	Hun købte en gave.
goal	et mål	Vores mål er enkelt.
god	Gud; en gud	Mange mennesker beder til Gud.
gold	guld; gylden	Ringen er af guld.
golf	golf	Han spiller golf i dag.
government	en regering	Regeringen ændrede loven.
grass	græs	Græsset er vådt.
greet	hilse på	Hils høfligt på hver gæst.
ground	jorden; grunden	Sæt dig på jorden.
guest	en gæst	Vores gæst kom tidligt.
guide	en guide; en vejledning	Guiden viste os museet.
gun	et skydevåben	Politiet fandt et skydevåben.
guy	en fyr; en mand	Den fyr er min bror.
habit	en vane	At læse hver dag er en god vane.
hall	en hal; en gang	Vent i gangen.
happily	lykkeligt	De levede lykkeligt sammen.
headache	hovedpine	Jeg har hovedpine.
heart	et hjerte	Hendes hjerte slår hurtigt.
heat	varme; varme op	Varm suppen langsomt op.
heavy	tung	Denne taske er tung.
height	en højde	Mål bordets højde.
helpful	hjælpsom; nyttig	Dit råd er meget nyttigt.
hero	en helt	Han er min helt.
hers	hendes	Den blå frakke er hendes.
herself	sig selv	Hun lavede middagen selv.
hide	skjule; gemme sig	Gem nøglen under kassen.
hill	en bakke	Vi gik op ad bakken.
himself	sig selv	Han reparerede det selv.
hit	slå; ramme	Slå ikke på døren.
hockey	hockey	Vi så hockey i aftes.
hold	holde	Hold min hånd.
hole	et hul	Der er et hul i min sok.
huge	enorm	Rummet var enormt.
human	et menneske; menneskelig	Hvert menneske har brug for vand.
hurt	gøre ondt; skade	Mit knæ gør ondt.
ideal	ideel	Dette rum er ideelt til studier.
identify	identificere; genkende	Kan du genkende denne fugl?
ill	syg	Hun føler sig syg i dag.
illness	en sygdom	Sygdommen varede en uge.
image	et billede	Billedet er tydeligt.
immediately	straks	Kom her straks.
impossible	umulig	Dette puslespil virker umuligt.
included	inkluderet	Morgenmad er inkluderet.
including	inklusive	Ti personer kom, inklusive mig.
increase	øge; en stigning	Priserne stiger om sommeren.
incredible	utrolig; fantastisk	Udsigten var utrolig.
independent	uafhængig; selvstændig	Min søster er selvstændig.
individual	et individ; individuel	Hvert individ har et nummer.
industry	en industri	Den lokale industri vokser.
informal	uformel	Denne e-mail er uformel.
injury	en skade	Skaden er ikke alvorlig.
insect	et insekt	Et insekt landede på koppen.
inside	inde; indeni	Vent inde i huset.
instead	i stedet	Drik vand i stedet.
instruction	en instruktion	Læs hver instruktion nøje.
instructor	en instruktør	Instruktøren forklarede øvelsen.
instrument	et instrument	Hun spiller et instrument.
intelligent	intelligent	Hun er en intelligent elev.
international	international	Dette er en international lufthavn.
introduction	en introduktion	Introduktionen var kort.
invent	opfinde	Børnene kan opfinde et nyt spil.
invention	en opfindelse	Opfindelsen sparer tid.
invitation	en invitation	Jeg fik en invitation.
invite	invitere	Inviter også din ven.
involve	involvere; indebære	Jobbet indebærer rejser.
item	en ting; et element	Vælg én ting.
itself	sig selv	Maskinen slukkede af sig selv.
jam	marmelade	Smør marmelade på brødet.
jazz	jazz	Jazz lyder godt i aften.
jewellery	smykker	Hun opbevarer smykker i en æske.
joke	en vittighed	Fortæl mig en vittighed.
journalist	en journalist	Journalisten stillede et spørgsmål.
jump	hoppe	Hop over linjen.
kid	et barn	Barnet griner.
kill	dræbe	Dræb ikke insektet.
king	en konge	Kongen boede i et palads.
knee	et knæ	Mit knæ gør ondt.
knife	en kniv	Brug en skarp kniv.
knock	banke	Bank på, før du går ind.
knowledge	viden	Viden vokser med øvelse.
lab	et laboratorium; et lab	Laboratoriet er lukket.
lady	en dame; en kvinde	Damen smilede til os.
lake	en sø	Søen er rolig.
lamp	en lampe	Tænd lampen.
laptop	en bærbar computer	Min bærbare computer er ny.
last1 (taking time)	vare	Filmen varede i to timer.
laughter	latter	Vi hørte latter udenfor.
law	en lov	Loven ændrede sig i går.
