hsk_key	source_word	simplified	ES	example_ES	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	RU	example_RU
303:白色	白色	白色	el color blanco	Me gusta la taza blanca.	la couleur blanche	J'aime la tasse blanche.	die Farbe Weiß	Ich mag den weißen Becher.	il colore bianco	Mi piace la tazza bianca.	a cor branca	Gosto da chávena branca.	белый цвет	Мне нравится белая чашка.
305:帮	帮	帮	ayudar	Por favor, ayúdame a abrir la puerta.	aider	Aide-moi à ouvrir la porte, s'il te plaît.	helfen	Hilf mir bitte, die Tür zu öffnen.	aiutare	Per favore, aiutami ad aprire la porta.	ajudar	Por favor, ajuda-me a abrir a porta.	помогать; помочь	Пожалуйста, помоги мне открыть дверь.
308:本子	本子	本子	el cuaderno	Este cuaderno es mío.	le cahier	Ce cahier est à moi.	das Heft	Dieses Heft gehört mir.	il quaderno	Questo quaderno è mio.	o caderno	Este caderno é meu.	тетрадь; блокнот	Эта тетрадь моя.
310:笔	笔	笔	el bolígrafo; el lápiz	Tengo un bolígrafo.	le stylo; le crayon	J'ai un stylo.	der Stift; der Bleistift	Ich habe einen Stift.	la penna; la matita	Ho una penna.	a caneta; o lápis	Tenho uma caneta.	ручка; карандаш	У меня есть ручка.
312:不错	不错	不错	no está mal; bastante bueno	Este restaurante está bastante bien.	pas mal; assez bon	Ce restaurant est plutôt bien.	nicht schlecht; ziemlich gut	Dieses Restaurant ist ziemlich gut.	non male; abbastanza buono	Questo ristorante non è male.	nada mau; bastante bom	Este restaurante é bastante bom.	неплохо; довольно хорошо	Этот ресторан довольно неплохой.
313:不好意思	不好意思	不好意思	perdón; disculpa	Perdón, llegué tarde.	désolé; excusez-moi	Désolé, je suis arrivé en retard.	Entschuldigung; verlegen	Entschuldigung, ich bin zu spät gekommen.	scusa; mi dispiace	Scusa, sono arrivato tardi.	desculpa; com licença	Desculpa, cheguei tarde.	извините; неловко	Извините, я опоздал.
315:车站	车站	车站	la estación; la parada	La estación está delante.	la station; l'arrêt	La station est devant.	der Bahnhof; die Haltestelle	Die Haltestelle ist weiter vorn.	la stazione; la fermata	La stazione è più avanti.	a estação; a paragem	A paragem fica mais à frente.	станция; остановка	Остановка впереди.
317:出国	出国	出国	ir al extranjero	El año que viene irá al extranjero a estudiar.	partir à l'étranger	Il partira étudier à l'étranger l'année prochaine.	ins Ausland gehen	Er geht nächstes Jahr zum Lernen ins Ausland.	andare all'estero	L'anno prossimo andrà all'estero a studiare.	ir para o estrangeiro	Ele vai para o estrangeiro estudar no próximo ano.	уезжать за границу	В следующем году он уедет учиться за границу.
318:出来	出来	出来	salir; venir fuera	Por favor, sal un momento.	sortir; venir dehors	Sors un instant, s'il te plaît.	herauskommen	Komm bitte kurz heraus.	uscire; venire fuori	Per favore, esci un momento.	sair; vir cá fora	Por favor, sai por um momento.	выйти; выйти наружу	Пожалуйста, выйди на минуту.
319:出门	出门	出门	salir de casa	Salgo de casa a las ocho de la mañana.	sortir de chez soi	Je sors de chez moi à huit heures du matin.	das Haus verlassen	Ich gehe morgens um acht aus dem Haus.	uscire di casa	Esco di casa alle otto del mattino.	sair de casa	Saio de casa às oito da manhã.	выходить из дома	Утром я выхожу из дома в восемь.
320:出去	出去	出去	salir; ir fuera	Quiero salir a caminar un poco.	sortir; aller dehors	Je veux sortir me promener un peu.	hinausgehen	Ich möchte hinausgehen und ein bisschen spazieren.	uscire; andare fuori	Voglio uscire a fare due passi.	sair; ir lá para fora	Quero sair para dar uma volta.	выходить; идти наружу	Я хочу выйти прогуляться.
321:床	床	床	la cama	La cama está en la habitación.	le lit	Le lit est dans la chambre.	das Bett	Das Bett steht im Zimmer.	il letto	Il letto è nella stanza.	a cama	A cama está no quarto.	кровать	Кровать стоит в комнате.
322:词	词	词	la palabra	No entiendo esta palabra.	le mot	Je ne comprends pas ce mot.	das Wort	Ich verstehe dieses Wort nicht.	la parola	Non capisco questa parola.	a palavra	Não percebo esta palavra.	слово	Я не понимаю это слово.
