source_headword	KM	example_KM
prey	សត្វរំពា	សត្វទីទុយចាប់សត្វរំពានៅពេលយប់។
privatization	ឯកជនភាវូបនីយកម្ម	ឯកជនភាវូបនីយកម្មបានផ្លាស់ប្តូរប្រព័ន្ធផ្លូវដែក។
privilege	ឯកសិទ្ធិ	ការអប់រំមិនគួរជាឯកសិទ្ធិឡើយ។
probe	ការស៊ើបអង្កេត	ការស៊ើបអង្កេតបានបង្ហាញពីកំហុសធ្ងន់ធ្ងរ។
problematic	ដែលមានបញ្ហា	កិច្ចព្រមព្រៀងនេះនៅតែមានបញ្ហា។
proceedings	នីតិវិធីតុលាការ	នីតិវិធីតុលាការបានចាប់ផ្តើមនៅថ្ងៃចន្ទ។
proceeds	ប្រាក់ចំណូល	ប្រាក់ចំណូលនឹងជួយគាំទ្រសាលារៀនក្នុងតំបន់។
processing	ការដំណើរការ	ការដំណើរការរូបភាពត្រូវចំណាយពេល។
processor	អង្គដំណើរការ	អង្គដំណើរការបានបរាជ័យក្នុងអំឡុងពេលសាកល្បង។
proclaim	ប្រកាស	ពួកមេដឹកនាំប្រកាសជ័យជម្នះលឿនពេក។
productive	ដែលមានផលិតភាព	ការប្រជុំមានផលិតភាពល្អ។
productivity	ផលិតភាព	ផលិតភាពបានប្រសើរឡើងបន្ទាប់ពីការបណ្តុះបណ្តាល។
profitable	ដែលទទួលបានប្រាក់ចំណេញ	ហាងនេះទទួលបានប្រាក់ចំណេញនៅឆ្នាំនេះ។
profound	ស៊ីជម្រៅ	សុន្ទរកថាមានឥទ្ធិពលយ៉ាងស៊ីជម្រៅ។
projection	ការព្យាករណ៍	ការព្យាករណ៍បង្ហាញពីកំណើនថេរ។
prominent	លេចធ្លោ	នាងបានក្លាយជាអ្នកវិទ្យាសាស្ត្រដ៏លេចធ្លោម្នាក់។
pronounced	ច្បាស់លាស់	ការបញ្ចេញសំឡេងរបស់គាត់កាន់តែច្បាស់លាស់ឡើង។
propaganda	ការឃោសនា	យុទ្ធនាការនេះបានប្រើការឃោសនាតាមអ៊ីនធឺណិត។
proposition	សំណើ	សំណើនេះគឺជាគម្រោងដ៏គ្រោះថ្នាក់មួយ។
prosecute	ផ្តន្ទាទោស	មន្ត្រីផ្តន្ទាទោសរឿងក្តីក្លែងបន្លំធ្ងន់ធ្ងរ។
prosecution	ការចោទប្រកាន់	ភាគីចោទប្រកាន់បានបង្ហាញភស្តុតាងថ្មី។
prosecutor	ព្រះរាជអាជ្ញា	ព្រះរាជអាជ្ញាបានសួរចម្លើយសាក្សី។
prospective	ដែលមានសក្តានុពល	សិស្សដែលមានសក្តានុពលបានទស្សនាបរិវេណសាលា។
prosperity	ភាពរុងរឿង	ពាណិជ្ជកម្មបាននាំភាពរុងរឿងដល់តំបន់នេះ។
protective	ដែលការពារ	នាងបានពាក់ស្រោមដៃការពារ។
