source_headword	MY	example_MY
absolutely	လုံးဝ	ကျွန်ုပ် သင်နှင့် လုံးဝ သဘောတူတယ်။
academic	ပညာရေးဆိုင်ရာ	ပညာသင်နှစ်က စက်တင်ဘာလမှာ စတင်တယ်။
access	အသုံးပြုခွင့်	ကျောင်းသားတွေ စာကြည့်တိုက် အသုံးပြုခွင့် လိုတယ်။
accommodation	နေရာထိုင်ခင်း	ဘူတာရုံအနီးမှာ နေရာထိုင်ခင်း ကြိုတင်ဘိုကင်လုပ်ခဲ့တယ်။
account	အကောင့်	သူမ ဘဏ်အကောင့်အသစ် ဖွင့်ခဲ့တယ်။
achievement	အောင်မြင်မှု	သင်တန်းပြီးဆုံးခြင်းက ကြီးမားတဲ့ အောင်မြင်မှု ဖြစ်တယ်။
ad	ကြော်ငြာ	ကြော်ငြာက ဖုန်းအသစ်တစ်လုံးကို ပြခဲ့တယ်။
addition	ထပ်ဖြည့်မှု	ရေကူးကန်က အသုံးဝင်တဲ့ ထပ်ဖြည့်မှု ဖြစ်တယ်။
admire	လေးစားသည်	သူမရဲ့ တည်ငြိမ်တဲ့ သဘောထားကို ကျွန်ုပ် လေးစားတယ်။
admit	ဝန်ခံသည်	သူက သူ့အမှားကို ဝန်ခံခဲ့တယ်။
advanced	အဆင့်မြင့်	ဒီဟာ အဆင့်မြင့် အင်္ဂလိပ်စာသင်တန်း ဖြစ်တယ်။
advise	အကြံပေးသည်	ဆရာဝန်တွေက ပုံမှန် လေ့ကျင့်ခန်းလုပ်ဖို့ အကြံပေးတယ်။
afford	တတ်နိုင်သည်	ကျွန်ုပ်တို့ တက္ကစီစီးဖို့ မတတ်နိုင်ဘူး။
aged	အသက်ရှိသော	ဒီသင်တန်းက အသက်ဆယ်နှစ်ရှိ ကလေးတွေအတွက် ဖြစ်တယ်။
agent	ကိုယ်စားလှယ်	ခရီးသွား ကိုယ်စားလှယ်က ကျွန်ုပ်တို့ လက်မှတ်တွေကို ပြောင်းပေးခဲ့တယ်။
