source_headword	LV	example_LV
heal	sadzīt	Atpūta palīdz ķermenim sadzīt.
healthcare	veselības aprūpe	Veselības aprūpes izmaksas šogad pieauga.
helmet	ķivere	Braucot ar velosipēdu, valkājiet ķiveri.
hence	tāpēc	Tāpēc mēs mainījām grafiku.
herb	garšaugs	Baziliks ir noderīgs garšaugs.
hidden	paslēpts	Atslēga bija paslēpta zem paklājiņa.
highway	šoseja	Šoseja tika slēgta pēc sniega.
hilarious	smieklīgs	Filma bija smieklīga.
hip	gurns	Trenkā viņa savainoja gurnu.
historian	vēsturnieks	Vēsturnieks pētīja vecās vēstules.
homeless	bezpajumtes	Patversme palīdz bezpajumtnieku ģimenēm.
honesty	godīgums	Godīgums veido uzticību.
hook	āķis	Pakariet mēteli uz āķa.
hopefully	cerams	Cerams, vilciens drīz ieradīsies.
hunger	izsalkums	Izsalkums var ietekmēt koncentrēšanos.
hypothesis	hipotēze	Eksperiments pārbaudīja hipotēzi.
icon	ikona	Lietotnes ikona šodien mainījās.
ID	ID	Parādiet savu ID reģistratūrā.
identical	identisks	Dvīņi valkāja identiskas jakas.
illusion	ilūzija	Spogulis rada ilūziju.
immigration	imigrācija	Imigrācijas politika pagājušajā gadā mainījās.
immune	imūns	Vakcinācija var padarīt cilvēkus imūnus.
implement	īstenot	Skola īstenos šo politiku.
implication	mājiens	Mājiens bija skaidrs.
incentive	stimuls	Prēmija deva darbiniekiem stimulu.
incorporate	iekļaut	Iekļaujiet maltītēs vairāk dārzeņu.
incorrect	nepareizs	Atbilde bija nepareiza.
independence	neatkarība	Valsts svinēja neatkarību.
index	rādītājs	Pārbaudiet rādītājā šo tēmu.
indication	pazīme	Smaids bija atvieglojuma pazīme.
inevitable	neizbēgams	Kāda aizkavēšanās bija neizbēgama.
inevitably	neizbēgami	Neizbēgami, pēc trūkuma cenas pieauga.
infer	secināt	Mēs varam secināt atbildi no konteksta.
inflation	inflācija	Inflācija paaugstināja pārtikas cenas.
info	info	Vietnē ir norādīta noderīga info.
infrastructure	infrastruktūra	Vētra sabojāja vietējo infrastruktūru.
inhabitant	iedzīvotājs	Katrs iedzīvotājs saņēma tīru ūdeni.
inherit	mantot	Viņa mantos ģimenes māju.
ink	tinte	Printerim nepieciešama melna tinte.
innovation	inovācija	Inovācija virza nozari uz priekšu.
innovative	inovatīvs	Uzņēmums laida klajā inovatīvu produktu.
